year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,7.1542317552257035
1980,10-14 years,Eye cancer,0.1428846217735775
1980,10-14 years,Kidney cancer,0.1517709799226831
1980,10-14 years,Liver cancer,0.8881338856816785
1980,10-14 years,Nasopharynx cancer,0.21911810564771328
1980,10-14 years,Thyroid cancer,0.0747220714065243
1980,15-19 years,Bladder cancer,0.004392491588351
1980,15-19 years,Brain and central nervous system cancer,4.317245922758685
1980,15-19 years,Breast cancer,0.07809361729937571
1980,15-19 years,Cervical cancer,0.0757587922830277
1980,15-19 years,Colon and rectum cancer,0.2796782193855498
1980,15-19 years,Eye cancer,0.0984188432337105
1980,15-19 years,Kidney cancer,0.0811665374316893
1980,15-19 years,Lip and oral cavity cancer,0.12514818783471948
1980,15-19 years,Liver cancer,1.1009725763038734
1980,15-19 years,Nasopharynx cancer,0.2470364122016554
1980,15-19 years,Ovarian cancer,0.1826479396073475
1980,15-19 years,Pancreatic cancer,0.0692795702062226
1980,15-19 years,Stomach cancer,0.4489267667458538
1980,15-19 years,Testicular cancer,0.4856952603497129
1980,15-19 years,Thyroid cancer,0.09299614940847109
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.5928409196607224
1980,20-24 years,Bladder cancer,0.0062245619899270995
1980,20-24 years,Brain and central nervous system cancer,4.166755560853501
1980,20-24 years,Breast cancer,0.2268661131992259
1980,20-24 years,Cervical cancer,0.4770371102676044
1980,20-24 years,Colon and rectum cancer,0.5811948135419471
1980,20-24 years,Esophageal cancer,0.0982147378684126
1980,20-24 years,Eye cancer,0.115578596578299
1980,20-24 years,Gallbladder and biliary tract cancer,0.038239290457972405
1980,20-24 years,Kidney cancer,0.1041563165237856
1980,20-24 years,Larynx cancer,0.1121921368230016
1980,20-24 years,Lip and oral cavity cancer,0.1875299514124386
1980,20-24 years,Liver cancer,1.7085419544043177
1980,20-24 years,Nasopharynx cancer,0.2645143719652421
1980,20-24 years,Non-melanoma skin cancer,0.1470817075481397
1980,20-24 years,Other pharynx cancer,0.0827506104699095
1980,20-24 years,Ovarian cancer,0.274975287211808
1980,20-24 years,Pancreatic cancer,0.1486821165258575
1980,20-24 years,Prostate cancer,0.0517005733248151
1980,20-24 years,Stomach cancer,1.3653079580948866
1980,20-24 years,Testicular cancer,1.335308686704552
1980,20-24 years,Thyroid cancer,0.1383570793308941
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.036123330499403
1980,20-24 years,Uterine cancer,0.0859353910511079
1980,25-29 years,Bladder cancer,0.0076601305122565005
1980,25-29 years,Brain and central nervous system cancer,3.659191401568936
1980,25-29 years,Breast cancer,0.8434674696653752
1980,25-29 years,Cervical cancer,1.381279757750514
1980,25-29 years,Colon and rectum cancer,0.7898087561344935
1980,25-29 years,Esophageal cancer,0.1528669023612328
1980,25-29 years,Eye cancer,0.1562872254760081
1980,25-29 years,Gallbladder and biliary tract cancer,0.0745630186590382
1980,25-29 years,Kidney cancer,0.1191980765742208
1980,25-29 years,Larynx cancer,0.13321217436125948
1980,25-29 years,Lip and oral cavity cancer,0.20348978309018229
1980,25-29 years,Liver cancer,1.7722049199867165
1980,25-29 years,Nasopharynx cancer,0.238456395173688
1980,25-29 years,Non-melanoma skin cancer,0.15642517360705321
1980,25-29 years,Other pharynx cancer,0.09589172388970749
1980,25-29 years,Ovarian cancer,0.3038857343076336
1980,25-29 years,Pancreatic cancer,0.255661024139879
1980,25-29 years,Prostate cancer,0.0359802196691564
1980,25-29 years,Stomach cancer,2.536164309760318
1980,25-29 years,Testicular cancer,1.4102583945573957
1980,25-29 years,Thyroid cancer,0.16281633754801522
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.2989634316457792
1980,25-29 years,Uterine cancer,0.1666564574028679
1980,30-34 years,Bladder cancer,0.009942240481232802
1980,30-34 years,Brain and central nervous system cancer,3.4294357529746176
1980,30-34 years,Breast cancer,2.369122113151599
1980,30-34 years,Cervical cancer,2.479366041582263
1980,30-34 years,Colon and rectum cancer,1.1290881815759062
1980,30-34 years,Esophageal cancer,0.1754483979390232
1980,30-34 years,Eye cancer,0.1247475931096351
1980,30-34 years,Gallbladder and biliary tract cancer,0.1125419083934297
1980,30-34 years,Kidney cancer,0.1542069334120785
1980,30-34 years,Larynx cancer,0.23141077457609327
1980,30-34 years,Lip and oral cavity cancer,0.2788639005381111
1980,30-34 years,Liver cancer,1.788089772666285
1980,30-34 years,Nasopharynx cancer,0.21708520587623892
1980,30-34 years,Non-melanoma skin cancer,0.1653619048928133
1980,30-34 years,Other pharynx cancer,0.1132313153202453
1980,30-34 years,Ovarian cancer,0.36702403924971
1980,30-34 years,Pancreatic cancer,0.4736481883730869
1980,30-34 years,Prostate cancer,0.0375261774237172
1980,30-34 years,Stomach cancer,3.5365486149504965
1980,30-34 years,Testicular cancer,0.924998716689812
1980,30-34 years,Thyroid cancer,0.1476881186058206
1980,30-34 years,"Tracheal, bronchus, and lung cancer",2.162244956013422
1980,30-34 years,Uterine cancer,0.258449456552773
1980,35-39 years,Bladder cancer,0.0194324802160884
1980,35-39 years,Brain and central nervous system cancer,3.8380195657533696
1980,35-39 years,Breast cancer,4.359154823421567
1980,35-39 years,Cervical cancer,3.3214438674028743
1980,35-39 years,Colon and rectum cancer,1.6405696457101178
1980,35-39 years,Esophageal cancer,0.3466487205871357
1980,35-39 years,Eye cancer,0.16242631155605808
1980,35-39 years,Gallbladder and biliary tract cancer,0.1875205442277696
1980,35-39 years,Kidney cancer,0.2401127654487011
1980,35-39 years,Larynx cancer,0.5977003873792335
1980,35-39 years,Lip and oral cavity cancer,0.5055434966716145
1980,35-39 years,Liver cancer,2.271114575960201
1980,35-39 years,Nasopharynx cancer,0.2962886069629572
1980,35-39 years,Non-melanoma skin cancer,0.2116906198423973
1980,35-39 years,Other pharynx cancer,0.2229681343398356
1980,35-39 years,Ovarian cancer,0.5426267716049182
1980,35-39 years,Pancreatic cancer,0.7932553506244051
1980,35-39 years,Prostate cancer,0.0555757619406403
1980,35-39 years,Stomach cancer,5.2177085330684605
1980,35-39 years,Testicular cancer,0.5466727294047757
1980,35-39 years,Thyroid cancer,0.2156948153172687
1980,35-39 years,"Tracheal, bronchus, and lung cancer",4.170579920598483
1980,35-39 years,Uterine cancer,0.386478234371735
1980,40-44 years,Bladder cancer,0.0446197788882127
1980,40-44 years,Brain and central nervous system cancer,5.285105562091382
1980,40-44 years,Breast cancer,6.776828421937139
1980,40-44 years,Cervical cancer,4.454894158324227
1980,40-44 years,Colon and rectum cancer,2.635531103925824
1980,40-44 years,Esophageal cancer,0.9181334314363985
1980,40-44 years,Eye cancer,0.2105243607147062
1980,40-44 years,Gallbladder and biliary tract cancer,0.3839243072341874
1980,40-44 years,Kidney cancer,0.4924607416347472
1980,40-44 years,Larynx cancer,1.7957334777709957
1980,40-44 years,Lip and oral cavity cancer,1.2396377483380485
1980,40-44 years,Liver cancer,4.310217193348389
1980,40-44 years,Nasopharynx cancer,0.5242923280065526
1980,40-44 years,Non-melanoma skin cancer,0.3109332388251943
1980,40-44 years,Other pharynx cancer,0.6988668172725373
1980,40-44 years,Ovarian cancer,0.9891313077800604
1980,40-44 years,Pancreatic cancer,1.67101183267792
1980,40-44 years,Prostate cancer,0.1260507521855727
1980,40-44 years,Stomach cancer,9.54235696243418
