year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,23.192440686552693
1980,10-14 years,Eye cancer,0.0802611164795398
1980,10-14 years,Kidney cancer,0.3890196052085291
1980,10-14 years,Liver cancer,1.8275070784585403
1980,10-14 years,Nasopharynx cancer,17.243524881453258
1980,10-14 years,Thyroid cancer,0.6426918068205594
1980,15-19 years,Bladder cancer,0.2606107760895246
1980,15-19 years,Brain and central nervous system cancer,10.851116814223001
1980,15-19 years,Breast cancer,0.3160424226371577
1980,15-19 years,Cervical cancer,4.765624518744333
1980,15-19 years,Colon and rectum cancer,2.033458089747969
1980,15-19 years,Eye cancer,0.0479388368431315
1980,15-19 years,Kidney cancer,0.1530357177077019
1980,15-19 years,Lip and oral cavity cancer,0.6204188837075144
1980,15-19 years,Liver cancer,1.4799318708920797
1980,15-19 years,Nasopharynx cancer,14.146678019143248
1980,15-19 years,Ovarian cancer,0.4738236047450595
1980,15-19 years,Pancreatic cancer,0.2546993569221972
1980,15-19 years,Stomach cancer,2.4558537106822436
1980,15-19 years,Testicular cancer,0.4115872771302392
1980,15-19 years,Thyroid cancer,0.8991832495635426
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.6107201241970706
1980,20-24 years,Bladder cancer,0.4122659543178435
1980,20-24 years,Brain and central nervous system cancer,8.096767669240256
1980,20-24 years,Breast cancer,0.9002727414701674
1980,20-24 years,Cervical cancer,13.693512141451176
1980,20-24 years,Colon and rectum cancer,3.604171016851037
1980,20-24 years,Esophageal cancer,0.2286079310200513
1980,20-24 years,Eye cancer,0.0691410324151182
1980,20-24 years,Gallbladder and biliary tract cancer,1.4661982689419841
1980,20-24 years,Kidney cancer,0.1643994037835133
1980,20-24 years,Larynx cancer,0.6713766707399038
1980,20-24 years,Lip and oral cavity cancer,0.9022338083109267
1980,20-24 years,Liver cancer,1.8935211904487157
1980,20-24 years,Nasopharynx cancer,10.796448223313647
1980,20-24 years,Non-melanoma skin cancer,0.0084238493903057
1980,20-24 years,Other pharynx cancer,0.3892623401994032
1980,20-24 years,Ovarian cancer,0.4948164563560454
1980,20-24 years,Pancreatic cancer,0.3986699460895823
1980,20-24 years,Prostate cancer,0.0197427447987662
1980,20-24 years,Stomach cancer,5.556056470573636
1980,20-24 years,Testicular cancer,0.7574216987228736
1980,20-24 years,Thyroid cancer,1.1673914910651582
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.573787388419951
1980,20-24 years,Uterine cancer,0.101117023509757
1980,25-29 years,Bladder cancer,0.5276380731275062
1980,25-29 years,Brain and central nervous system cancer,8.013039181262407
1980,25-29 years,Breast cancer,3.435107213423467
1980,25-29 years,Cervical cancer,23.604188575470605
1980,25-29 years,Colon and rectum cancer,5.699750386125042
1980,25-29 years,Esophageal cancer,0.4179385558312912
1980,25-29 years,Eye cancer,0.0841553883639842
1980,25-29 years,Gallbladder and biliary tract cancer,2.3558699626803454
1980,25-29 years,Kidney cancer,0.2141030380439259
1980,25-29 years,Larynx cancer,0.8779518951576492
1980,25-29 years,Lip and oral cavity cancer,1.1581128931794231
1980,25-29 years,Liver cancer,2.3473602517631
1980,25-29 years,Nasopharynx cancer,11.040432629189151
1980,25-29 years,Non-melanoma skin cancer,0.010094253521154301
1980,25-29 years,Other pharynx cancer,0.5648874244868303
1980,25-29 years,Ovarian cancer,0.6942634533307379
1980,25-29 years,Pancreatic cancer,0.56264655625406
1980,25-29 years,Prostate cancer,0.0140992399646915
1980,25-29 years,Stomach cancer,10.859149162110828
1980,25-29 years,Testicular cancer,0.8655818944655416
1980,25-29 years,Thyroid cancer,1.4709019741644123
1980,25-29 years,"Tracheal, bronchus, and lung cancer",3.5255914336125356
1980,25-29 years,Uterine cancer,0.1924208519681308
1980,30-34 years,Bladder cancer,0.7660199667256443
1980,30-34 years,Brain and central nervous system cancer,8.568478884884245
1980,30-34 years,Breast cancer,11.219727577671998
1980,30-34 years,Cervical cancer,36.76087296254641
1980,30-34 years,Colon and rectum cancer,9.470668513705153
1980,30-34 years,Esophageal cancer,0.730156076053265
1980,30-34 years,Eye cancer,0.11284977677971139
1980,30-34 years,Gallbladder and biliary tract cancer,4.229042007274067
1980,30-34 years,Kidney cancer,0.3150298158314814
1980,30-34 years,Larynx cancer,1.6396994918086967
1980,30-34 years,Lip and oral cavity cancer,1.6303594808922908
1980,30-34 years,Liver cancer,3.327295158243702
1980,30-34 years,Nasopharynx cancer,14.193835754365043
1980,30-34 years,Non-melanoma skin cancer,0.0076941108074304
1980,30-34 years,Other pharynx cancer,0.8973108266420586
1980,30-34 years,Ovarian cancer,1.0270016141375669
1980,30-34 years,Pancreatic cancer,1.185135818370169
1980,30-34 years,Prostate cancer,0.02362025143202
1980,30-34 years,Stomach cancer,20.533282578558147
1980,30-34 years,Testicular cancer,0.7124943132418989
1980,30-34 years,Thyroid cancer,1.7137195212683647
1980,30-34 years,"Tracheal, bronchus, and lung cancer",7.0623377347592
1980,30-34 years,Uterine cancer,0.340088224721183
1980,35-39 years,Bladder cancer,1.208155387150156
1980,35-39 years,Brain and central nervous system cancer,8.75216382860733
1980,35-39 years,Breast cancer,20.294318428306994
1980,35-39 years,Cervical cancer,51.32219414211151
1980,35-39 years,Colon and rectum cancer,14.028481517958191
1980,35-39 years,Esophageal cancer,1.572691619229763
1980,35-39 years,Eye cancer,0.1111250662801908
1980,35-39 years,Gallbladder and biliary tract cancer,6.919193740772855
1980,35-39 years,Kidney cancer,0.488936824362344
1980,35-39 years,Larynx cancer,3.556568177816484
1980,35-39 years,Lip and oral cavity cancer,2.3399450876403214
1980,35-39 years,Liver cancer,4.8026666507534514
1980,35-39 years,Nasopharynx cancer,19.166028184495275
1980,35-39 years,Non-melanoma skin cancer,0.010920517603719902
1980,35-39 years,Other pharynx cancer,1.6297056912080523
1980,35-39 years,Ovarian cancer,1.4585406985286975
1980,35-39 years,Pancreatic cancer,2.0494197484695023
1980,35-39 years,Prostate cancer,0.0576528243681026
1980,35-39 years,Stomach cancer,31.5975955330726
1980,35-39 years,Testicular cancer,0.4072741298074139
1980,35-39 years,Thyroid cancer,1.6306059052997541
1980,35-39 years,"Tracheal, bronchus, and lung cancer",14.03412767112096
1980,35-39 years,Uterine cancer,0.5577997023474469
1980,40-44 years,Bladder cancer,2.5582380315821793
1980,40-44 years,Brain and central nervous system cancer,10.994092553239966
1980,40-44 years,Breast cancer,34.01746573277835
1980,40-44 years,Cervical cancer,76.01200065081333
1980,40-44 years,Colon and rectum cancer,22.85389279634216
1980,40-44 years,Esophageal cancer,3.5163809981149816
1980,40-44 years,Eye cancer,0.3129174455077526
1980,40-44 years,Gallbladder and biliary tract cancer,13.215830478487039
1980,40-44 years,Kidney cancer,0.8406242939251908
1980,40-44 years,Larynx cancer,8.420139598175963
1980,40-44 years,Lip and oral cavity cancer,4.403617562024051
1980,40-44 years,Liver cancer,7.982000947998621
1980,40-44 years,Nasopharynx cancer,30.550433525685136
1980,40-44 years,Non-melanoma skin cancer,0.0137151065025016
1980,40-44 years,Other pharynx cancer,3.9261213170435476
1980,40-44 years,Ovarian cancer,2.8213640382101963
1980,40-44 years,Pancreatic cancer,3.9843141449475286
1980,40-44 years,Prostate cancer,0.1252700544259693
1980,40-44 years,Stomach cancer,50.51941951999761
1980,40-44 years,Testicular cancer,0.3248240335228371
1980,40-44 years,Thyroid cancer,2.184367283977053
1980,40-44 years,"Tracheal, bronchus, and lung cancer",32.03686043515185
1980,40-44 years,Uterine cancer,1.0240730526671529
1980,45-49 years,Bladder cancer,4.8250691807556905
1980,45-49 years,Brain and central nervous system cancer,13.411044873748622
1980,45-49 years,Breast cancer,50.13701246339762
1980,45-49 years,Cervical cancer,97.96218451366188
1980,45-49 years,Colon and rectum cancer,37.50026914686828
1980,45-49 years,Esophageal cancer,7.064643328843183
1980,45-49 years,Eye cancer,0.3282224373661173
1980,45-49 years,Gallbladder and biliary tract cancer,27.784371837816323
1980,45-49 years,Kidney cancer,1.6776974073599429
1980,45-49 years,Larynx cancer,16.940154797784782
1980,45-49 years,Lip and oral cavity cancer,7.619605471329136
1980,45-49 years,Liver cancer,12.839728716896884
1980,45-49 years,Nasopharynx cancer,44.60711066283743
1980,45-49 years,Non-melanoma skin cancer,0.0195094659345905
1980,45-49 years,Other pharynx cancer,7.973678089154155
1980,45-49 years,Ovarian cancer,5.298962104538391
1980,45-49 years,Pancreatic cancer,7.398578183356465
1980,45-49 years,Prostate cancer,0.4474978676006211
1980,45-49 years,Stomach cancer,72.475536721039
1980,45-49 years,Testicular cancer,0.22283297976956
1980,45-49 years,Thyroid cancer,2.9452899418062035
1980,45-49 years,"Tracheal, bronchus, and lung cancer",64.24191767226529
1980,45-49 years,Uterine cancer,1.994516785210105
1980,5-9 years,Brain and central nervous system cancer,37.27197296889007
1980,5-9 years,Eye cancer,1.7107955180559766
1980,5-9 years,Kidney cancer,1.8911207371210068
1980,5-9 years,Liver cancer,2.687791515662046
