year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,21.69039757236738
1980,10-14 years,Eye cancer,0.22434045479188197
1980,10-14 years,Kidney cancer,2.509643975830035
1980,10-14 years,Liver cancer,0.2913339773974142
1980,10-14 years,Nasopharynx cancer,0.7361918098973184
1980,10-14 years,Thyroid cancer,0.3841058430384715
1980,15-19 years,Bladder cancer,0.4157604533024225
1980,15-19 years,Brain and central nervous system cancer,14.697307898048999
1980,15-19 years,Breast cancer,2.2737049260525555
1980,15-19 years,Cervical cancer,2.804890676608179
1980,15-19 years,Colon and rectum cancer,5.491195743226241
1980,15-19 years,Eye cancer,0.35205778367665047
1980,15-19 years,Kidney cancer,3.253308592361088
1980,15-19 years,Lip and oral cavity cancer,0.6900730730400169
1980,15-19 years,Liver cancer,0.2886213368841712
1980,15-19 years,Nasopharynx cancer,1.1743736946723482
1980,15-19 years,Ovarian cancer,4.088779978236804
1980,15-19 years,Pancreatic cancer,1.2362542823751028
1980,15-19 years,Stomach cancer,2.72386351653243
1980,15-19 years,Testicular cancer,7.602980395291409
1980,15-19 years,Thyroid cancer,0.542089483760676
1980,15-19 years,"Tracheal, bronchus, and lung cancer",4.907375122202686
1980,20-24 years,Bladder cancer,0.5294296273309678
1980,20-24 years,Brain and central nervous system cancer,14.794766944518676
1980,20-24 years,Breast cancer,5.041491641928609
1980,20-24 years,Cervical cancer,10.466239454990443
1980,20-24 years,Colon and rectum cancer,8.746942960051031
1980,20-24 years,Esophageal cancer,1.7747221894333203
1980,20-24 years,Eye cancer,0.3168802247384833
1980,20-24 years,Gallbladder and biliary tract cancer,0.9290006958001129
1980,20-24 years,Kidney cancer,5.0488149251054075
1980,20-24 years,Larynx cancer,0.7953026984742703
1980,20-24 years,Lip and oral cavity cancer,0.9835595313824106
1980,20-24 years,Liver cancer,0.46518243855164687
1980,20-24 years,Nasopharynx cancer,1.2659673248465455
1980,20-24 years,Non-melanoma skin cancer,0.6214708845366865
1980,20-24 years,Other pharynx cancer,0.256572020469614
1980,20-24 years,Ovarian cancer,5.769562016096993
1980,20-24 years,Pancreatic cancer,2.3033176828248165
1980,20-24 years,Prostate cancer,0.3852574948278204
1980,20-24 years,Stomach cancer,6.331950096425004
1980,20-24 years,Testicular cancer,17.394969698079613
1980,20-24 years,Thyroid cancer,0.7432037495354828
1980,20-24 years,"Tracheal, bronchus, and lung cancer",7.996269797421223
1980,20-24 years,Uterine cancer,0.7440503236979678
1980,25-29 years,Bladder cancer,0.8532441693669102
1980,25-29 years,Brain and central nervous system cancer,18.74921530314829
1980,25-29 years,Breast cancer,18.052824054876602
1980,25-29 years,Cervical cancer,42.56941492548477
1980,25-29 years,Colon and rectum cancer,19.325409321822676
1980,25-29 years,Esophageal cancer,2.894180988474502
1980,25-29 years,Eye cancer,0.3037166716982699
1980,25-29 years,Gallbladder and biliary tract cancer,1.9135194090596017
1980,25-29 years,Kidney cancer,7.078679679671307
1980,25-29 years,Larynx cancer,0.919039261271716
1980,25-29 years,Lip and oral cavity cancer,2.0442062942821413
1980,25-29 years,Liver cancer,0.7179213495978247
1980,25-29 years,Nasopharynx cancer,1.216473232015901
1980,25-29 years,Non-melanoma skin cancer,1.0026430840803973
1980,25-29 years,Other pharynx cancer,0.3785773255761855
1980,25-29 years,Ovarian cancer,8.380531001837392
1980,25-29 years,Pancreatic cancer,4.746062110709427
1980,25-29 years,Prostate cancer,0.4980967627935412
1980,25-29 years,Stomach cancer,14.96244068440204
1980,25-29 years,Testicular cancer,24.5232586540491
1980,25-29 years,Thyroid cancer,1.3200279101043964
1980,25-29 years,"Tracheal, bronchus, and lung cancer",12.526125390958768
1980,25-29 years,Uterine cancer,3.0155660975533465
1980,30-34 years,Bladder cancer,2.1066612698231717
1980,30-34 years,Brain and central nervous system cancer,23.953497353612924
1980,30-34 years,Breast cancer,69.96935924745291
1980,30-34 years,Cervical cancer,88.57382717509569
1980,30-34 years,Colon and rectum cancer,31.832230910072077
1980,30-34 years,Esophageal cancer,6.152442746890095
1980,30-34 years,Eye cancer,0.4717687307145177
1980,30-34 years,Gallbladder and biliary tract cancer,4.576514285103327
1980,30-34 years,Kidney cancer,10.127162867829327
1980,30-34 years,Larynx cancer,2.5018552314956826
1980,30-34 years,Lip and oral cavity cancer,4.089762003764339
1980,30-34 years,Liver cancer,1.195111441641103
1980,30-34 years,Nasopharynx cancer,1.6587907442914562
1980,30-34 years,Non-melanoma skin cancer,1.2370595213242823
1980,30-34 years,Other pharynx cancer,0.8374083426173671
1980,30-34 years,Ovarian cancer,14.366107151731123
1980,30-34 years,Pancreatic cancer,10.913784730949601
1980,30-34 years,Prostate cancer,0.5732851807545352
1980,30-34 years,Stomach cancer,33.712474865852286
1980,30-34 years,Testicular cancer,19.765115888295448
1980,30-34 years,Thyroid cancer,1.794502259569025
1980,30-34 years,"Tracheal, bronchus, and lung cancer",41.71915529010956
1980,30-34 years,Uterine cancer,4.228642380773864
1980,35-39 years,Bladder cancer,4.482770455578473
1980,35-39 years,Brain and central nervous system cancer,28.4211202107281
1980,35-39 years,Breast cancer,139.10580668839057
1980,35-39 years,Cervical cancer,111.4032318808092
1980,35-39 years,Colon and rectum cancer,51.74067710884644
1980,35-39 years,Esophageal cancer,14.768733195921186
1980,35-39 years,Eye cancer,0.46777718465527307
1980,35-39 years,Gallbladder and biliary tract cancer,10.730389836956427
1980,35-39 years,Kidney cancer,13.419319584429402
1980,35-39 years,Larynx cancer,9.188923543684913
1980,35-39 years,Lip and oral cavity cancer,7.000146293560563
1980,35-39 years,Liver cancer,2.288260908661429
1980,35-39 years,Nasopharynx cancer,2.6230816863021897
1980,35-39 years,Non-melanoma skin cancer,2.2836405328135703
1980,35-39 years,Other pharynx cancer,2.7459422291867512
1980,35-39 years,Ovarian cancer,24.36371558102345
1980,35-39 years,Pancreatic cancer,23.73894333755569
1980,35-39 years,Prostate cancer,1.0445884836141508
1980,35-39 years,Stomach cancer,59.52788843229891
1980,35-39 years,Testicular cancer,16.95165699518049
1980,35-39 years,Thyroid cancer,2.9353505597396583
1980,35-39 years,"Tracheal, bronchus, and lung cancer",103.9619516480074
1980,35-39 years,Uterine cancer,7.62728325660568
1980,40-44 years,Bladder cancer,9.646352347877821
1980,40-44 years,Brain and central nervous system cancer,39.95148894094896
1980,40-44 years,Breast cancer,227.62664835109908
1980,40-44 years,Cervical cancer,140.23337090401938
