year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,13.803084997711068
1980,10-14 years,Eye cancer,0.0722305233002982
1980,10-14 years,Kidney cancer,0.40233052591299
1980,10-14 years,Liver cancer,0.20976475293385488
1980,10-14 years,Nasopharynx cancer,0.23881347731358601
1980,10-14 years,Thyroid cancer,0.0784751047529697
1980,15-19 years,Bladder cancer,0.1240966833996943
1980,15-19 years,Brain and central nervous system cancer,12.321944118419644
1980,15-19 years,Breast cancer,0.27389330794639893
1980,15-19 years,Cervical cancer,0.3560805321941678
1980,15-19 years,Colon and rectum cancer,1.8204756659034678
1980,15-19 years,Eye cancer,0.1076233589054573
1980,15-19 years,Kidney cancer,0.5013203473413409
1980,15-19 years,Lip and oral cavity cancer,0.3095261446071767
1980,15-19 years,Liver cancer,0.4103912704865181
1980,15-19 years,Nasopharynx cancer,0.42296245384569103
1980,15-19 years,Ovarian cancer,1.2476346622367167
1980,15-19 years,Pancreatic cancer,0.21229196244595527
1980,15-19 years,Stomach cancer,0.6065994957584109
1980,15-19 years,Testicular cancer,1.927461677997761
1980,15-19 years,Thyroid cancer,0.1131653530746972
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.750908013095299
1980,20-24 years,Bladder cancer,0.1043273994899077
1980,20-24 years,Brain and central nervous system cancer,10.72543091538818
1980,20-24 years,Breast cancer,1.1661402176233708
1980,20-24 years,Cervical cancer,1.3737093526233024
1980,20-24 years,Colon and rectum cancer,3.909164348135703
1980,20-24 years,Esophageal cancer,0.3440379967279788
1980,20-24 years,Eye cancer,0.1573264407506677
1980,20-24 years,Gallbladder and biliary tract cancer,0.11558028580694021
1980,20-24 years,Kidney cancer,0.6744582303316017
1980,20-24 years,Larynx cancer,0.0351940955259223
1980,20-24 years,Lip and oral cavity cancer,0.8547808388082317
1980,20-24 years,Liver cancer,0.526328867365682
1980,20-24 years,Nasopharynx cancer,0.5247636009733261
1980,20-24 years,Non-melanoma skin cancer,0.1773940227564205
1980,20-24 years,Other pharynx cancer,0.052002185769404595
1980,20-24 years,Ovarian cancer,1.8830616657570072
1980,20-24 years,Pancreatic cancer,0.4886152067593379
1980,20-24 years,Prostate cancer,0.1049586899808857
1980,20-24 years,Stomach cancer,2.0073939758674104
1980,20-24 years,Testicular cancer,5.17030120185824
1980,20-24 years,Thyroid cancer,0.3213488422125027
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.106965946039242
1980,20-24 years,Uterine cancer,0.1066771347698246
1980,25-29 years,Bladder cancer,0.2142920170770874
1980,25-29 years,Brain and central nervous system cancer,13.017971457084684
1980,25-29 years,Breast cancer,5.934358730791378
1980,25-29 years,Cervical cancer,5.666125474517927
1980,25-29 years,Colon and rectum cancer,7.439272991586858
1980,25-29 years,Esophageal cancer,0.4221788718541558
1980,25-29 years,Eye cancer,0.15973809033525668
1980,25-29 years,Gallbladder and biliary tract cancer,0.1665893971688288
