year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,6.508926671109606
1980,10-14 years,Eye cancer,0.0512697721157522
1980,10-14 years,Kidney cancer,0.5625028437419521
1980,10-14 years,Liver cancer,0.2516533331912824
1980,10-14 years,Nasopharynx cancer,0.1272684311321064
1980,10-14 years,Thyroid cancer,0.09410471926225429
1980,15-19 years,Bladder cancer,0.1035398463351908
1980,15-19 years,Brain and central nervous system cancer,6.244905431924352
1980,15-19 years,Breast cancer,0.33058770007854116
1980,15-19 years,Cervical cancer,0.2704263070367794
1980,15-19 years,Colon and rectum cancer,1.1358935563394787
1980,15-19 years,Eye cancer,0.0659207265393629
1980,15-19 years,Kidney cancer,0.5951405044940999
1980,15-19 years,Lip and oral cavity cancer,0.2732923638398275
1980,15-19 years,Liver cancer,0.6595953808709782
1980,15-19 years,Nasopharynx cancer,0.2865854418265467
1980,15-19 years,Ovarian cancer,0.7820635274050449
1980,15-19 years,Pancreatic cancer,0.2642462773037588
1980,15-19 years,Stomach cancer,0.8176658158260246
1980,15-19 years,Testicular cancer,2.109874363547016
1980,15-19 years,Thyroid cancer,0.2191392792741361
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.9130876503192349
1980,20-24 years,Bladder cancer,0.11711913812350139
1980,20-24 years,Brain and central nervous system cancer,5.0369066347787355
1980,20-24 years,Breast cancer,0.678301942672494
1980,20-24 years,Cervical cancer,1.030256409531264
1980,20-24 years,Colon and rectum cancer,1.8426383722483135
1980,20-24 years,Esophageal cancer,0.1802927771821799
1980,20-24 years,Eye cancer,0.0914205230054506
1980,20-24 years,Gallbladder and biliary tract cancer,0.1668580761160942
1980,20-24 years,Kidney cancer,0.5929365457159986
1980,20-24 years,Larynx cancer,0.1049933399956728
1980,20-24 years,Lip and oral cavity cancer,0.36632419794918725
1980,20-24 years,Liver cancer,0.6836330190792768
1980,20-24 years,Nasopharynx cancer,0.2780611254016086
1980,20-24 years,Non-melanoma skin cancer,0.2013821266018469
1980,20-24 years,Other pharynx cancer,0.0819754912608426
1980,20-24 years,Ovarian cancer,0.9667552315985796
1980,20-24 years,Pancreatic cancer,0.392282844047131
1980,20-24 years,Prostate cancer,0.0950510724440689
1980,20-24 years,Stomach cancer,1.9073312833078506
1980,20-24 years,Testicular cancer,4.972418415962692
1980,20-24 years,Thyroid cancer,0.2639623692097906
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.2324485413787913
1980,20-24 years,Uterine cancer,0.0825666371708228
1980,25-29 years,Bladder cancer,0.1839471211332139
1980,25-29 years,Brain and central nervous system cancer,5.547929607706029
1980,25-29 years,Breast cancer,3.3960854567533794
1980,25-29 years,Cervical cancer,3.609431204528432
1980,25-29 years,Colon and rectum cancer,3.4327409806242195
1980,25-29 years,Esophageal cancer,0.2797122393942306
1980,25-29 years,Eye cancer,0.1034205335683033
1980,25-29 years,Gallbladder and biliary tract cancer,0.2922653900566994
1980,25-29 years,Kidney cancer,0.7592534359338232
1980,25-29 years,Larynx cancer,0.1411478009347539
1980,25-29 years,Lip and oral cavity cancer,0.5374038948131667
1980,25-29 years,Liver cancer,0.9272716453936867
1980,25-29 years,Nasopharynx cancer,0.23955378163563867
1980,25-29 years,Non-melanoma skin cancer,0.2670983477381922
1980,25-29 years,Other pharynx cancer,0.10746755614708439
1980,25-29 years,Ovarian cancer,1.442052909038134
1980,25-29 years,Pancreatic cancer,0.7502117325832275
1980,25-29 years,Prostate cancer,0.070372457497362
1980,25-29 years,Stomach cancer,4.1052960163967915
1980,25-29 years,Testicular cancer,5.656620675043583
1980,25-29 years,Thyroid cancer,0.3341159679868637
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.9010852243236078
1980,25-29 years,Uterine cancer,0.2246283925184717
1980,30-34 years,Bladder cancer,0.4401442383771173
1980,30-34 years,Brain and central nervous system cancer,7.860459247490438
1980,30-34 years,Breast cancer,14.626973063334491
1980,30-34 years,Cervical cancer,9.407644971288764
1980,30-34 years,Colon and rectum cancer,7.253524130613502
1980,30-34 years,Esophageal cancer,0.6266431966419894
1980,30-34 years,Eye cancer,0.1721348763325278
1980,30-34 years,Gallbladder and biliary tract cancer,0.7431700295303942
1980,30-34 years,Kidney cancer,1.3934804562755336
1980,30-34 years,Larynx cancer,0.343367291062364
1980,30-34 years,Lip and oral cavity cancer,1.040600047102861
1980,30-34 years,Liver cancer,1.439720231663319
1980,30-34 years,Nasopharynx cancer,0.3380378788425549
1980,30-34 years,Non-melanoma skin cancer,0.4380942710768702
1980,30-34 years,Other pharynx cancer,0.24491229842933682
1980,30-34 years,Ovarian cancer,2.542692621865815
1980,30-34 years,Pancreatic cancer,1.928652242458995
1980,30-34 years,Prostate cancer,0.091133034923785
1980,30-34 years,Stomach cancer,9.30821556269321
1980,30-34 years,Testicular cancer,5.058004733537279
1980,30-34 years,Thyroid cancer,0.4990755690462978
1980,30-34 years,"Tracheal, bronchus, and lung cancer",5.338482142201708
1980,30-34 years,Uterine cancer,0.4925618686814109
1980,35-39 years,Bladder cancer,1.1076973768705585
1980,35-39 years,Brain and central nervous system cancer,12.938902745314264
1980,35-39 years,Breast cancer,36.19903555653517
1980,35-39 years,Cervical cancer,17.315317894581153
1980,35-39 years,Colon and rectum cancer,17.24031651254819
1980,35-39 years,Esophageal cancer,1.8601380053203367
1980,35-39 years,Eye cancer,0.3190096067845234
1980,35-39 years,Gallbladder and biliary tract cancer,1.851763877451361
1980,35-39 years,Kidney cancer,2.992273007838074
1980,35-39 years,Larynx cancer,1.659466485618104
1980,35-39 years,Lip and oral cavity cancer,3.3519379871718806
1980,35-39 years,Liver cancer,2.753994300401939
1980,35-39 years,Nasopharynx cancer,0.7787054327896307
1980,35-39 years,Non-melanoma skin cancer,0.7574142974639249
1980,35-39 years,Other pharynx cancer,1.2047699968939272
1980,35-39 years,Ovarian cancer,6.550259140669094
1980,35-39 years,Pancreatic cancer,6.177483404151057
1980,35-39 years,Prostate cancer,0.2362960430377882
1980,35-39 years,Stomach cancer,20.57708615426454
1980,35-39 years,Testicular cancer,4.628569909881113
1980,35-39 years,Thyroid cancer,1.1396569995817345
1980,35-39 years,"Tracheal, bronchus, and lung cancer",17.98948194275246
1980,35-39 years,Uterine cancer,1.283939776638658
1980,40-44 years,Bladder cancer,2.302766890033181
1980,40-44 years,Brain and central nervous system cancer,14.602721337429553
1980,40-44 years,Breast cancer,55.50011595594874
1980,40-44 years,Cervical cancer,23.44812002491575
1980,40-44 years,Colon and rectum cancer,28.866309086564637
1980,40-44 years,Esophageal cancer,4.945386875458616
1980,40-44 years,Eye cancer,0.4493273979621146
1980,40-44 years,Gallbladder and biliary tract cancer,3.589221652334924
1980,40-44 years,Kidney cancer,5.230368564767833
