year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,16.139619410970887
1980,10-14 years,Eye cancer,0.051738211419586
1980,10-14 years,Kidney cancer,0.822888724151652
1980,10-14 years,Liver cancer,0.7978491196967631
1980,10-14 years,Nasopharynx cancer,0.4056423867233687
1980,10-14 years,Thyroid cancer,0.1169669531744513
1980,15-19 years,Bladder cancer,0.1588881968498034
1980,15-19 years,Brain and central nervous system cancer,11.713926380733728
1980,15-19 years,Breast cancer,0.5883998892185861
1980,15-19 years,Cervical cancer,0.7482266066552254
1980,15-19 years,Colon and rectum cancer,2.3365978777228893
1980,15-19 years,Eye cancer,0.0829626660789555
1980,15-19 years,Kidney cancer,0.8179685240419389
1980,15-19 years,Lip and oral cavity cancer,0.2393972937349464
1980,15-19 years,Liver cancer,1.4132053821329453
1980,15-19 years,Nasopharynx cancer,0.45903657382338725
1980,15-19 years,Ovarian cancer,0.5244298477921894
1980,15-19 years,Pancreatic cancer,0.274799890823687
1980,15-19 years,Stomach cancer,3.679714236828974
1980,15-19 years,Testicular cancer,0.2847225216774374
1980,15-19 years,Thyroid cancer,0.1527772753952794
1980,15-19 years,"Tracheal, bronchus, and lung cancer",2.769489206059616
1980,20-24 years,Bladder cancer,0.2239995753438931
1980,20-24 years,Brain and central nervous system cancer,9.993339358674074
1980,20-24 years,Breast cancer,1.1280595256504182
1980,20-24 years,Cervical cancer,1.523701293305054
1980,20-24 years,Colon and rectum cancer,4.291321271470406
1980,20-24 years,Esophageal cancer,1.1518634668627215
1980,20-24 years,Eye cancer,0.0463011239484339
1980,20-24 years,Gallbladder and biliary tract cancer,0.046250956517605996
1980,20-24 years,Kidney cancer,0.7018319775079769
1980,20-24 years,Larynx cancer,0.693769861123241
1980,20-24 years,Lip and oral cavity cancer,0.2855476522300664
1980,20-24 years,Liver cancer,1.9780287590785461
1980,20-24 years,Nasopharynx cancer,0.3492003038713903
1980,20-24 years,Non-melanoma skin cancer,0.17297756723650992
1980,20-24 years,Other pharynx cancer,0.1099832976128171
1980,20-24 years,Ovarian cancer,0.5953187630352258
1980,20-24 years,Pancreatic cancer,0.3635274236106762
1980,20-24 years,Prostate cancer,0.6631469973605967
1980,20-24 years,Stomach cancer,6.078484692327663
1980,20-24 years,Testicular cancer,0.4612079848425357
1980,20-24 years,Thyroid cancer,0.1719949692524652
1980,20-24 years,"Tracheal, bronchus, and lung cancer",3.950743543748297
1980,20-24 years,Uterine cancer,0.4677990813296387
1980,25-29 years,Bladder cancer,0.23967285005774258
1980,25-29 years,Brain and central nervous system cancer,8.221053623414106
1980,25-29 years,Breast cancer,3.0710484190678167
1980,25-29 years,Cervical cancer,2.78095268831392
1980,25-29 years,Colon and rectum cancer,4.819345702666277
1980,25-29 years,Esophageal cancer,1.4180915616774767
1980,25-29 years,Eye cancer,0.0708543903009719
1980,25-29 years,Gallbladder and biliary tract cancer,0.0809931313867194
1980,25-29 years,Kidney cancer,0.6891844528582707
1980,25-29 years,Larynx cancer,0.7048162552080928
1980,25-29 years,Lip and oral cavity cancer,0.3092090972168745
1980,25-29 years,Liver cancer,1.922796263678934
1980,25-29 years,Nasopharynx cancer,0.2559444684331873
1980,25-29 years,Non-melanoma skin cancer,0.1529594701349191
1980,25-29 years,Other pharynx cancer,0.1247526329268934
1980,25-29 years,Ovarian cancer,0.6509691852967272
1980,25-29 years,Pancreatic cancer,0.5374980027592106
1980,25-29 years,Prostate cancer,0.6329059206118232
1980,25-29 years,Stomach cancer,7.953474982950496
1980,25-29 years,Testicular cancer,0.6393422265594411
1980,25-29 years,Thyroid cancer,0.23830409562599958
1980,25-29 years,"Tracheal, bronchus, and lung cancer",4.4316614464138
1980,25-29 years,Uterine cancer,0.5292588093241072
1980,30-34 years,Bladder cancer,0.30820746889346273
1980,30-34 years,Brain and central nervous system cancer,6.605961599795926
1980,30-34 years,Breast cancer,10.211121759366767
1980,30-34 years,Cervical cancer,5.932993253990836
1980,30-34 years,Colon and rectum cancer,6.552585083169819
1980,30-34 years,Esophageal cancer,1.9886456418388385
1980,30-34 years,Eye cancer,0.0393577725850934
1980,30-34 years,Gallbladder and biliary tract cancer,0.1069532173182975
1980,30-34 years,Kidney cancer,0.6715664714632255
1980,30-34 years,Larynx cancer,0.8858608788688733
1980,30-34 years,Lip and oral cavity cancer,0.30005393551233417
1980,30-34 years,Liver cancer,2.1689754068775717
1980,30-34 years,Nasopharynx cancer,0.16959937996172808
1980,30-34 years,Non-melanoma skin cancer,0.17419633869722112
1980,30-34 years,Other pharynx cancer,0.1281233305281294
