year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.21469294770379893
1980,10-14 years,Eye cancer,0.000332518336841722
1980,10-14 years,Kidney cancer,0.0189463555283713
1980,10-14 years,Liver cancer,0.0243876202046255
1980,10-14 years,Nasopharynx cancer,0.018040662012889702
1980,10-14 years,Thyroid cancer,0.0040288468898945
1980,15-19 years,Bladder cancer,0.0121898131994486
1980,15-19 years,Brain and central nervous system cancer,0.2152551574213642
1980,15-19 years,Breast cancer,0.027442714777943602
1980,15-19 years,Cervical cancer,0.0206336548651537
1980,15-19 years,Colon and rectum cancer,0.0587481009783537
1980,15-19 years,Eye cancer,0.00032224406826397744
1980,15-19 years,Kidney cancer,0.0177488965981331
1980,15-19 years,Lip and oral cavity cancer,0.0143039919016955
1980,15-19 years,Liver cancer,0.0449579022109229
1980,15-19 years,Nasopharynx cancer,0.037270323050456404
1980,15-19 years,Ovarian cancer,0.0378529869873911
1980,15-19 years,Pancreatic cancer,0.0098630453137915
1980,15-19 years,Stomach cancer,0.0474557159039983
1980,15-19 years,Testicular cancer,0.008681969160781
1980,15-19 years,Thyroid cancer,0.0092571198443892
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.1356806644656797
1980,20-24 years,Bladder cancer,0.023186390836848703
1980,20-24 years,Brain and central nervous system cancer,0.2564772156382497
1980,20-24 years,Breast cancer,0.0623621892540082
1980,20-24 years,Cervical cancer,0.0385998982116863
1980,20-24 years,Colon and rectum cancer,0.11009733273177999
1980,20-24 years,Esophageal cancer,0.0156866267965418
1980,20-24 years,Eye cancer,0.0004625492461292
1980,20-24 years,Gallbladder and biliary tract cancer,0.0063441217721175
1980,20-24 years,Kidney cancer,0.0254432810401371
1980,20-24 years,Larynx cancer,0.0199064839661537
1980,20-24 years,Lip and oral cavity cancer,0.0332885064598232
1980,20-24 years,Liver cancer,0.07682107313787259
1980,20-24 years,Nasopharynx cancer,0.0478645993774545
1980,20-24 years,Non-melanoma skin cancer,0.0064431684063958
1980,20-24 years,Other pharynx cancer,0.0086993274499134
1980,20-24 years,Ovarian cancer,0.0497338425611937
1980,20-24 years,Pancreatic cancer,0.0188954727048081
1980,20-24 years,Prostate cancer,0.0059165784422898
1980,20-24 years,Stomach cancer,0.09601760899886891
1980,20-24 years,Testicular cancer,0.0268697534412247
1980,20-24 years,Thyroid cancer,0.0139300947808632
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.21579940736567188
1980,20-24 years,Uterine cancer,0.0065730331411495
1980,25-29 years,Bladder cancer,0.0362862381638422
1980,25-29 years,Brain and central nervous system cancer,0.3238664163579068
1980,25-29 years,Breast cancer,0.1677606088014254
1980,25-29 years,Cervical cancer,0.0595784569513417
1980,25-29 years,Colon and rectum cancer,0.2027487594467498
1980,25-29 years,Esophageal cancer,0.0306890672621442
1980,25-29 years,Eye cancer,0.0005845364174746
1980,25-29 years,Gallbladder and biliary tract cancer,0.0095699302153183
1980,25-29 years,Kidney cancer,0.0342375332363477
