year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,66.30568429770838
1980,10-14 years,Eye cancer,0.15517552142251773
1980,10-14 years,Kidney cancer,1.1550189852583557
1980,10-14 years,Liver cancer,5.215177281382424
1980,10-14 years,Nasopharynx cancer,22.40634149552849
1980,10-14 years,Thyroid cancer,2.592155995731572
1980,15-19 years,Bladder cancer,0.5344714079335015
1980,15-19 years,Brain and central nervous system cancer,29.733528763823962
1980,15-19 years,Breast cancer,10.95275495171961
1980,15-19 years,Cervical cancer,17.13849421699433
1980,15-19 years,Colon and rectum cancer,5.70942237665863
1980,15-19 years,Eye cancer,0.0895471651998757
1980,15-19 years,Kidney cancer,0.5391419798616366
1980,15-19 years,Lip and oral cavity cancer,11.7253035524036
1980,15-19 years,Liver cancer,4.99570614852434
1980,15-19 years,Nasopharynx cancer,17.58723252017246
1980,15-19 years,Ovarian cancer,4.796376290165455
1980,15-19 years,Pancreatic cancer,0.5713668231386078
1980,15-19 years,Stomach cancer,6.518906401071797
1980,15-19 years,Testicular cancer,4.796018003594528
1980,15-19 years,Thyroid cancer,4.561525701058968
1980,15-19 years,"Tracheal, bronchus, and lung cancer",3.5846233516798005
1980,20-24 years,Bladder cancer,0.7780078248864999
1980,20-24 years,Brain and central nervous system cancer,21.346995474531063
1980,20-24 years,Breast cancer,15.60457780569981
1980,20-24 years,Cervical cancer,23.32571767350908
1980,20-24 years,Colon and rectum cancer,8.492802772197145
1980,20-24 years,Esophageal cancer,4.570272449775194
1980,20-24 years,Eye cancer,0.2026465531862795
1980,20-24 years,Gallbladder and biliary tract cancer,1.5919866376523877
1980,20-24 years,Kidney cancer,0.6313871417291812
1980,20-24 years,Larynx cancer,2.2420053637030977
1980,20-24 years,Lip and oral cavity cancer,15.22751551383093
1980,20-24 years,Liver cancer,5.0124511040097115
1980,20-24 years,Nasopharynx cancer,11.918610107175871
1980,20-24 years,Non-melanoma skin cancer,0.6639689851765074
1980,20-24 years,Other pharynx cancer,3.989783951104931
1980,20-24 years,Ovarian cancer,4.37905942904174
1980,20-24 years,Pancreatic cancer,0.8061297580399508
1980,20-24 years,Prostate cancer,0.0915034669594115
1980,20-24 years,Stomach cancer,14.67969588192674
1980,20-24 years,Testicular cancer,11.311508191982362
1980,20-24 years,Thyroid cancer,5.45206750056265
1980,20-24 years,"Tracheal, bronchus, and lung cancer",4.1862601962776695
1980,20-24 years,Uterine cancer,0.6246984772684434
1980,25-29 years,Bladder cancer,1.1743312887466875
1980,25-29 years,Brain and central nervous system cancer,26.8033593277667
1980,25-29 years,Breast cancer,30.599597974708818
1980,25-29 years,Cervical cancer,51.71112062915074
1980,25-29 years,Colon and rectum cancer,12.655693897593236
1980,25-29 years,Esophageal cancer,8.776221732126817
1980,25-29 years,Eye cancer,0.2956980195319996
1980,25-29 years,Gallbladder and biliary tract cancer,2.978173942516061
1980,25-29 years,Kidney cancer,0.9832635737544715
