year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,4.065199302095209
1980,10-14 years,Eye cancer,0.0212430613300245
1980,10-14 years,Kidney cancer,0.154018183985065
1980,10-14 years,Liver cancer,0.1447536153956909
1980,10-14 years,Nasopharynx cancer,0.1431398449716662
1980,10-14 years,Thyroid cancer,0.0681776228801725
1980,15-19 years,Bladder cancer,0.0812652828315035
1980,15-19 years,Brain and central nervous system cancer,3.205308981798968
1980,15-19 years,Breast cancer,0.26971438201812753
1980,15-19 years,Cervical cancer,0.337393491040354
1980,15-19 years,Colon and rectum cancer,1.1348009257839213
1980,15-19 years,Eye cancer,0.0230389076013144
1980,15-19 years,Kidney cancer,0.1243949067576821
1980,15-19 years,Lip and oral cavity cancer,0.40451579060764736
1980,15-19 years,Liver cancer,0.2447832544565235
1980,15-19 years,Nasopharynx cancer,0.2313201908695807
1980,15-19 years,Ovarian cancer,0.4228548698538872
1980,15-19 years,Pancreatic cancer,0.1474842901107144
1980,15-19 years,Stomach cancer,2.15371299349982
1980,15-19 years,Testicular cancer,0.3945279497080499
1980,15-19 years,Thyroid cancer,0.1968824460966901
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.2076293486055267
1980,20-24 years,Bladder cancer,0.1851417290739201
1980,20-24 years,Brain and central nervous system cancer,3.3296593692072545
1980,20-24 years,Breast cancer,0.7722777814386226
1980,20-24 years,Cervical cancer,1.744537174290106
1980,20-24 years,Colon and rectum cancer,2.2686649935573744
1980,20-24 years,Esophageal cancer,0.1571670434718188
1980,20-24 years,Eye cancer,0.0536707494825059
1980,20-24 years,Gallbladder and biliary tract cancer,0.0943831414994907
1980,20-24 years,Kidney cancer,0.23448330792065508
1980,20-24 years,Larynx cancer,0.2326444121055477
1980,20-24 years,Lip and oral cavity cancer,0.8801059284327595
1980,20-24 years,Liver cancer,0.4582888929924805
1980,20-24 years,Nasopharynx cancer,0.2916666447134023
1980,20-24 years,Non-melanoma skin cancer,0.35332295764154875
1980,20-24 years,Other pharynx cancer,0.1293169160787015
1980,20-24 years,Ovarian cancer,0.6069376904379159
1980,20-24 years,Pancreatic cancer,0.3598628351466347
1980,20-24 years,Prostate cancer,0.3699806864194166
1980,20-24 years,Stomach cancer,5.887831911329742
1980,20-24 years,Testicular cancer,1.231579213648709
1980,20-24 years,Thyroid cancer,0.37208804936332407
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.4434798429157634
1980,20-24 years,Uterine cancer,0.2017827614601914
1980,25-29 years,Bladder cancer,0.3418662118932702
1980,25-29 years,Brain and central nervous system cancer,4.850228881803149
1980,25-29 years,Breast cancer,3.286608314708861
1980,25-29 years,Cervical cancer,6.038328511504735
1980,25-29 years,Colon and rectum cancer,4.944627225509354
1980,25-29 years,Esophageal cancer,0.22854820560105502
1980,25-29 years,Eye cancer,0.11628812053453749
1980,25-29 years,Gallbladder and biliary tract cancer,0.1818876985990312
