year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,5.51067980436963
1980,10-14 years,Eye cancer,0.0959734870291232
1980,10-14 years,Kidney cancer,0.678594324696343
1980,10-14 years,Liver cancer,0.6174069750012594
1980,10-14 years,Nasopharynx cancer,0.19325585691674899
1980,10-14 years,Thyroid cancer,0.2970794694463375
1980,15-19 years,Bladder cancer,0.0960446150051237
1980,15-19 years,Brain and central nervous system cancer,2.952317574449812
1980,15-19 years,Breast cancer,0.2981298772635537
1980,15-19 years,Cervical cancer,1.9988178516692443
1980,15-19 years,Colon and rectum cancer,1.1304425336788908
1980,15-19 years,Eye cancer,0.0350883819074292
1980,15-19 years,Kidney cancer,0.4765502528290115
1980,15-19 years,Lip and oral cavity cancer,0.2329962712851855
1980,15-19 years,Liver cancer,0.7408831975546415
1980,15-19 years,Nasopharynx cancer,0.2125183108614027
1980,15-19 years,Ovarian cancer,0.4351627002920125
1980,15-19 years,Pancreatic cancer,0.19901529041425509
1980,15-19 years,Stomach cancer,3.462867514171755
1980,15-19 years,Testicular cancer,0.6954825980875111
1980,15-19 years,Thyroid cancer,0.278740902574711
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.354570352262174
1980,20-24 years,Bladder cancer,0.10937445372862589
1980,20-24 years,Brain and central nervous system cancer,2.5651008013313117
1980,20-24 years,Breast cancer,0.6976930960092056
1980,20-24 years,Cervical cancer,4.1754249524341525
1980,20-24 years,Colon and rectum cancer,1.6260843211914269
1980,20-24 years,Esophageal cancer,0.239902823952877
1980,20-24 years,Eye cancer,0.1181574951038831
1980,20-24 years,Gallbladder and biliary tract cancer,0.3851724243840444
1980,20-24 years,Kidney cancer,0.5237209607918165
1980,20-24 years,Larynx cancer,0.2224158540804209
1980,20-24 years,Lip and oral cavity cancer,0.2830506176800076
1980,20-24 years,Liver cancer,0.7896096405114401
1980,20-24 years,Nasopharynx cancer,0.1686297115496355
1980,20-24 years,Non-melanoma skin cancer,0.1741914609974258
1980,20-24 years,Other pharynx cancer,0.08363526236753499
1980,20-24 years,Ovarian cancer,0.4157991806657855
1980,20-24 years,Pancreatic cancer,0.37791483387875136
1980,20-24 years,Prostate cancer,0.1167453465550788
1980,20-24 years,Stomach cancer,6.399774668370295
1980,20-24 years,Testicular cancer,1.3310546599639803
1980,20-24 years,Thyroid cancer,0.4522039333479247
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.350783456206123
1980,20-24 years,Uterine cancer,0.2299979883569092
1980,25-29 years,Bladder cancer,0.1790683059064152
1980,25-29 years,Brain and central nervous system cancer,2.752920468641138
1980,25-29 years,Breast cancer,2.2755562258024136
1980,25-29 years,Cervical cancer,9.576046456599084
1980,25-29 years,Colon and rectum cancer,3.1026698163387607
1980,25-29 years,Esophageal cancer,0.32824222283684046
1980,25-29 years,Eye cancer,0.062657467415751
1980,25-29 years,Gallbladder and biliary tract cancer,0.7459922384723863
1980,25-29 years,Kidney cancer,0.6402166285243176
1980,25-29 years,Larynx cancer,0.2878391310428046
1980,25-29 years,Lip and oral cavity cancer,0.4251029490840929
1980,25-29 years,Liver cancer,0.9963164863394872
1980,25-29 years,Nasopharynx cancer,0.1556748511361358
1980,25-29 years,Non-melanoma skin cancer,0.19976867249744168
1980,25-29 years,Other pharynx cancer,0.0850511992088662
1980,25-29 years,Ovarian cancer,0.5246960001858181
1980,25-29 years,Pancreatic cancer,0.5470689025838066
1980,25-29 years,Prostate cancer,0.1161635831973354
1980,25-29 years,Stomach cancer,12.217009197220513
1980,25-29 years,Testicular cancer,1.568688355741004
1980,25-29 years,Thyroid cancer,0.5394587760589966
1980,25-29 years,"Tracheal, bronchus, and lung cancer",2.0088780696207813
1980,25-29 years,Uterine cancer,0.5301895038754186
1980,30-34 years,Bladder cancer,0.3313333198880942
1980,30-34 years,Brain and central nervous system cancer,2.8233774834990877
1980,30-34 years,Breast cancer,5.828316515963158
1980,30-34 years,Cervical cancer,19.940653704953814
1980,30-34 years,Colon and rectum cancer,4.438839107975238
1980,30-34 years,Esophageal cancer,0.6019352857700357
1980,30-34 years,Eye cancer,0.1049895498918899
1980,30-34 years,Gallbladder and biliary tract cancer,1.248782751224711
1980,30-34 years,Kidney cancer,0.6893762974539817
1980,30-34 years,Larynx cancer,0.3753204153282371
1980,30-34 years,Lip and oral cavity cancer,0.6513586387896084
1980,30-34 years,Liver cancer,1.3854728790310031
1980,30-34 years,Nasopharynx cancer,0.2059075113407406
1980,30-34 years,Non-melanoma skin cancer,0.1875967352267707
1980,30-34 years,Other pharynx cancer,0.1486663766869676
1980,30-34 years,Ovarian cancer,0.6594569404674677
1980,30-34 years,Pancreatic cancer,1.0609372469987037
1980,30-34 years,Prostate cancer,0.142036326459648
1980,30-34 years,Stomach cancer,19.64644145935475
1980,30-34 years,Testicular cancer,1.2105266820410454
1980,30-34 years,Thyroid cancer,0.6409789530848145
