year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,8.470704629196117
1980,10-14 years,Eye cancer,0.046646909351019894
1980,10-14 years,Kidney cancer,0.1878129231942024
1980,10-14 years,Liver cancer,0.5078709198887466
1980,10-14 years,Nasopharynx cancer,0.0520239897604772
1980,10-14 years,Thyroid cancer,0.052631215882697396
1980,15-19 years,Bladder cancer,0.0506947478545427
1980,15-19 years,Brain and central nervous system cancer,6.552809645901209
1980,15-19 years,Breast cancer,0.1221231330456058
1980,15-19 years,Cervical cancer,0.1518019263035876
1980,15-19 years,Colon and rectum cancer,0.7812210357975113
1980,15-19 years,Eye cancer,0.0474650916457319
1980,15-19 years,Kidney cancer,0.1314328964309863
1980,15-19 years,Lip and oral cavity cancer,0.1272718280843402
1980,15-19 years,Liver cancer,0.8741432444294288
1980,15-19 years,Nasopharynx cancer,0.0840986896869175
1980,15-19 years,Ovarian cancer,0.4347851365205095
1980,15-19 years,Pancreatic cancer,0.1384440662124229
1980,15-19 years,Stomach cancer,0.5614111134293119
1980,15-19 years,Testicular cancer,0.4461381622510728
1980,15-19 years,Thyroid cancer,0.0896870955043036
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.0203420549303175
1980,20-24 years,Bladder cancer,0.060337774259751
1980,20-24 years,Brain and central nervous system cancer,6.482680566041461
1980,20-24 years,Breast cancer,0.3089143920413019
1980,20-24 years,Cervical cancer,0.7470963689122074
1980,20-24 years,Colon and rectum cancer,1.57689367506983
1980,20-24 years,Esophageal cancer,0.1539635117008465
1980,20-24 years,Eye cancer,0.052369897350965394
1980,20-24 years,Gallbladder and biliary tract cancer,0.1262376947576076
1980,20-24 years,Kidney cancer,0.1616628966447614
1980,20-24 years,Larynx cancer,0.14979679396044002
1980,20-24 years,Lip and oral cavity cancer,0.1822043719809851
1980,20-24 years,Liver cancer,1.2861313945148936
1980,20-24 years,Nasopharynx cancer,0.0867142370613434
1980,20-24 years,Non-melanoma skin cancer,0.0812927171338999
