year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,155.6727587176548
1980,10-14 years,Eye cancer,2.3155069088146307
1980,10-14 years,Kidney cancer,13.247700719511442
1980,10-14 years,Liver cancer,6.756031650124008
1980,10-14 years,Nasopharynx cancer,4.645497799247003
1980,10-14 years,Thyroid cancer,4.2414512556614525
1980,15-19 years,Bladder cancer,1.8118843755971392
1980,15-19 years,Brain and central nervous system cancer,101.44595698320015
1980,15-19 years,Breast cancer,12.300874250902027
1980,15-19 years,Cervical cancer,19.751092564970502
1980,15-19 years,Colon and rectum cancer,23.602612132986224
1980,15-19 years,Eye cancer,1.7012517015073356
1980,15-19 years,Kidney cancer,7.134213737060393
1980,15-19 years,Lip and oral cavity cancer,4.054933934149872
1980,15-19 years,Liver cancer,7.427014494098186
1980,15-19 years,Nasopharynx cancer,5.585353585048098
1980,15-19 years,Ovarian cancer,17.57366780050726
1980,15-19 years,Pancreatic cancer,4.099277194661393
1980,15-19 years,Stomach cancer,24.65834686674968
1980,15-19 years,Testicular cancer,13.53179724919413
1980,15-19 years,Thyroid cancer,3.1671308975588115
1980,15-19 years,"Tracheal, bronchus, and lung cancer",20.425491980198093
1980,20-24 years,Bladder cancer,2.3711215360759343
1980,20-24 years,Brain and central nervous system cancer,105.27079333263183
1980,20-24 years,Breast cancer,24.928920956007055
1980,20-24 years,Cervical cancer,51.01864325453385
1980,20-24 years,Colon and rectum cancer,49.21312805492146
1980,20-24 years,Esophageal cancer,9.60670339461571
1980,20-24 years,Eye cancer,1.2053178927943302
1980,20-24 years,Gallbladder and biliary tract cancer,4.862552289838454
1980,20-24 years,Kidney cancer,7.9264051198274235
1980,20-24 years,Larynx cancer,4.136474691149447
1980,20-24 years,Lip and oral cavity cancer,6.41919239382883
1980,20-24 years,Liver cancer,10.62895947940725
1980,20-24 years,Nasopharynx cancer,5.046659219914538
1980,20-24 years,Non-melanoma skin cancer,4.86365097846082
1980,20-24 years,Other pharynx cancer,3.1966250718498768
1980,20-24 years,Ovarian cancer,21.733248903490168
1980,20-24 years,Pancreatic cancer,7.651744931697763
1980,20-24 years,Prostate cancer,2.68388134457418
1980,20-24 years,Stomach cancer,51.78078080179359
1980,20-24 years,Testicular cancer,28.56565076556035
1980,20-24 years,Thyroid cancer,4.1196983652665145
1980,20-24 years,"Tracheal, bronchus, and lung cancer",32.418278882495116
1980,20-24 years,Uterine cancer,3.907902382869706
1980,25-29 years,Bladder cancer,4.273089362987635
1980,25-29 years,Brain and central nervous system cancer,107.87430305464223
1980,25-29 years,Breast cancer,74.53791816757284
1980,25-29 years,Cervical cancer,127.2339962246768
1980,25-29 years,Colon and rectum cancer,73.62236799636747
1980,25-29 years,Esophageal cancer,17.498280627158337
1980,25-29 years,Eye cancer,1.7542642912943864
1980,25-29 years,Gallbladder and biliary tract cancer,9.559930583849958
1980,25-29 years,Kidney cancer,9.478048508010952
1980,25-29 years,Larynx cancer,6.034140175134944
1980,25-29 years,Lip and oral cavity cancer,9.646549416398912
1980,25-29 years,Liver cancer,16.739583581587553
1980,25-29 years,Nasopharynx cancer,4.05843161298335
1980,25-29 years,Non-melanoma skin cancer,6.0144675252538615
1980,25-29 years,Other pharynx cancer,4.106884522331853
1980,25-29 years,Ovarian cancer,30.67245930170572
1980,25-29 years,Pancreatic cancer,13.853337186132617
1980,25-29 years,Prostate cancer,2.679820108297948
1980,25-29 years,Stomach cancer,116.11061773783894
1980,25-29 years,Testicular cancer,30.862366335111144
1980,25-29 years,Thyroid cancer,5.685594202121865
1980,25-29 years,"Tracheal, bronchus, and lung cancer",43.72675977400925
1980,25-29 years,Uterine cancer,8.673586672833851
1980,30-34 years,Bladder cancer,7.310478491960298
1980,30-34 years,Brain and central nervous system cancer,115.68045480899308
1980,30-34 years,Breast cancer,194.92132013850076
1980,30-34 years,Cervical cancer,256.55131927915784
1980,30-34 years,Colon and rectum cancer,104.55701945344903
1980,30-34 years,Esophageal cancer,37.99850533628493
1980,30-34 years,Eye cancer,1.8626120649670188
1980,30-34 years,Gallbladder and biliary tract cancer,19.307901322926853
1980,30-34 years,Kidney cancer,13.747046952384064
1980,30-34 years,Larynx cancer,10.920570439235389
1980,30-34 years,Lip and oral cavity cancer,16.5247481517676
1980,30-34 years,Liver cancer,22.334924274826793
1980,30-34 years,Nasopharynx cancer,4.730952302179002
1980,30-34 years,Non-melanoma skin cancer,7.919818222240599
1980,30-34 years,Other pharynx cancer,8.335957348630401
1980,30-34 years,Ovarian cancer,38.30576409783608
1980,30-34 years,Pancreatic cancer,29.35990534811269
1980,30-34 years,Prostate cancer,4.25896925109665
1980,30-34 years,Stomach cancer,213.50498054598617
1980,30-34 years,Testicular cancer,22.82014215085574
1980,30-34 years,Thyroid cancer,6.646168129506469
1980,30-34 years,"Tracheal, bronchus, and lung cancer",88.58051082923164
1980,30-34 years,Uterine cancer,7.46516795455959
1980,35-39 years,Bladder cancer,12.519991266348235
1980,35-39 years,Brain and central nervous system cancer,130.65202582995136
1980,35-39 years,Breast cancer,361.2698108560227
1980,35-39 years,Cervical cancer,432.6094544416483
1980,35-39 years,Colon and rectum cancer,147.3756312533087
1980,35-39 years,Esophageal cancer,78.48699697680563
1980,35-39 years,Eye cancer,2.8881311771082943
1980,35-39 years,Gallbladder and biliary tract cancer,37.39911022549889
1980,35-39 years,Kidney cancer,22.747854481381083
1980,35-39 years,Larynx cancer,32.918859923809244
1980,35-39 years,Lip and oral cavity cancer,42.0109510920956
1980,35-39 years,Liver cancer,31.675306646350876
1980,35-39 years,Nasopharynx cancer,7.373036200855074
1980,35-39 years,Non-melanoma skin cancer,12.771665392179973
1980,35-39 years,Other pharynx cancer,21.041760033590915
1980,35-39 years,Ovarian cancer,55.349048146287295
1980,35-39 years,Pancreatic cancer,53.002726076701514
1980,35-39 years,Prostate cancer,7.924223597071653
1980,35-39 years,Stomach cancer,344.765022005937
1980,35-39 years,Testicular cancer,17.488867723067823
1980,35-39 years,Thyroid cancer,9.82587348228552
1980,35-39 years,"Tracheal, bronchus, and lung cancer",167.19151082353417
1980,35-39 years,Uterine cancer,11.91524406776408
1980,40-44 years,Bladder cancer,27.24877573713821
1980,40-44 years,Brain and central nervous system cancer,168.324884349258
1980,40-44 years,Breast cancer,549.4826426288156
1980,40-44 years,Cervical cancer,630.8939398482535
1980,40-44 years,Colon and rectum cancer,225.75259593932992
1980,40-44 years,Esophageal cancer,217.5138580803332
1980,40-44 years,Eye cancer,3.5439223550382053
1980,40-44 years,Gallbladder and biliary tract cancer,66.49551613018794
1980,40-44 years,Kidney cancer,35.119899647223505
1980,40-44 years,Larynx cancer,83.42886487032176
1980,40-44 years,Lip and oral cavity cancer,95.68488253694689
1980,40-44 years,Liver cancer,57.26693253854296
1980,40-44 years,Nasopharynx cancer,13.750898663672267
1980,40-44 years,Non-melanoma skin cancer,21.353659579281892
1980,40-44 years,Other pharynx cancer,58.987024411630834
1980,40-44 years,Ovarian cancer,85.99603952281667
1980,40-44 years,Pancreatic cancer,105.42897893890644
1980,40-44 years,Prostate cancer,15.963524918203246
1980,40-44 years,Stomach cancer,595.5275708543843
1980,40-44 years,Testicular cancer,14.810851906131797
1980,40-44 years,Thyroid cancer,17.274125815821645
1980,40-44 years,"Tracheal, bronchus, and lung cancer",328.2797206015325
1980,40-44 years,Uterine cancer,21.55740273730732
1980,45-49 years,Bladder cancer,48.07704832828188
1980,45-49 years,Brain and central nervous system cancer,181.9422729057288
1980,45-49 years,Breast cancer,632.8003334412087
1980,45-49 years,Cervical cancer,657.6577033821611
1980,45-49 years,Colon and rectum cancer,326.18374007588807
1980,45-49 years,Esophageal cancer,400.93159629943045
1980,45-49 years,Eye cancer,4.80323964950907
1980,45-49 years,Gallbladder and biliary tract cancer,105.7126342262238
1980,45-49 years,Kidney cancer,49.68911041792836
1980,45-49 years,Larynx cancer,172.4072034991951
1980,45-49 years,Lip and oral cavity cancer,172.8302703436456
1980,45-49 years,Liver cancer,81.95085500938475
1980,45-49 years,Nasopharynx cancer,18.760490050397404
1980,45-49 years,Non-melanoma skin cancer,31.257242555217797
1980,45-49 years,Other pharynx cancer,108.25691579285716
1980,45-49 years,Ovarian cancer,119.4004302950142
1980,45-49 years,Pancreatic cancer,158.41504276133173
1980,45-49 years,Prostate cancer,39.71349716823867
1980,45-49 years,Stomach cancer,872.8525812446812
1980,45-49 years,Testicular cancer,9.660787322778038
1980,45-49 years,Thyroid cancer,24.963469001349974
1980,45-49 years,"Tracheal, bronchus, and lung cancer",630.6521784649509
1980,45-49 years,Uterine cancer,63.94408974553132
1980,5-9 years,Brain and central nervous system cancer,221.14432916525908
1980,5-9 years,Eye cancer,15.363550639582977
1980,5-9 years,Kidney cancer,45.11346508444568
1980,5-9 years,Liver cancer,11.50386172140518
1980,5-9 years,Nasopharynx cancer,3.0699005426245556
1980,5-9 years,Thyroid cancer,3.592781845319994
1980,50-54 years,Bladder cancer,81.94200704655285
1980,50-54 years,Brain and central nervous system cancer,185.941681568477
1980,50-54 years,Breast cancer,760.4994397406404
1980,50-54 years,Cervical cancer,693.9401829126397
1980,50-54 years,Colon and rectum cancer,439.9567313883142
1980,50-54 years,Esophageal cancer,594.9218792136733
1980,50-54 years,Eye cancer,5.820045321867328
1980,50-54 years,Gallbladder and biliary tract cancer,167.1315368036366
1980,50-54 years,Kidney cancer,72.155935898591
1980,50-54 years,Larynx cancer,276.30952311143164
1980,50-54 years,Lip and oral cavity cancer,234.3322784250213
1980,50-54 years,Liver cancer,115.16155524534388
1980,50-54 years,Nasopharynx cancer,24.476332783304308
1980,50-54 years,Non-melanoma skin cancer,39.020163193007456
1980,50-54 years,Other pharynx cancer,144.73991306082428
1980,50-54 years,Ovarian cancer,166.02400800630957
1980,50-54 years,Pancreatic cancer,262.11204914200414
1980,50-54 years,Prostate cancer,98.39983818763758
1980,50-54 years,Stomach cancer,1297.2643207367662
1980,50-54 years,Testicular cancer,6.007897247475712
1980,50-54 years,Thyroid cancer,39.66841257694261
1980,50-54 years,"Tracheal, bronchus, and lung cancer",1036.2853449865595
1980,50-54 years,Uterine cancer,88.72789441949848
1980,55-59 years,Bladder cancer,122.88538482642569
1980,55-59 years,Brain and central nervous system cancer,200.0160699151159
1980,55-59 years,Breast cancer,702.1722302086417
1980,55-59 years,Cervical cancer,623.5210145282128
1980,55-59 years,Colon and rectum cancer,541.9629148792574
1980,55-59 years,Esophageal cancer,689.0745233313492
1980,55-59 years,Eye cancer,6.969718654469252
1980,55-59 years,Gallbladder and biliary tract cancer,219.10949631979662
1980,55-59 years,Kidney cancer,86.93585738358792
1980,55-59 years,Larynx cancer,303.1783994853767
1980,55-59 years,Lip and oral cavity cancer,230.67631816482915
1980,55-59 years,Liver cancer,135.91364551809798
1980,55-59 years,Nasopharynx cancer,24.941289185794712
1980,55-59 years,Non-melanoma skin cancer,42.7420508257635
1980,55-59 years,Other pharynx cancer,147.92892943156784
1980,55-59 years,Ovarian cancer,160.74980195510943
1980,55-59 years,Pancreatic cancer,315.47883471646924
1980,55-59 years,Prostate cancer,184.1610188345122
1980,55-59 years,Stomach cancer,1528.123839047429
