year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1885.5888464528452
1980,10-14 years,Eye cancer,6.164603877876937
1980,10-14 years,Kidney cancer,118.0565157238973
1980,10-14 years,Liver cancer,394.5614820790504
1980,10-14 years,Nasopharynx cancer,199.04856233105642
1980,10-14 years,Thyroid cancer,35.94056794764377
1980,15-19 years,Bladder cancer,46.3002575895097
1980,15-19 years,Brain and central nervous system cancer,1199.9314427764489
1980,15-19 years,Breast cancer,67.22264982719156
1980,15-19 years,Cervical cancer,110.4121884129462
1980,15-19 years,Colon and rectum cancer,680.9287455542744
1980,15-19 years,Eye cancer,3.048042835825523
1980,15-19 years,Kidney cancer,59.692289433594034
1980,15-19 years,Lip and oral cavity cancer,47.12332096273617
1980,15-19 years,Liver cancer,424.1325503548894
1980,15-19 years,Nasopharynx cancer,427.9697278445807
1980,15-19 years,Ovarian cancer,100.96179145331318
1980,15-19 years,Pancreatic cancer,60.201190612069354
1980,15-19 years,Stomach cancer,575.8920649354638
1980,15-19 years,Testicular cancer,57.9582839915333
1980,15-19 years,Thyroid cancer,29.015009284222465
1980,15-19 years,"Tracheal, bronchus, and lung cancer",495.812753580872
1980,20-24 years,Bladder cancer,43.20289047899665
1980,20-24 years,Brain and central nervous system cancer,737.5876881717411
1980,20-24 years,Breast cancer,133.63358209410939
1980,20-24 years,Cervical cancer,220.10487411241573
1980,20-24 years,Colon and rectum cancer,749.7633604962009
1980,20-24 years,Esophageal cancer,210.29206388976516
1980,20-24 years,Eye cancer,4.014880946142054
1980,20-24 years,Gallbladder and biliary tract cancer,31.385740596419794
1980,20-24 years,Kidney cancer,65.20632663975256
1980,20-24 years,Larynx cancer,27.812924014159428
1980,20-24 years,Lip and oral cavity cancer,43.35020022892016
1980,20-24 years,Liver cancer,638.5764303867273
1980,20-24 years,Nasopharynx cancer,363.58615779072915
1980,20-24 years,Non-melanoma skin cancer,34.09080847582891
1980,20-24 years,Other pharynx cancer,11.700239477785097
1980,20-24 years,Ovarian cancer,100.74563914177294
1980,20-24 years,Pancreatic cancer,79.4285078951842
1980,20-24 years,Prostate cancer,10.506447924298618
1980,20-24 years,Stomach cancer,953.6254072165625
1980,20-24 years,Testicular cancer,52.21581703461601
1980,20-24 years,Thyroid cancer,30.0506215249047
1980,20-24 years,"Tracheal, bronchus, and lung cancer",497.4169724783442
1980,20-24 years,Uterine cancer,54.95554983199092
1980,25-29 years,Bladder cancer,82.3867563985417
1980,25-29 years,Brain and central nervous system cancer,891.2795250801964
1980,25-29 years,Breast cancer,552.9222458498793
1980,25-29 years,Cervical cancer,695.638823209989
1980,25-29 years,Colon and rectum cancer,1382.250842110972
1980,25-29 years,Esophageal cancer,389.9901115164557
1980,25-29 years,Eye cancer,5.996059231423342
1980,25-29 years,Gallbladder and biliary tract cancer,65.45472521100419
1980,25-29 years,Kidney cancer,98.41773360802966
1980,25-29 years,Larynx cancer,50.84556350396865
1980,25-29 years,Lip and oral cavity cancer,72.81004749003051
1980,25-29 years,Liver cancer,1622.4535401206972
1980,25-29 years,Nasopharynx cancer,694.8159357979234
1980,25-29 years,Non-melanoma skin cancer,56.96085982804848
1980,25-29 years,Other pharynx cancer,18.079031554725702
1980,25-29 years,Ovarian cancer,151.45802098154454
1980,25-29 years,Pancreatic cancer,172.6559673752831
1980,25-29 years,Prostate cancer,15.61930606280137
1980,25-29 years,Stomach cancer,2313.7434164940228
1980,25-29 years,Testicular cancer,81.21262856435447
1980,25-29 years,Thyroid cancer,51.66658608767733
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1050.7614202493578
1980,25-29 years,Uterine cancer,131.76318287643474
1980,30-34 years,Bladder cancer,131.7338714973218
1980,30-34 years,Brain and central nervous system cancer,921.2621076633511
1980,30-34 years,Breast cancer,1174.266414952389
1980,30-34 years,Cervical cancer,1185.435497957142
1980,30-34 years,Colon and rectum cancer,2001.7544708375433
