year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,2.0373844471057234
1980,10-14 years,Eye cancer,0.014882751713651901
1980,10-14 years,Kidney cancer,0.10655848291969
1980,10-14 years,Liver cancer,0.2025588884576993
1980,10-14 years,Nasopharynx cancer,0.15373021771310422
1980,10-14 years,Thyroid cancer,0.05963916135130411
1980,15-19 years,Bladder cancer,0.0291129651599844
1980,15-19 years,Brain and central nervous system cancer,1.1825167240976586
1980,15-19 years,Breast cancer,0.064253068471411
1980,15-19 years,Cervical cancer,0.3272716379656859
1980,15-19 years,Colon and rectum cancer,0.34896249617286423
1980,15-19 years,Eye cancer,0.012383063893099101
1980,15-19 years,Kidney cancer,0.0714242611908257
1980,15-19 years,Lip and oral cavity cancer,0.1082406428853951
1980,15-19 years,Liver cancer,0.2414527586959439
1980,15-19 years,Nasopharynx cancer,0.1952280545179038
1980,15-19 years,Ovarian cancer,0.1910638859679246
1980,15-19 years,Pancreatic cancer,0.0834930993786478
1980,15-19 years,Stomach cancer,0.8823202633348701
1980,15-19 years,Testicular cancer,0.3369525915964934
1980,15-19 years,Thyroid cancer,0.09160287555093341
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.2070753765517804
1980,20-24 years,Bladder cancer,0.050163486277106706
1980,20-24 years,Brain and central nervous system cancer,1.0288423308011774
1980,20-24 years,Breast cancer,0.18703281525541068
1980,20-24 years,Cervical cancer,0.9762986001261462
1980,20-24 years,Colon and rectum cancer,0.6511289277329886
1980,20-24 years,Esophageal cancer,0.0663299325260063
1980,20-24 years,Eye cancer,0.026083417831167202
1980,20-24 years,Gallbladder and biliary tract cancer,0.0898100571098881
1980,20-24 years,Kidney cancer,0.0943272327674639
1980,20-24 years,Larynx cancer,0.0537847509120427
1980,20-24 years,Lip and oral cavity cancer,0.1472402629971656
1980,20-24 years,Liver cancer,0.3256563479390387
1980,20-24 years,Nasopharynx cancer,0.1728746193333225
1980,20-24 years,Non-melanoma skin cancer,0.0726870377263395
1980,20-24 years,Other pharynx cancer,0.045564380228169096
1980,20-24 years,Ovarian cancer,0.2154681406378722
1980,20-24 years,Pancreatic cancer,0.1363111753140117
1980,20-24 years,Prostate cancer,0.0184569467117001
1980,20-24 years,Stomach cancer,1.8960268557787598
1980,20-24 years,Testicular cancer,0.715883212453002
1980,20-24 years,Thyroid cancer,0.1376917042900484
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.33428434355438097
1980,20-24 years,Uterine cancer,0.0483925175413632
1980,25-29 years,Bladder cancer,0.0677828806208712
1980,25-29 years,Brain and central nervous system cancer,1.1594921090639376
1980,25-29 years,Breast cancer,0.7944249802315193
1980,25-29 years,Cervical cancer,2.5129678004732656
1980,25-29 years,Colon and rectum cancer,1.1443476442925717
1980,25-29 years,Esophageal cancer,0.1158796663898428
1980,25-29 years,Eye cancer,0.0373749776413598
