year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,11.086356687381114
1980,10-14 years,Eye cancer,0.0978850764122525
1980,10-14 years,Kidney cancer,1.551715215664434
1980,10-14 years,Liver cancer,0.47394676084559906
1980,10-14 years,Nasopharynx cancer,0.37838463196765737
1980,10-14 years,Thyroid cancer,0.1839402761102475
1980,15-19 years,Bladder cancer,0.16067977865162508
1980,15-19 years,Brain and central nervous system cancer,9.371141533697896
1980,15-19 years,Breast cancer,1.009490837168511
1980,15-19 years,Cervical cancer,1.2555301788238191
1980,15-19 years,Colon and rectum cancer,2.7361188885248477
1980,15-19 years,Eye cancer,0.060555199034860396
1980,15-19 years,Kidney cancer,1.6996870952762366
1980,15-19 years,Lip and oral cavity cancer,0.8851581219241231
1980,15-19 years,Liver cancer,0.5743420869302761
1980,15-19 years,Nasopharynx cancer,0.6761206476442905
1980,15-19 years,Ovarian cancer,0.745959249721114
1980,15-19 years,Pancreatic cancer,0.5325444677043569
1980,15-19 years,Stomach cancer,1.3268008551036854
1980,15-19 years,Testicular cancer,0.2853175388053347
1980,15-19 years,Thyroid cancer,0.40855334581703884
1980,15-19 years,"Tracheal, bronchus, and lung cancer",4.2563876667368
1980,20-24 years,Bladder cancer,0.2276191193640266
1980,20-24 years,Brain and central nervous system cancer,5.8964335234466425
1980,20-24 years,Breast cancer,1.5204448529984094
1980,20-24 years,Cervical cancer,3.069951886175884
1980,20-24 years,Colon and rectum cancer,3.105023417255775
1980,20-24 years,Esophageal cancer,0.4717226833063013
1980,20-24 years,Eye cancer,0.1046975035848243
1980,20-24 years,Gallbladder and biliary tract cancer,0.1652348089346133
1980,20-24 years,Kidney cancer,1.4932526587501922
1980,20-24 years,Larynx cancer,0.5773093683114987
1980,20-24 years,Lip and oral cavity cancer,0.746341077677089
1980,20-24 years,Liver cancer,0.822731983851626
1980,20-24 years,Nasopharynx cancer,0.4592557033690171
1980,20-24 years,Non-melanoma skin cancer,0.32616669193715353
1980,20-24 years,Other pharynx cancer,0.39091567752299217
1980,20-24 years,Ovarian cancer,0.7511843137912183
1980,20-24 years,Pancreatic cancer,0.5937272927520534
1980,20-24 years,Prostate cancer,0.0951125175942642
1980,20-24 years,Stomach cancer,1.8219411044288418
1980,20-24 years,Testicular cancer,0.3046279776945429
1980,20-24 years,Thyroid cancer,0.3794829441867465
1980,20-24 years,"Tracheal, bronchus, and lung cancer",3.3574032827128923
1980,20-24 years,Uterine cancer,0.8385436950831836
1980,25-29 years,Bladder cancer,0.2604014300263427
1980,25-29 years,Brain and central nervous system cancer,6.601442144562072
1980,25-29 years,Breast cancer,5.067222705797599
1980,25-29 years,Cervical cancer,7.880458854590261
1980,25-29 years,Colon and rectum cancer,4.645462841622394
1980,25-29 years,Esophageal cancer,0.6668826643268497
1980,25-29 years,Eye cancer,0.195737014422512
1980,25-29 years,Gallbladder and biliary tract cancer,0.3132894361513817
1980,25-29 years,Kidney cancer,1.689995611602092
1980,25-29 years,Larynx cancer,0.5782975237425487
1980,25-29 years,Lip and oral cavity cancer,1.1006459656699739
1980,25-29 years,Liver cancer,1.0213160614340249
1980,25-29 years,Nasopharynx cancer,0.478762749070051
1980,25-29 years,Non-melanoma skin cancer,0.7534722964168807
1980,25-29 years,Other pharynx cancer,0.4155644139960002
1980,25-29 years,Ovarian cancer,0.8780890238670247
1980,25-29 years,Pancreatic cancer,0.9870792769580501
1980,25-29 years,Prostate cancer,0.1875955109612969
1980,25-29 years,Stomach cancer,3.5760962784450365
1980,25-29 years,Testicular cancer,0.42387933021982
1980,25-29 years,Thyroid cancer,0.5100843827850554
1980,25-29 years,"Tracheal, bronchus, and lung cancer",4.750603222365326
1980,25-29 years,Uterine cancer,1.6924595358772518
1980,30-34 years,Bladder cancer,0.8446363237377139
1980,30-34 years,Brain and central nervous system cancer,8.21098561377679
1980,30-34 years,Breast cancer,16.868862464951246
1980,30-34 years,Cervical cancer,18.42495331851523
1980,30-34 years,Colon and rectum cancer,10.337366346663895
1980,30-34 years,Esophageal cancer,1.2469678809812161
1980,30-34 years,Eye cancer,0.2863080002360908
1980,30-34 years,Gallbladder and biliary tract cancer,0.6290507732505257
1980,30-34 years,Kidney cancer,2.0401102335876877
1980,30-34 years,Larynx cancer,0.9827737689989757
1980,30-34 years,Lip and oral cavity cancer,1.770639171892702
1980,30-34 years,Liver cancer,1.4357889866904268
1980,30-34 years,Nasopharynx cancer,0.5500600474388642
1980,30-34 years,Non-melanoma skin cancer,1.1241479970327655
1980,30-34 years,Other pharynx cancer,0.6636904711989426
1980,30-34 years,Ovarian cancer,1.4789123522025849
1980,30-34 years,Pancreatic cancer,2.034744634068971
1980,30-34 years,Prostate cancer,0.3031095765577785
1980,30-34 years,Stomach cancer,6.911863859179637
1980,30-34 years,Testicular cancer,0.3038009611279009
1980,30-34 years,Thyroid cancer,0.5866704523356692
1980,30-34 years,"Tracheal, bronchus, and lung cancer",12.163969551528139
1980,30-34 years,Uterine cancer,3.701197039191688
1980,35-39 years,Bladder cancer,1.2828293075990767
1980,35-39 years,Brain and central nervous system cancer,13.154860935334577
1980,35-39 years,Breast cancer,31.030731796877834
1980,35-39 years,Cervical cancer,30.20429583476357
1980,35-39 years,Colon and rectum cancer,16.189185582175714
1980,35-39 years,Esophageal cancer,3.0208641898038007
