year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.5421999188992015
1980,10-14 years,Eye cancer,0.0019333460414467998
1980,10-14 years,Kidney cancer,0.0104337118900406
1980,10-14 years,Liver cancer,0.0152916096875611
1980,10-14 years,Nasopharynx cancer,0.0076934042489339004
1980,10-14 years,Thyroid cancer,0.0076637722470602
1980,15-19 years,Bladder cancer,0.005508665583298
1980,15-19 years,Brain and central nervous system cancer,0.43171593373209627
1980,15-19 years,Breast cancer,0.0121643222805774
1980,15-19 years,Cervical cancer,0.0187089611656568
1980,15-19 years,Colon and rectum cancer,0.0428832505341218
1980,15-19 years,Eye cancer,0.0023714405192614
1980,15-19 years,Kidney cancer,0.0085883372210685
1980,15-19 years,Lip and oral cavity cancer,0.010554173183784599
1980,15-19 years,Liver cancer,0.0272343903986607
1980,15-19 years,Nasopharynx cancer,0.012287795053639
1980,15-19 years,Ovarian cancer,0.034526381276772
1980,15-19 years,Pancreatic cancer,0.0093356265595986
1980,15-19 years,Stomach cancer,0.0236047885667868
1980,15-19 years,Testicular cancer,0.0477256789275313
1980,15-19 years,Thyroid cancer,0.0171420282533013
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.025308602391838398
1980,20-24 years,Bladder cancer,0.0081735102790237
1980,20-24 years,Brain and central nervous system cancer,0.4136303697578573
1980,20-24 years,Breast cancer,0.043071214026550696
1980,20-24 years,Cervical cancer,0.0896257615309638
1980,20-24 years,Colon and rectum cancer,0.08383890228410401
1980,20-24 years,Esophageal cancer,0.0031972251643166
1980,20-24 years,Eye cancer,0.004236049624016899
1980,20-24 years,Gallbladder and biliary tract cancer,0.0064191791124258
1980,20-24 years,Kidney cancer,0.0112002258698684
1980,20-24 years,Larynx cancer,0.0034954528908045
1980,20-24 years,Lip and oral cavity cancer,0.0168407899767818
1980,20-24 years,Liver cancer,0.035688319171344796
1980,20-24 years,Nasopharynx cancer,0.013059211834607901
1980,20-24 years,Non-melanoma skin cancer,0.0170709712706339
1980,20-24 years,Other pharynx cancer,0.0012409224404047
1980,20-24 years,Ovarian cancer,0.0503602364947928
1980,20-24 years,Pancreatic cancer,0.015279217114990001
1980,20-24 years,Prostate cancer,0.0027452146694566
1980,20-24 years,Stomach cancer,0.0647801538532646
1980,20-24 years,Testicular cancer,0.1225819542818597
1980,20-24 years,Thyroid cancer,0.0263213611907933
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.041401202469023
1980,20-24 years,Uterine cancer,0.0067316795488551
1980,25-29 years,Bladder cancer,0.0133615112058307
1980,25-29 years,Brain and central nervous system cancer,0.4816542180908865
1980,25-29 years,Breast cancer,0.2422010129311516
1980,25-29 years,Cervical cancer,0.2517084466659905
1980,25-29 years,Colon and rectum cancer,0.1551698978532298
1980,25-29 years,Esophageal cancer,0.0055870081239468
1980,25-29 years,Eye cancer,0.0055086803037084995
1980,25-29 years,Gallbladder and biliary tract cancer,0.012427676329111601
1980,25-29 years,Kidney cancer,0.015990691413479002
1980,25-29 years,Larynx cancer,0.005896750252786
1980,25-29 years,Lip and oral cavity cancer,0.0253766433411901
1980,25-29 years,Liver cancer,0.0532176747725204
1980,25-29 years,Nasopharynx cancer,0.0136115970813812
1980,25-29 years,Non-melanoma skin cancer,0.024045861313295502
1980,25-29 years,Other pharynx cancer,0.0018683108849299
1980,25-29 years,Ovarian cancer,0.0833391396136253
1980,25-29 years,Pancreatic cancer,0.0275075528141292
1980,25-29 years,Prostate cancer,0.0022042464854544
1980,25-29 years,Stomach cancer,0.1466366749775151
1980,25-29 years,Testicular cancer,0.1445870525078475
1980,25-29 years,Thyroid cancer,0.0350900727868322
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.0709798161072017
1980,25-29 years,Uterine cancer,0.0189577525515574
1980,30-34 years,Bladder cancer,0.0286933339720398
1980,30-34 years,Brain and central nervous system cancer,0.6504608921543882
1980,30-34 years,Breast cancer,0.9744260334735724
1980,30-34 years,Cervical cancer,0.4776023927182592
1980,30-34 years,Colon and rectum cancer,0.323351580510319
1980,30-34 years,Esophageal cancer,0.013002229002237898
1980,30-34 years,Eye cancer,0.0098668871933703
1980,30-34 years,Gallbladder and biliary tract cancer,0.0289322911698245
1980,30-34 years,Kidney cancer,0.0291844625215638
1980,30-34 years,Larynx cancer,0.013100063852312601
1980,30-34 years,Lip and oral cavity cancer,0.0434304343318833
1980,30-34 years,Liver cancer,0.09182675575963781
1980,30-34 years,Nasopharynx cancer,0.0197932630490193
1980,30-34 years,Non-melanoma skin cancer,0.0387592845329598
1980,30-34 years,Other pharynx cancer,0.0039505394400648
1980,30-34 years,Ovarian cancer,0.14457143508841
1980,30-34 years,Pancreatic cancer,0.0698341430596074
1980,30-34 years,Prostate cancer,0.0034605699297391
1980,30-34 years,Stomach cancer,0.34094011896636967
1980,30-34 years,Testicular cancer,0.1228688775818496
1980,30-34 years,Thyroid cancer,0.0468537122123058
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.1931485324465993
1980,30-34 years,Uterine cancer,0.0392521927280452
1980,35-39 years,Bladder cancer,0.0539007794079312
1980,35-39 years,Brain and central nervous system cancer,0.7925350047404236
1980,35-39 years,Breast cancer,2.598039768232597
1980,35-39 years,Cervical cancer,1.0201111650464334
1980,35-39 years,Colon and rectum cancer,0.6819423601761905
1980,35-39 years,Esophageal cancer,0.0329699594376816
1980,35-39 years,Eye cancer,0.0148364658361336
1980,35-39 years,Gallbladder and biliary tract cancer,0.064994596553037
1980,35-39 years,Kidney cancer,0.0556502301596378
1980,35-39 years,Larynx cancer,0.035441403982252595
1980,35-39 years,Lip and oral cavity cancer,0.083390935058666
1980,35-39 years,Liver cancer,0.1519911748960181
1980,35-39 years,Nasopharynx cancer,0.037381962823908
1980,35-39 years,Non-melanoma skin cancer,0.0550543532716206
1980,35-39 years,Other pharynx cancer,0.010102737660637899
1980,35-39 years,Ovarian cancer,0.2634060334373821
1980,35-39 years,Pancreatic cancer,0.15736121968920092
1980,35-39 years,Prostate cancer,0.008486048801161
1980,35-39 years,Stomach cancer,0.7517019742667217
1980,35-39 years,Testicular cancer,0.0949860572069171
1980,35-39 years,Thyroid cancer,0.0845006596797728
1980,35-39 years,"Tracheal, bronchus, and lung cancer",0.47864853455839873
1980,35-39 years,Uterine cancer,0.092613471917004
1980,40-44 years,Bladder cancer,0.1354793173590729
1980,40-44 years,Brain and central nervous system cancer,1.0545359943139307
1980,40-44 years,Breast cancer,3.8950161599418345
1980,40-44 years,Cervical cancer,1.1113923646042885
1980,40-44 years,Colon and rectum cancer,1.2135936957360505
1980,40-44 years,Esophageal cancer,0.1021487015950103
1980,40-44 years,Eye cancer,0.0255073457569205
1980,40-44 years,Gallbladder and biliary tract cancer,0.1265075214572316
1980,40-44 years,Kidney cancer,0.11108239818495369
1980,40-44 years,Larynx cancer,0.12827247688336219
1980,40-44 years,Lip and oral cavity cancer,0.1829927489955458
1980,40-44 years,Liver cancer,0.3023779990461541
1980,40-44 years,Nasopharynx cancer,0.0700494938168037
1980,40-44 years,Non-melanoma skin cancer,0.0831659333736299
1980,40-44 years,Other pharynx cancer,0.0321881486724155
1980,40-44 years,Ovarian cancer,0.4572664363337176
1980,40-44 years,Pancreatic cancer,0.352817131643207
1980,40-44 years,Prostate cancer,0.0275412449758001
1980,40-44 years,Stomach cancer,1.2517980067112924
1980,40-44 years,Testicular cancer,0.0736980741615354
1980,40-44 years,Thyroid cancer,0.1034314080829917
1980,40-44 years,"Tracheal, bronchus, and lung cancer",1.4485059341491078
1980,40-44 years,Uterine cancer,0.1446367558227728
1980,45-49 years,Bladder cancer,0.3423813041714509
1980,45-49 years,Brain and central nervous system cancer,1.4600537294971678
1980,45-49 years,Breast cancer,7.133898991785911
1980,45-49 years,Cervical cancer,1.75790444291781
1980,45-49 years,Colon and rectum cancer,2.656521793593281
1980,45-49 years,Esophageal cancer,0.2810905067505206
1980,45-49 years,Eye cancer,0.038980142736544
1980,45-49 years,Gallbladder and biliary tract cancer,0.3090361857652573
1980,45-49 years,Kidney cancer,0.2605099531100013
1980,45-49 years,Larynx cancer,0.3333229435479236
1980,45-49 years,Lip and oral cavity cancer,0.3857426460641088
1980,45-49 years,Liver cancer,0.6277427669188947
1980,45-49 years,Nasopharynx cancer,0.12815792219292949
1980,45-49 years,Non-melanoma skin cancer,0.11715443999304029
1980,45-49 years,Other pharynx cancer,0.0796396896953081
1980,45-49 years,Ovarian cancer,0.956735080128838
1980,45-49 years,Pancreatic cancer,0.8367770347324419
1980,45-49 years,Prostate cancer,0.1334182048088665
1980,45-49 years,Stomach cancer,2.4225042487127197
1980,45-49 years,Testicular cancer,0.0598624992018331
1980,45-49 years,Thyroid cancer,0.1850487097904962
1980,45-49 years,"Tracheal, bronchus, and lung cancer",3.8319220144480624
1980,45-49 years,Uterine cancer,0.3669270312821561
1980,5-9 years,Brain and central nervous system cancer,0.6226927467547564
1980,5-9 years,Eye cancer,0.0001993075502067634
1980,5-9 years,Kidney cancer,0.0311133056282178
1980,5-9 years,Liver cancer,0.0157210235673671
1980,5-9 years,Nasopharynx cancer,0.0029833396086202
1980,5-9 years,Thyroid cancer,0.0030809765752407
1980,50-54 years,Bladder cancer,0.8789730366684164
1980,50-54 years,Brain and central nervous system cancer,2.1876706010782048
1980,50-54 years,Breast cancer,9.122687285573177
1980,50-54 years,Cervical cancer,1.8477808361757235
1980,50-54 years,Colon and rectum cancer,5.153709746026822
1980,50-54 years,Esophageal cancer,0.7161419009111379
1980,50-54 years,Eye cancer,0.0593856092705612
1980,50-54 years,Gallbladder and biliary tract cancer,0.5991255884244364
1980,50-54 years,Kidney cancer,0.5158202358924232
1980,50-54 years,Larynx cancer,0.7898693092469201
1980,50-54 years,Lip and oral cavity cancer,0.688319584930365
1980,50-54 years,Liver cancer,1.314513969463421
1980,50-54 years,Nasopharynx cancer,0.1940968651194315
1980,50-54 years,Non-melanoma skin cancer,0.1995286094436296
1980,50-54 years,Other pharynx cancer,0.1618015005904834
1980,50-54 years,Ovarian cancer,1.6225908130723807
1980,50-54 years,Pancreatic cancer,1.7539033854105748
1980,50-54 years,Prostate cancer,0.5218147498600301
1980,50-54 years,Stomach cancer,4.409741918376429
1980,50-54 years,Testicular cancer,0.0482970748640364
1980,50-54 years,Thyroid cancer,0.2921476377690008
1980,50-54 years,"Tracheal, bronchus, and lung cancer",9.814614788101977
1980,50-54 years,Uterine cancer,0.6157246031011175
1980,55-59 years,Bladder cancer,1.7177974502729692
1980,55-59 years,Brain and central nervous system cancer,3.167343143182256
1980,55-59 years,Breast cancer,12.440675872155088
1980,55-59 years,Cervical cancer,2.5191271340101253
1980,55-59 years,Colon and rectum cancer,8.84076917091351
1980,55-59 years,Esophageal cancer,1.1164858352960465
1980,55-59 years,Eye cancer,0.0893875553661066
1980,55-59 years,Gallbladder and biliary tract cancer,1.1817992316094124
1980,55-59 years,Kidney cancer,0.942719525157905
1980,55-59 years,Larynx cancer,1.1673254233109793
1980,55-59 years,Lip and oral cavity cancer,1.0289358844886567
1980,55-59 years,Liver cancer,2.1625656129792175
1980,55-59 years,Nasopharynx cancer,0.2710769108836911
1980,55-59 years,Non-melanoma skin cancer,0.3269826978983293
1980,55-59 years,Other pharynx cancer,0.23469243815939472
1980,55-59 years,Ovarian cancer,2.4400461702033023
1980,55-59 years,Pancreatic cancer,3.14249159477529
1980,55-59 years,Prostate cancer,1.572140647496137
1980,55-59 years,Stomach cancer,6.9349616612124905
1980,55-59 years,Testicular cancer,0.0488434925313665
1980,55-59 years,Thyroid cancer,0.4833582971699756
1980,55-59 years,"Tracheal, bronchus, and lung cancer",16.55012498022768
1980,55-59 years,Uterine cancer,1.2596619296310685
1980,60-64 years,Bladder cancer,3.485454743669565
1980,60-64 years,Brain and central nervous system cancer,4.15393246834001
1980,60-64 years,Breast cancer,13.574807066633623
1980,60-64 years,Cervical cancer,2.369944585728008
1980,60-64 years,Colon and rectum cancer,13.92153965855594
1980,60-64 years,Esophageal cancer,1.576203931500972
1980,60-64 years,Eye cancer,0.1509014499769064
1980,60-64 years,Gallbladder and biliary tract cancer,1.9635025562118793
1980,60-64 years,Kidney cancer,1.5150971024153133
1980,60-64 years,Larynx cancer,1.7287275503603583
1980,60-64 years,Lip and oral cavity cancer,1.4276993179363882
1980,60-64 years,Liver cancer,3.3180409754417877
1980,60-64 years,Nasopharynx cancer,0.2991137162129554
1980,60-64 years,Non-melanoma skin cancer,0.6028308174834203
1980,60-64 years,Other pharynx cancer,0.3030963304971495
1980,60-64 years,Ovarian cancer,3.282126687719821
1980,60-64 years,Pancreatic cancer,5.099561216068958
1980,60-64 years,Prostate cancer,5.010743636414146
1980,60-64 years,Stomach cancer,10.289115653213274
1980,60-64 years,Testicular cancer,0.0592836729879646
1980,60-64 years,Thyroid cancer,0.708494460513938
1980,60-64 years,"Tracheal, bronchus, and lung cancer",27.807503164986127
1980,60-64 years,Uterine cancer,2.0868467927322434
1980,65-69 years,Bladder cancer,6.160682432942474
1980,65-69 years,Brain and central nervous system cancer,4.9461887280196075
1980,65-69 years,Breast cancer,13.811368115542912
1980,65-69 years,Cervical cancer,2.5415340550345777
1980,65-69 years,Colon and rectum cancer,20.23401238617703
1980,65-69 years,Esophageal cancer,2.1410220584534048
1980,65-69 years,Eye cancer,0.1916919753544558
1980,65-69 years,Gallbladder and biliary tract cancer,2.850160531370896
1980,65-69 years,Kidney cancer,2.089159440734164
1980,65-69 years,Larynx cancer,2.2037614299365673
1980,65-69 years,Lip and oral cavity cancer,1.6311259136047673
1980,65-69 years,Liver cancer,4.664577225555438
1980,65-69 years,Nasopharynx cancer,0.3213029547217444
1980,65-69 years,Non-melanoma skin cancer,0.8811481376772589
1980,65-69 years,Other pharynx cancer,0.3242783375282339
1980,65-69 years,Ovarian cancer,3.6421337577381983
1980,65-69 years,Pancreatic cancer,7.6228924517056385
1980,65-69 years,Prostate cancer,10.479848460364416
1980,65-69 years,Stomach cancer,15.152816057839784
1980,65-69 years,Testicular cancer,0.0614350100118258
1980,65-69 years,Thyroid cancer,0.9605957418063069
1980,65-69 years,"Tracheal, bronchus, and lung cancer",41.4092889643436
1980,65-69 years,Uterine cancer,2.8428699970360247
1980,70-74 years,Bladder cancer,8.468499786296388
1980,70-74 years,Brain and central nervous system cancer,4.444505783375045
1980,70-74 years,Breast cancer,13.445457765696487
1980,70-74 years,Cervical cancer,2.7343112379692465
1980,70-74 years,Colon and rectum cancer,24.763798288579732
1980,70-74 years,Esophageal cancer,2.3510975193600046
1980,70-74 years,Eye cancer,0.1921102208298718
1980,70-74 years,Gallbladder and biliary tract cancer,3.5874095736125167
1980,70-74 years,Kidney cancer,2.2322929430497465
1980,70-74 years,Larynx cancer,2.2152958936974447
1980,70-74 years,Lip and oral cavity cancer,1.471172962865267
1980,70-74 years,Liver cancer,5.504561702016336
1980,70-74 years,Nasopharynx cancer,0.2834543709635786
1980,70-74 years,Non-melanoma skin cancer,1.0726130058036878
1980,70-74 years,Other pharynx cancer,0.2721195609974682
1980,70-74 years,Ovarian cancer,3.5663805946441816
1980,70-74 years,Pancreatic cancer,8.665818229838216
1980,70-74 years,Prostate cancer,14.872154893951882
1980,70-74 years,Stomach cancer,18.122825814295723
1980,70-74 years,Testicular cancer,0.0580603050801822
1980,70-74 years,Thyroid cancer,1.1475940491056147
1980,70-74 years,"Tracheal, bronchus, and lung cancer",43.00362655702868
1980,70-74 years,Uterine cancer,3.1562916563329884
1980,75-79 years,Bladder cancer,8.557809233974506
1980,75-79 years,Brain and central nervous system cancer,2.768519260559138
1980,75-79 years,Breast cancer,10.38072339374407
1980,75-79 years,Cervical cancer,2.032278562364348
1980,75-79 years,Colon and rectum cancer,21.66260837656573
1980,75-79 years,Esophageal cancer,1.8765768489623644
1980,75-79 years,Eye cancer,0.1426036215312962
1980,75-79 years,Gallbladder and biliary tract cancer,3.2030335328055566
1980,75-79 years,Kidney cancer,1.697480865886277
1980,75-79 years,Larynx cancer,1.5141640796339222
1980,75-79 years,Lip and oral cavity cancer,1.0864138692562575
1980,75-79 years,Liver cancer,4.318587745697968
1980,75-79 years,Nasopharynx cancer,0.15529079622147168
1980,75-79 years,Non-melanoma skin cancer,1.1421675209167477
1980,75-79 years,Other pharynx cancer,0.162464794024364
1980,75-79 years,Ovarian cancer,2.629144800016697
1980,75-79 years,Pancreatic cancer,6.642700221776806
1980,75-79 years,Prostate cancer,14.66202216189468
1980,75-79 years,Stomach cancer,15.549300223774077
1980,75-79 years,Testicular cancer,0.0410859847501751
1980,75-79 years,Thyroid cancer,0.9744606285531568
1980,75-79 years,"Tracheal, bronchus, and lung cancer",30.152784948177526
1980,75-79 years,Uterine cancer,2.408773943442001
1980,80-84 years,Bladder cancer,5.523717686093308
1980,80-84 years,Brain and central nervous system cancer,1.1420224314069154
1980,80-84 years,Breast cancer,6.772057411284096
1980,80-84 years,Cervical cancer,1.6811501650665812
1980,80-84 years,Colon and rectum cancer,14.651459474413624
1980,80-84 years,Esophageal cancer,1.048694186142926
1980,80-84 years,Eye cancer,0.0938519515922599
1980,80-84 years,Gallbladder and biliary tract cancer,2.383239253262064
1980,80-84 years,Kidney cancer,1.1198162177794002
1980,80-84 years,Larynx cancer,0.7503856558671723
1980,80-84 years,Lip and oral cavity cancer,0.7573777848836858
1980,80-84 years,Liver cancer,1.9501137285903578
1980,80-84 years,Nasopharynx cancer,0.09238932377243761
1980,80-84 years,Non-melanoma skin cancer,1.093177795775686
1980,80-84 years,Other pharynx cancer,0.0742131610818553
1980,80-84 years,Ovarian cancer,1.689667035699584
1980,80-84 years,Pancreatic cancer,4.186300886010272
1980,80-84 years,Prostate cancer,10.617284466387494
