year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,7.652575296658441
1980,10-14 years,Eye cancer,0.49817535459569406
1980,10-14 years,Kidney cancer,0.7540673304799523
1980,10-14 years,Liver cancer,3.032709083674396
1980,10-14 years,Nasopharynx cancer,0.8794604402337546
1980,10-14 years,Thyroid cancer,0.4243540850293388
1980,15-19 years,Bladder cancer,0.39311860711127566
1980,15-19 years,Brain and central nervous system cancer,4.587578902993512
1980,15-19 years,Breast cancer,1.3567471679915262
1980,15-19 years,Cervical cancer,6.036475886310055
1980,15-19 years,Colon and rectum cancer,3.2391210357641604
1980,15-19 years,Eye cancer,0.29604504370919704
1980,15-19 years,Kidney cancer,0.5159300350881948
1980,15-19 years,Lip and oral cavity cancer,0.9123906055114324
1980,15-19 years,Liver cancer,4.673722456731269
1980,15-19 years,Nasopharynx cancer,1.180090633143922
1980,15-19 years,Ovarian cancer,1.1236517911413952
1980,15-19 years,Pancreatic cancer,0.3115708704868931
1980,15-19 years,Stomach cancer,3.608192424152551
1980,15-19 years,Testicular cancer,1.298689149275429
1980,15-19 years,Thyroid cancer,0.4765878228495982
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.7730301067463186
1980,20-24 years,Bladder cancer,0.5000843053124305
1980,20-24 years,Brain and central nervous system cancer,3.3479779676469352
1980,20-24 years,Breast cancer,2.858483714725414
1980,20-24 years,Cervical cancer,17.51282842488754
1980,20-24 years,Colon and rectum cancer,4.727518100700761
1980,20-24 years,Esophageal cancer,2.686508909595857
1980,20-24 years,Eye cancer,0.3838398050100179
1980,20-24 years,Gallbladder and biliary tract cancer,0.076289156567852
1980,20-24 years,Kidney cancer,0.4927817122426373
1980,20-24 years,Larynx cancer,0.4033135790358527
1980,20-24 years,Lip and oral cavity cancer,1.2878564458173738
1980,20-24 years,Liver cancer,5.112284038231543
1980,20-24 years,Nasopharynx cancer,1.1669089135358677
1980,20-24 years,Non-melanoma skin cancer,0.24032223006567122
1980,20-24 years,Other pharynx cancer,0.1245387402713986
1980,20-24 years,Ovarian cancer,1.3117413940633316
1980,20-24 years,Pancreatic cancer,0.42288544219380875
1980,20-24 years,Prostate cancer,0.3909075251944046
1980,20-24 years,Stomach cancer,6.80994442876186
1980,20-24 years,Testicular cancer,2.39975342986177
1980,20-24 years,Thyroid cancer,0.5584341840053779
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.9519740086229107
1980,20-24 years,Uterine cancer,0.3676658604505324
1980,25-29 years,Bladder cancer,0.7157485329046447
1980,25-29 years,Brain and central nervous system cancer,3.476465064424879
1980,25-29 years,Breast cancer,9.061189250054925
1980,25-29 years,Cervical cancer,46.33742874049289
1980,25-29 years,Colon and rectum cancer,5.63601796397544
1980,25-29 years,Esophageal cancer,4.198632625905212
1980,25-29 years,Eye cancer,0.43244666225574324
1980,25-29 years,Gallbladder and biliary tract cancer,0.1291497596782921
1980,25-29 years,Kidney cancer,0.5809179498489245
1980,25-29 years,Larynx cancer,0.4666070651556779
1980,25-29 years,Lip and oral cavity cancer,1.4820824067799196
1980,25-29 years,Liver cancer,6.982204312656853
1980,25-29 years,Nasopharynx cancer,1.0243627986904111
1980,25-29 years,Non-melanoma skin cancer,0.3165922840540525
1980,25-29 years,Other pharynx cancer,0.1724139130917087
1980,25-29 years,Ovarian cancer,1.6431373215249792
1980,25-29 years,Pancreatic cancer,0.7565669312507454
1980,25-29 years,Prostate cancer,0.3642184208975109
1980,25-29 years,Stomach cancer,11.774933796027913
1980,25-29 years,Testicular cancer,2.656873346140567
1980,25-29 years,Thyroid cancer,0.5257004065866503
1980,25-29 years,"Tracheal, bronchus, and lung cancer",2.811259145902386
1980,25-29 years,Uterine cancer,0.6394812211375573
1980,30-34 years,Bladder cancer,1.297049845871351
1980,30-34 years,Brain and central nervous system cancer,3.5356232984637033
1980,30-34 years,Breast cancer,24.090054139797033
1980,30-34 years,Cervical cancer,83.32473277169197
1980,30-34 years,Colon and rectum cancer,8.328549053295738
1980,30-34 years,Esophageal cancer,6.481164513161206
1980,30-34 years,Eye cancer,0.4475495786979835
1980,30-34 years,Gallbladder and biliary tract cancer,0.22794252003172
1980,30-34 years,Kidney cancer,0.7260697209115383
1980,30-34 years,Larynx cancer,0.6444384102625642
1980,30-34 years,Lip and oral cavity cancer,2.224296134964499
1980,30-34 years,Liver cancer,8.658762242760197
1980,30-34 years,Nasopharynx cancer,1.1153084743485189
