year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,7.075219097351745
1980,10-14 years,Eye cancer,0.173118224682827
1980,10-14 years,Kidney cancer,0.7248549265503703
1980,10-14 years,Liver cancer,0.3138559574283778
1980,10-14 years,Nasopharynx cancer,0.3448053612777153
1980,10-14 years,Thyroid cancer,0.12755972983363428
1980,15-19 years,Bladder cancer,0.0303116641166448
1980,15-19 years,Brain and central nervous system cancer,3.346510084677874
1980,15-19 years,Breast cancer,0.3608432074230571
1980,15-19 years,Cervical cancer,0.7735931883230457
1980,15-19 years,Colon and rectum cancer,0.8914565488441943
1980,15-19 years,Eye cancer,0.022941976820851202
1980,15-19 years,Kidney cancer,0.4561381351662176
1980,15-19 years,Lip and oral cavity cancer,0.3779986070472029
1980,15-19 years,Liver cancer,0.2079998070251416
1980,15-19 years,Nasopharynx cancer,0.43666127495878704
1980,15-19 years,Ovarian cancer,0.3876402408209798
1980,15-19 years,Pancreatic cancer,0.19098015010635538
1980,15-19 years,Stomach cancer,0.8525279439526872
1980,15-19 years,Testicular cancer,0.0673171533322717
1980,15-19 years,Thyroid cancer,0.1616332734599604
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.0271444624868786
1980,20-24 years,Bladder cancer,0.053537751170172704
1980,20-24 years,Brain and central nervous system cancer,2.917443538187829
1980,20-24 years,Breast cancer,0.6597293012780738
1980,20-24 years,Cervical cancer,2.7480407697928517
1980,20-24 years,Colon and rectum cancer,1.3099219965351017
1980,20-24 years,Esophageal cancer,0.192605230665051
1980,20-24 years,Eye cancer,0.0205551399616901
1980,20-24 years,Gallbladder and biliary tract cancer,0.0967054804778815
1980,20-24 years,Kidney cancer,0.5187474568091439
1980,20-24 years,Larynx cancer,0.1628571289522602
1980,20-24 years,Lip and oral cavity cancer,0.42061195126300954
1980,20-24 years,Liver cancer,0.3974781006356986
1980,20-24 years,Nasopharynx cancer,0.38962157280586307
1980,20-24 years,Non-melanoma skin cancer,0.1264902729161326
1980,20-24 years,Other pharynx cancer,0.2663689624301064
1980,20-24 years,Ovarian cancer,0.4935341538052231
1980,20-24 years,Pancreatic cancer,0.22720194180782438
1980,20-24 years,Prostate cancer,0.1005292141557964
1980,20-24 years,Stomach cancer,1.6049769028686336
1980,20-24 years,Testicular cancer,0.0962625888423637
1980,20-24 years,Thyroid cancer,0.19712475933826232
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.0168563904281842
1980,20-24 years,Uterine cancer,0.3445896235420369
1980,25-29 years,Bladder cancer,0.0556545110983202
1980,25-29 years,Brain and central nervous system cancer,2.9091732734420592
1980,25-29 years,Breast cancer,2.2326269388111637
1980,25-29 years,Cervical cancer,6.609253440589303
1980,25-29 years,Colon and rectum cancer,1.9350680165089507
1980,25-29 years,Esophageal cancer,0.2572074293265698
1980,25-29 years,Eye cancer,0.038815640897327
1980,25-29 years,Gallbladder and biliary tract cancer,0.1590445779054869
1980,25-29 years,Kidney cancer,0.5319495935554447
1980,25-29 years,Larynx cancer,0.1679989206527252
1980,25-29 years,Lip and oral cavity cancer,0.6066463835545248
1980,25-29 years,Liver cancer,0.492547608809797
1980,25-29 years,Nasopharynx cancer,0.3996031209912516
1980,25-29 years,Non-melanoma skin cancer,0.2629046887942184
1980,25-29 years,Other pharynx cancer,0.26858355103960296
1980,25-29 years,Ovarian cancer,0.4932674813219006
1980,25-29 years,Pancreatic cancer,0.429954051452909
1980,25-29 years,Prostate cancer,0.1849587387248947
1980,25-29 years,Stomach cancer,2.937696745032441
1980,25-29 years,Testicular cancer,0.1240193446865309
1980,25-29 years,Thyroid cancer,0.2511919422098954
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.2418064409804976
