year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.8874390279328859
1980,10-14 years,Eye cancer,0.002996059564783
1980,10-14 years,Kidney cancer,0.027936184784462498
1980,10-14 years,Liver cancer,0.023197615395398698
1980,10-14 years,Nasopharynx cancer,0.0383225588459542
1980,10-14 years,Thyroid cancer,0.0090182462650942
1980,15-19 years,Bladder cancer,0.0152227717319555
1980,15-19 years,Brain and central nervous system cancer,0.7301326214268384
1980,15-19 years,Breast cancer,0.0137873311983699
1980,15-19 years,Cervical cancer,0.0872575973440092
1980,15-19 years,Colon and rectum cancer,0.1355960407880856
1980,15-19 years,Eye cancer,0.0032880877010356
1980,15-19 years,Kidney cancer,0.0245611347184952
1980,15-19 years,Lip and oral cavity cancer,0.0375999671985138
1980,15-19 years,Liver cancer,0.0436161324488622
1980,15-19 years,Nasopharynx cancer,0.0685600501799186
1980,15-19 years,Ovarian cancer,0.1221014668061116
1980,15-19 years,Pancreatic cancer,0.0373950643171148
1980,15-19 years,Stomach cancer,0.1677647617499766
1980,15-19 years,Testicular cancer,0.1074555592648787
1980,15-19 years,Thyroid cancer,0.027027194478395702
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.142718425926914
1980,20-24 years,Bladder cancer,0.0341427720116603
1980,20-24 years,Brain and central nervous system cancer,0.794351937660285
1980,20-24 years,Breast cancer,0.0739577330199001
1980,20-24 years,Cervical cancer,0.5343068061767567
1980,20-24 years,Colon and rectum cancer,0.3436670513442871
1980,20-24 years,Esophageal cancer,0.0196802693500234
1980,20-24 years,Eye cancer,0.0085612666251817
1980,20-24 years,Gallbladder and biliary tract cancer,0.0189633688713465
1980,20-24 years,Kidney cancer,0.046599953455929696
1980,20-24 years,Larynx cancer,0.021646315820013803
1980,20-24 years,Lip and oral cavity cancer,0.0765969902060743
1980,20-24 years,Liver cancer,0.080628357739363
1980,20-24 years,Nasopharynx cancer,0.0822897253322637
1980,20-24 years,Non-melanoma skin cancer,0.0588023296151083
1980,20-24 years,Other pharynx cancer,0.024318886943048398
1980,20-24 years,Ovarian cancer,0.1947652564075412
1980,20-24 years,Pancreatic cancer,0.09288964314935991
1980,20-24 years,Prostate cancer,0.013089047965768
1980,20-24 years,Stomach cancer,0.5597540891308352
1980,20-24 years,Testicular cancer,0.3233543305075246
1980,20-24 years,Thyroid cancer,0.0570741507552286
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.3198069889503857
1980,20-24 years,Uterine cancer,0.0251056494651466
1980,25-29 years,Bladder cancer,0.071933142935803
1980,25-29 years,Brain and central nervous system cancer,1.2921912280180072
1980,25-29 years,Breast cancer,0.4059712242139363
1980,25-29 years,Cervical cancer,1.2179592199066926
1980,25-29 years,Colon and rectum cancer,0.7548311939893488
1980,25-29 years,Esophageal cancer,0.0440647720573485
1980,25-29 years,Eye cancer,0.0212114073129175
1980,25-29 years,Gallbladder and biliary tract cancer,0.0432501899385312
1980,25-29 years,Kidney cancer,0.094980135938314
1980,25-29 years,Larynx cancer,0.0431268223031978
1980,25-29 years,Lip and oral cavity cancer,0.1599609072327646
1980,25-29 years,Liver cancer,0.1681506680566641
1980,25-29 years,Nasopharynx cancer,0.11697811749390591
1980,25-29 years,Non-melanoma skin cancer,0.0824053162119352
1980,25-29 years,Other pharynx cancer,0.0514642777051646
1980,25-29 years,Ovarian cancer,0.3287456782607053
1980,25-29 years,Pancreatic cancer,0.2007628189103271
1980,25-29 years,Prostate cancer,0.0166792940320983
1980,25-29 years,Stomach cancer,1.4290045435461716
1980,25-29 years,Testicular cancer,0.582484888756718
1980,25-29 years,Thyroid cancer,0.1061645759415592
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.6767500406923359
1980,25-29 years,Uterine cancer,0.0668462290298438
1980,30-34 years,Bladder cancer,0.1236433271886848
1980,30-34 years,Brain and central nervous system cancer,1.6388373161697478
1980,30-34 years,Breast cancer,1.6379126102180432
1980,30-34 years,Cervical cancer,2.152480953137822
1980,30-34 years,Colon and rectum cancer,1.457646689869383
1980,30-34 years,Esophageal cancer,0.10853466177702391
1980,30-34 years,Eye cancer,0.027916644272933
1980,30-34 years,Gallbladder and biliary tract cancer,0.0903538069643819
1980,30-34 years,Kidney cancer,0.18060632552992067
1980,30-34 years,Larynx cancer,0.1074836883408751
1980,30-34 years,Lip and oral cavity cancer,0.2895367129249344
1980,30-34 years,Liver cancer,0.3090293525869957
1980,30-34 years,Nasopharynx cancer,0.1900419880306463
1980,30-34 years,Non-melanoma skin cancer,0.1335058955248862
1980,30-34 years,Other pharynx cancer,0.09839194999740039
1980,30-34 years,Ovarian cancer,0.5662843845964894
1980,30-34 years,Pancreatic cancer,0.48747691582200703
1980,30-34 years,Prostate cancer,0.0252531081906615
1980,30-34 years,Stomach cancer,3.297334621745601
1980,30-34 years,Testicular cancer,0.5960124081484188
1980,30-34 years,Thyroid cancer,0.120192160308734
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.6244430799533722
1980,30-34 years,Uterine cancer,0.1426585905605465
1980,35-39 years,Bladder cancer,0.2520168866492624
1980,35-39 years,Brain and central nervous system cancer,2.1526085167227325
1980,35-39 years,Breast cancer,4.085901334344962
1980,35-39 years,Cervical cancer,3.1139212555435614
1980,35-39 years,Colon and rectum cancer,2.9231786339151364
1980,35-39 years,Esophageal cancer,0.30584281919510475
1980,35-39 years,Eye cancer,0.047724797604482505
1980,35-39 years,Gallbladder and biliary tract cancer,0.2014542100203832
1980,35-39 years,Kidney cancer,0.3900213982691077
1980,35-39 years,Larynx cancer,0.37592761789532514
1980,35-39 years,Lip and oral cavity cancer,0.5998380315481585
1980,35-39 years,Liver cancer,0.5952867308369019
1980,35-39 years,Nasopharynx cancer,0.3984047422959177
1980,35-39 years,Non-melanoma skin cancer,0.229916152403741
1980,35-39 years,Other pharynx cancer,0.3166304836162127
1980,35-39 years,Ovarian cancer,1.0579887780697146
1980,35-39 years,Pancreatic cancer,1.0729104279318102
1980,35-39 years,Prostate cancer,0.0823134309641628
1980,35-39 years,Stomach cancer,7.133382708220265
1980,35-39 years,Testicular cancer,0.5492098128528682
1980,35-39 years,Thyroid cancer,0.16174871367527932
1980,35-39 years,"Tracheal, bronchus, and lung cancer",4.301423966353468
1980,35-39 years,Uterine cancer,0.2864970398057823
1980,40-44 years,Bladder cancer,0.6923584327691582
1980,40-44 years,Brain and central nervous system cancer,3.126382349530595
1980,40-44 years,Breast cancer,9.0892600121938
