year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,15.197828354318508
1980,10-14 years,Eye cancer,0.7839250974439023
1980,10-14 years,Kidney cancer,1.0676180010363372
1980,10-14 years,Liver cancer,3.431860038513207
1980,10-14 years,Nasopharynx cancer,9.29046587170043
1980,10-14 years,Thyroid cancer,3.637534785394294
1980,15-19 years,Bladder cancer,0.740034103086731
1980,15-19 years,Brain and central nervous system cancer,10.812335872686635
1980,15-19 years,Breast cancer,7.492978947069083
1980,15-19 years,Cervical cancer,22.76683208914371
1980,15-19 years,Colon and rectum cancer,9.807483126536466
1980,15-19 years,Eye cancer,0.6037894682487719
1980,15-19 years,Kidney cancer,0.8682617108514574
1980,15-19 years,Lip and oral cavity cancer,5.932227922271591
1980,15-19 years,Liver cancer,5.894438766273709
1980,15-19 years,Nasopharynx cancer,11.23662896635287
1980,15-19 years,Ovarian cancer,2.6807573332290144
1980,15-19 years,Pancreatic cancer,0.3333321707839786
1980,15-19 years,Stomach cancer,6.989934837331755
1980,15-19 years,Testicular cancer,2.043385428693113
1980,15-19 years,Thyroid cancer,9.161777167538588
1980,15-19 years,"Tracheal, bronchus, and lung cancer",2.0785986775462426
1980,20-24 years,Bladder cancer,1.2579528430979305
1980,20-24 years,Brain and central nervous system cancer,8.165992719031504
1980,20-24 years,Breast cancer,13.297325274498993
1980,20-24 years,Cervical cancer,51.41269833068496
1980,20-24 years,Colon and rectum cancer,29.047576927988054
1980,20-24 years,Esophageal cancer,3.5068548202047474
1980,20-24 years,Eye cancer,1.4671845464769109
1980,20-24 years,Gallbladder and biliary tract cancer,0.930563869333813
1980,20-24 years,Kidney cancer,1.1771963206266625
1980,20-24 years,Larynx cancer,0.5619369681595364
1980,20-24 years,Lip and oral cavity cancer,3.0755660254575092
1980,20-24 years,Liver cancer,7.8818215422639
1980,20-24 years,Nasopharynx cancer,9.30904985747245
1980,20-24 years,Non-melanoma skin cancer,0.42623367152394365
1980,20-24 years,Other pharynx cancer,0.3779082775549214
1980,20-24 years,Ovarian cancer,3.139030164197264
1980,20-24 years,Pancreatic cancer,0.5874279539987078
1980,20-24 years,Prostate cancer,0.0688954788899246
1980,20-24 years,Stomach cancer,21.348436349793296
1980,20-24 years,Testicular cancer,4.001388342054063
1980,20-24 years,Thyroid cancer,14.814501803324406
1980,20-24 years,"Tracheal, bronchus, and lung cancer",4.3284978263690945
1980,20-24 years,Uterine cancer,0.6250886615654382
1980,25-29 years,Bladder cancer,1.5711831615038574
1980,25-29 years,Brain and central nervous system cancer,7.830889178175197
1980,25-29 years,Breast cancer,27.602899295530637
1980,25-29 years,Cervical cancer,78.74386460082161
1980,25-29 years,Colon and rectum cancer,20.879954845839514
1980,25-29 years,Esophageal cancer,5.29590454083364
1980,25-29 years,Eye cancer,1.6691249223953495
1980,25-29 years,Gallbladder and biliary tract cancer,1.3761852809377726
1980,25-29 years,Kidney cancer,1.34414420918918
1980,25-29 years,Larynx cancer,0.7643701149063333
1980,25-29 years,Lip and oral cavity cancer,3.603458483456352
1980,25-29 years,Liver cancer,8.013536917059776
1980,25-29 years,Nasopharynx cancer,9.096883673695995
1980,25-29 years,Non-melanoma skin cancer,0.4901680468821027
1980,25-29 years,Other pharynx cancer,0.462022848141092
1980,25-29 years,Ovarian cancer,3.664070320195905
1980,25-29 years,Pancreatic cancer,0.65241781404019
1980,25-29 years,Prostate cancer,0.0494179981891073
1980,25-29 years,Stomach cancer,34.42967450880771
1980,25-29 years,Testicular cancer,4.487306225242595
1980,25-29 years,Thyroid cancer,15.74904937374697
1980,25-29 years,"Tracheal, bronchus, and lung cancer",3.239260053859086
1980,25-29 years,Uterine cancer,1.2732858624860188
1980,30-34 years,Bladder cancer,1.5321231034149672
1980,30-34 years,Brain and central nervous system cancer,6.767906184045097
1980,30-34 years,Breast cancer,37.59704604195874
1980,30-34 years,Cervical cancer,102.52751212162448
1980,30-34 years,Colon and rectum cancer,31.243256679810372
1980,30-34 years,Esophageal cancer,7.372747897570044
1980,30-34 years,Eye cancer,1.7034263503982396
1980,30-34 years,Gallbladder and biliary tract cancer,1.7697829712762059
1980,30-34 years,Kidney cancer,1.5577006718369695
1980,30-34 years,Larynx cancer,1.0954988574569027
1980,30-34 years,Lip and oral cavity cancer,4.3488718670634
1980,30-34 years,Liver cancer,8.564535620944358
1980,30-34 years,Nasopharynx cancer,9.503547668822693
1980,30-34 years,Non-melanoma skin cancer,0.543658052881837
1980,30-34 years,Other pharynx cancer,0.562261435990745
1980,30-34 years,Ovarian cancer,3.7483570598915614
1980,30-34 years,Pancreatic cancer,0.9798657335101042
1980,30-34 years,Prostate cancer,0.0643265042841715
1980,30-34 years,Stomach cancer,46.678398615260576
