year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,38.24357098758351
1980,10-14 years,Eye cancer,0.4430153965762095
1980,10-14 years,Kidney cancer,2.9495719680131165
1980,10-14 years,Liver cancer,2.349965146185885
1980,10-14 years,Nasopharynx cancer,1.790736923026198
1980,10-14 years,Thyroid cancer,0.5095639699881721
1980,15-19 years,Bladder cancer,0.7869985571086693
1980,15-19 years,Brain and central nervous system cancer,35.69507855547289
1980,15-19 years,Breast cancer,2.6565399750242467
1980,15-19 years,Cervical cancer,1.5520356585817523
1980,15-19 years,Colon and rectum cancer,6.519041455703996
1980,15-19 years,Eye cancer,0.5239192562180222
1980,15-19 years,Kidney cancer,2.8503697445142473
1980,15-19 years,Lip and oral cavity cancer,2.253015101319798
1980,15-19 years,Liver cancer,4.989788085848904
1980,15-19 years,Nasopharynx cancer,3.7119453554628614
1980,15-19 years,Ovarian cancer,5.881247000701004
1980,15-19 years,Pancreatic cancer,1.5108817564888353
1980,15-19 years,Stomach cancer,3.673089585905534
1980,15-19 years,Testicular cancer,8.759017331762207
1980,15-19 years,Thyroid cancer,1.1004872698656039
1980,15-19 years,"Tracheal, bronchus, and lung cancer",5.352012006845615
1980,20-24 years,Bladder cancer,1.2311140436888486
1980,20-24 years,Brain and central nervous system cancer,35.96030611951194
1980,20-24 years,Breast cancer,6.263240948386453
1980,20-24 years,Cervical cancer,6.182894899797274
1980,20-24 years,Colon and rectum cancer,13.663301155256036
1980,20-24 years,Esophageal cancer,3.1802467969409824
1980,20-24 years,Eye cancer,0.9046878229363926
1980,20-24 years,Gallbladder and biliary tract cancer,0.8711024269246483
1980,20-24 years,Kidney cancer,4.654602620841854
1980,20-24 years,Larynx cancer,1.5120303770999812
1980,20-24 years,Lip and oral cavity cancer,3.983190529248125
1980,20-24 years,Liver cancer,6.723438529508387
1980,20-24 years,Nasopharynx cancer,3.974004292840994
1980,20-24 years,Non-melanoma skin cancer,1.7899136495506405
1980,20-24 years,Other pharynx cancer,1.2221344503748517
1980,20-24 years,Ovarian cancer,7.445153801606692
1980,20-24 years,Pancreatic cancer,2.79577008745151
1980,20-24 years,Prostate cancer,0.8340572271197847
1980,20-24 years,Stomach cancer,10.537394148106735
1980,20-24 years,Testicular cancer,24.07193466555561
1980,20-24 years,Thyroid cancer,1.8171755280796154
1980,20-24 years,"Tracheal, bronchus, and lung cancer",9.417287885432726
1980,20-24 years,Uterine cancer,0.7322973877604142
1980,25-29 years,Bladder cancer,2.13781984270331
1980,25-29 years,Brain and central nervous system cancer,43.78353163783508
1980,25-29 years,Breast cancer,27.240212654057984
1980,25-29 years,Cervical cancer,20.94920195712124
1980,25-29 years,Colon and rectum cancer,28.410680527194398
1980,25-29 years,Esophageal cancer,5.085020899298229
1980,25-29 years,Eye cancer,1.1115883683252856
1980,25-29 years,Gallbladder and biliary tract cancer,1.6731919382052052
1980,25-29 years,Kidney cancer,6.2192612703292305
1980,25-29 years,Larynx cancer,2.257707943971502
1980,25-29 years,Lip and oral cavity cancer,6.622334197185204
1980,25-29 years,Liver cancer,9.802644527703267
1980,25-29 years,Nasopharynx cancer,3.9186546774947693
1980,25-29 years,Non-melanoma skin cancer,2.646073018358562
1980,25-29 years,Other pharynx cancer,1.7262540487766274
1980,25-29 years,Ovarian cancer,12.893511588651297
1980,25-29 years,Pancreatic cancer,5.275619051091104
1980,25-29 years,Prostate cancer,0.6790980532685408
1980,25-29 years,Stomach cancer,22.938548633786183
1980,25-29 years,Testicular cancer,32.861076316098895
1980,25-29 years,Thyroid cancer,2.5297274957831286
1980,25-29 years,"Tracheal, bronchus, and lung cancer",17.801550086792012
1980,25-29 years,Uterine cancer,1.9604168750471676
1980,30-34 years,Bladder cancer,4.962067646858124
1980,30-34 years,Brain and central nervous system cancer,61.21238803435716
1980,30-34 years,Breast cancer,111.93604509947399
1980,30-34 years,Cervical cancer,46.25863901430962
1980,30-34 years,Colon and rectum cancer,62.904082181503206
1980,30-34 years,Esophageal cancer,14.004087063078321
1980,30-34 years,Eye cancer,1.8273957838259554
1980,30-34 years,Gallbladder and biliary tract cancer,4.061161938198202
1980,30-34 years,Kidney cancer,11.35234696638122
1980,30-34 years,Larynx cancer,5.8393673115635325
1980,30-34 years,Lip and oral cavity cancer,13.685220213488478
1980,30-34 years,Liver cancer,14.988532521053388
1980,30-34 years,Nasopharynx cancer,5.906412957374632
1980,30-34 years,Non-melanoma skin cancer,4.3024644491561475
1980,30-34 years,Other pharynx cancer,4.475129930206134
1980,30-34 years,Ovarian cancer,21.42989734356057
1980,30-34 years,Pancreatic cancer,15.351958117248643
1980,30-34 years,Prostate cancer,0.9709011506284124
1980,30-34 years,Stomach cancer,47.02416912597424
1980,30-34 years,Testicular cancer,34.75520032373659
1980,30-34 years,Thyroid cancer,3.7712727313033767
1980,30-34 years,"Tracheal, bronchus, and lung cancer",59.76314670140934
1980,30-34 years,Uterine cancer,3.97758933475171
1980,35-39 years,Bladder cancer,8.189768604556047
1980,35-39 years,Brain and central nervous system cancer,66.17676337565663
1980,35-39 years,Breast cancer,182.18392667305014
1980,35-39 years,Cervical cancer,54.6456344052991
1980,35-39 years,Colon and rectum cancer,91.05767672328184
1980,35-39 years,Esophageal cancer,31.24194186006328
1980,35-39 years,Eye cancer,2.19764487215427
1980,35-39 years,Gallbladder and biliary tract cancer,5.86508044687386
1980,35-39 years,Kidney cancer,17.584382237538755
1980,35-39 years,Larynx cancer,19.148725174533038
1980,35-39 years,Lip and oral cavity cancer,29.36482115380696
1980,35-39 years,Liver cancer,17.04680321788725
1980,35-39 years,Nasopharynx cancer,10.417858082418142
1980,35-39 years,Non-melanoma skin cancer,4.926840374516896
1980,35-39 years,Other pharynx cancer,18.164889985677142
1980,35-39 years,Ovarian cancer,31.99459427853506
1980,35-39 years,Pancreatic cancer,29.363102970687
1980,35-39 years,Prostate cancer,1.4965572417630848
1980,35-39 years,Stomach cancer,70.8858241838898
1980,35-39 years,Testicular cancer,21.47105444602772
1980,35-39 years,Thyroid cancer,5.234430505156935
1980,35-39 years,"Tracheal, bronchus, and lung cancer",129.71240079710157
1980,35-39 years,Uterine cancer,6.617116185561549
1980,40-44 years,Bladder cancer,23.377613795583507
1980,40-44 years,Brain and central nervous system cancer,93.52323305724097
1980,40-44 years,Breast cancer,360.9489159544648
1980,40-44 years,Cervical cancer,97.64871786945308
1980,40-44 years,Colon and rectum cancer,177.91447566333943
1980,40-44 years,Esophageal cancer,121.90687700527093
1980,40-44 years,Eye cancer,3.748757182961917
1980,40-44 years,Gallbladder and biliary tract cancer,14.063362117050314
1980,40-44 years,Kidney cancer,37.73782114063382
1980,40-44 years,Larynx cancer,101.60892335512108
1980,40-44 years,Lip and oral cavity cancer,103.19275449143234
1980,40-44 years,Liver cancer,33.121802181991654
1980,40-44 years,Nasopharynx cancer,29.509963773126668
1980,40-44 years,Non-melanoma skin cancer,8.3740496680983
1980,40-44 years,Other pharynx cancer,92.11695798747803
1980,40-44 years,Ovarian cancer,77.09528515852338
1980,40-44 years,Pancreatic cancer,69.20552158151382
1980,40-44 years,Prostate cancer,5.08655782060632
1980,40-44 years,Stomach cancer,139.9137454456619
1980,40-44 years,Testicular cancer,18.435155615633683
1980,40-44 years,Thyroid cancer,10.772689092925646
1980,40-44 years,"Tracheal, bronchus, and lung cancer",375.7472202278619
1980,40-44 years,Uterine cancer,13.38609778486166
1980,45-49 years,Bladder cancer,77.0673961726523
1980,45-49 years,Brain and central nervous system cancer,153.8844409184503
1980,45-49 years,Breast cancer,666.1864072316368
1980,45-49 years,Cervical cancer,159.86960934994198
1980,45-49 years,Colon and rectum cancer,381.6681152233667
1980,45-49 years,Esophageal cancer,373.8157925062434
1980,45-49 years,Eye cancer,6.194748973683999
1980,45-49 years,Gallbladder and biliary tract cancer,35.90289164307401
1980,45-49 years,Kidney cancer,90.55253774857803
1980,45-49 years,Larynx cancer,312.35285337059696
1980,45-49 years,Lip and oral cavity cancer,281.5451943090435
1980,45-49 years,Liver cancer,65.13200522168007
1980,45-49 years,Nasopharynx cancer,71.76244484405518
1980,45-49 years,Non-melanoma skin cancer,11.864371669787733
1980,45-49 years,Other pharynx cancer,258.6931213475746
1980,45-49 years,Ovarian cancer,160.799774075266
1980,45-49 years,Pancreatic cancer,182.7502085385637
1980,45-49 years,Prostate cancer,24.102943813476852
1980,45-49 years,Stomach cancer,265.54025195361413
1980,45-49 years,Testicular cancer,20.03358418854783
1980,45-49 years,Thyroid cancer,19.852494103459
1980,45-49 years,"Tracheal, bronchus, and lung cancer",1001.205376877978
1980,45-49 years,Uterine cancer,39.37700978784929
1980,5-9 years,Brain and central nervous system cancer,48.753357536334704
1980,5-9 years,Eye cancer,1.3009931237411894
1980,5-9 years,Kidney cancer,8.417435421074767
1980,5-9 years,Liver cancer,2.986386667277208
1980,5-9 years,Nasopharynx cancer,0.8934803993515148
1980,5-9 years,Thyroid cancer,0.3621015367344318
1980,50-54 years,Bladder cancer,162.4208377758459
1980,50-54 years,Brain and central nervous system cancer,205.4306240834535
1980,50-54 years,Breast cancer,984.1297132128645
1980,50-54 years,Cervical cancer,233.31530275942973
1980,50-54 years,Colon and rectum cancer,750.6611230464289
1980,50-54 years,Esophageal cancer,730.224016429945
1980,50-54 years,Eye cancer,8.620149139681992
1980,50-54 years,Gallbladder and biliary tract cancer,82.33972428930255
1980,50-54 years,Kidney cancer,163.85497269790827
1980,50-54 years,Larynx cancer,534.0846337037128
1980,50-54 years,Lip and oral cavity cancer,455.03263128314603
1980,50-54 years,Liver cancer,136.57758140638785
1980,50-54 years,Nasopharynx cancer,116.64322776006156
1980,50-54 years,Non-melanoma skin cancer,20.2361438859876
1980,50-54 years,Other pharynx cancer,397.96547822636336
1980,50-54 years,Ovarian cancer,270.69907388353755
1980,50-54 years,Pancreatic cancer,323.5045869454384
1980,50-54 years,Prostate cancer,74.11227546936182
1980,50-54 years,Stomach cancer,464.9514315090441
1980,50-54 years,Testicular cancer,14.474212747195462
1980,50-54 years,Thyroid cancer,32.38628505359195
1980,50-54 years,"Tracheal, bronchus, and lung cancer",1882.4184001586998
1980,50-54 years,Uterine cancer,78.69741918406703
1980,55-59 years,Bladder cancer,276.00387619385145
1980,55-59 years,Brain and central nervous system cancer,264.9647016384017
1980,55-59 years,Breast cancer,1262.2120268223161
1980,55-59 years,Cervical cancer,320.868877527337
1980,55-59 years,Colon and rectum cancer,1289.1339142342063
1980,55-59 years,Esophageal cancer,974.7115133299687
1980,55-59 years,Eye cancer,11.959400169534707
1980,55-59 years,Gallbladder and biliary tract cancer,143.33205154574614
1980,55-59 years,Kidney cancer,247.856317100404
1980,55-59 years,Larynx cancer,631.2500366887923
1980,55-59 years,Lip and oral cavity cancer,530.4201202290496
1980,55-59 years,Liver cancer,229.17544876010882
1980,55-59 years,Nasopharynx cancer,136.66188592632955
1980,55-59 years,Non-melanoma skin cancer,30.75391711302366
1980,55-59 years,Other pharynx cancer,448.3969051571936
1980,55-59 years,Ovarian cancer,367.1585020312357
1980,55-59 years,Pancreatic cancer,508.1125462234963
1980,55-59 years,Prostate cancer,191.11981810154344
1980,55-59 years,Stomach cancer,729.4468510997384
1980,55-59 years,Testicular cancer,11.672296278344575
1980,55-59 years,Thyroid cancer,47.076671706313505
1980,55-59 years,"Tracheal, bronchus, and lung cancer",2743.1725682623564
1980,55-59 years,Uterine cancer,143.03119791567667
1980,60-64 years,Bladder cancer,283.9324739892159
1980,60-64 years,Brain and central nervous system cancer,193.06506000018
1980,60-64 years,Breast cancer,845.7237596784599
1980,60-64 years,Cervical cancer,216.3347141591165
1980,60-64 years,Colon and rectum cancer,1228.567965114922
1980,60-64 years,Esophageal cancer,699.7500288466993
1980,60-64 years,Eye cancer,10.540671214375829
1980,60-64 years,Gallbladder and biliary tract cancer,129.34120757407146
1980,60-64 years,Kidney cancer,211.06394313699815
1980,60-64 years,Larynx cancer,440.23256920064205
1980,60-64 years,Lip and oral cavity cancer,338.44851298603965
1980,60-64 years,Liver cancer,201.60124852734864
1980,60-64 years,Nasopharynx cancer,66.499685087128
1980,60-64 years,Non-melanoma skin cancer,25.787148315101867
1980,60-64 years,Other pharynx cancer,280.8272575960518
1980,60-64 years,Ovarian cancer,271.09329015919474
1980,60-64 years,Pancreatic cancer,450.9170956804006
1980,60-64 years,Prostate cancer,334.834569010309
1980,60-64 years,Stomach cancer,713.4846393693315
1980,60-64 years,Testicular cancer,7.114779160240208
1980,60-64 years,Thyroid cancer,36.799984229949146
1980,60-64 years,"Tracheal, bronchus, and lung cancer",2272.9630069300097
1980,60-64 years,Uterine cancer,143.5099524444702
1980,65-69 years,Bladder cancer,602.7300102865855
1980,65-69 years,Brain and central nervous system cancer,291.20640900665893
1980,65-69 years,Breast cancer,1300.823444482504
1980,65-69 years,Cervical cancer,343.83359687872525
1980,65-69 years,Colon and rectum cancer,2482.8824651446034
1980,65-69 years,Esophageal cancer,994.3795715531952
1980,65-69 years,Eye cancer,18.216525558999923
1980,65-69 years,Gallbladder and biliary tract cancer,247.7012464901039
1980,65-69 years,Kidney cancer,391.02631256363327
1980,65-69 years,Larynx cancer,563.887125589009
1980,65-69 years,Lip and oral cavity cancer,439.8597411588027
1980,65-69 years,Liver cancer,355.5302803870541
1980,65-69 years,Nasopharynx cancer,81.61377653781456
1980,65-69 years,Non-melanoma skin cancer,54.19178589732674
1980,65-69 years,Other pharynx cancer,329.0683111586095
1980,65-69 years,Ovarian cancer,446.9011326620241
1980,65-69 years,Pancreatic cancer,847.3840389724461
1980,65-69 years,Prostate cancer,912.803207210578
1980,65-69 years,Stomach cancer,1413.9704496873449
1980,65-69 years,Testicular cancer,10.916538709862431
1980,65-69 years,Thyroid cancer,62.562995473466444
1980,65-69 years,"Tracheal, bronchus, and lung cancer",3772.423741357853
1980,65-69 years,Uterine cancer,250.0199719273909
1980,70-74 years,Bladder cancer,865.3881886768755
1980,70-74 years,Brain and central nervous system cancer,256.0146327141249
1980,70-74 years,Breast cancer,1509.2977098026743
1980,70-74 years,Cervical cancer,380.265604374983
1980,70-74 years,Colon and rectum cancer,3496.245402282899
1980,70-74 years,Esophageal cancer,1048.4047852934277
1980,70-74 years,Eye cancer,20.192707791068706
1980,70-74 years,Gallbladder and biliary tract cancer,365.8557539031352
1980,70-74 years,Kidney cancer,492.90343369525476
1980,70-74 years,Larynx cancer,554.2536964072646
1980,70-74 years,Lip and oral cavity cancer,409.61395741614604
1980,70-74 years,Liver cancer,396.59795666030425
1980,70-74 years,Nasopharynx cancer,75.36928393524745
1980,70-74 years,Non-melanoma skin cancer,76.28202906666013
1980,70-74 years,Other pharynx cancer,292.0189795823584
1980,70-74 years,Ovarian cancer,509.605309374251
1980,70-74 years,Pancreatic cancer,1106.3084555269204
1980,70-74 years,Prostate cancer,1635.751618169007
1980,70-74 years,Stomach cancer,2064.8433164195726
1980,70-74 years,Testicular cancer,12.661118057727862
1980,70-74 years,Thyroid cancer,94.809254572118
1980,70-74 years,"Tracheal, bronchus, and lung cancer",4150.085053216131
1980,70-74 years,Uterine cancer,327.2614426456417
1980,75-79 years,Bladder cancer,1076.4540079519004
1980,75-79 years,Brain and central nervous system cancer,161.2509005612063
1980,75-79 years,Breast cancer,1552.5194435249937
1980,75-79 years,Cervical cancer,352.12259360260566
1980,75-79 years,Colon and rectum cancer,4120.255565789979
1980,75-79 years,Esophageal cancer,891.8995797546032
1980,75-79 years,Eye cancer,21.02724193768172
1980,75-79 years,Gallbladder and biliary tract cancer,429.1814121965948
1980,75-79 years,Kidney cancer,472.1751755714787
1980,75-79 years,Larynx cancer,406.8781226624452
1980,75-79 years,Lip and oral cavity cancer,330.2451651065276
1980,75-79 years,Liver cancer,382.67675021562366
1980,75-79 years,Nasopharynx cancer,45.07111927386318
1980,75-79 years,Non-melanoma skin cancer,100.74985241435826
1980,75-79 years,Other pharynx cancer,182.90220547302928
1980,75-79 years,Ovarian cancer,456.5731805878152
1980,75-79 years,Pancreatic cancer,1124.569505005026
1980,75-79 years,Prostate cancer,2460.9544977772857
1980,75-79 years,Stomach cancer,2440.3579181036966
1980,75-79 years,Testicular cancer,11.815226044070002
1980,75-79 years,Thyroid cancer,99.07573972453204
1980,75-79 years,"Tracheal, bronchus, and lung cancer",3286.1804197330894
1980,75-79 years,Uterine cancer,318.8642307830456
1980,80-84 years,Bladder cancer,857.7172354104821
1980,80-84 years,Brain and central nervous system cancer,73.37951678489453
1980,80-84 years,Breast cancer,1323.1185227994833
1980,80-84 years,Cervical cancer,263.7142055749095
1980,80-84 years,Colon and rectum cancer,3598.911404346046
1980,80-84 years,Esophageal cancer,567.2979594002591
1980,80-84 years,Eye cancer,16.78579678986147
1980,80-84 years,Gallbladder and biliary tract cancer,357.91733628004135
1980,80-84 years,Kidney cancer,318.3897062255593
1980,80-84 years,Larynx cancer,228.3644437206208
1980,80-84 years,Lip and oral cavity cancer,206.39433038911267
1980,80-84 years,Liver cancer,257.9310841616468
1980,80-84 years,Nasopharynx cancer,24.76858591085267
1980,80-84 years,Non-melanoma skin cancer,118.36679337119568
1980,80-84 years,Other pharynx cancer,88.1798840341174
1980,80-84 years,Ovarian cancer,343.3204593334047
1980,80-84 years,Pancreatic cancer,847.7652760018398
1980,80-84 years,Prostate cancer,2057.614946802537
1980,80-84 years,Stomach cancer,2096.6241088092934
1980,80-84 years,Testicular cancer,8.785087857972458
1980,80-84 years,Thyroid cancer,79.31691446664918
1980,80-84 years,"Tracheal, bronchus, and lung cancer",1773.8891147737443
1980,80-84 years,Uterine cancer,268.2318851136533
1980,85-89 years,Bladder cancer,517.634019471318
1980,85-89 years,Brain and central nervous system cancer,34.41618179456689
1980,85-89 years,Breast cancer,965.6949475819746
1980,85-89 years,Cervical cancer,181.21680937572933
1980,85-89 years,Colon and rectum cancer,2346.7683137486883
1980,85-89 years,Esophageal cancer,348.2887156837229
1980,85-89 years,Eye cancer,11.70309416205284
1980,85-89 years,Gallbladder and biliary tract cancer,218.74704384342783
1980,85-89 years,Kidney cancer,171.91465035965217
1980,85-89 years,Larynx cancer,110.76709650379156
1980,85-89 years,Lip and oral cavity cancer,123.06038185654481
1980,85-89 years,Liver cancer,156.13632635615264
1980,85-89 years,Nasopharynx cancer,12.358508584190368
1980,85-89 years,Non-melanoma skin cancer,131.24122612796035
1980,85-89 years,Other pharynx cancer,38.57207314597711
1980,85-89 years,Ovarian cancer,193.8649100276924
1980,85-89 years,Pancreatic cancer,514.7053193133872
1980,85-89 years,Prostate cancer,1131.806658765037
1980,85-89 years,Stomach cancer,1325.1073696309275
1980,85-89 years,Testicular cancer,5.535849199832405
1980,85-89 years,Thyroid cancer,48.23005111059746
1980,85-89 years,"Tracheal, bronchus, and lung cancer",739.0062667280955
1980,85-89 years,Uterine cancer,156.12329868047908
1980,90-94 years,Bladder cancer,188.14205100374517
1980,90-94 years,Brain and central nervous system cancer,12.076033710450641
1980,90-94 years,Breast cancer,390.89594453750846
1980,90-94 years,Cervical cancer,70.48996701485689
1980,90-94 years,Colon and rectum cancer,881.1250765660443
1980,90-94 years,Esophageal cancer,102.4130251430216
1980,90-94 years,Eye cancer,4.31459106516725
1980,90-94 years,Gallbladder and biliary tract cancer,78.81073264907431
1980,90-94 years,Kidney cancer,55.92414083073643
1980,90-94 years,Larynx cancer,27.00476940145333
1980,90-94 years,Lip and oral cavity cancer,44.53827470738955
1980,90-94 years,Liver cancer,59.07567444688265
1980,90-94 years,Nasopharynx cancer,3.9010375163456077
1980,90-94 years,Non-melanoma skin cancer,68.72148905934968
1980,90-94 years,Other pharynx cancer,9.932126166973166
1980,90-94 years,Ovarian cancer,64.73464825365544
