year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,14.379324774415
1980,10-14 years,Eye cancer,0.053330592298875795
1980,10-14 years,Kidney cancer,0.45672718621091957
1980,10-14 years,Liver cancer,0.46054904311475475
1980,10-14 years,Nasopharynx cancer,0.23616388447598868
1980,10-14 years,Thyroid cancer,0.0684171390102835
1980,15-19 years,Bladder cancer,0.087938309085739
1980,15-19 years,Brain and central nervous system cancer,8.677418337863054
1980,15-19 years,Breast cancer,0.3394903353861981
1980,15-19 years,Cervical cancer,0.1698039781599492
1980,15-19 years,Colon and rectum cancer,0.5579491063077118
1980,15-19 years,Eye cancer,0.0509258726840586
1980,15-19 years,Kidney cancer,0.31300890063098896
1980,15-19 years,Lip and oral cavity cancer,0.1143672486076937
1980,15-19 years,Liver cancer,0.574053745565914
1980,15-19 years,Nasopharynx cancer,0.3172438677777983
1980,15-19 years,Ovarian cancer,0.5422673782600235
1980,15-19 years,Pancreatic cancer,0.1668558419350426
1980,15-19 years,Stomach cancer,0.5852635315711222
1980,15-19 years,Testicular cancer,1.1778235097450336
1980,15-19 years,Thyroid cancer,0.0909375316841758
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.9951567146873361
1980,20-24 years,Bladder cancer,0.1330960597636955
1980,20-24 years,Brain and central nervous system cancer,9.498076664916628
1980,20-24 years,Breast cancer,0.926559704074855
1980,20-24 years,Cervical cancer,0.8868533884124841
1980,20-24 years,Colon and rectum cancer,1.2193502770442148
1980,20-24 years,Esophageal cancer,0.11770893025616169
1980,20-24 years,Eye cancer,0.0831910835061333
1980,20-24 years,Gallbladder and biliary tract cancer,0.13436253098834922
1980,20-24 years,Kidney cancer,0.42172021835657203
1980,20-24 years,Larynx cancer,0.131180767276157
1980,20-24 years,Lip and oral cavity cancer,0.2032576878736718
1980,20-24 years,Liver cancer,0.771397196448478
1980,20-24 years,Nasopharynx cancer,0.4186857811254003
1980,20-24 years,Non-melanoma skin cancer,0.2712708075581361
1980,20-24 years,Other pharynx cancer,0.0137021742238791
1980,20-24 years,Ovarian cancer,0.90304767945563
1980,20-24 years,Pancreatic cancer,0.33713973016541077
1980,20-24 years,Prostate cancer,0.0728552186555684
1980,20-24 years,Stomach cancer,1.7893629799307869
1980,20-24 years,Testicular cancer,3.1564043208764376
1980,20-24 years,Thyroid cancer,0.1470776971354088
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.7590877257418107
1980,20-24 years,Uterine cancer,0.0727313018045378
1980,25-29 years,Bladder cancer,0.2392235168009485
1980,25-29 years,Brain and central nervous system cancer,11.816890652466196
1980,25-29 years,Breast cancer,4.932613964560331
1980,25-29 years,Cervical cancer,3.301304597625098
1980,25-29 years,Colon and rectum cancer,2.40960341512337
1980,25-29 years,Esophageal cancer,0.1991487894316345
1980,25-29 years,Eye cancer,0.0942631496605928
1980,25-29 years,Gallbladder and biliary tract cancer,0.2496989571478986
1980,25-29 years,Kidney cancer,0.5390378226834356
1980,25-29 years,Larynx cancer,0.2064225812740812
1980,25-29 years,Lip and oral cavity cancer,0.3458976079380219
1980,25-29 years,Liver cancer,1.1138328930884762
1980,25-29 years,Nasopharynx cancer,0.386085019709165
1980,25-29 years,Non-melanoma skin cancer,0.3730190212876293
