year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,3.7174207139556392
1980,10-14 years,Eye cancer,0.2707259925884923
1980,10-14 years,Kidney cancer,0.6665403532468624
1980,10-14 years,Liver cancer,1.1561564990486768
1980,10-14 years,Nasopharynx cancer,0.3377354422243084
1980,10-14 years,Thyroid cancer,0.2799626858187852
1980,15-19 years,Bladder cancer,0.0726773597630351
1980,15-19 years,Brain and central nervous system cancer,2.013517956864523
1980,15-19 years,Breast cancer,0.3530074043580074
1980,15-19 years,Cervical cancer,1.8886081297319168
1980,15-19 years,Colon and rectum cancer,1.0811690190404097
1980,15-19 years,Eye cancer,0.19426893214089702
1980,15-19 years,Kidney cancer,0.3486197373157895
1980,15-19 years,Lip and oral cavity cancer,0.39717349671071867
1980,15-19 years,Liver cancer,1.1480674826103843
1980,15-19 years,Nasopharynx cancer,0.34418404839081773
1980,15-19 years,Ovarian cancer,0.6587596600648876
1980,15-19 years,Pancreatic cancer,0.23050609996782379
1980,15-19 years,Stomach cancer,5.604433631200171
1980,15-19 years,Testicular cancer,0.8949634919510453
1980,15-19 years,Thyroid cancer,0.2607078203967102
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.1482827110343208
1980,20-24 years,Bladder cancer,0.12401721589670181
1980,20-24 years,Brain and central nervous system cancer,1.8362513172570858
1980,20-24 years,Breast cancer,0.6104650944959035
1980,20-24 years,Cervical cancer,3.5466031332089925
1980,20-24 years,Colon and rectum cancer,1.9495248153475273
1980,20-24 years,Esophageal cancer,0.6020420703186136
1980,20-24 years,Eye cancer,0.1398820984016204
1980,20-24 years,Gallbladder and biliary tract cancer,0.4827377209850376
1980,20-24 years,Kidney cancer,0.4359998208521274
1980,20-24 years,Larynx cancer,0.2809651025199122
1980,20-24 years,Lip and oral cavity cancer,0.5805791741581889
1980,20-24 years,Liver cancer,1.4355994939607784
1980,20-24 years,Nasopharynx cancer,0.3897038195355875
1980,20-24 years,Non-melanoma skin cancer,0.398742114678385
1980,20-24 years,Other pharynx cancer,0.2603289110241112
1980,20-24 years,Ovarian cancer,0.6777471350599467
1980,20-24 years,Pancreatic cancer,0.3716463221467107
1980,20-24 years,Prostate cancer,0.2035753176400168
1980,20-24 years,Stomach cancer,9.855575484133123
1980,20-24 years,Testicular cancer,1.9791536386541089
1980,20-24 years,Thyroid cancer,0.3834168133168271
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.6236795777616513
1980,20-24 years,Uterine cancer,0.4140623251023387
1980,25-29 years,Bladder cancer,0.1650721722894165
1980,25-29 years,Brain and central nervous system cancer,1.956275143321058
1980,25-29 years,Breast cancer,1.8932646568732074
1980,25-29 years,Cervical cancer,8.797148513425935
1980,25-29 years,Colon and rectum cancer,2.897824212260689
1980,25-29 years,Esophageal cancer,0.9780545373768461
1980,25-29 years,Eye cancer,0.137178346879095
1980,25-29 years,Gallbladder and biliary tract cancer,0.7032616032942426
1980,25-29 years,Kidney cancer,0.5182911071174382
1980,25-29 years,Larynx cancer,0.4652055325796046
1980,25-29 years,Lip and oral cavity cancer,0.7810065488962117
1980,25-29 years,Liver cancer,1.897723763795331
1980,25-29 years,Nasopharynx cancer,0.36606172850616414
1980,25-29 years,Non-melanoma skin cancer,0.546536707842935
1980,25-29 years,Other pharynx cancer,0.27234191938322183
1980,25-29 years,Ovarian cancer,0.7467485446518559
1980,25-29 years,Pancreatic cancer,0.6426579873404075
1980,25-29 years,Prostate cancer,0.2678551496456077
1980,25-29 years,Stomach cancer,15.353327996927895
1980,25-29 years,Testicular cancer,1.9503044199991928
1980,25-29 years,Thyroid cancer,0.5562802879819952
1980,25-29 years,"Tracheal, bronchus, and lung cancer",2.19860128853107
1980,25-29 years,Uterine cancer,0.8134919683749492
1980,30-34 years,Bladder cancer,0.2533232975518037
1980,30-34 years,Brain and central nervous system cancer,1.852815155467975
1980,30-34 years,Breast cancer,4.874940804995661
1980,30-34 years,Cervical cancer,17.435582877129086
1980,30-34 years,Colon and rectum cancer,3.6852137138025256
1980,30-34 years,Esophageal cancer,1.3051770291675449
1980,30-34 years,Eye cancer,0.1374844040123566
1980,30-34 years,Gallbladder and biliary tract cancer,1.1660803605536545
1980,30-34 years,Kidney cancer,0.5181839708173814
1980,30-34 years,Larynx cancer,0.6173174876361653
1980,30-34 years,Lip and oral cavity cancer,1.037650400371714
1980,30-34 years,Liver cancer,2.0520662028190255
1980,30-34 years,Nasopharynx cancer,0.3359869475676899
1980,30-34 years,Non-melanoma skin cancer,0.7049363522768199
1980,30-34 years,Other pharynx cancer,0.3693423189568451
1980,30-34 years,Ovarian cancer,0.8900781355917872
1980,30-34 years,Pancreatic cancer,0.9859856147050288
1980,30-34 years,Prostate cancer,0.2143594492227957
1980,30-34 years,Stomach cancer,22.04236399398617
1980,30-34 years,Testicular cancer,1.0422160413123407
1980,30-34 years,Thyroid cancer,0.5936553234564614
1980,30-34 years,"Tracheal, bronchus, and lung cancer",3.55431388252652
1980,30-34 years,Uterine cancer,0.8533739352766134
1980,35-39 years,Bladder cancer,0.4037150289365557
1980,35-39 years,Brain and central nervous system cancer,2.1794988044029093
1980,35-39 years,Breast cancer,6.457709778351351
1980,35-39 years,Cervical cancer,24.4539022955241
1980,35-39 years,Colon and rectum cancer,4.467380856464914
1980,35-39 years,Esophageal cancer,2.071821050649284
1980,35-39 years,Eye cancer,0.175954474011532
1980,35-39 years,Gallbladder and biliary tract cancer,2.2008483656383566
1980,35-39 years,Kidney cancer,0.7509600635089229
1980,35-39 years,Larynx cancer,0.8348947865597196
1980,35-39 years,Lip and oral cavity cancer,1.3285911768475183
1980,35-39 years,Liver cancer,2.844371643312768
1980,35-39 years,Nasopharynx cancer,0.4345014710369007
1980,35-39 years,Non-melanoma skin cancer,0.9574840167126384
1980,35-39 years,Other pharynx cancer,0.4307472033321406
1980,35-39 years,Ovarian cancer,1.1812057794554789
1980,35-39 years,Pancreatic cancer,1.6334220106146273
1980,35-39 years,Prostate cancer,0.3314327570939766
1980,35-39 years,Stomach cancer,33.47355141949039
1980,35-39 years,Testicular cancer,0.7128083201114751
1980,35-39 years,Thyroid cancer,0.8113281622803084
1980,35-39 years,"Tracheal, bronchus, and lung cancer",4.877822855065306
1980,35-39 years,Uterine cancer,1.402067823852376
1980,40-44 years,Bladder cancer,0.6079747449344974
1980,40-44 years,Brain and central nervous system cancer,2.2076286395982274
1980,40-44 years,Breast cancer,8.492345324282237
1980,40-44 years,Cervical cancer,28.147462958300824
1980,40-44 years,Colon and rectum cancer,5.437332691376355
1980,40-44 years,Esophageal cancer,2.8351628252209995
1980,40-44 years,Eye cancer,0.2036731279759374
1980,40-44 years,Gallbladder and biliary tract cancer,4.062499370543809
1980,40-44 years,Kidney cancer,1.1256338931515506
1980,40-44 years,Larynx cancer,1.3191356862046453
1980,40-44 years,Lip and oral cavity cancer,1.7356296477697022
1980,40-44 years,Liver cancer,4.9606389061020275
1980,40-44 years,Nasopharynx cancer,0.5070054125959778
1980,40-44 years,Non-melanoma skin cancer,1.2439349935001327
1980,40-44 years,Other pharynx cancer,0.7119733679598678
1980,40-44 years,Ovarian cancer,1.4610860289018286
1980,40-44 years,Pancreatic cancer,2.340226634833389
1980,40-44 years,Prostate cancer,0.5870218186402935
1980,40-44 years,Stomach cancer,47.57217384374775
1980,40-44 years,Testicular cancer,0.4704832046670628
1980,40-44 years,Thyroid cancer,1.078516661221063
1980,40-44 years,"Tracheal, bronchus, and lung cancer",6.472215286535203
1980,40-44 years,Uterine cancer,1.8502765493142688
1980,45-49 years,Bladder cancer,0.878432869271297
1980,45-49 years,Brain and central nervous system cancer,2.170004117272215
1980,45-49 years,Breast cancer,9.263363396370988
1980,45-49 years,Cervical cancer,28.508716702889103
1980,45-49 years,Colon and rectum cancer,7.010074197377394
1980,45-49 years,Esophageal cancer,4.485039203292702
1980,45-49 years,Eye cancer,0.216217472534671
1980,45-49 years,Gallbladder and biliary tract cancer,5.902087668594796
1980,45-49 years,Kidney cancer,1.7884766063628734
1980,45-49 years,Larynx cancer,2.2423077380186953
1980,45-49 years,Lip and oral cavity cancer,2.419035802404273
1980,45-49 years,Liver cancer,6.809702652836432
1980,45-49 years,Nasopharynx cancer,0.6407065112283679
1980,45-49 years,Non-melanoma skin cancer,1.5305125438938343
1980,45-49 years,Other pharynx cancer,1.095348167869792
1980,45-49 years,Ovarian cancer,1.7416882961273248
1980,45-49 years,Pancreatic cancer,3.4164686233372894
1980,45-49 years,Prostate cancer,1.3779921797123482
1980,45-49 years,Stomach cancer,61.85402451873615
1980,45-49 years,Testicular cancer,0.2616326742763748
1980,45-49 years,Thyroid cancer,1.6119480014441387
1980,45-49 years,"Tracheal, bronchus, and lung cancer",12.833050017508832
1980,45-49 years,Uterine cancer,3.3912530739695823
1980,5-9 years,Brain and central nervous system cancer,9.012346221016715
1980,5-9 years,Eye cancer,1.0484242460985371
1980,5-9 years,Kidney cancer,2.9891082954686983
1980,5-9 years,Liver cancer,3.1104864155172933
1980,5-9 years,Nasopharynx cancer,0.4088734854479432
1980,5-9 years,Thyroid cancer,0.4639881078797611
1980,50-54 years,Bladder cancer,1.2830426756711582
1980,50-54 years,Brain and central nervous system cancer,2.2935186910639436
1980,50-54 years,Breast cancer,11.209381914770827
1980,50-54 years,Cervical cancer,30.145673437826424
1980,50-54 years,Colon and rectum cancer,9.431908650154936
1980,50-54 years,Esophageal cancer,6.595726833286105
1980,50-54 years,Eye cancer,0.2400627397036171
1980,50-54 years,Gallbladder and biliary tract cancer,8.913089084386872
1980,50-54 years,Kidney cancer,2.1369195299412933
1980,50-54 years,Larynx cancer,3.667982053236173
1980,50-54 years,Lip and oral cavity cancer,3.235727018276531
1980,50-54 years,Liver cancer,10.037294601308439
1980,50-54 years,Nasopharynx cancer,0.7822255708924519
1980,50-54 years,Non-melanoma skin cancer,1.8153801972463257
1980,50-54 years,Other pharynx cancer,1.5011451696025342
1980,50-54 years,Ovarian cancer,1.7722586119979815
1980,50-54 years,Pancreatic cancer,4.513121585396769
1980,50-54 years,Prostate cancer,2.916961465105693
1980,50-54 years,Stomach cancer,78.59922137317088
1980,50-54 years,Testicular cancer,0.1664053664556285
1980,50-54 years,Thyroid cancer,2.344421879235259
1980,50-54 years,"Tracheal, bronchus, and lung cancer",16.66427600547317
1980,50-54 years,Uterine cancer,4.09542456499124
1980,55-59 years,Bladder cancer,1.5238310992644055
1980,55-59 years,Brain and central nervous system cancer,2.315327704456271
1980,55-59 years,Breast cancer,8.532804845417628
1980,55-59 years,Cervical cancer,25.30070263930152
1980,55-59 years,Colon and rectum cancer,9.59963977726156
1980,55-59 years,Esophageal cancer,6.604139583923723
1980,55-59 years,Eye cancer,0.2465754556723171
1980,55-59 years,Gallbladder and biliary tract cancer,9.97163014554843
1980,55-59 years,Kidney cancer,2.51329050882186
1980,55-59 years,Larynx cancer,4.36896007671598
1980,55-59 years,Lip and oral cavity cancer,3.728187007489458
1980,55-59 years,Liver cancer,12.155572567735048
1980,55-59 years,Nasopharynx cancer,0.8423400114054751
1980,55-59 years,Non-melanoma skin cancer,1.8320815599737355
1980,55-59 years,Other pharynx cancer,1.8068709811763157
1980,55-59 years,Ovarian cancer,1.5223884122414466
1980,55-59 years,Pancreatic cancer,4.923635297273107
1980,55-59 years,Prostate cancer,5.810137203525854
1980,55-59 years,Stomach cancer,81.89271646302791
1980,55-59 years,Testicular cancer,0.138604373523944
1980,55-59 years,Thyroid cancer,2.6684677716568115
1980,55-59 years,"Tracheal, bronchus, and lung cancer",21.887524846890493
1980,55-59 years,Uterine cancer,4.438161369799946
1980,60-64 years,Bladder cancer,2.150397425876093
1980,60-64 years,Brain and central nervous system cancer,2.1325374707598064
1980,60-64 years,Breast cancer,8.4507884709394
1980,60-64 years,Cervical cancer,21.7864155309158
1980,60-64 years,Colon and rectum cancer,12.614793271268963
1980,60-64 years,Esophageal cancer,7.836158403258247
1980,60-64 years,Eye cancer,0.2774466768608851
1980,60-64 years,Gallbladder and biliary tract cancer,13.001418829952161
1980,60-64 years,Kidney cancer,2.7565418311330374
1980,60-64 years,Larynx cancer,5.893972925534505
1980,60-64 years,Lip and oral cavity cancer,4.644084277053846
1980,60-64 years,Liver cancer,17.60354392835652
1980,60-64 years,Nasopharynx cancer,0.7887090610774254
1980,60-64 years,Non-melanoma skin cancer,1.8026758649490138
1980,60-64 years,Other pharynx cancer,2.170376491626006
1980,60-64 years,Ovarian cancer,1.476392638794668
1980,60-64 years,Pancreatic cancer,6.221513942819478
1980,60-64 years,Prostate cancer,12.654884549327637
1980,60-64 years,Stomach cancer,102.00821927638637
1980,60-64 years,Testicular cancer,0.1297264564194043
1980,60-64 years,Thyroid cancer,3.511643319253291
1980,60-64 years,"Tracheal, bronchus, and lung cancer",30.434492009549608
1980,60-64 years,Uterine cancer,6.381349096629123
1980,65-69 years,Bladder cancer,2.5326160263413326
1980,65-69 years,Brain and central nervous system cancer,1.8746548192447139
1980,65-69 years,Breast cancer,7.573356711921636
1980,65-69 years,Cervical cancer,18.290407295767974
1980,65-69 years,Colon and rectum cancer,11.846545555697832
1980,65-69 years,Esophageal cancer,8.848464546553208
1980,65-69 years,Eye cancer,0.29938149679224013
1980,65-69 years,Gallbladder and biliary tract cancer,14.777098486065796
1980,65-69 years,Kidney cancer,2.345483558499003
1980,65-69 years,Larynx cancer,5.837028029564872
1980,65-69 years,Lip and oral cavity cancer,4.3570960247437895
1980,65-69 years,Liver cancer,20.75899051468573
1980,65-69 years,Nasopharynx cancer,0.7207092843682493
1980,65-69 years,Non-melanoma skin cancer,1.9586735443690175
1980,65-69 years,Other pharynx cancer,2.0931268639358036
1980,65-69 years,Ovarian cancer,1.3389926945961583
