year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,3.741127649214376
1980,10-14 years,Eye cancer,0.0816098277042851
1980,10-14 years,Kidney cancer,0.1561890143853469
1980,10-14 years,Liver cancer,0.2094585414873152
1980,10-14 years,Nasopharynx cancer,0.0976599755922772
1980,10-14 years,Thyroid cancer,0.0353304122106286
1980,15-19 years,Bladder cancer,0.0102258305071765
1980,15-19 years,Brain and central nervous system cancer,1.6727780304698432
1980,15-19 years,Breast cancer,0.034684350606687196
1980,15-19 years,Cervical cancer,0.3219813613594298
1980,15-19 years,Colon and rectum cancer,0.2928940500968305
1980,15-19 years,Eye cancer,0.045670247673501904
1980,15-19 years,Kidney cancer,0.07224187012454031
1980,15-19 years,Lip and oral cavity cancer,0.0773166724310041
1980,15-19 years,Liver cancer,0.1693536274842328
1980,15-19 years,Nasopharynx cancer,0.0864863188031457
1980,15-19 years,Ovarian cancer,0.5292068393264255
1980,15-19 years,Pancreatic cancer,0.0617082791659091
1980,15-19 years,Stomach cancer,0.7680804018259488
1980,15-19 years,Testicular cancer,0.2169618803837731
1980,15-19 years,Thyroid cancer,0.0274069812387933
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.5307581307484643
1980,20-24 years,Bladder cancer,0.0169760221804185
1980,20-24 years,Brain and central nervous system cancer,1.5655141019592431
1980,20-24 years,Breast cancer,0.0948272450108632
1980,20-24 years,Cervical cancer,0.8313309081263135
1980,20-24 years,Colon and rectum cancer,0.5304957120744257
1980,20-24 years,Esophageal cancer,0.0532207132636264
1980,20-24 years,Eye cancer,0.0351438435892045
1980,20-24 years,Gallbladder and biliary tract cancer,0.0876347453534775
1980,20-24 years,Kidney cancer,0.08373976653461279
1980,20-24 years,Larynx cancer,0.05637864050166411
1980,20-24 years,Lip and oral cavity cancer,0.10508555898939051
1980,20-24 years,Liver cancer,0.1953416285507168
1980,20-24 years,Nasopharynx cancer,0.0870393728814352
1980,20-24 years,Non-melanoma skin cancer,0.0723268504047848
1980,20-24 years,Other pharynx cancer,0.0506336849339397
1980,20-24 years,Ovarian cancer,0.5976635938911157
1980,20-24 years,Pancreatic cancer,0.0999958602623842
1980,20-24 years,Prostate cancer,0.0314259587451529
1980,20-24 years,Stomach cancer,1.6228884532009062
1980,20-24 years,Testicular cancer,0.4187289127177617
1980,20-24 years,Thyroid cancer,0.0370557385222575
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.7931310718178949
1980,20-24 years,Uterine cancer,0.1685498028033991
1980,25-29 years,Bladder cancer,0.0217004693287524
1980,25-29 years,Brain and central nervous system cancer,1.7616530607969543
1980,25-29 years,Breast cancer,0.4031988902755469
1980,25-29 years,Cervical cancer,2.3164015169472427
1980,25-29 years,Colon and rectum cancer,0.8104069205897995
1980,25-29 years,Esophageal cancer,0.08516401481650909
1980,25-29 years,Eye cancer,0.0321646934761605
1980,25-29 years,Gallbladder and biliary tract cancer,0.1273699144539714
1980,25-29 years,Kidney cancer,0.0901777393058267
1980,25-29 years,Larynx cancer,0.0878530042931175
1980,25-29 years,Lip and oral cavity cancer,0.145813874171133
1980,25-29 years,Liver cancer,0.2237387805697496
1980,25-29 years,Nasopharynx cancer,0.0828711273092244
1980,25-29 years,Non-melanoma skin cancer,0.0993337412229443
1980,25-29 years,Other pharynx cancer,0.056177004113314194
1980,25-29 years,Ovarian cancer,0.6928690313272503
1980,25-29 years,Pancreatic cancer,0.1743982470939791
1980,25-29 years,Prostate cancer,0.0420797100995272
1980,25-29 years,Stomach cancer,3.0775868891721228
1980,25-29 years,Testicular cancer,0.4079411296633763
1980,25-29 years,Thyroid cancer,0.0494131104882123
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.0923012699805934
1980,25-29 years,Uterine cancer,0.3262688905474845
1980,30-34 years,Bladder cancer,0.039530751329018995
1980,30-34 years,Brain and central nervous system cancer,1.715236155464675
1980,30-34 years,Breast cancer,1.2696740386913419
1980,30-34 years,Cervical cancer,5.169173378082245
1980,30-34 years,Colon and rectum cancer,1.1524155552404016
1980,30-34 years,Esophageal cancer,0.1328739383289843
1980,30-34 years,Eye cancer,0.031209659110462102
1980,30-34 years,Gallbladder and biliary tract cancer,0.2334903748499554
1980,30-34 years,Kidney cancer,0.1158294081716627
1980,30-34 years,Larynx cancer,0.1146058978048876
1980,30-34 years,Lip and oral cavity cancer,0.2188685195401949
1980,30-34 years,Liver cancer,0.2849200382862626
1980,30-34 years,Nasopharynx cancer,0.08713236931425991
1980,30-34 years,Non-melanoma skin cancer,0.1229360004073772
1980,30-34 years,Other pharynx cancer,0.0824683290945372
1980,30-34 years,Ovarian cancer,0.8231556987744655
1980,30-34 years,Pancreatic cancer,0.3244445711627796
1980,30-34 years,Prostate cancer,0.0454973367151836
1980,30-34 years,Stomach cancer,4.870249549147232
1980,30-34 years,Testicular cancer,0.2660180930856933
1980,30-34 years,Thyroid cancer,0.0564852606504706
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.817436939683692
1980,30-34 years,Uterine cancer,0.3752912788661218
1980,35-39 years,Bladder cancer,0.0700515153294748
1980,35-39 years,Brain and central nervous system cancer,2.0216423960768712
1980,35-39 years,Breast cancer,2.9057051314201634
1980,35-39 years,Cervical cancer,9.333819885457691
1980,35-39 years,Colon and rectum cancer,1.7295821985733841
1980,35-39 years,Esophageal cancer,0.2299459586846725
1980,35-39 years,Eye cancer,0.042470665668821794
1980,35-39 years,Gallbladder and biliary tract cancer,0.5194684627801128
1980,35-39 years,Kidney cancer,0.1950298386378213
1980,35-39 years,Larynx cancer,0.19312518640029142
1980,35-39 years,Lip and oral cavity cancer,0.3307337477873523
1980,35-39 years,Liver cancer,0.4699774906464899
1980,35-39 years,Nasopharynx cancer,0.12433012698417378
1980,35-39 years,Non-melanoma skin cancer,0.1846782306698197
1980,35-39 years,Other pharynx cancer,0.1064719760551737
1980,35-39 years,Ovarian cancer,1.2764028673944086
1980,35-39 years,Pancreatic cancer,0.6109967980821991
1980,35-39 years,Prostate cancer,0.0735899431080814
1980,35-39 years,Stomach cancer,7.502738202485265
1980,35-39 years,Testicular cancer,0.1807731146653425
1980,35-39 years,Thyroid cancer,0.0860726221353939
1980,35-39 years,"Tracheal, bronchus, and lung cancer",2.6829851118670303
1980,35-39 years,Uterine cancer,0.7539862737456678
1980,40-44 years,Bladder cancer,0.1262439744126332
1980,40-44 years,Brain and central nervous system cancer,2.3220199113414215
1980,40-44 years,Breast cancer,4.837055588163763
1980,40-44 years,Cervical cancer,13.238778881183752
1980,40-44 years,Colon and rectum cancer,2.4718050450212212
1980,40-44 years,Esophageal cancer,0.3998493535681257
1980,40-44 years,Eye cancer,0.058148017705401095
1980,40-44 years,Gallbladder and biliary tract cancer,1.0328865488880568
1980,40-44 years,Kidney cancer,0.333585904359457
1980,40-44 years,Larynx cancer,0.3729989751186466
1980,40-44 years,Lip and oral cavity cancer,0.5006377902413846
1980,40-44 years,Liver cancer,0.7646044531549366
1980,40-44 years,Nasopharynx cancer,0.1753901170616905
1980,40-44 years,Non-melanoma skin cancer,0.24546810918313028
1980,40-44 years,Other pharynx cancer,0.2080744092028743
1980,40-44 years,Ovarian cancer,1.9848121096672224
1980,40-44 years,Pancreatic cancer,1.0745253407738156
1980,40-44 years,Prostate cancer,0.1607326145621258
1980,40-44 years,Stomach cancer,10.66015411018699
1980,40-44 years,Testicular cancer,0.1251532026428567
1980,40-44 years,Thyroid cancer,0.12977253683948708
1980,40-44 years,"Tracheal, bronchus, and lung cancer",4.779235173151531
1980,40-44 years,Uterine cancer,1.2067711441134064
1980,45-49 years,Bladder cancer,0.18705713969654092
1980,45-49 years,Brain and central nervous system cancer,2.3076650459752277
1980,45-49 years,Breast cancer,6.151711312051905
1980,45-49 years,Cervical cancer,11.800923830839285
1980,45-49 years,Colon and rectum cancer,3.040674616288627
1980,45-49 years,Esophageal cancer,0.6170583861892087
1980,45-49 years,Eye cancer,0.069838647647702
1980,45-49 years,Gallbladder and biliary tract cancer,1.640419650316048
1980,45-49 years,Kidney cancer,0.528558469640335
1980,45-49 years,Larynx cancer,0.6624359585707533
1980,45-49 years,Lip and oral cavity cancer,0.6875913334412151
1980,45-49 years,Liver cancer,1.1449802994597122
1980,45-49 years,Nasopharynx cancer,0.2183568859534566
1980,45-49 years,Non-melanoma skin cancer,0.3040137611268684
1980,45-49 years,Other pharynx cancer,0.3033233630061548
1980,45-49 years,Ovarian cancer,2.7653874634075835
1980,45-49 years,Pancreatic cancer,1.626112002769601
1980,45-49 years,Prostate cancer,0.430882311007922
1980,45-49 years,Stomach cancer,12.977242137999479
1980,45-49 years,Testicular cancer,0.0741659721854477
1980,45-49 years,Thyroid cancer,0.1805640673967141
1980,45-49 years,"Tracheal, bronchus, and lung cancer",8.060082790339047
1980,45-49 years,Uterine cancer,2.163601679224572
1980,5-9 years,Brain and central nervous system cancer,9.672467994351422
1980,5-9 years,Eye cancer,0.6509322817223756
1980,5-9 years,Kidney cancer,0.910688221413726
1980,5-9 years,Liver cancer,0.716230407498577
1980,5-9 years,Nasopharynx cancer,0.1335830512129074
1980,5-9 years,Thyroid cancer,0.0611941267421561
1980,50-54 years,Bladder cancer,0.2706301249527512
1980,50-54 years,Brain and central nervous system cancer,2.622662647080147
1980,50-54 years,Breast cancer,6.460825329538866
1980,50-54 years,Cervical cancer,11.45016260578842
1980,50-54 years,Colon and rectum cancer,3.928202575444303
1980,50-54 years,Esophageal cancer,0.9481334940176444
1980,50-54 years,Eye cancer,0.0845542362350187
1980,50-54 years,Gallbladder and biliary tract cancer,2.5448562427417967
1980,50-54 years,Kidney cancer,0.7199175000836883
1980,50-54 years,Larynx cancer,1.0951341559577539
1980,50-54 years,Lip and oral cavity cancer,0.9195563830565229
1980,50-54 years,Liver cancer,1.797867695673339
1980,50-54 years,Nasopharynx cancer,0.2813512345664289
1980,50-54 years,Non-melanoma skin cancer,0.3505722815300229
1980,50-54 years,Other pharynx cancer,0.42376925837343093
1980,50-54 years,Ovarian cancer,3.2199593475655224
1980,50-54 years,Pancreatic cancer,2.3968602255329254
1980,50-54 years,Prostate cancer,1.068414685743714
1980,50-54 years,Stomach cancer,16.675794362129103
1980,50-54 years,Testicular cancer,0.0481120380075077
1980,50-54 years,Thyroid cancer,0.259967784181997
1980,50-54 years,"Tracheal, bronchus, and lung cancer",12.214684309029513
1980,50-54 years,Uterine cancer,2.708715612928806
1980,55-59 years,Bladder cancer,0.37893842023156754
1980,55-59 years,Brain and central nervous system cancer,2.746067734694506
1980,55-59 years,Breast cancer,6.455515402641996
1980,55-59 years,Cervical cancer,10.960513721929903
1980,55-59 years,Colon and rectum cancer,4.522452451411381
1980,55-59 years,Esophageal cancer,1.234260485460856
1980,55-59 years,Eye cancer,0.0982510413269303
1980,55-59 years,Gallbladder and biliary tract cancer,3.317209819929654
1980,55-59 years,Kidney cancer,0.8539163325520693
1980,55-59 years,Larynx cancer,1.4417778673599353
1980,55-59 years,Lip and oral cavity cancer,1.15093770955519
1980,55-59 years,Liver cancer,2.3835220665604604
1980,55-59 years,Nasopharynx cancer,0.33935776870510836
1980,55-59 years,Non-melanoma skin cancer,0.41067952586843814
1980,55-59 years,Other pharynx cancer,0.5490642043521904
1980,55-59 years,Ovarian cancer,3.1178371460249563
1980,55-59 years,Pancreatic cancer,3.06707918272948
1980,55-59 years,Prostate cancer,2.118720942161836
1980,55-59 years,Stomach cancer,18.87119736550183
1980,55-59 years,Testicular cancer,0.042116192590018
1980,55-59 years,Thyroid cancer,0.33215898424704104
1980,55-59 years,"Tracheal, bronchus, and lung cancer",15.096286866822311
1980,55-59 years,Uterine cancer,3.21782579649451
1980,60-64 years,Bladder cancer,0.5280744673453004
1980,60-64 years,Brain and central nervous system cancer,2.6107701435046264
1980,60-64 years,Breast cancer,5.046113846794748
1980,60-64 years,Cervical cancer,8.229581115057284
1980,60-64 years,Colon and rectum cancer,5.174773195205539
1980,60-64 years,Esophageal cancer,1.3912224808744633
1980,60-64 years,Eye cancer,0.11193750802481059
1980,60-64 years,Gallbladder and biliary tract cancer,3.7750285808499653
1980,60-64 years,Kidney cancer,0.9172506364419903
1980,60-64 years,Larynx cancer,1.769695385691365
1980,60-64 years,Lip and oral cavity cancer,1.3017348976834096
1980,60-64 years,Liver cancer,2.9672103904330824
1980,60-64 years,Nasopharynx cancer,0.2978982395587404
1980,60-64 years,Non-melanoma skin cancer,0.4734119520663174
