year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,10.059955387518217
1980,10-14 years,Eye cancer,0.1326175035364336
1980,10-14 years,Kidney cancer,0.38252983849020117
1980,10-14 years,Liver cancer,0.2616326023940507
1980,10-14 years,Nasopharynx cancer,0.1994702747612228
1980,10-14 years,Thyroid cancer,0.1051542854326972
1980,15-19 years,Bladder cancer,0.0988618318291247
1980,15-19 years,Brain and central nervous system cancer,7.079148761614837
1980,15-19 years,Breast cancer,0.2303747973371987
1980,15-19 years,Cervical cancer,0.1977250221848321
1980,15-19 years,Colon and rectum cancer,1.4122720725787792
1980,15-19 years,Eye cancer,0.1088236164278394
1980,15-19 years,Kidney cancer,0.2577738987909861
1980,15-19 years,Lip and oral cavity cancer,0.3822327063384582
1980,15-19 years,Liver cancer,0.44833077981769004
1980,15-19 years,Nasopharynx cancer,0.3073562253311594
1980,15-19 years,Ovarian cancer,0.9095019470355018
1980,15-19 years,Pancreatic cancer,0.2401522629922782
1980,15-19 years,Stomach cancer,0.9320328673195318
1980,15-19 years,Testicular cancer,2.2411343800032704
1980,15-19 years,Thyroid cancer,0.16138465172085342
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.300567221142691
1980,20-24 years,Bladder cancer,0.1436931915634578
1980,20-24 years,Brain and central nervous system cancer,9.442193310181164
1980,20-24 years,Breast cancer,0.8214412117683124
1980,20-24 years,Cervical cancer,1.5026572772035411
1980,20-24 years,Colon and rectum cancer,3.594305669959346
1980,20-24 years,Esophageal cancer,0.3217585609492183
1980,20-24 years,Eye cancer,0.1640736332674965
1980,20-24 years,Gallbladder and biliary tract cancer,0.2910490018042363
1980,20-24 years,Kidney cancer,0.4218294784201806
1980,20-24 years,Larynx cancer,0.2173697628702073
1980,20-24 years,Lip and oral cavity cancer,0.7019288923387683
1980,20-24 years,Liver cancer,0.8437084725847976
1980,20-24 years,Nasopharynx cancer,0.4180269312499822
1980,20-24 years,Non-melanoma skin cancer,0.32378082233752037
1980,20-24 years,Other pharynx cancer,0.32336485585412733
1980,20-24 years,Ovarian cancer,1.7584752399619563
1980,20-24 years,Pancreatic cancer,0.6561990433038813
1980,20-24 years,Prostate cancer,0.1565108802856903
1980,20-24 years,Stomach cancer,3.4601335509122197
1980,20-24 years,Testicular cancer,9.345774178060068
1980,20-24 years,Thyroid cancer,0.32018105680237297
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.864229644040736
1980,20-24 years,Uterine cancer,0.2558841773361644
1980,25-29 years,Bladder cancer,0.3156876393174915
1980,25-29 years,Brain and central nervous system cancer,13.516257668214791
1980,25-29 years,Breast cancer,5.484603060028598
1980,25-29 years,Cervical cancer,8.018386572922235
1980,25-29 years,Colon and rectum cancer,9.45401848467776
1980,25-29 years,Esophageal cancer,0.6684652545395056
1980,25-29 years,Eye cancer,0.3809017626459252
1980,25-29 years,Gallbladder and biliary tract cancer,0.8844524139201033
1980,25-29 years,Kidney cancer,0.7981343060685904
1980,25-29 years,Larynx cancer,0.4388068089597028
1980,25-29 years,Lip and oral cavity cancer,1.3128379835674657
1980,25-29 years,Liver cancer,1.4936208506179638
1980,25-29 years,Nasopharynx cancer,0.5859077204979387
1980,25-29 years,Non-melanoma skin cancer,0.5477287572837328
1980,25-29 years,Other pharynx cancer,0.5353567047328825
1980,25-29 years,Ovarian cancer,3.532066362118124
1980,25-29 years,Pancreatic cancer,1.891442938241049
1980,25-29 years,Prostate cancer,0.1667487486716141
1980,25-29 years,Stomach cancer,10.152592665288875
1980,25-29 years,Testicular cancer,15.570600433902476
1980,25-29 years,Thyroid cancer,0.6959756261773787
1980,25-29 years,"Tracheal, bronchus, and lung cancer",6.5728474901904725
1980,25-29 years,Uterine cancer,0.8501343755980445
1980,30-34 years,Bladder cancer,0.6195177673165285
1980,30-34 years,Brain and central nervous system cancer,16.051109405213168
1980,30-34 years,Breast cancer,18.65360526503438
1980,30-34 years,Cervical cancer,19.353518736782416
1980,30-34 years,Colon and rectum cancer,15.669793895152267
1980,30-34 years,Esophageal cancer,1.343430671381893
1980,30-34 years,Eye cancer,0.4072555307742707
1980,30-34 years,Gallbladder and biliary tract cancer,1.8778906926072578
1980,30-34 years,Kidney cancer,1.5536633427410287
1980,30-34 years,Larynx cancer,1.154454523416927
1980,30-34 years,Lip and oral cavity cancer,2.639469852766736
1980,30-34 years,Liver cancer,2.2562858376001333
1980,30-34 years,Nasopharynx cancer,0.7580021702219126
1980,30-34 years,Non-melanoma skin cancer,0.791341018784933
1980,30-34 years,Other pharynx cancer,1.0091949067848558
1980,30-34 years,Ovarian cancer,5.573461841392945
1980,30-34 years,Pancreatic cancer,4.5665102377972255
1980,30-34 years,Prostate cancer,0.2186439350263785
1980,30-34 years,Stomach cancer,18.328151892221317
1980,30-34 years,Testicular cancer,10.6220999165428
1980,30-34 years,Thyroid cancer,0.8582533015929595
1980,30-34 years,"Tracheal, bronchus, and lung cancer",13.77085231571217
1980,30-34 years,Uterine cancer,1.9249342412894783
1980,35-39 years,Bladder cancer,1.7914529131007813
1980,35-39 years,Brain and central nervous system cancer,23.422349659414323
1980,35-39 years,Breast cancer,49.0718721284056
1980,35-39 years,Cervical cancer,29.23783259936316
1980,35-39 years,Colon and rectum cancer,31.143649421559463
1980,35-39 years,Esophageal cancer,3.995870114003353
1980,35-39 years,Eye cancer,0.7250605590318067
1980,35-39 years,Gallbladder and biliary tract cancer,4.575898327643841
1980,35-39 years,Kidney cancer,3.8203192103071384
1980,35-39 years,Larynx cancer,4.639523541865218
1980,35-39 years,Lip and oral cavity cancer,7.038771717368814
1980,35-39 years,Liver cancer,3.796543409953112
1980,35-39 years,Nasopharynx cancer,1.4726600218839807
1980,35-39 years,Non-melanoma skin cancer,1.443999695989015
1980,35-39 years,Other pharynx cancer,3.109668333223851
1980,35-39 years,Ovarian cancer,9.880036619741134
1980,35-39 years,Pancreatic cancer,10.80805301150949
1980,35-39 years,Prostate cancer,0.4408149059788794
1980,35-39 years,Stomach cancer,34.637523765838566
1980,35-39 years,Testicular cancer,8.082214139618765
1980,35-39 years,Thyroid cancer,1.6768832964205944
1980,35-39 years,"Tracheal, bronchus, and lung cancer",40.94437574823894
1980,35-39 years,Uterine cancer,3.8817901092405855
1980,40-44 years,Bladder cancer,4.218211123595289
1980,40-44 years,Brain and central nervous system cancer,31.513361983008743
1980,40-44 years,Breast cancer,83.3643012018187
1980,40-44 years,Cervical cancer,45.76147079405074
1980,40-44 years,Colon and rectum cancer,51.267240392042055
1980,40-44 years,Esophageal cancer,11.67275017403326
1980,40-44 years,Eye cancer,0.9441430862531806
1980,40-44 years,Gallbladder and biliary tract cancer,9.811135546647623
1980,40-44 years,Kidney cancer,8.311013938466132
1980,40-44 years,Larynx cancer,11.787284445439292
1980,40-44 years,Lip and oral cavity cancer,15.43034498470668
1980,40-44 years,Liver cancer,7.314825915634717
1980,40-44 years,Nasopharynx cancer,2.63232626391894
1980,40-44 years,Non-melanoma skin cancer,2.05372978915821
1980,40-44 years,Other pharynx cancer,9.266755444035239
1980,40-44 years,Ovarian cancer,19.33532388432409
1980,40-44 years,Pancreatic cancer,20.826103095338613
1980,40-44 years,Prostate cancer,1.0013379894284231
1980,40-44 years,Stomach cancer,59.09848835463487
1980,40-44 years,Testicular cancer,5.98469256529169
1980,40-44 years,Thyroid cancer,2.686955056903724
1980,40-44 years,"Tracheal, bronchus, and lung cancer",101.6391239325499
1980,40-44 years,Uterine cancer,7.368836514802347
1980,45-49 years,Bladder cancer,10.491308797090024
1980,45-49 years,Brain and central nervous system cancer,53.45177260153676
1980,45-49 years,Breast cancer,132.9361817606923
1980,45-49 years,Cervical cancer,61.32327738551466
1980,45-49 years,Colon and rectum cancer,97.4007776346143
1980,45-49 years,Esophageal cancer,25.795210226074943
1980,45-49 years,Eye cancer,1.6975873185728965
1980,45-49 years,Gallbladder and biliary tract cancer,26.36271131986463
1980,45-49 years,Kidney cancer,16.86562665877291
1980,45-49 years,Larynx cancer,31.51795880459486
1980,45-49 years,Lip and oral cavity cancer,32.2056285741617
1980,45-49 years,Liver cancer,13.79945342751859
1980,45-49 years,Nasopharynx cancer,4.476979684644469
1980,45-49 years,Non-melanoma skin cancer,3.6234056901684983
1980,45-49 years,Other pharynx cancer,18.05327819543415
1980,45-49 years,Ovarian cancer,48.03736305298136
1980,45-49 years,Pancreatic cancer,46.17131206601497
1980,45-49 years,Prostate cancer,4.153290962709389
1980,45-49 years,Stomach cancer,106.07709463803005
1980,45-49 years,Testicular cancer,4.239394312817564
1980,45-49 years,Thyroid cancer,5.1053036675278864
1980,45-49 years,"Tracheal, bronchus, and lung cancer",244.03567559415467
1980,45-49 years,Uterine cancer,14.692267801005436
1980,5-9 years,Brain and central nervous system cancer,15.97671673559562
1980,5-9 years,Eye cancer,0.1825518179038715
1980,5-9 years,Kidney cancer,1.4507391378326333
1980,5-9 years,Liver cancer,0.36912683183340156
1980,5-9 years,Nasopharynx cancer,0.17278494159849528
1980,5-9 years,Thyroid cancer,0.19051512674583182
1980,50-54 years,Bladder cancer,25.341884783201564
1980,50-54 years,Brain and central nervous system cancer,71.17464389705123
1980,50-54 years,Breast cancer,193.67327582563462
1980,50-54 years,Cervical cancer,81.17777334092723
1980,50-54 years,Colon and rectum cancer,184.86375223612902
1980,50-54 years,Esophageal cancer,45.339835480054944
1980,50-54 years,Eye cancer,2.465036885160224
1980,50-54 years,Gallbladder and biliary tract cancer,51.664539376417686
1980,50-54 years,Kidney cancer,30.369108577502654
1980,50-54 years,Larynx cancer,55.59696434276104
1980,50-54 years,Lip and oral cavity cancer,52.168655024584346
