year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.3475413528358172
1980,10-14 years,Eye cancer,0.0004755277521721
1980,10-14 years,Kidney cancer,0.0129970189212105
1980,10-14 years,Liver cancer,0.0047427262209318
1980,10-14 years,Nasopharynx cancer,0.0039270951600386995
1980,10-14 years,Thyroid cancer,0.0051078210138636
1980,15-19 years,Bladder cancer,0.0029785472917836
1980,15-19 years,Brain and central nervous system cancer,0.2868274493819506
1980,15-19 years,Breast cancer,0.0020954078034272003
1980,15-19 years,Cervical cancer,0.001994185700611
1980,15-19 years,Colon and rectum cancer,0.0212395104467056
1980,15-19 years,Eye cancer,0.0005654319542858822
1980,15-19 years,Kidney cancer,0.0117185468414003
1980,15-19 years,Lip and oral cavity cancer,0.004881388985057
1980,15-19 years,Liver cancer,0.009486894707193902
1980,15-19 years,Nasopharynx cancer,0.0074862681586608006
1980,15-19 years,Ovarian cancer,0.0071189782164222
1980,15-19 years,Pancreatic cancer,0.0065911781680934
1980,15-19 years,Stomach cancer,0.0171885096113954
1980,15-19 years,Testicular cancer,0.0232782606578381
1980,15-19 years,Thyroid cancer,0.0111859371266357
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0236046896006098
1980,20-24 years,Bladder cancer,0.0040106185370189
1980,20-24 years,Brain and central nervous system cancer,0.23904810723128922
1980,20-24 years,Breast cancer,0.0097404610384413
1980,20-24 years,Cervical cancer,0.0170347424582471
1980,20-24 years,Colon and rectum cancer,0.0378282448214652
1980,20-24 years,Esophageal cancer,0.0062862725973481005
1980,20-24 years,Eye cancer,0.0012772806827176001
1980,20-24 years,Gallbladder and biliary tract cancer,0.0019570157225407
1980,20-24 years,Kidney cancer,0.013977980636730199
1980,20-24 years,Larynx cancer,0.0013294223592293
1980,20-24 years,Lip and oral cavity cancer,0.0071976471556954
1980,20-24 years,Liver cancer,0.0110708744558214
1980,20-24 years,Nasopharynx cancer,0.0069726163208759
1980,20-24 years,Non-melanoma skin cancer,0.0019500824109391999
1980,20-24 years,Other pharynx cancer,0.0009490704412119
1980,20-24 years,Ovarian cancer,0.0152629346685723
1980,20-24 years,Pancreatic cancer,0.0105739765814393
1980,20-24 years,Prostate cancer,0.0021978754181446
1980,20-24 years,Stomach cancer,0.0420751698995397
1980,20-24 years,Testicular cancer,0.0450139512893834
1980,20-24 years,Thyroid cancer,0.0159349099618189
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0352220388813412
1980,20-24 years,Uterine cancer,0.0011112536304397
1980,25-29 years,Bladder cancer,0.0067049153214609
1980,25-29 years,Brain and central nervous system cancer,0.2893265422393059
1980,25-29 years,Breast cancer,0.0677910212968644
1980,25-29 years,Cervical cancer,0.0723416669087679
1980,25-29 years,Colon and rectum cancer,0.07321595201667369
1980,25-29 years,Esophageal cancer,0.0111724355879597
1980,25-29 years,Eye cancer,0.0017772123609717
1980,25-29 years,Gallbladder and biliary tract cancer,0.0038039114080202
1980,25-29 years,Kidney cancer,0.0212858033315655
1980,25-29 years,Larynx cancer,0.0021600289564573
1980,25-29 years,Lip and oral cavity cancer,0.0127552728695624
1980,25-29 years,Liver cancer,0.017311706144712898
1980,25-29 years,Nasopharynx cancer,0.006827874208795201
1980,25-29 years,Non-melanoma skin cancer,0.0027997065190469997
1980,25-29 years,Other pharynx cancer,0.0013987893425478
1980,25-29 years,Ovarian cancer,0.033381908953214
1980,25-29 years,Pancreatic cancer,0.0210554359458587
1980,25-29 years,Prostate cancer,0.001688719105645
1980,25-29 years,Stomach cancer,0.0965604367451503
1980,25-29 years,Testicular cancer,0.0507096456376305
1980,25-29 years,Thyroid cancer,0.0227745313958019
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.062270041074677596
1980,25-29 years,Uterine cancer,0.0041680995301538
1980,30-34 years,Bladder cancer,0.0141248527658371
1980,30-34 years,Brain and central nervous system cancer,0.38984245265171835
