year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,20.454750758242472
1980,10-14 years,Eye cancer,0.044004444602665296
1980,10-14 years,Kidney cancer,0.7217648063998023
1980,10-14 years,Liver cancer,1.9651426812493231
1980,10-14 years,Nasopharynx cancer,0.9914927200306254
1980,10-14 years,Thyroid cancer,0.3764748630947352
1980,15-19 years,Bladder cancer,0.3262824715499165
1980,15-19 years,Brain and central nervous system cancer,11.963200732819477
1980,15-19 years,Breast cancer,0.2973827351157565
1980,15-19 years,Cervical cancer,0.4944177409812607
1980,15-19 years,Colon and rectum cancer,1.0543859417953803
1980,15-19 years,Eye cancer,0.0250136394708942
1980,15-19 years,Kidney cancer,0.2927709435148287
1980,15-19 years,Lip and oral cavity cancer,0.3301533982169318
1980,15-19 years,Liver cancer,1.4700786804666541
1980,15-19 years,Nasopharynx cancer,0.8810154084669888
1980,15-19 years,Ovarian cancer,0.6979153473035217
1980,15-19 years,Pancreatic cancer,0.2690181271846815
1980,15-19 years,Stomach cancer,1.0625498822517776
1980,15-19 years,Testicular cancer,0.3269064846624411
1980,15-19 years,Thyroid cancer,0.45092852299750547
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.026960741840418
1980,20-24 years,Bladder cancer,0.5498691432776115
1980,20-24 years,Brain and central nervous system cancer,11.05005855879579
1980,20-24 years,Breast cancer,0.9208780818592428
1980,20-24 years,Cervical cancer,1.076859591815143
1980,20-24 years,Colon and rectum cancer,1.938778922952658
1980,20-24 years,Esophageal cancer,0.1728234929912808
1980,20-24 years,Eye cancer,0.0380239176921769
1980,20-24 years,Gallbladder and biliary tract cancer,0.21587980244681249
1980,20-24 years,Kidney cancer,0.3488687932885901
1980,20-24 years,Larynx cancer,0.4747748949447864
1980,20-24 years,Lip and oral cavity cancer,0.5088082113167038
1980,20-24 years,Liver cancer,1.9021347911693212
1980,20-24 years,Nasopharynx cancer,0.7736507003454628
1980,20-24 years,Non-melanoma skin cancer,0.3838684478233598
1980,20-24 years,Other pharynx cancer,0.116514513751989
1980,20-24 years,Ovarian cancer,0.8223392251460482
1980,20-24 years,Pancreatic cancer,0.4213150877030027
1980,20-24 years,Prostate cancer,0.0276419368526408
1980,20-24 years,Stomach cancer,2.441096251898338
1980,20-24 years,Testicular cancer,0.7152303012420197
1980,20-24 years,Thyroid cancer,0.5973879387033569
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.600312121813418
1980,20-24 years,Uterine cancer,0.1352230958940229
1980,25-29 years,Bladder cancer,0.7405679127053085
1980,25-29 years,Brain and central nervous system cancer,12.316753367008797
1980,25-29 years,Breast cancer,3.2383766476874625
1980,25-29 years,Cervical cancer,1.7293431545610056
1980,25-29 years,Colon and rectum cancer,3.2833822678592908
1980,25-29 years,Esophageal cancer,0.3170525997926174
1980,25-29 years,Eye cancer,0.0522216864457814
1980,25-29 years,Gallbladder and biliary tract cancer,0.3357525865336296
1980,25-29 years,Kidney cancer,0.48866310247215106
1980,25-29 years,Larynx cancer,0.6076952812042313
1980,25-29 years,Lip and oral cavity cancer,0.6811374943617423
1980,25-29 years,Liver cancer,2.4703449266959403
1980,25-29 years,Nasopharynx cancer,0.8409586404284237
1980,25-29 years,Non-melanoma skin cancer,0.5292188736922427
1980,25-29 years,Other pharynx cancer,0.171307010305397
1980,25-29 years,Ovarian cancer,1.0441845920675064
1980,25-29 years,Pancreatic cancer,0.6382339399413102
1980,25-29 years,Prostate cancer,0.0219241123844956
1980,25-29 years,Stomach cancer,4.780550573881106
1980,25-29 years,Testicular cancer,0.822289035082039
1980,25-29 years,Thyroid cancer,0.7385949606370614
1980,25-29 years,"Tracheal, bronchus, and lung cancer",2.637329296552375
1980,25-29 years,Uterine cancer,0.2370122521095278
1980,30-34 years,Bladder cancer,1.076630555652191
1980,30-34 years,Brain and central nervous system cancer,14.25259225610887
1980,30-34 years,Breast cancer,10.299483741844963
