year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,5.05130903572506
1980,10-14 years,Eye cancer,0.0151482713607566
1980,10-14 years,Kidney cancer,0.2348191241006725
1980,10-14 years,Liver cancer,0.1080580002044486
1980,10-14 years,Nasopharynx cancer,0.0955610511465247
1980,10-14 years,Thyroid cancer,0.061896965810935095
1980,15-19 years,Bladder cancer,0.0366272247940883
1980,15-19 years,Brain and central nervous system cancer,3.229992875537735
1980,15-19 years,Breast cancer,0.1549206858190508
1980,15-19 years,Cervical cancer,0.058696663329626
1980,15-19 years,Colon and rectum cancer,0.46971417491766687
1980,15-19 years,Eye cancer,0.0135371008733144
1980,15-19 years,Kidney cancer,0.1464954069110957
1980,15-19 years,Lip and oral cavity cancer,0.0548392596829745
1980,15-19 years,Liver cancer,0.1532534254518273
1980,15-19 years,Nasopharynx cancer,0.1477596666957562
1980,15-19 years,Ovarian cancer,0.2456361907664384
1980,15-19 years,Pancreatic cancer,0.0996185956433906
1980,15-19 years,Stomach cancer,0.24970182144723618
1980,15-19 years,Testicular cancer,0.3939673904150673
1980,15-19 years,Thyroid cancer,0.0812780435155093
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.3288811304835943
1980,20-24 years,Bladder cancer,0.048446132313973905
1980,20-24 years,Brain and central nervous system cancer,3.2251054164792192
1980,20-24 years,Breast cancer,0.39927497548341523
1980,20-24 years,Cervical cancer,0.2943751861421423
1980,20-24 years,Colon and rectum cancer,0.9588840352891079
1980,20-24 years,Esophageal cancer,0.0623927713629874
1980,20-24 years,Eye cancer,0.021534444248070002
1980,20-24 years,Gallbladder and biliary tract cancer,0.0343063499904261
1980,20-24 years,Kidney cancer,0.18037675743650072
1980,20-24 years,Larynx cancer,0.0342063455782292
1980,20-24 years,Lip and oral cavity cancer,0.0896483121702918
1980,20-24 years,Liver cancer,0.1716676278479296
1980,20-24 years,Nasopharynx cancer,0.15666537763020788
1980,20-24 years,Non-melanoma skin cancer,0.1311174712666558
1980,20-24 years,Other pharynx cancer,0.0061646128335084
1980,20-24 years,Ovarian cancer,0.4223142553617451
1980,20-24 years,Pancreatic cancer,0.1721079862427759
1980,20-24 years,Prostate cancer,0.0295085354233327
1980,20-24 years,Stomach cancer,0.6713133855737254
1980,20-24 years,Testicular cancer,0.9282067769067864
1980,20-24 years,Thyroid cancer,0.1146394211535145
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.6897402944667105
1980,20-24 years,Uterine cancer,0.0309192503056744
1980,25-29 years,Bladder cancer,0.0901904164569709
1980,25-29 years,Brain and central nervous system cancer,4.185928470042996
