year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.468036862941294
1980,10-14 years,Eye cancer,0.0620880728927027
1980,10-14 years,Kidney cancer,0.29546236612034
1980,10-14 years,Liver cancer,0.0748547344440535
1980,10-14 years,Nasopharynx cancer,0.0668224802706236
1980,10-14 years,Thyroid cancer,0.04590335248627039
1980,15-19 years,Bladder cancer,0.015458843275749
1980,15-19 years,Brain and central nervous system cancer,0.6763031186233398
1980,15-19 years,Breast cancer,0.17078300004363492
1980,15-19 years,Cervical cancer,0.3238749743533324
1980,15-19 years,Colon and rectum cancer,0.29810370021877347
1980,15-19 years,Eye cancer,0.007955194840454701
1980,15-19 years,Kidney cancer,0.1684442964981682
1980,15-19 years,Lip and oral cavity cancer,0.0630953483558373
1980,15-19 years,Liver cancer,0.047052686425171394
1980,15-19 years,Nasopharynx cancer,0.081638886238331
1980,15-19 years,Ovarian cancer,0.3711998209855301
1980,15-19 years,Pancreatic cancer,0.0503361867850658
1980,15-19 years,Stomach cancer,0.3078288329071237
1980,15-19 years,Testicular cancer,0.0221139737172197
1980,15-19 years,Thyroid cancer,0.0578468760875874
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.2685847582630977
1980,20-24 years,Bladder cancer,0.0232554710692585
1980,20-24 years,Brain and central nervous system cancer,0.5891017361357561
1980,20-24 years,Breast cancer,0.3301076561156606
1980,20-24 years,Cervical cancer,0.9647722921648711
1980,20-24 years,Colon and rectum cancer,0.3676053083497285
1980,20-24 years,Esophageal cancer,0.0587667993904266
1980,20-24 years,Eye cancer,0.006955064753101901
1980,20-24 years,Gallbladder and biliary tract cancer,0.030081099345683898
1980,20-24 years,Kidney cancer,0.1816725441164782
1980,20-24 years,Larynx cancer,0.0191219452713428
1980,20-24 years,Lip and oral cavity cancer,0.07099855544564779
1980,20-24 years,Liver cancer,0.0812224737058404
1980,20-24 years,Nasopharynx cancer,0.0674276145046226
1980,20-24 years,Non-melanoma skin cancer,0.0150234225185185
1980,20-24 years,Other pharynx cancer,0.0500433026466089
1980,20-24 years,Ovarian cancer,0.4349203217990549
1980,20-24 years,Pancreatic cancer,0.055227254312983504
1980,20-24 years,Prostate cancer,0.0191507416738816
1980,20-24 years,Stomach cancer,0.5049537537034015
1980,20-24 years,Testicular cancer,0.0326496575352118
1980,20-24 years,Thyroid cancer,0.062933750880347
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.3084581660328776
1980,20-24 years,Uterine cancer,0.0988045747064621
1980,25-29 years,Bladder cancer,0.0243352463434012
1980,25-29 years,Brain and central nervous system cancer,0.5516409493548675
1980,25-29 years,Breast cancer,1.259454607865347
1980,25-29 years,Cervical cancer,1.9806885602827384
1980,25-29 years,Colon and rectum cancer,0.5374015866887302
1980,25-29 years,Esophageal cancer,0.0738635346087806
1980,25-29 years,Eye cancer,0.0132713183822379
1980,25-29 years,Gallbladder and biliary tract cancer,0.0480254366803731
1980,25-29 years,Kidney cancer,0.18600708951008948
1980,25-29 years,Larynx cancer,0.020186608525866102
1980,25-29 years,Lip and oral cavity cancer,0.0864867702591295
1980,25-29 years,Liver cancer,0.09457331007604469
1980,25-29 years,Nasopharynx cancer,0.0646982987308723
1980,25-29 years,Non-melanoma skin cancer,0.0308935372428754
1980,25-29 years,Other pharynx cancer,0.039442052018611895
1980,25-29 years,Ovarian cancer,0.4418324108908001
1980,25-29 years,Pancreatic cancer,0.10794125693487841
1980,25-29 years,Prostate cancer,0.0334517720073343
1980,25-29 years,Stomach cancer,0.9519351931421585
1980,25-29 years,Testicular cancer,0.0431872360948306
1980,25-29 years,Thyroid cancer,0.0779258637040625
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.486448485230826
1980,25-29 years,Uterine cancer,0.1838059319807019
1980,30-34 years,Bladder cancer,0.0788390738642563
1980,30-34 years,Brain and central nervous system cancer,0.5753390288161189
1980,30-34 years,Breast cancer,3.00904873377325
1980,30-34 years,Cervical cancer,4.028544139430012
1980,30-34 years,Colon and rectum cancer,1.1022537856519952
1980,30-34 years,Esophageal cancer,0.12484268062283149
1980,30-34 years,Eye cancer,0.018793028005433497
1980,30-34 years,Gallbladder and biliary tract cancer,0.0765093685846507
1980,30-34 years,Kidney cancer,0.2143793293531554
1980,30-34 years,Larynx cancer,0.0350357539880599
1980,30-34 years,Lip and oral cavity cancer,0.120008715589948
1980,30-34 years,Liver cancer,0.12211332374037631
1980,30-34 years,Nasopharynx cancer,0.0674600145544325
1980,30-34 years,Non-melanoma skin cancer,0.0331308769549842
1980,30-34 years,Other pharynx cancer,0.054624750932588506
1980,30-34 years,Ovarian cancer,0.6581476374803523
1980,30-34 years,Pancreatic cancer,0.1996847279016014
1980,30-34 years,Prostate cancer,0.04495938616591
1980,30-34 years,Stomach cancer,1.6402828823769018
1980,30-34 years,Testicular cancer,0.0284117023564231
1980,30-34 years,Thyroid cancer,0.0873524595519192
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.9258624324402358
1980,30-34 years,Uterine cancer,0.372908938080079
1980,35-39 years,Bladder cancer,0.1097286645910289
1980,35-39 years,Brain and central nervous system cancer,0.679687404527574
1980,35-39 years,Breast cancer,3.9998990063748883
1980,35-39 years,Cervical cancer,7.1442125104958025
1980,35-39 years,Colon and rectum cancer,1.410584589280639
1980,35-39 years,Esophageal cancer,0.293300385320427
1980,35-39 years,Eye cancer,0.0217300178397345
1980,35-39 years,Gallbladder and biliary tract cancer,0.1649930425395382
1980,35-39 years,Kidney cancer,0.293853268677267
1980,35-39 years,Larynx cancer,0.09225610630262271
1980,35-39 years,Lip and oral cavity cancer,0.1995823875545445
1980,35-39 years,Liver cancer,0.2036572111848276
1980,35-39 years,Nasopharynx cancer,0.07650049745847509
1980,35-39 years,Non-melanoma skin cancer,0.0383354456977691
1980,35-39 years,Other pharynx cancer,0.0968382377907869
1980,35-39 years,Ovarian cancer,0.8983387894785977
1980,35-39 years,Pancreatic cancer,0.38172687048506626
1980,35-39 years,Prostate cancer,0.0671521465931737
1980,35-39 years,Stomach cancer,2.5744280941224544
1980,35-39 years,Testicular cancer,0.0289527984959216
1980,35-39 years,Thyroid cancer,0.1549944714896972
1980,35-39 years,"Tracheal, bronchus, and lung cancer",1.585869386974776
1980,35-39 years,Uterine cancer,0.5004064259424085
1980,40-44 years,Bladder cancer,0.2695171629934922
1980,40-44 years,Brain and central nervous system cancer,0.8789251662948201
1980,40-44 years,Breast cancer,7.324511617876181
1980,40-44 years,Cervical cancer,10.26064064070297
1980,40-44 years,Colon and rectum cancer,2.849536622241521
1980,40-44 years,Esophageal cancer,0.8639718604623359
1980,40-44 years,Eye cancer,0.0221656736793954
1980,40-44 years,Gallbladder and biliary tract cancer,0.35746437376263107
1980,40-44 years,Kidney cancer,0.536434887714835
1980,40-44 years,Larynx cancer,0.2638346813978397
1980,40-44 years,Lip and oral cavity cancer,0.4718157516180077
1980,40-44 years,Liver cancer,0.3900567920701039
1980,40-44 years,Nasopharynx cancer,0.1546001730604829
1980,40-44 years,Non-melanoma skin cancer,0.06821067038229969
1980,40-44 years,Other pharynx cancer,0.2828652668163545
1980,40-44 years,Ovarian cancer,1.557489377958151
1980,40-44 years,Pancreatic cancer,0.9909955270350381
1980,40-44 years,Prostate cancer,0.1578850637302266
1980,40-44 years,Stomach cancer,5.214944797514041
1980,40-44 years,Testicular cancer,0.0248290402825027
1980,40-44 years,Thyroid cancer,0.249853313677885
1980,40-44 years,"Tracheal, bronchus, and lung cancer",4.0817816950207675
1980,40-44 years,Uterine cancer,0.8891476971814481
1980,45-49 years,Bladder cancer,0.5028569073986315
1980,45-49 years,Brain and central nervous system cancer,1.0236920120427455
1980,45-49 years,Breast cancer,12.643511335380746
1980,45-49 years,Cervical cancer,13.775318472139103
1980,45-49 years,Colon and rectum cancer,4.091131419898409
1980,45-49 years,Esophageal cancer,1.903226830615803
1980,45-49 years,Eye cancer,0.0397069571697079
1980,45-49 years,Gallbladder and biliary tract cancer,0.6946692147916049
1980,45-49 years,Kidney cancer,0.8474715520561755
1980,45-49 years,Larynx cancer,0.6251565003252706
1980,45-49 years,Lip and oral cavity cancer,0.8516138160167517
1980,45-49 years,Liver cancer,0.6241358301049154
1980,45-49 years,Nasopharynx cancer,0.27043450897421617
1980,45-49 years,Non-melanoma skin cancer,0.0731922212909822
1980,45-49 years,Other pharynx cancer,0.6464168000516881
1980,45-49 years,Ovarian cancer,2.556222727036363
1980,45-49 years,Pancreatic cancer,1.7230493042511812
1980,45-49 years,Prostate cancer,0.5231753932358033
1980,45-49 years,Stomach cancer,8.55965377145499
1980,45-49 years,Testicular cancer,0.0168466182254055
1980,45-49 years,Thyroid cancer,0.39152528518618157
1980,45-49 years,"Tracheal, bronchus, and lung cancer",8.176514850291326
1980,45-49 years,Uterine cancer,1.5696535762188122
1980,5-9 years,Brain and central nervous system cancer,2.7938562688262074
1980,5-9 years,Eye cancer,0.1498112204692141
1980,5-9 years,Kidney cancer,1.2846321559129201
1980,5-9 years,Liver cancer,0.1222664401449012
1980,5-9 years,Nasopharynx cancer,0.1123967777425363
1980,5-9 years,Thyroid cancer,0.0996884893049383
1980,50-54 years,Bladder cancer,1.071303180176899
1980,50-54 years,Brain and central nervous system cancer,1.4495203056732273
1980,50-54 years,Breast cancer,16.431631863083993
1980,50-54 years,Cervical cancer,13.855602841279836
1980,50-54 years,Colon and rectum cancer,7.680010295180849
1980,50-54 years,Esophageal cancer,3.7551935354247963
1980,50-54 years,Eye cancer,0.0444477101009704
1980,50-54 years,Gallbladder and biliary tract cancer,1.2910428958838929
1980,50-54 years,Kidney cancer,1.3364163542559568
1980,50-54 years,Larynx cancer,1.3471405098755085
1980,50-54 years,Lip and oral cavity cancer,1.5103197202403837
1980,50-54 years,Liver cancer,1.0864217514701842
1980,50-54 years,Nasopharynx cancer,0.43435248024508233
1980,50-54 years,Non-melanoma skin cancer,0.13970864697426522
1980,50-54 years,Other pharynx cancer,1.1437643562637674
1980,50-54 years,Ovarian cancer,3.5719930241211224
1980,50-54 years,Pancreatic cancer,3.0707869669365437
1980,50-54 years,Prostate cancer,1.844162234782761
1980,50-54 years,Stomach cancer,17.095788165640023
1980,50-54 years,Testicular cancer,0.0169535786437906
1980,50-54 years,Thyroid cancer,0.711876246567887
1980,50-54 years,"Tracheal, bronchus, and lung cancer",15.36047465774746
1980,50-54 years,Uterine cancer,2.252866827719872
1980,55-59 years,Bladder cancer,1.945323299975089
1980,55-59 years,Brain and central nervous system cancer,1.7756157832765553
1980,55-59 years,Breast cancer,19.400572949511762
1980,55-59 years,Cervical cancer,13.88653172132196
1980,55-59 years,Colon and rectum cancer,11.840633556545821
1980,55-59 years,Esophageal cancer,5.262904883615135
1980,55-59 years,Eye cancer,0.0521069637719853
1980,55-59 years,Gallbladder and biliary tract cancer,2.0768680198700524
1980,55-59 years,Kidney cancer,1.8595285640405856
