year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,7.862232316110093
1980,10-14 years,Eye cancer,0.6378405656623379
1980,10-14 years,Kidney cancer,0.19672933219283809
1980,10-14 years,Liver cancer,1.1146227457036084
1980,10-14 years,Nasopharynx cancer,4.281694172157152
1980,10-14 years,Thyroid cancer,0.1606843825189896
1980,15-19 years,Bladder cancer,0.1058118768055366
1980,15-19 years,Brain and central nervous system cancer,4.6823894351745325
1980,15-19 years,Breast cancer,0.7557040666568862
1980,15-19 years,Cervical cancer,3.1453730786485585
1980,15-19 years,Colon and rectum cancer,0.9699499936119571
1980,15-19 years,Eye cancer,0.44477066695570777
1980,15-19 years,Kidney cancer,0.126662589263822
1980,15-19 years,Lip and oral cavity cancer,1.051645808267466
1980,15-19 years,Liver cancer,1.6154415766048902
1980,15-19 years,Nasopharynx cancer,4.193202484415648
1980,15-19 years,Ovarian cancer,0.8780912383055649
1980,15-19 years,Pancreatic cancer,0.2125904524198995
1980,15-19 years,Stomach cancer,1.2738066388243348
1980,15-19 years,Testicular cancer,0.1563075531948163
1980,15-19 years,Thyroid cancer,0.3235379456941925
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.1421144634812817
1980,20-24 years,Bladder cancer,0.16040889476931142
1980,20-24 years,Brain and central nervous system cancer,3.4908428433754857
1980,20-24 years,Breast cancer,1.6301173003352007
1980,20-24 years,Cervical cancer,5.463308050405543
1980,20-24 years,Colon and rectum cancer,2.0738426255899776
1980,20-24 years,Esophageal cancer,1.4609543653033052
1980,20-24 years,Eye cancer,1.0611441894105713
1980,20-24 years,Gallbladder and biliary tract cancer,0.1782071001814323
1980,20-24 years,Kidney cancer,0.1538569619033607
1980,20-24 years,Larynx cancer,0.2011717864410862
1980,20-24 years,Lip and oral cavity cancer,1.5380453225633843
1980,20-24 years,Liver cancer,1.740117054443388
1980,20-24 years,Nasopharynx cancer,3.1390284193898355
1980,20-24 years,Non-melanoma skin cancer,0.1202772353548186
1980,20-24 years,Other pharynx cancer,0.1980820834009274
1980,20-24 years,Ovarian cancer,0.8746744495007585
1980,20-24 years,Pancreatic cancer,0.3259969148946163
1980,20-24 years,Prostate cancer,0.0445110729462815
1980,20-24 years,Stomach cancer,3.2408642578047084
1980,20-24 years,Testicular cancer,0.3150133498250276
1980,20-24 years,Thyroid cancer,0.4448360832288108
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.2604889955940523
1980,20-24 years,Uterine cancer,0.1086509197360962
1980,25-29 years,Bladder cancer,0.2034012808191496
1980,25-29 years,Brain and central nervous system cancer,3.6025905740955504
1980,25-29 years,Breast cancer,4.3975090838126505
1980,25-29 years,Cervical cancer,9.02530141459139
1980,25-29 years,Colon and rectum cancer,2.5629694975921717
1980,25-29 years,Esophageal cancer,2.2658291432245523
1980,25-29 years,Eye cancer,1.2862511091469877
1980,25-29 years,Gallbladder and biliary tract cancer,0.2740002278536024
1980,25-29 years,Kidney cancer,0.1846316274036217
1980,25-29 years,Larynx cancer,0.2810544688484058
1980,25-29 years,Lip and oral cavity cancer,2.0454674146659855
1980,25-29 years,Liver cancer,2.0451152747978902
1980,25-29 years,Nasopharynx cancer,3.1193491532187645
1980,25-29 years,Non-melanoma skin cancer,0.1532611901020477
1980,25-29 years,Other pharynx cancer,0.2518826474865455
1980,25-29 years,Ovarian cancer,1.0447123912801723
1980,25-29 years,Pancreatic cancer,0.38146401403178476
1980,25-29 years,Prostate cancer,0.034601459767249
1980,25-29 years,Stomach cancer,5.271455046091383
1980,25-29 years,Testicular cancer,0.3738894425137155
1980,25-29 years,Thyroid cancer,0.4996040027335427
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.3328393382361257
1980,25-29 years,Uterine cancer,0.2230214451654937
1980,30-34 years,Bladder cancer,0.21323573829579778
1980,30-34 years,Brain and central nervous system cancer,3.3249623661553964
1980,30-34 years,Breast cancer,9.04340132730253
1980,30-34 years,Cervical cancer,14.337799876486775
1980,30-34 years,Colon and rectum cancer,3.6859862314347462
1980,30-34 years,Esophageal cancer,3.3189100154151836
1980,30-34 years,Eye cancer,1.3276253831362195
1980,30-34 years,Gallbladder and biliary tract cancer,0.38604132217399223
1980,30-34 years,Kidney cancer,0.2369286718499872
1980,30-34 years,Larynx cancer,0.4408355423481685
1980,30-34 years,Lip and oral cavity cancer,2.5090799833459827
1980,30-34 years,Liver cancer,2.4714776747880176
1980,30-34 years,Nasopharynx cancer,3.629879962524946
1980,30-34 years,Non-melanoma skin cancer,0.18076867506620709
1980,30-34 years,Other pharynx cancer,0.34761969743015
1980,30-34 years,Ovarian cancer,1.175520996432177
1980,30-34 years,Pancreatic cancer,0.6098503361760355
1980,30-34 years,Prostate cancer,0.0443069938411788
1980,30-34 years,Stomach cancer,7.999569631483734
1980,30-34 years,Testicular cancer,0.3042170238037027
1980,30-34 years,Thyroid cancer,0.3813995010497226
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.6215210713865496
1980,30-34 years,Uterine cancer,0.3082432308469963
1980,35-39 years,Bladder cancer,0.314057985592255
1980,35-39 years,Brain and central nervous system cancer,3.7272240297228736
1980,35-39 years,Breast cancer,20.017143111998575
1980,35-39 years,Cervical cancer,25.3454279698417
1980,35-39 years,Colon and rectum cancer,5.69108504711017
1980,35-39 years,Esophageal cancer,6.7941938209649475
1980,35-39 years,Eye cancer,1.5530129304010574
1980,35-39 years,Gallbladder and biliary tract cancer,0.6864889961933016
1980,35-39 years,Kidney cancer,0.3578877585123035
1980,35-39 years,Larynx cancer,0.9685987216681531
