year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.4035285154826562
1980,10-14 years,Eye cancer,0.0205702678115932
1980,10-14 years,Kidney cancer,0.0676005117296344
1980,10-14 years,Liver cancer,0.4599486544544076
1980,10-14 years,Nasopharynx cancer,0.1701373263970681
1980,10-14 years,Thyroid cancer,0.0990007840696776
1980,15-19 years,Bladder cancer,0.0291219779891521
1980,15-19 years,Brain and central nervous system cancer,0.7102274902847729
1980,15-19 years,Breast cancer,0.2931885147207428
1980,15-19 years,Cervical cancer,0.7081762719187397
1980,15-19 years,Colon and rectum cancer,1.2467407271235116
1980,15-19 years,Eye cancer,0.0177188508171781
1980,15-19 years,Kidney cancer,0.0421818852264282
1980,15-19 years,Lip and oral cavity cancer,0.3009005451771393
1980,15-19 years,Liver cancer,0.5900367538952644
1980,15-19 years,Nasopharynx cancer,0.17438754232481168
1980,15-19 years,Ovarian cancer,0.2101797857066506
1980,15-19 years,Pancreatic cancer,0.0918591071382469
1980,15-19 years,Stomach cancer,2.5747568343575016
1980,15-19 years,Testicular cancer,0.3690947068395304
1980,15-19 years,Thyroid cancer,0.2385761805570738
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.5104701577319584
1980,20-24 years,Bladder cancer,0.059944511554661704
1980,20-24 years,Brain and central nervous system cancer,0.6918028365786224
1980,20-24 years,Breast cancer,0.687782623833309
1980,20-24 years,Cervical cancer,1.561143621634742
1980,20-24 years,Colon and rectum cancer,2.39280097216995
1980,20-24 years,Esophageal cancer,0.7639874906181927
1980,20-24 years,Eye cancer,0.0359751381180439
1980,20-24 years,Gallbladder and biliary tract cancer,0.0491096298482572
1980,20-24 years,Kidney cancer,0.05943247964534851
1980,20-24 years,Larynx cancer,0.22892012183452637
1980,20-24 years,Lip and oral cavity cancer,0.4871162638537085
1980,20-24 years,Liver cancer,0.9769663523240519
1980,20-24 years,Nasopharynx cancer,0.1724975272150417
1980,20-24 years,Non-melanoma skin cancer,0.084303557651819
1980,20-24 years,Other pharynx cancer,0.0404426529980267
1980,20-24 years,Ovarian cancer,0.2948637283297248
1980,20-24 years,Pancreatic cancer,0.19216875647437232
1980,20-24 years,Prostate cancer,0.2587342109204279
1980,20-24 years,Stomach cancer,5.067439355413184
1980,20-24 years,Testicular cancer,0.8221372417954281
1980,20-24 years,Thyroid cancer,0.3902004530525367
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.3996571758384815
1980,20-24 years,Uterine cancer,0.3732227273656381
1980,25-29 years,Bladder cancer,0.0973890504174175
1980,25-29 years,Brain and central nervous system cancer,0.8532891539079107
1980,25-29 years,Breast cancer,1.9612344681378233
1980,25-29 years,Cervical cancer,3.121579059586151
1980,25-29 years,Colon and rectum cancer,3.691392164995489
1980,25-29 years,Esophageal cancer,1.140688913939861
1980,25-29 years,Eye cancer,0.061951051548719896
1980,25-29 years,Gallbladder and biliary tract cancer,0.0949218606831545
1980,25-29 years,Kidney cancer,0.0944720853529063
1980,25-29 years,Larynx cancer,0.2863333002788759
1980,25-29 years,Lip and oral cavity cancer,0.8443195409947676
1980,25-29 years,Liver cancer,1.4487165822969383
1980,25-29 years,Nasopharynx cancer,0.2209762038209441
1980,25-29 years,Non-melanoma skin cancer,0.09302883499599471
1980,25-29 years,Other pharynx cancer,0.0651254257951894
1980,25-29 years,Ovarian cancer,0.377746617366711
1980,25-29 years,Pancreatic cancer,0.3328864563450429
1980,25-29 years,Prostate cancer,0.3439833011502454
1980,25-29 years,Stomach cancer,8.185427717623494
1980,25-29 years,Testicular cancer,1.4309944459178008
1980,25-29 years,Thyroid cancer,0.5822090128637009
1980,25-29 years,"Tracheal, bronchus, and lung cancer",3.1784941962966045
1980,25-29 years,Uterine cancer,0.4566960607477249
1980,30-34 years,Bladder cancer,0.1361097025050481
1980,30-34 years,Brain and central nervous system cancer,0.8448246549647135
1980,30-34 years,Breast cancer,6.553626129005557
1980,30-34 years,Cervical cancer,7.872080751647841
1980,30-34 years,Colon and rectum cancer,4.786165783823488
1980,30-34 years,Esophageal cancer,1.6954422844261678
1980,30-34 years,Eye cancer,0.0761162569007296
1980,30-34 years,Gallbladder and biliary tract cancer,0.140982682886466
1980,30-34 years,Kidney cancer,0.1407351996544839
1980,30-34 years,Larynx cancer,0.4073843775432662
1980,30-34 years,Lip and oral cavity cancer,1.1804440499036866
1980,30-34 years,Liver cancer,2.066172764811376
1980,30-34 years,Nasopharynx cancer,0.2640816408585509
1980,30-34 years,Non-melanoma skin cancer,0.1225491250136929
1980,30-34 years,Other pharynx cancer,0.1007988266756902
1980,30-34 years,Ovarian cancer,0.4610600815809773
1980,30-34 years,Pancreatic cancer,0.6129354467930179
1980,30-34 years,Prostate cancer,0.2928969870968048
1980,30-34 years,Stomach cancer,16.450777302776466
1980,30-34 years,Testicular cancer,1.0904428709928893
1980,30-34 years,Thyroid cancer,0.49450059336904617
1980,30-34 years,"Tracheal, bronchus, and lung cancer",5.135376152183529
1980,30-34 years,Uterine cancer,0.7130360311803723
1980,35-39 years,Bladder cancer,0.22739729446874518
1980,35-39 years,Brain and central nervous system cancer,0.9309391335080714
1980,35-39 years,Breast cancer,10.789871143198008
1980,35-39 years,Cervical cancer,9.009780363055391
1980,35-39 years,Colon and rectum cancer,5.557295809993189
1980,35-39 years,Esophageal cancer,2.7903411328569327
1980,35-39 years,Eye cancer,0.0721841426669359
1980,35-39 years,Gallbladder and biliary tract cancer,0.25738398355877357
1980,35-39 years,Kidney cancer,0.2341962310475641
1980,35-39 years,Larynx cancer,0.8021275524389023
1980,35-39 years,Lip and oral cavity cancer,2.2263800629843966
1980,35-39 years,Liver cancer,3.0030741725545136
1980,35-39 years,Nasopharynx cancer,0.39407360714735085
1980,35-39 years,Non-melanoma skin cancer,0.1581714184639023
1980,35-39 years,Other pharynx cancer,0.2103876598180413
1980,35-39 years,Ovarian cancer,0.7014245895007216
1980,35-39 years,Pancreatic cancer,1.1304239622221455
1980,35-39 years,Prostate cancer,0.2567969852367159
1980,35-39 years,Stomach cancer,22.213771891179253
1980,35-39 years,Testicular cancer,0.829093104979098
1980,35-39 years,Thyroid cancer,0.5171925934134034
1980,35-39 years,"Tracheal, bronchus, and lung cancer",8.36527334294397
1980,35-39 years,Uterine cancer,1.0501150540189472
1980,40-44 years,Bladder cancer,0.8163110710616286
1980,40-44 years,Brain and central nervous system cancer,1.787790068681546
1980,40-44 years,Breast cancer,25.396190839874162
1980,40-44 years,Cervical cancer,19.17931153832195
1980,40-44 years,Colon and rectum cancer,13.973591191584603
