year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.4158662343033226
1980,10-14 years,Eye cancer,0.004346990051909
1980,10-14 years,Kidney cancer,0.036977112760290795
1980,10-14 years,Liver cancer,0.052049200332193804
1980,10-14 years,Nasopharynx cancer,0.0802927636709475
1980,10-14 years,Thyroid cancer,0.0196953862365573
1980,15-19 years,Bladder cancer,0.0288228680480273
1980,15-19 years,Brain and central nervous system cancer,1.1598248584823894
1980,15-19 years,Breast cancer,0.0644127145927016
1980,15-19 years,Cervical cancer,0.0781842444787641
1980,15-19 years,Colon and rectum cancer,0.3115726484436262
1980,15-19 years,Eye cancer,0.0045172781186012
1980,15-19 years,Kidney cancer,0.029594202175382
1980,15-19 years,Lip and oral cavity cancer,0.085680167644477
1980,15-19 years,Liver cancer,0.0842189926766877
1980,15-19 years,Nasopharynx cancer,0.1342060947059152
1980,15-19 years,Ovarian cancer,0.1418340623114812
1980,15-19 years,Pancreatic cancer,0.0683367067522801
1980,15-19 years,Stomach cancer,0.5472434032688738
1980,15-19 years,Testicular cancer,0.2147137144247483
1980,15-19 years,Thyroid cancer,0.0500120742860541
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.4132763295784676
1980,20-24 years,Bladder cancer,0.06513222170753491
1980,20-24 years,Brain and central nervous system cancer,1.3317583828948334
1980,20-24 years,Breast cancer,0.2197995869340873
1980,20-24 years,Cervical cancer,0.5637943860965318
1980,20-24 years,Colon and rectum cancer,0.6497240005139805
1980,20-24 years,Esophageal cancer,0.0629076429610544
1980,20-24 years,Eye cancer,0.0113592727917694
1980,20-24 years,Gallbladder and biliary tract cancer,0.025443796419903
1980,20-24 years,Kidney cancer,0.0587089569425414
1980,20-24 years,Larynx cancer,0.057982753717063004
1980,20-24 years,Lip and oral cavity cancer,0.1863234496677792
1980,20-24 years,Liver cancer,0.16350369367329548
1980,20-24 years,Nasopharynx cancer,0.1679797980443504
1980,20-24 years,Non-melanoma skin cancer,0.1083365928654801
1980,20-24 years,Other pharynx cancer,0.0384317706618828
1980,20-24 years,Ovarian cancer,0.236459608887873
1980,20-24 years,Pancreatic cancer,0.175531120103176
1980,20-24 years,Prostate cancer,0.1212734813440845
1980,20-24 years,Stomach cancer,1.5334960554184118
1980,20-24 years,Testicular cancer,0.6531299602807197
1980,20-24 years,Thyroid cancer,0.1094433363552102
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.8143613630757631
1980,20-24 years,Uterine cancer,0.0952190351207129
1980,25-29 years,Bladder cancer,0.1299502643412574
1980,25-29 years,Brain and central nervous system cancer,1.9683188521537107
1980,25-29 years,Breast cancer,0.9230035864139589
1980,25-29 years,Cervical cancer,1.9871780478233931
1980,25-29 years,Colon and rectum cancer,1.2300609533653546
1980,25-29 years,Esophageal cancer,0.1084899139681608
1980,25-29 years,Eye cancer,0.0265549423194582
1980,25-29 years,Gallbladder and biliary tract cancer,0.0535154951301277
1980,25-29 years,Kidney cancer,0.11287183680965882
1980,25-29 years,Larynx cancer,0.0958580427491173
1980,25-29 years,Lip and oral cavity cancer,0.3744807509615956
1980,25-29 years,Liver cancer,0.3137086506438196
1980,25-29 years,Nasopharynx cancer,0.2166414712513361
1980,25-29 years,Non-melanoma skin cancer,0.1456967904934649
1980,25-29 years,Other pharynx cancer,0.0753051679911261
1980,25-29 years,Ovarian cancer,0.3709100661049272
1980,25-29 years,Pancreatic cancer,0.3587013694214523
1980,25-29 years,Prostate cancer,0.1301356035717574
1980,25-29 years,Stomach cancer,3.51092210191753
1980,25-29 years,Testicular cancer,1.0216733066318733
1980,25-29 years,Thyroid cancer,0.1819939677818572
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.428566256153932
1980,25-29 years,Uterine cancer,0.1846354831867166
1980,30-34 years,Bladder cancer,0.2380549077063135
1980,30-34 years,Brain and central nervous system cancer,2.582370003439959
1980,30-34 years,Breast cancer,3.924559975061554
1980,30-34 years,Cervical cancer,4.2583467990047215
1980,30-34 years,Colon and rectum cancer,2.4231061862951666
1980,30-34 years,Esophageal cancer,0.23552744029076342
1980,30-34 years,Eye cancer,0.0361690677438328
1980,30-34 years,Gallbladder and biliary tract cancer,0.1164840099265184
1980,30-34 years,Kidney cancer,0.2308922925075855
1980,30-34 years,Larynx cancer,0.2175279791067056
1980,30-34 years,Lip and oral cavity cancer,0.7428873891488914
1980,30-34 years,Liver cancer,0.5911507205886195
1980,30-34 years,Nasopharynx cancer,0.3710507613992269
1980,30-34 years,Non-melanoma skin cancer,0.2397752800813579
1980,30-34 years,Other pharynx cancer,0.15144819505559032
1980,30-34 years,Ovarian cancer,0.6703003386178464
1980,30-34 years,Pancreatic cancer,0.944174492807055
1980,30-34 years,Prostate cancer,0.153792852114975
1980,30-34 years,Stomach cancer,7.823086650448412
1980,30-34 years,Testicular cancer,1.1168934151026275
1980,30-34 years,Thyroid cancer,0.21303905942177048
1980,30-34 years,"Tracheal, bronchus, and lung cancer",3.5076950468352086
1980,30-34 years,Uterine cancer,0.3635364492492985
1980,35-39 years,Bladder cancer,0.5485630333279201
1980,35-39 years,Brain and central nervous system cancer,4.024689601927658
