year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.759399070286803
1980,10-14 years,Eye cancer,0.008442603710002501
1980,10-14 years,Kidney cancer,0.068280810860392
1980,10-14 years,Liver cancer,0.1519119690790286
1980,10-14 years,Nasopharynx cancer,0.12782304649167942
1980,10-14 years,Thyroid cancer,0.0371783721304907
1980,15-19 years,Bladder cancer,0.0955728744356367
1980,15-19 years,Brain and central nervous system cancer,1.5125121121526162
1980,15-19 years,Breast cancer,0.0688188293049749
1980,15-19 years,Cervical cancer,0.1903699277345332
1980,15-19 years,Colon and rectum cancer,0.3249992547655657
1980,15-19 years,Eye cancer,0.007816591311230001
1980,15-19 years,Kidney cancer,0.043330790161966296
1980,15-19 years,Lip and oral cavity cancer,0.0674757617610309
1980,15-19 years,Liver cancer,0.1902550538662434
1980,15-19 years,Nasopharynx cancer,0.1768958092352254
1980,15-19 years,Ovarian cancer,0.1644861644721627
1980,15-19 years,Pancreatic cancer,0.058360759079051694
1980,15-19 years,Stomach cancer,0.24583372245139878
1980,15-19 years,Testicular cancer,0.0704670811939096
1980,15-19 years,Thyroid cancer,0.0849643943125439
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.3146598625246243
1980,20-24 years,Bladder cancer,0.14522197277034898
1980,20-24 years,Brain and central nervous system cancer,1.2164780025949313
1980,20-24 years,Breast cancer,0.20446219128697318
1980,20-24 years,Cervical cancer,0.4889188300980496
1980,20-24 years,Colon and rectum cancer,0.5291999432608482
1980,20-24 years,Esophageal cancer,0.0222833416059054
1980,20-24 years,Eye cancer,0.010825131559812299
1980,20-24 years,Gallbladder and biliary tract cancer,0.0442983171090885
1980,20-24 years,Kidney cancer,0.043620365815854406
1980,20-24 years,Larynx cancer,0.0743034143312585
1980,20-24 years,Lip and oral cavity cancer,0.0889684241793395
1980,20-24 years,Liver cancer,0.2490044842114767
1980,20-24 years,Nasopharynx cancer,0.129363891124206
1980,20-24 years,Non-melanoma skin cancer,0.026772986094080603
1980,20-24 years,Other pharynx cancer,0.012333184004575799
1980,20-24 years,Ovarian cancer,0.1732827528311216
1980,20-24 years,Pancreatic cancer,0.0817966827669805
1980,20-24 years,Prostate cancer,0.0081942375881586
1980,20-24 years,Stomach cancer,0.5374467485724461
1980,20-24 years,Testicular cancer,0.114295905787256
1980,20-24 years,Thyroid cancer,0.1059578472099364
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.45449056717292413
1980,20-24 years,Uterine cancer,0.0318909157163945
1980,25-29 years,Bladder cancer,0.24061421944813272
1980,25-29 years,Brain and central nervous system cancer,1.7414452213185536
1980,25-29 years,Breast cancer,0.9861934889620482
1980,25-29 years,Cervical cancer,1.1637140767596483
1980,25-29 years,Colon and rectum cancer,1.1459212354354382
1980,25-29 years,Esophageal cancer,0.051995490149847
1980,25-29 years,Eye cancer,0.0200279731061297
1980,25-29 years,Gallbladder and biliary tract cancer,0.09113844794517281
1980,25-29 years,Kidney cancer,0.0756404254247794
1980,25-29 years,Larynx cancer,0.1205873942847413
1980,25-29 years,Lip and oral cavity cancer,0.1483136642061395
1980,25-29 years,Liver cancer,0.3658500866280923
1980,25-29 years,Nasopharynx cancer,0.16658411733670508
1980,25-29 years,Non-melanoma skin cancer,0.0424785007135925
1980,25-29 years,Other pharynx cancer,0.0236752148812844
1980,25-29 years,Ovarian cancer,0.3052623872253429
1980,25-29 years,Pancreatic cancer,0.1521371113656407
1980,25-29 years,Prostate cancer,0.0079022307551793
1980,25-29 years,Stomach cancer,1.3707417670418622
1980,25-29 years,Testicular cancer,0.1459240772838252
1980,25-29 years,Thyroid cancer,0.1651339904032155
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.9072098539964184
1980,25-29 years,Uterine cancer,0.0744940654956333
1980,30-34 years,Bladder cancer,0.3704219055074366
1980,30-34 years,Brain and central nervous system cancer,2.0025077475181154
1980,30-34 years,Breast cancer,2.6596632331895895
1980,30-34 years,Cervical cancer,1.6478463565236614
1980,30-34 years,Colon and rectum cancer,1.883615326303838
1980,30-34 years,Esophageal cancer,0.0920480340677417
1980,30-34 years,Eye cancer,0.024571183876737603
1980,30-34 years,Gallbladder and biliary tract cancer,0.15984796112569238
1980,30-34 years,Kidney cancer,0.1185949891115685
1980,30-34 years,Larynx cancer,0.22229365283002359
1980,30-34 years,Lip and oral cavity cancer,0.2122450188829883
1980,30-34 years,Liver cancer,0.6230459934115009
1980,30-34 years,Nasopharynx cancer,0.2310570163660028
1980,30-34 years,Non-melanoma skin cancer,0.033639337384901
1980,30-34 years,Other pharynx cancer,0.0372015863532341
1980,30-34 years,Ovarian cancer,0.4018050191623427
1980,30-34 years,Pancreatic cancer,0.304557569424362
1980,30-34 years,Prostate cancer,0.0159129548447608
1980,30-34 years,Stomach cancer,2.4936969760460803
1980,30-34 years,Testicular cancer,0.1439913525657181
1980,30-34 years,Thyroid cancer,0.190739553318726
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.7407098049005936
1980,30-34 years,Uterine cancer,0.1234770188099739
1980,35-39 years,Bladder cancer,0.6807509922826527
1980,35-39 years,Brain and central nervous system cancer,2.5386906011713037
1980,35-39 years,Breast cancer,5.8660456246101615
1980,35-39 years,Cervical cancer,2.8140022827008835
1980,35-39 years,Colon and rectum cancer,3.1649248525458566
1980,35-39 years,Esophageal cancer,0.22577328053548162
1980,35-39 years,Eye cancer,0.0309921176966077
1980,35-39 years,Gallbladder and biliary tract cancer,0.31530232196277996
1980,35-39 years,Kidney cancer,0.2269513380836946
1980,35-39 years,Larynx cancer,0.5425632155867544
1980,35-39 years,Lip and oral cavity cancer,0.3723190842205656
1980,35-39 years,Liver cancer,0.9618937143962394
1980,35-39 years,Nasopharynx cancer,0.3787469142273471
1980,35-39 years,Non-melanoma skin cancer,0.0560524499388438
1980,35-39 years,Other pharynx cancer,0.07685191524466489
1980,35-39 years,Ovarian cancer,0.6804896844554845
1980,35-39 years,Pancreatic cancer,0.6181941450534966
1980,35-39 years,Prostate cancer,0.0456620104008148
1980,35-39 years,Stomach cancer,4.318403686569694
1980,35-39 years,Testicular cancer,0.1126564977988914
1980,35-39 years,Thyroid cancer,0.2236026412756505
1980,35-39 years,"Tracheal, bronchus, and lung cancer",3.6771650395942417
1980,35-39 years,Uterine cancer,0.2395731807054335
1980,40-44 years,Bladder cancer,1.6694151361305507
1980,40-44 years,Brain and central nervous system cancer,3.637919194968789
1980,40-44 years,Breast cancer,10.590589383879362
1980,40-44 years,Cervical cancer,4.136685874129222
1980,40-44 years,Colon and rectum cancer,5.606211220547539
1980,40-44 years,Esophageal cancer,0.5642829047909809
1980,40-44 years,Eye cancer,0.0871329118582447
1980,40-44 years,Gallbladder and biliary tract cancer,0.6359604836981445
1980,40-44 years,Kidney cancer,0.4537880006833893
1980,40-44 years,Larynx cancer,1.427992203991534
1980,40-44 years,Lip and oral cavity cancer,0.7663236111040443
1980,40-44 years,Liver cancer,1.7697687950604215
1980,40-44 years,Nasopharynx cancer,0.7081227796086429
1980,40-44 years,Non-melanoma skin cancer,0.082654622426625
1980,40-44 years,Other pharynx cancer,0.1986700178663915
1980,40-44 years,Ovarian cancer,1.3288789829922096
1980,40-44 years,Pancreatic cancer,1.3371350697535744
