year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,4.531246045651386
1980,10-14 years,Eye cancer,0.0038292600956491
1980,10-14 years,Kidney cancer,0.14727174454415248
1980,10-14 years,Liver cancer,0.3879188376637104
1980,10-14 years,Nasopharynx cancer,0.9830791407157429
1980,10-14 years,Thyroid cancer,0.0587266391057764
1980,15-19 years,Bladder cancer,0.0911299739449962
1980,15-19 years,Brain and central nervous system cancer,3.0714992718010503
1980,15-19 years,Breast cancer,0.032999160868893804
1980,15-19 years,Cervical cancer,0.4031514673657692
1980,15-19 years,Colon and rectum cancer,0.5046866044000815
1980,15-19 years,Eye cancer,0.0035875723922156
1980,15-19 years,Kidney cancer,0.087506411817919
1980,15-19 years,Lip and oral cavity cancer,0.09356184630625611
1980,15-19 years,Liver cancer,0.5127720744376307
1980,15-19 years,Nasopharynx cancer,1.2868397308901711
1980,15-19 years,Ovarian cancer,0.1489083621760785
1980,15-19 years,Pancreatic cancer,0.0945837653085344
1980,15-19 years,Stomach cancer,0.2828511394521894
1980,15-19 years,Testicular cancer,0.0434976010136864
1980,15-19 years,Thyroid cancer,0.1318819158832897
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.3781411864934404
1980,20-24 years,Bladder cancer,0.1398115317636291
1980,20-24 years,Brain and central nervous system cancer,2.479217468615239
1980,20-24 years,Breast cancer,0.0822396435304474
1980,20-24 years,Cervical cancer,0.8860274331532321
1980,20-24 years,Colon and rectum cancer,0.8167550392629993
1980,20-24 years,Esophageal cancer,0.0330297905768345
1980,20-24 years,Eye cancer,0.0051385304689714004
1980,20-24 years,Gallbladder and biliary tract cancer,0.12074335331525139
1980,20-24 years,Kidney cancer,0.0952452100624067
1980,20-24 years,Larynx cancer,0.113723727358774
1980,20-24 years,Lip and oral cavity cancer,0.1241282842425408
1980,20-24 years,Liver cancer,0.6001761237862121
1980,20-24 years,Nasopharynx cancer,1.005331810959647
1980,20-24 years,Non-melanoma skin cancer,0.0011104465917318
1980,20-24 years,Other pharynx cancer,0.0207416892808239
1980,20-24 years,Ovarian cancer,0.137923047006766
1980,20-24 years,Pancreatic cancer,0.1358014516335136
1980,20-24 years,Prostate cancer,0.0134856562178013
1980,20-24 years,Stomach cancer,0.5464690856423513
1980,20-24 years,Testicular cancer,0.0964300903349133
1980,20-24 years,Thyroid cancer,0.14385030428016998
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.6269129183897018
1980,20-24 years,Uterine cancer,0.02408775914253
1980,25-29 years,Bladder cancer,0.2066104177321214
1980,25-29 years,Brain and central nervous system cancer,2.7625608790185368
1980,25-29 years,Breast cancer,0.3132339557664664
1980,25-29 years,Cervical cancer,1.5454894524100924
1980,25-29 years,Colon and rectum cancer,1.5604151089804255
1980,25-29 years,Esophageal cancer,0.0692735280739394
1980,25-29 years,Eye cancer,0.007589441777634501
1980,25-29 years,Gallbladder and biliary tract cancer,0.2014636439052631
1980,25-29 years,Kidney cancer,0.144860003858058
1980,25-29 years,Larynx cancer,0.1694130056920005
1980,25-29 years,Lip and oral cavity cancer,0.175029940225408
1980,25-29 years,Liver cancer,0.8230640039048542
1980,25-29 years,Nasopharynx cancer,1.1149949383264306
1980,25-29 years,Non-melanoma skin cancer,0.0014664233745615
1980,25-29 years,Other pharynx cancer,0.0324235123092178
1980,25-29 years,Ovarian cancer,0.184764164843761
1980,25-29 years,Pancreatic cancer,0.2230447327643628
1980,25-29 years,Prostate cancer,0.0106867694511872
1980,25-29 years,Stomach cancer,1.1708232447023519
1980,25-29 years,Testicular cancer,0.1181055867789713
