year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.4282731090308799
1980,10-14 years,Eye cancer,0.002685339492984
1980,10-14 years,Kidney cancer,0.0133238711307281
1980,10-14 years,Liver cancer,0.0137710458130289
1980,10-14 years,Nasopharynx cancer,0.0088687109968522
1980,10-14 years,Thyroid cancer,0.0046477774468682
1980,15-19 years,Bladder cancer,0.0044913885800773
1980,15-19 years,Brain and central nervous system cancer,0.3612120117779936
1980,15-19 years,Breast cancer,0.0168839098271633
1980,15-19 years,Cervical cancer,0.007199927904856
1980,15-19 years,Colon and rectum cancer,0.0525913148142654
1980,15-19 years,Eye cancer,0.0030258522315238998
1980,15-19 years,Kidney cancer,0.0116896981666843
1980,15-19 years,Lip and oral cavity cancer,0.0118878229180806
1980,15-19 years,Liver cancer,0.028779885402376
1980,15-19 years,Nasopharynx cancer,0.0203328317034913
1980,15-19 years,Ovarian cancer,0.0366129647884186
1980,15-19 years,Pancreatic cancer,0.0103070432857882
1980,15-19 years,Stomach cancer,0.028121954987490302
1980,15-19 years,Testicular cancer,0.0799430071802678
1980,15-19 years,Thyroid cancer,0.0095460525422641
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0485093587823343
1980,20-24 years,Bladder cancer,0.0057062587791572
1980,20-24 years,Brain and central nervous system cancer,0.3179183741718067
1980,20-24 years,Breast cancer,0.0354486304365549
1980,20-24 years,Cervical cancer,0.0300736108166523
1980,20-24 years,Colon and rectum cancer,0.0886655747067818
1980,20-24 years,Esophageal cancer,0.0136761610864064
1980,20-24 years,Eye cancer,0.0041269781670755
1980,20-24 years,Gallbladder and biliary tract cancer,0.003798443820432
1980,20-24 years,Kidney cancer,0.0125465095199904
1980,20-24 years,Larynx cancer,0.005210007562422301
1980,20-24 years,Lip and oral cavity cancer,0.0172673993409754
1980,20-24 years,Liver cancer,0.0306027343377099
1980,20-24 years,Nasopharynx cancer,0.0219948945208739
1980,20-24 years,Non-melanoma skin cancer,0.0085022371668173
1980,20-24 years,Other pharynx cancer,0.0035617667650212
1980,20-24 years,Ovarian cancer,0.0514056937329814
1980,20-24 years,Pancreatic cancer,0.0156725970216093
1980,20-24 years,Prostate cancer,0.0044168994398866
1980,20-24 years,Stomach cancer,0.0683900010286668
1980,20-24 years,Testicular cancer,0.1778042092332382
1980,20-24 years,Thyroid cancer,0.012172713534729599
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0691105774648409
1980,20-24 years,Uterine cancer,0.0046874447850752
1980,25-29 years,Bladder cancer,0.0129025441386219
1980,25-29 years,Brain and central nervous system cancer,0.47599146718471685
1980,25-29 years,Breast cancer,0.2646230538595145
1980,25-29 years,Cervical cancer,0.1664392337376066
1980,25-29 years,Colon and rectum cancer,0.2397809757975252
1980,25-29 years,Esophageal cancer,0.030400648937733102
1980,25-29 years,Eye cancer,0.0059372219016988
1980,25-29 years,Gallbladder and biliary tract cancer,0.009385788396754701
1980,25-29 years,Kidney cancer,0.022214499648244
1980,25-29 years,Larynx cancer,0.011026792417389901
1980,25-29 years,Lip and oral cavity cancer,0.0359592094204836
1980,25-29 years,Liver cancer,0.0590198755658542
1980,25-29 years,Nasopharynx cancer,0.0249308404290027
1980,25-29 years,Non-melanoma skin cancer,0.014504022774498599
1980,25-29 years,Other pharynx cancer,0.0065989712495998
1980,25-29 years,Ovarian cancer,0.1116693217183835
1980,25-29 years,Pancreatic cancer,0.0410866065521392
1980,25-29 years,Prostate cancer,0.004273689714921
1980,25-29 years,Stomach cancer,0.21766196296397788
1980,25-29 years,Testicular cancer,0.261440097041308
1980,25-29 years,Thyroid cancer,0.0219277306231452
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.148153306676855
