year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.21299537027205528
1980,10-14 years,Eye cancer,0.0017019372572666999
1980,10-14 years,Kidney cancer,0.013062916852796098
1980,10-14 years,Liver cancer,0.0051787482231711
1980,10-14 years,Nasopharynx cancer,0.0151713832608766
1980,10-14 years,Thyroid cancer,0.0023956591035547
1980,15-19 years,Bladder cancer,0.0034867251603691
1980,15-19 years,Brain and central nervous system cancer,0.2250995803056827
1980,15-19 years,Breast cancer,0.019951146252529795
1980,15-19 years,Cervical cancer,0.0065610569845011
1980,15-19 years,Colon and rectum cancer,0.032446621498822596
1980,15-19 years,Eye cancer,0.0023395569207942
1980,15-19 years,Kidney cancer,0.0145785907867265
1980,15-19 years,Lip and oral cavity cancer,0.007228149738110999
1980,15-19 years,Liver cancer,0.0130748589857273
1980,15-19 years,Nasopharynx cancer,0.0333701714745847
1980,15-19 years,Ovarian cancer,0.036832880468725
1980,15-19 years,Pancreatic cancer,0.0077495079353163
1980,15-19 years,Stomach cancer,0.0218691762431762
1980,15-19 years,Testicular cancer,0.0539466379119677
1980,15-19 years,Thyroid cancer,0.0058820875054376
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0223327339930633
1980,20-24 years,Bladder cancer,0.0056739936311019
1980,20-24 years,Brain and central nervous system cancer,0.24027829144583013
1980,20-24 years,Breast cancer,0.0652132971727155
1980,20-24 years,Cervical cancer,0.0384660457016383
1980,20-24 years,Colon and rectum cancer,0.0733101303699692
1980,20-24 years,Esophageal cancer,0.007803413290954301
1980,20-24 years,Eye cancer,0.0040646068190137
1980,20-24 years,Gallbladder and biliary tract cancer,0.0028379387325188
1980,20-24 years,Kidney cancer,0.0204000816418376
1980,20-24 years,Larynx cancer,0.0038150978444463
1980,20-24 years,Lip and oral cavity cancer,0.013202806927337699
1980,20-24 years,Liver cancer,0.0189613569140537
1980,20-24 years,Nasopharynx cancer,0.043068249434154604
1980,20-24 years,Non-melanoma skin cancer,0.0091308549349156
1980,20-24 years,Other pharynx cancer,0.0012698575619333
1980,20-24 years,Ovarian cancer,0.0678846811119172
1980,20-24 years,Pancreatic cancer,0.0147782114593227
1980,20-24 years,Prostate cancer,0.0020882754448564
1980,20-24 years,Stomach cancer,0.07097371574068001
1980,20-24 years,Testicular cancer,0.1368981866135679
1980,20-24 years,Thyroid cancer,0.0110287002651946
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0364098967755626
1980,20-24 years,Uterine cancer,0.0056241920677599
1980,25-29 years,Bladder cancer,0.0096954600557236
1980,25-29 years,Brain and central nervous system cancer,0.2708624336237949
1980,25-29 years,Breast cancer,0.254981320056955
1980,25-29 years,Cervical cancer,0.1302539654535286
1980,25-29 years,Colon and rectum cancer,0.1462133933980033
1980,25-29 years,Esophageal cancer,0.012836856764511899
1980,25-29 years,Eye cancer,0.004488770062395
1980,25-29 years,Gallbladder and biliary tract cancer,0.0051187137288328
1980,25-29 years,Kidney cancer,0.0256168251271048
1980,25-29 years,Larynx cancer,0.0060924102987628004
1980,25-29 years,Lip and oral cavity cancer,0.0201441367357341
1980,25-29 years,Liver cancer,0.0246527460050775
1980,25-29 years,Nasopharynx cancer,0.0404726527926985
1980,25-29 years,Non-melanoma skin cancer,0.011176131555672101
1980,25-29 years,Other pharynx cancer,0.0018048487825
1980,25-29 years,Ovarian cancer,0.0972522194515129
1980,25-29 years,Pancreatic cancer,0.0290357776079809
1980,25-29 years,Prostate cancer,0.0018126022833609
1980,25-29 years,Stomach cancer,0.1562851532846595
1980,25-29 years,Testicular cancer,0.1820725960759316
1980,25-29 years,Thyroid cancer,0.0132339629946784
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.0660432888291246
1980,25-29 years,Uterine cancer,0.0131147574713884
1980,30-34 years,Bladder cancer,0.025019098859448
1980,30-34 years,Brain and central nervous system cancer,0.3794051457555329
1980,30-34 years,Breast cancer,0.8832822532171205
1980,30-34 years,Cervical cancer,0.3093682555659763
1980,30-34 years,Colon and rectum cancer,0.2992739988998593
1980,30-34 years,Esophageal cancer,0.0290248679129202
1980,30-34 years,Eye cancer,0.0075273489597633
1980,30-34 years,Gallbladder and biliary tract cancer,0.0132751746049101
1980,30-34 years,Kidney cancer,0.045714022303874405
1980,30-34 years,Larynx cancer,0.0153648263665261
1980,30-34 years,Lip and oral cavity cancer,0.039170679406094505
1980,30-34 years,Liver cancer,0.0400009092249782
1980,30-34 years,Nasopharynx cancer,0.0616477401815035
1980,30-34 years,Non-melanoma skin cancer,0.018824098297549
1980,30-34 years,Other pharynx cancer,0.0043965494962533
1980,30-34 years,Ovarian cancer,0.1549266502122156
1980,30-34 years,Pancreatic cancer,0.0811306651569915
1980,30-34 years,Prostate cancer,0.0026522816659565
1980,30-34 years,Stomach cancer,0.3681534420512525
1980,30-34 years,Testicular cancer,0.1878716027462271
1980,30-34 years,Thyroid cancer,0.0203663375129555
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.19737878671054662
1980,30-34 years,Uterine cancer,0.0265742405994914
1980,35-39 years,Bladder cancer,0.0359127085445875
1980,35-39 years,Brain and central nervous system cancer,0.3351301593693251
1980,35-39 years,Breast cancer,1.449199719470503
1980,35-39 years,Cervical cancer,0.3759155350872938
1980,35-39 years,Colon and rectum cancer,0.3969974197605457
1980,35-39 years,Esophageal cancer,0.0476772951878487
1980,35-39 years,Eye cancer,0.0083893375034038
1980,35-39 years,Gallbladder and biliary tract cancer,0.0189799190551622
1980,35-39 years,Kidney cancer,0.0596100277372208
1980,35-39 years,Larynx cancer,0.0349860555499277
1980,35-39 years,Lip and oral cavity cancer,0.0585340896606896
1980,35-39 years,Liver cancer,0.046429569380593796
1980,35-39 years,Nasopharynx cancer,0.0893012214781347
1980,35-39 years,Non-melanoma skin cancer,0.019583559912285498
1980,35-39 years,Other pharynx cancer,0.0117159286649739
