year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,55.170415269768434
1980,10-14 years,Eye cancer,2.3412557630892077
1980,10-14 years,Kidney cancer,8.137486375681721
1980,10-14 years,Liver cancer,4.164515057043659
1980,10-14 years,Nasopharynx cancer,1.7751330422414737
1980,10-14 years,Thyroid cancer,2.382912157279865
1980,15-19 years,Bladder cancer,1.1414438464958698
1980,15-19 years,Brain and central nervous system cancer,33.784424877887815
1980,15-19 years,Breast cancer,5.842742009514593
1980,15-19 years,Cervical cancer,16.28319403222918
1980,15-19 years,Colon and rectum cancer,13.405228728288115
1980,15-19 years,Eye cancer,1.4847183740545409
1980,15-19 years,Kidney cancer,4.606186271637544
1980,15-19 years,Lip and oral cavity cancer,2.786262868153225
1980,15-19 years,Liver cancer,3.6220907214386697
1980,15-19 years,Nasopharynx cancer,2.110280253519678
1980,15-19 years,Ovarian cancer,17.22388291967095
1980,15-19 years,Pancreatic cancer,3.252534040822412
1980,15-19 years,Stomach cancer,19.666939786468106
1980,15-19 years,Testicular cancer,19.329709866345095
1980,15-19 years,Thyroid cancer,2.0917974349428743
1980,15-19 years,"Tracheal, bronchus, and lung cancer",19.34935435954347
1980,20-24 years,Bladder cancer,1.9634051697773722
1980,20-24 years,Brain and central nervous system cancer,30.90090885892284
1980,20-24 years,Breast cancer,11.505461392063811
1980,20-24 years,Cervical cancer,39.0475277544512
1980,20-24 years,Colon and rectum cancer,20.600932975574047
1980,20-24 years,Esophageal cancer,4.224422610944975
1980,20-24 years,Eye cancer,1.1512418214654145
1980,20-24 years,Gallbladder and biliary tract cancer,4.599978839799386
1980,20-24 years,Kidney cancer,5.249452177866638
1980,20-24 years,Larynx cancer,3.436921227970042
1980,20-24 years,Lip and oral cavity cancer,3.8332830789199965
1980,20-24 years,Liver cancer,4.448321033174313
1980,20-24 years,Nasopharynx cancer,2.167546450263884
1980,20-24 years,Non-melanoma skin cancer,3.332964332633105
1980,20-24 years,Other pharynx cancer,0.9359344618727816
1980,20-24 years,Ovarian cancer,17.827985264714258
1980,20-24 years,Pancreatic cancer,5.91799723863385
1980,20-24 years,Prostate cancer,1.5228567988602293
1980,20-24 years,Stomach cancer,38.09591066847719
1980,20-24 years,Testicular cancer,42.60109698729993
1980,20-24 years,Thyroid cancer,3.276203843769743
1980,20-24 years,"Tracheal, bronchus, and lung cancer",26.592508213522713
1980,20-24 years,Uterine cancer,2.500328072915969
1980,25-29 years,Bladder cancer,2.1709861042254373
1980,25-29 years,Brain and central nervous system cancer,29.114361633593354
1980,25-29 years,Breast cancer,36.78274734562996
1980,25-29 years,Cervical cancer,99.74233830603804
1980,25-29 years,Colon and rectum cancer,29.455929165863342
1980,25-29 years,Esophageal cancer,6.681244442968967
1980,25-29 years,Eye cancer,0.8890738167850705
1980,25-29 years,Gallbladder and biliary tract cancer,6.389626990076431
1980,25-29 years,Kidney cancer,5.834866835515998
1980,25-29 years,Larynx cancer,4.40219907754714
1980,25-29 years,Lip and oral cavity cancer,4.752302900262942
