year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.0208170574537925
1980,10-14 years,Eye cancer,5.393097851031932e-06
1980,10-14 years,Kidney cancer,0.0010378652001893
1980,10-14 years,Liver cancer,0.0006399265670773
1980,10-14 years,Nasopharynx cancer,0.0003544950007663661
1980,10-14 years,Thyroid cancer,0.00013175169393592206
1980,15-19 years,Bladder cancer,0.00019604122423163146
1980,15-19 years,Brain and central nervous system cancer,0.0162183809573064
1980,15-19 years,Breast cancer,0.0009504149882992156
1980,15-19 years,Cervical cancer,0.0003547866160925
1980,15-19 years,Colon and rectum cancer,0.0024877033806301
1980,15-19 years,Eye cancer,6.897720128295778e-06
1980,15-19 years,Kidney cancer,0.0008802394945014
1980,15-19 years,Lip and oral cavity cancer,0.00020761336461363962
1980,15-19 years,Liver cancer,0.00129563529286
1980,15-19 years,Nasopharynx cancer,0.0005563126174121
1980,15-19 years,Ovarian cancer,0.001407213317015
1980,15-19 years,Pancreatic cancer,0.0006405682216552
1980,15-19 years,Stomach cancer,0.0010936015504705
1980,15-19 years,Testicular cancer,0.004526479783603
1980,15-19 years,Thyroid cancer,0.0002607406206058
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0034263795970130998
1980,20-24 years,Bladder cancer,0.00036927999469760003
1980,20-24 years,Brain and central nervous system cancer,0.0190332665497354
1980,20-24 years,Breast cancer,0.003132809079533452
1980,20-24 years,Cervical cancer,0.0019926967814515
1980,20-24 years,Colon and rectum cancer,0.0059369925373469
1980,20-24 years,Esophageal cancer,0.0009762863165725
1980,20-24 years,Eye cancer,1.3380435594370833e-05
1980,20-24 years,Gallbladder and biliary tract cancer,0.00010044479187581239
1980,20-24 years,Kidney cancer,0.0014103167053818
1980,20-24 years,Larynx cancer,0.0006743769152132
1980,20-24 years,Lip and oral cavity cancer,0.00040954813692689997
1980,20-24 years,Liver cancer,0.0019716913821811
1980,20-24 years,Nasopharynx cancer,0.0006964331838302
1980,20-24 years,Non-melanoma skin cancer,0.00022202998481274825
1980,20-24 years,Other pharynx cancer,9.558175447175053e-05
1980,20-24 years,Ovarian cancer,0.0025228830242756
1980,20-24 years,Pancreatic cancer,0.0013038186617672
1980,20-24 years,Prostate cancer,0.0001668724045322
1980,20-24 years,Stomach cancer,0.0036503325211553
1980,20-24 years,Testicular cancer,0.0146304259512836
1980,20-24 years,Thyroid cancer,0.0005233369148194
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0066952668965194004
