year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.447436778635184
1980,10-14 years,Eye cancer,0.041372471119915696
1980,10-14 years,Kidney cancer,0.0336293858940013
1980,10-14 years,Liver cancer,3.5405756564941857
1980,10-14 years,Nasopharynx cancer,0.2892773835525859
1980,10-14 years,Thyroid cancer,0.0599651585321819
1980,15-19 years,Bladder cancer,0.0540907706005079
1980,15-19 years,Brain and central nervous system cancer,0.8004184066667273
1980,15-19 years,Breast cancer,0.045213317454257294
1980,15-19 years,Cervical cancer,0.2608088063410689
1980,15-19 years,Colon and rectum cancer,0.4025261173070805
1980,15-19 years,Eye cancer,0.0297604302251871
1980,15-19 years,Kidney cancer,0.0309347688881021
1980,15-19 years,Lip and oral cavity cancer,0.19806001934781148
1980,15-19 years,Liver cancer,4.394201408160684
1980,15-19 years,Nasopharynx cancer,0.2618979673553284
1980,15-19 years,Ovarian cancer,0.2365842057259272
1980,15-19 years,Pancreatic cancer,0.0217218145059674
1980,15-19 years,Stomach cancer,1.9677573873428504
1980,15-19 years,Testicular cancer,0.1193975251221161
1980,15-19 years,Thyroid cancer,0.062086930788316494
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.8492000230854648
1980,20-24 years,Bladder cancer,0.08359026550070031
1980,20-24 years,Brain and central nervous system cancer,0.5701475119260395
1980,20-24 years,Breast cancer,0.0731074549951411
1980,20-24 years,Cervical cancer,0.5270369412312131
1980,20-24 years,Colon and rectum cancer,0.5361998042051134
1980,20-24 years,Esophageal cancer,0.6595097151055368
1980,20-24 years,Eye cancer,0.0185742734512747
1980,20-24 years,Gallbladder and biliary tract cancer,0.0749478102492345
1980,20-24 years,Kidney cancer,0.030780010852092303
1980,20-24 years,Larynx cancer,0.07039922566492321
1980,20-24 years,Lip and oral cavity cancer,0.1962179103506202
1980,20-24 years,Liver cancer,4.789960008496454
1980,20-24 years,Nasopharynx cancer,0.1653949765632367
1980,20-24 years,Non-melanoma skin cancer,0.0056645365351033
1980,20-24 years,Other pharynx cancer,0.0574916346008743
1980,20-24 years,Ovarian cancer,0.2184867688984015
1980,20-24 years,Pancreatic cancer,0.0238777968678704
1980,20-24 years,Prostate cancer,0.0355690321230795
1980,20-24 years,Stomach cancer,2.760773822450937
1980,20-24 years,Testicular cancer,0.1576543533582934
1980,20-24 years,Thyroid cancer,0.0604456700299851
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.8829970099302188
1980,20-24 years,Uterine cancer,0.0816790929865456
1980,25-29 years,Bladder cancer,0.0871896120754916
1980,25-29 years,Brain and central nervous system cancer,0.5434080828527275
1980,25-29 years,Breast cancer,0.2217519212932016
1980,25-29 years,Cervical cancer,1.2181849982234672
1980,25-29 years,Colon and rectum cancer,0.7709132228338623
1980,25-29 years,Esophageal cancer,0.9168420815425762
1980,25-29 years,Eye cancer,0.025350219397117603
1980,25-29 years,Gallbladder and biliary tract cancer,0.1426134001281795
1980,25-29 years,Kidney cancer,0.0313441999947178
1980,25-29 years,Larynx cancer,0.0795707599031727
1980,25-29 years,Lip and oral cavity cancer,0.2340118961671721
1980,25-29 years,Liver cancer,4.872078619828569
1980,25-29 years,Nasopharynx cancer,0.1368859042896704
1980,25-29 years,Non-melanoma skin cancer,0.0057802435735712
1980,25-29 years,Other pharynx cancer,0.0781518250409427
1980,25-29 years,Ovarian cancer,0.2438424830186328
1980,25-29 years,Pancreatic cancer,0.039534382371389204
1980,25-29 years,Prostate cancer,0.0360688513388357
1980,25-29 years,Stomach cancer,3.8451650499815635
1980,25-29 years,Testicular cancer,0.2074575578636319
1980,25-29 years,Thyroid cancer,0.0998437754318478
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.9298512712796858
1980,25-29 years,Uterine cancer,0.1043474894113879
1980,30-34 years,Bladder cancer,0.1260792327977439
1980,30-34 years,Brain and central nervous system cancer,0.5560128821878388
1980,30-34 years,Breast cancer,0.7216427701186141
1980,30-34 years,Cervical cancer,3.0317311735738675
1980,30-34 years,Colon and rectum cancer,1.0991887047965654
1980,30-34 years,Esophageal cancer,1.3498205008307809
1980,30-34 years,Eye cancer,0.025774386755107598
1980,30-34 years,Gallbladder and biliary tract cancer,0.2454173340054454
1980,30-34 years,Kidney cancer,0.0258692028789545
1980,30-34 years,Larynx cancer,0.1091076411440072
1980,30-34 years,Lip and oral cavity cancer,0.26686126854794257
1980,30-34 years,Liver cancer,6.0867070855147745
1980,30-34 years,Nasopharynx cancer,0.1082694948361594
1980,30-34 years,Non-melanoma skin cancer,0.008913699779575601
1980,30-34 years,Other pharynx cancer,0.0967274902649147
1980,30-34 years,Ovarian cancer,0.2718127506144288
1980,30-34 years,Pancreatic cancer,0.0611737325595612
1980,30-34 years,Prostate cancer,0.0335649377409372
1980,30-34 years,Stomach cancer,6.8789812979593465
1980,30-34 years,Testicular cancer,0.1572984737279539
1980,30-34 years,Thyroid cancer,0.1021075005211328
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.4321368071376677
1980,30-34 years,Uterine cancer,0.1548398926945595
1980,35-39 years,Bladder cancer,0.2424367004539516
1980,35-39 years,Brain and central nervous system cancer,0.7303552163476186
1980,35-39 years,Breast cancer,1.389356431093992
1980,35-39 years,Cervical cancer,5.230042464004614
1980,35-39 years,Colon and rectum cancer,1.7067237192839264
1980,35-39 years,Esophageal cancer,2.87109997234482
1980,35-39 years,Eye cancer,0.020276704168162102
1980,35-39 years,Gallbladder and biliary tract cancer,0.5696209478756896
1980,35-39 years,Kidney cancer,0.061637653621574195
1980,35-39 years,Larynx cancer,0.24970385397394917
1980,35-39 years,Lip and oral cavity cancer,0.5632496745404731
1980,35-39 years,Liver cancer,10.720368921862434
1980,35-39 years,Nasopharynx cancer,0.15312485460440362
1980,35-39 years,Non-melanoma skin cancer,0.0195443306101131
1980,35-39 years,Other pharynx cancer,0.1979783478607246
1980,35-39 years,Ovarian cancer,0.5183942984788285
1980,35-39 years,Pancreatic cancer,0.133687533590632
1980,35-39 years,Prostate cancer,0.040245424935921
1980,35-39 years,Stomach cancer,12.387569408993702
1980,35-39 years,Testicular cancer,0.1576809837384742
1980,35-39 years,Thyroid cancer,0.1909326507600381
1980,35-39 years,"Tracheal, bronchus, and lung cancer",2.7764622050039094
1980,35-39 years,Uterine cancer,0.300489341587393
1980,40-44 years,Bladder cancer,0.4230215407334722
1980,40-44 years,Brain and central nervous system cancer,0.9306623993143577
1980,40-44 years,Breast cancer,2.3841230978334353
1980,40-44 years,Cervical cancer,8.323680878829668
1980,40-44 years,Colon and rectum cancer,2.7383881300168165
1980,40-44 years,Esophageal cancer,5.524057128794003
1980,40-44 years,Eye cancer,0.042697059825922395
1980,40-44 years,Gallbladder and biliary tract cancer,1.3192276667992517
1980,40-44 years,Kidney cancer,0.1689381223217635
1980,40-44 years,Larynx cancer,0.45837354262533747
1980,40-44 years,Lip and oral cavity cancer,0.9256666862165466
1980,40-44 years,Liver cancer,19.66771942873574
1980,40-44 years,Nasopharynx cancer,0.27854306559057074
1980,40-44 years,Non-melanoma skin cancer,0.0199120716303715
1980,40-44 years,Other pharynx cancer,0.3212699559953651
1980,40-44 years,Ovarian cancer,1.0145466524598137
1980,40-44 years,Pancreatic cancer,0.3117779922096946
1980,40-44 years,Prostate cancer,0.047869694686914
1980,40-44 years,Stomach cancer,20.168929099887304
1980,40-44 years,Testicular cancer,0.1287291494323244
1980,40-44 years,Thyroid cancer,0.3069308837307157
1980,40-44 years,"Tracheal, bronchus, and lung cancer",5.151600658332564
1980,40-44 years,Uterine cancer,0.5437109717718662
1980,45-49 years,Bladder cancer,0.79301081662764
1980,45-49 years,Brain and central nervous system cancer,1.0859244395443381
1980,45-49 years,Breast cancer,2.821644627727475
1980,45-49 years,Cervical cancer,7.918815258013227
1980,45-49 years,Colon and rectum cancer,3.8845203481874617
1980,45-49 years,Esophageal cancer,9.31546664105296
1980,45-49 years,Eye cancer,0.0494626756929838
1980,45-49 years,Gallbladder and biliary tract cancer,2.1980315342776633
1980,45-49 years,Kidney cancer,0.3336132221542462
1980,45-49 years,Larynx cancer,0.8633156670292612
1980,45-49 years,Lip and oral cavity cancer,1.6864998503504154
1980,45-49 years,Liver cancer,34.43103664089664
1980,45-49 years,Nasopharynx cancer,0.3721972723610735
