year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,10.230026320551193
1980,10-14 years,Eye cancer,0.0268489503932589
1980,10-14 years,Kidney cancer,0.1889933228958427
1980,10-14 years,Liver cancer,0.8003360476716873
1980,10-14 years,Nasopharynx cancer,3.7464022831306845
1980,10-14 years,Thyroid cancer,0.4327179860782451
1980,15-19 years,Bladder cancer,0.1054867647699898
1980,15-19 years,Brain and central nervous system cancer,5.13624771581463
1980,15-19 years,Breast cancer,0.4347286400905587
1980,15-19 years,Cervical cancer,3.172544129882844
1980,15-19 years,Colon and rectum cancer,1.183428059612833
1980,15-19 years,Eye cancer,0.0169576626148431
1980,15-19 years,Kidney cancer,0.09496207352149541
1980,15-19 years,Lip and oral cavity cancer,2.042999226422163
1980,15-19 years,Liver cancer,0.8712555363800105
1980,15-19 years,Nasopharynx cancer,3.2332623418350845
1980,15-19 years,Ovarian cancer,0.7594854716344982
1980,15-19 years,Pancreatic cancer,0.10574387768044681
1980,15-19 years,Stomach cancer,1.4388167006317292
1980,15-19 years,Testicular cancer,0.7313649783283352
1980,15-19 years,Thyroid cancer,0.838077878911771
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.8493408840472221
1980,20-24 years,Bladder cancer,0.1919197715335094
1980,20-24 years,Brain and central nervous system cancer,4.4088572746392
1980,20-24 years,Breast cancer,1.2638247657438821
1980,20-24 years,Cervical cancer,6.402827046689706
1980,20-24 years,Colon and rectum cancer,2.210854386553015
1980,20-24 years,Esophageal cancer,1.3590404195984882
1980,20-24 years,Eye cancer,0.0453044327757262
1980,20-24 years,Gallbladder and biliary tract cancer,0.3819648892135777
1980,20-24 years,Kidney cancer,0.1404580665810249
1980,20-24 years,Larynx cancer,0.550249899476901
1980,20-24 years,Lip and oral cavity cancer,3.2371679461600325
1980,20-24 years,Liver cancer,1.1608896258006824
1980,20-24 years,Nasopharynx cancer,2.7602161793145976
1980,20-24 years,Non-melanoma skin cancer,0.1446748368593066
1980,20-24 years,Other pharynx cancer,0.8441598243568946
1980,20-24 years,Ovarian cancer,0.843700172436449
1980,20-24 years,Pancreatic cancer,0.19473789521973567
1980,20-24 years,Prostate cancer,0.0187939249332967
1980,20-24 years,Stomach cancer,4.346751804338747
1980,20-24 years,Testicular cancer,1.8177129047242464
1980,20-24 years,Thyroid cancer,1.3121531749191564
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.1610420899518368
1980,20-24 years,Uterine cancer,0.1438720906286633
1980,25-29 years,Bladder cancer,0.28560821107778256
1980,25-29 years,Brain and central nervous system cancer,5.474371654717515
1980,25-29 years,Breast cancer,4.310581757084089
1980,25-29 years,Cervical cancer,15.533901594612336
1980,25-29 years,Colon and rectum cancer,3.4099643710024945
1980,25-29 years,Esophageal cancer,2.5683727916919796
1980,25-29 years,Eye cancer,0.0647659444045052
1980,25-29 years,Gallbladder and biliary tract cancer,0.7329081134060549
