year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,5.110231037343445
1980,10-14 years,Eye cancer,0.0104187480142903
1980,10-14 years,Kidney cancer,0.1411323795921444
1980,10-14 years,Liver cancer,0.0835469520876154
1980,10-14 years,Nasopharynx cancer,0.045284548159198496
1980,10-14 years,Thyroid cancer,0.0330231206911586
1980,15-19 years,Bladder cancer,0.0397286139720759
1980,15-19 years,Brain and central nervous system cancer,4.072862320062827
1980,15-19 years,Breast cancer,0.07543583633565569
1980,15-19 years,Cervical cancer,0.1729336147350252
1980,15-19 years,Colon and rectum cancer,0.43343764500996085
1980,15-19 years,Eye cancer,0.012993156294085
1980,15-19 years,Kidney cancer,0.13686848443368188
1980,15-19 years,Lip and oral cavity cancer,0.0740027531678142
1980,15-19 years,Liver cancer,0.1536550239161228
1980,15-19 years,Nasopharynx cancer,0.0814559746201729
1980,15-19 years,Ovarian cancer,0.2563271272066924
1980,15-19 years,Pancreatic cancer,0.1113851201062826
1980,15-19 years,Stomach cancer,0.2090973754992247
1980,15-19 years,Testicular cancer,0.4761877189540478
1980,15-19 years,Thyroid cancer,0.0808603443616861
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.22019610283332808
1980,20-24 years,Bladder cancer,0.06842149543794321
1980,20-24 years,Brain and central nervous system cancer,3.5813818851654604
1980,20-24 years,Breast cancer,0.2091521926972129
1980,20-24 years,Cervical cancer,0.8704535554143578
1980,20-24 years,Colon and rectum cancer,0.9081581543836627
1980,20-24 years,Esophageal cancer,0.0602604808293971
1980,20-24 years,Eye cancer,0.028731011812527497
1980,20-24 years,Gallbladder and biliary tract cancer,0.027381096512555998
1980,20-24 years,Kidney cancer,0.1570348534528965
1980,20-24 years,Larynx cancer,0.0211195927101912
1980,20-24 years,Lip and oral cavity cancer,0.1939220227056363
1980,20-24 years,Liver cancer,0.18398282902690488
1980,20-24 years,Nasopharynx cancer,0.0922616071837422
1980,20-24 years,Non-melanoma skin cancer,0.072210919689156
1980,20-24 years,Other pharynx cancer,0.0267854891028182
1980,20-24 years,Ovarian cancer,0.3632934306062917
1980,20-24 years,Pancreatic cancer,0.1354967318449303
1980,20-24 years,Prostate cancer,0.0117027189598396
1980,20-24 years,Stomach cancer,0.6195054213307323
1980,20-24 years,Testicular cancer,1.2461866488019258
1980,20-24 years,Thyroid cancer,0.15829075851241942
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.2718767310008623
1980,20-24 years,Uterine cancer,0.0399910009841787
1980,25-29 years,Bladder cancer,0.10267086303250111
1980,25-29 years,Brain and central nervous system cancer,4.1804998634540045
1980,25-29 years,Breast cancer,1.3488943916839717
1980,25-29 years,Cervical cancer,2.037965365560094
1980,25-29 years,Colon and rectum cancer,1.8302268807933146
1980,25-29 years,Esophageal cancer,0.07812201498846799
1980,25-29 years,Eye cancer,0.0416672400667897
1980,25-29 years,Gallbladder and biliary tract cancer,0.0677788672687668
1980,25-29 years,Kidney cancer,0.20870108335973958
1980,25-29 years,Larynx cancer,0.035632251560359
1980,25-29 years,Lip and oral cavity cancer,0.2509599712859661
1980,25-29 years,Liver cancer,0.24604550674810582
1980,25-29 years,Nasopharynx cancer,0.0997603074723567
1980,25-29 years,Non-melanoma skin cancer,0.0997081075997616
1980,25-29 years,Other pharynx cancer,0.017399358765482098
1980,25-29 years,Ovarian cancer,0.6632530698884173
1980,25-29 years,Pancreatic cancer,0.1936494801629006
1980,25-29 years,Prostate cancer,0.0100441378572061
1980,25-29 years,Stomach cancer,1.177948485831801
1980,25-29 years,Testicular cancer,1.540046781976112
1980,25-29 years,Thyroid cancer,0.1333108834566957
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.5892350690898969
1980,25-29 years,Uterine cancer,0.1074429173953897
1980,30-34 years,Bladder cancer,0.3100950394060618
1980,30-34 years,Brain and central nervous system cancer,6.442409815397369
1980,30-34 years,Breast cancer,5.073920357123081
1980,30-34 years,Cervical cancer,3.815954478375239
1980,30-34 years,Colon and rectum cancer,3.7743441744924766
1980,30-34 years,Esophageal cancer,0.1864544030439619
1980,30-34 years,Eye cancer,0.0747924891923463
1980,30-34 years,Gallbladder and biliary tract cancer,0.16881099114632342
1980,30-34 years,Kidney cancer,0.44804241592607885
1980,30-34 years,Larynx cancer,0.06805498881074461
1980,30-34 years,Lip and oral cavity cancer,0.3560515901088514
1980,30-34 years,Liver cancer,0.43350975139027625
1980,30-34 years,Nasopharynx cancer,0.087259710009966
1980,30-34 years,Non-melanoma skin cancer,0.11227400693218659
1980,30-34 years,Other pharynx cancer,0.0642853931923085
1980,30-34 years,Ovarian cancer,1.365988397962712
1980,30-34 years,Pancreatic cancer,0.7934984960320097
1980,30-34 years,Prostate cancer,0.0166638667083285
1980,30-34 years,Stomach cancer,2.814061032208279
1980,30-34 years,Testicular cancer,1.670078971526712
1980,30-34 years,Thyroid cancer,0.15176117851974752
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.5949389774289071
1980,30-34 years,Uterine cancer,0.1892636866611476
1980,35-39 years,Bladder cancer,0.5091413981135032
1980,35-39 years,Brain and central nervous system cancer,7.519136687927309
1980,35-39 years,Breast cancer,11.406337198649688
1980,35-39 years,Cervical cancer,6.121698000232072
1980,35-39 years,Colon and rectum cancer,6.890119384575284
