year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.6110037674178346
1980,10-14 years,Eye cancer,0.0033479831741618
1980,10-14 years,Kidney cancer,0.0146024602336092
1980,10-14 years,Liver cancer,0.0690484438500209
1980,10-14 years,Nasopharynx cancer,0.0702621154359497
1980,10-14 years,Thyroid cancer,0.0127526922166004
1980,15-19 years,Bladder cancer,0.01007386609456
1980,15-19 years,Brain and central nervous system cancer,0.4218112151306455
1980,15-19 years,Breast cancer,0.0064295620673177
1980,15-19 years,Cervical cancer,0.0734800558426373
1980,15-19 years,Colon and rectum cancer,0.053959326621495704
1980,15-19 years,Eye cancer,0.0027279435174047
1980,15-19 years,Kidney cancer,0.0087577754268712
1980,15-19 years,Lip and oral cavity cancer,0.0281987495408299
1980,15-19 years,Liver cancer,0.0830811886326702
1980,15-19 years,Nasopharynx cancer,0.0887060929432209
1980,15-19 years,Ovarian cancer,0.0175667332736764
1980,15-19 years,Pancreatic cancer,0.0070298789922067
1980,15-19 years,Stomach cancer,0.1328683357245758
1980,15-19 years,Testicular cancer,0.0110047313825014
1980,15-19 years,Thyroid cancer,0.025782675103436202
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0326308359570695
1980,20-24 years,Bladder cancer,0.0188079093509771
1980,20-24 years,Brain and central nervous system cancer,0.4064567255806801
1980,20-24 years,Breast cancer,0.0199925601699969
1980,20-24 years,Cervical cancer,0.2406205658768165
1980,20-24 years,Colon and rectum cancer,0.1101861769689042
1980,20-24 years,Esophageal cancer,0.0203617549161981
1980,20-24 years,Eye cancer,0.0045697078028035
1980,20-24 years,Gallbladder and biliary tract cancer,0.013620219106821301
1980,20-24 years,Kidney cancer,0.0115627389931085
1980,20-24 years,Larynx cancer,0.0120003965403866
1980,20-24 years,Lip and oral cavity cancer,0.0511356446895604
1980,20-24 years,Liver cancer,0.1386570865488908
1980,20-24 years,Nasopharynx cancer,0.08797316954852259
1980,20-24 years,Non-melanoma skin cancer,0.0190383913256085
1980,20-24 years,Other pharynx cancer,0.0078746170538599
1980,20-24 years,Ovarian cancer,0.0224546698863257
1980,20-24 years,Pancreatic cancer,0.0131704540348067
1980,20-24 years,Prostate cancer,0.0022990570141582
1980,20-24 years,Stomach cancer,0.328871013683861
1980,20-24 years,Testicular cancer,0.026626027786649
1980,20-24 years,Thyroid cancer,0.034514496211166396
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0593060540389484
1980,20-24 years,Uterine cancer,0.0031861605237825
1980,25-29 years,Bladder cancer,0.0287469952565966
1980,25-29 years,Brain and central nervous system cancer,0.5123222857926476
1980,25-29 years,Breast cancer,0.07752753223556459
1980,25-29 years,Cervical cancer,0.4456312538585475
1980,25-29 years,Colon and rectum cancer,0.2114663359002225
1980,25-29 years,Esophageal cancer,0.042365502063844596
1980,25-29 years,Eye cancer,0.0069067994715674
1980,25-29 years,Gallbladder and biliary tract cancer,0.023487877753237102
1980,25-29 years,Kidney cancer,0.0185468779463742
1980,25-29 years,Larynx cancer,0.0185419069871246
1980,25-29 years,Lip and oral cavity cancer,0.0816862637837204
1980,25-29 years,Liver cancer,0.19770508697698
1980,25-29 years,Nasopharynx cancer,0.1053289096370559
1980,25-29 years,Non-melanoma skin cancer,0.029489215019514
1980,25-29 years,Other pharynx cancer,0.0134959130768593
1980,25-29 years,Ovarian cancer,0.0328991477977638
1980,25-29 years,Pancreatic cancer,0.022595422260022098
1980,25-29 years,Prostate cancer,0.0021283921038242
1980,25-29 years,Stomach cancer,0.7100189452082342
1980,25-29 years,Testicular cancer,0.0387806584558652
1980,25-29 years,Thyroid cancer,0.0469248675618266
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.1059702440966716
1980,25-29 years,Uterine cancer,0.0059497075078449
1980,30-34 years,Bladder cancer,0.0397771371239226
1980,30-34 years,Brain and central nervous system cancer,0.5397941075346525
1980,30-34 years,Breast cancer,0.228505025254922
1980,30-34 years,Cervical cancer,0.6367923055253933
1980,30-34 years,Colon and rectum cancer,0.3251372085659348
1980,30-34 years,Esophageal cancer,0.0698815880800052
1980,30-34 years,Eye cancer,0.0091670794054849
1980,30-34 years,Gallbladder and biliary tract cancer,0.038994297112387805
1980,30-34 years,Kidney cancer,0.0272860999856223
1980,30-34 years,Larynx cancer,0.0330464960948712
1980,30-34 years,Lip and oral cavity cancer,0.1110102928529451
1980,30-34 years,Liver cancer,0.269562706953385
1980,30-34 years,Nasopharynx cancer,0.1295192790020889
1980,30-34 years,Non-melanoma skin cancer,0.0213598805459766
1980,30-34 years,Other pharynx cancer,0.0199423636056171
1980,30-34 years,Ovarian cancer,0.0442402122932253
1980,30-34 years,Pancreatic cancer,0.0489392935138825
1980,30-34 years,Prostate cancer,0.0036459689895082
1980,30-34 years,Stomach cancer,1.2499065912014642
1980,30-34 years,Testicular cancer,0.0326416427181438
1980,30-34 years,Thyroid cancer,0.0507294979544823
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.19830853586506608
1980,30-34 years,Uterine cancer,0.0094510315457207
1980,35-39 years,Bladder cancer,0.0647063689827658
