year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,55.05341068331544
1980,10-14 years,Eye cancer,0.4570485035254387
1980,10-14 years,Kidney cancer,1.308798457624279
1980,10-14 years,Liver cancer,6.1393180559763785
1980,10-14 years,Nasopharynx cancer,16.779380762522276
1980,10-14 years,Thyroid cancer,3.1238902292871127
1980,15-19 years,Bladder cancer,1.5816883315847348
1980,15-19 years,Brain and central nervous system cancer,28.45846491482142
1980,15-19 years,Breast cancer,14.158637130084125
1980,15-19 years,Cervical cancer,6.132169117057043
1980,15-19 years,Colon and rectum cancer,4.664943954084588
1980,15-19 years,Eye cancer,0.2838386910366827
1980,15-19 years,Kidney cancer,0.5719562451829409
1980,15-19 years,Lip and oral cavity cancer,28.976193578542883
1980,15-19 years,Liver cancer,7.703685679806743
1980,15-19 years,Nasopharynx cancer,13.783311176807677
1980,15-19 years,Ovarian cancer,7.856119608882969
1980,15-19 years,Pancreatic cancer,0.470595791159342
1980,15-19 years,Stomach cancer,3.3613516312094465
1980,15-19 years,Testicular cancer,9.16847091668888
1980,15-19 years,Thyroid cancer,5.9254657556443435
1980,15-19 years,"Tracheal, bronchus, and lung cancer",3.9010101622551483
1980,20-24 years,Bladder cancer,2.6510079226976604
1980,20-24 years,Brain and central nervous system cancer,22.912510705562987
1980,20-24 years,Breast cancer,26.62989415215366
1980,20-24 years,Cervical cancer,15.049703388762945
1980,20-24 years,Colon and rectum cancer,8.360057858777445
1980,20-24 years,Esophageal cancer,4.5756621145622045
1980,20-24 years,Eye cancer,0.7154506405005674
1980,20-24 years,Gallbladder and biliary tract cancer,2.4995527380935774
1980,20-24 years,Kidney cancer,0.7692808662360113
1980,20-24 years,Larynx cancer,3.863566493905367
1980,20-24 years,Lip and oral cavity cancer,40.55369902711428
1980,20-24 years,Liver cancer,9.093640480933264
1980,20-24 years,Nasopharynx cancer,10.876923534971624
1980,20-24 years,Non-melanoma skin cancer,0.6906984539279066
1980,20-24 years,Other pharynx cancer,4.469603254262603
1980,20-24 years,Ovarian cancer,8.11033277177348
1980,20-24 years,Pancreatic cancer,0.7656289152128897
1980,20-24 years,Prostate cancer,0.1625461955695147
1980,20-24 years,Stomach cancer,9.071319145432923
1980,20-24 years,Testicular cancer,21.61245199781637
1980,20-24 years,Thyroid cancer,8.432419917487676
1980,20-24 years,"Tracheal, bronchus, and lung cancer",5.62528333649277
1980,20-24 years,Uterine cancer,1.3644895022390395
1980,25-29 years,Bladder cancer,3.7422182027528885
1980,25-29 years,Brain and central nervous system cancer,27.308787902863145
1980,25-29 years,Breast cancer,54.37217201004985
1980,25-29 years,Cervical cancer,23.75006021535882
1980,25-29 years,Colon and rectum cancer,12.399209774765822
1980,25-29 years,Esophageal cancer,8.173683130067822
1980,25-29 years,Eye cancer,0.9649509300763159
1980,25-29 years,Gallbladder and biliary tract cancer,4.159595928849029
1980,25-29 years,Kidney cancer,1.1676976964223367
1980,25-29 years,Larynx cancer,5.659897946037212
1980,25-29 years,Lip and oral cavity cancer,54.77465941341653
1980,25-29 years,Liver cancer,12.562081334960421
1980,25-29 years,Nasopharynx cancer,12.144480424078065
1980,25-29 years,Non-melanoma skin cancer,0.9843483695024597
1980,25-29 years,Other pharynx cancer,6.005112002009567
1980,25-29 years,Ovarian cancer,9.432381145949368
1980,25-29 years,Pancreatic cancer,1.0752319939505686
1980,25-29 years,Prostate cancer,0.1525845730825833
1980,25-29 years,Stomach cancer,16.609450237170435
1980,25-29 years,Testicular cancer,30.21198181254517
1980,25-29 years,Thyroid cancer,10.964614014295758
1980,25-29 years,"Tracheal, bronchus, and lung cancer",10.137305257599765
1980,25-29 years,Uterine cancer,2.885718968143407
1980,30-34 years,Bladder cancer,5.158163577174639
1980,30-34 years,Brain and central nervous system cancer,30.270211352609024
1980,30-34 years,Breast cancer,88.06018225882502
1980,30-34 years,Cervical cancer,37.70663692198092
1980,30-34 years,Colon and rectum cancer,23.902729699096554
1980,30-34 years,Esophageal cancer,13.71422523906465
1980,30-34 years,Eye cancer,1.2168895020465784
1980,30-34 years,Gallbladder and biliary tract cancer,7.2091079933995585
1980,30-34 years,Kidney cancer,2.1095913304167797
1980,30-34 years,Larynx cancer,11.162200117241284
1980,30-34 years,Lip and oral cavity cancer,87.03131846557326
1980,30-34 years,Liver cancer,19.09348195974089
1980,30-34 years,Nasopharynx cancer,17.38574775444748
1980,30-34 years,Non-melanoma skin cancer,1.3848625237605492
1980,30-34 years,Other pharynx cancer,9.753419568553241
1980,30-34 years,Ovarian cancer,12.71269092069961
1980,30-34 years,Pancreatic cancer,2.3076792606990892
1980,30-34 years,Prostate cancer,0.2384774365955334
1980,30-34 years,Stomach cancer,32.63442777173596
1980,30-34 years,Testicular cancer,28.82586303986905
1980,30-34 years,Thyroid cancer,9.83418406520425
1980,30-34 years,"Tracheal, bronchus, and lung cancer",20.53241239260994
1980,30-34 years,Uterine cancer,4.902565491385635
1980,35-39 years,Bladder cancer,8.70827144342558
1980,35-39 years,Brain and central nervous system cancer,35.5303652227307
1980,35-39 years,Breast cancer,138.4212623737937
1980,35-39 years,Cervical cancer,63.56854849418461
1980,35-39 years,Colon and rectum cancer,39.727771115267146
1980,35-39 years,Esophageal cancer,32.4252924408818
1980,35-39 years,Eye cancer,1.6218964591343141
1980,35-39 years,Gallbladder and biliary tract cancer,14.891064450646942
1980,35-39 years,Kidney cancer,3.8388206627076777
1980,35-39 years,Larynx cancer,27.460625962408013
1980,35-39 years,Lip and oral cavity cancer,149.1979448537566
1980,35-39 years,Liver cancer,30.60453108860826
1980,35-39 years,Nasopharynx cancer,31.303276007843287
1980,35-39 years,Non-melanoma skin cancer,2.167754474670357
1980,35-39 years,Other pharynx cancer,20.678233641327964
1980,35-39 years,Ovarian cancer,21.63483062134644
1980,35-39 years,Pancreatic cancer,4.575301590024332
1980,35-39 years,Prostate cancer,1.0509031896124894
1980,35-39 years,Stomach cancer,61.53162172248416
1980,35-39 years,Testicular cancer,23.7436665080075
1980,35-39 years,Thyroid cancer,11.796938624534477
1980,35-39 years,"Tracheal, bronchus, and lung cancer",47.624469145597516
1980,35-39 years,Uterine cancer,8.592226641765919
1980,40-44 years,Bladder cancer,19.679046605307793
1980,40-44 years,Brain and central nervous system cancer,42.27919644221127
1980,40-44 years,Breast cancer,296.14653011473183
1980,40-44 years,Cervical cancer,100.73622931058809
1980,40-44 years,Colon and rectum cancer,61.812781392198126
1980,40-44 years,Esophageal cancer,75.56729853152243
1980,40-44 years,Eye cancer,3.73482737033678
1980,40-44 years,Gallbladder and biliary tract cancer,28.22764424994881
1980,40-44 years,Kidney cancer,6.59848977145019
1980,40-44 years,Larynx cancer,70.46130622970725
1980,40-44 years,Lip and oral cavity cancer,280.9859074163447
1980,40-44 years,Liver cancer,48.29093113785286
1980,40-44 years,Nasopharynx cancer,48.45284015095599
1980,40-44 years,Non-melanoma skin cancer,3.3587962415950794
1980,40-44 years,Other pharynx cancer,46.96865873482551
1980,40-44 years,Ovarian cancer,40.13355504081198
1980,40-44 years,Pancreatic cancer,8.662108912325069
1980,40-44 years,Prostate cancer,2.285912535458931
1980,40-44 years,Stomach cancer,97.05227086018238
1980,40-44 years,Testicular cancer,16.474137086734643
1980,40-44 years,Thyroid cancer,14.191071876094142
1980,40-44 years,"Tracheal, bronchus, and lung cancer",103.08780064172369
1980,40-44 years,Uterine cancer,16.352728296451613
1980,45-49 years,Bladder cancer,35.021527781130935
1980,45-49 years,Brain and central nervous system cancer,44.58723851662873
1980,45-49 years,Breast cancer,418.61881871662257
1980,45-49 years,Cervical cancer,115.2032617999984
1980,45-49 years,Colon and rectum cancer,105.75031357351185
1980,45-49 years,Esophageal cancer,146.84296262823534
1980,45-49 years,Eye cancer,4.118346985819559
1980,45-49 years,Gallbladder and biliary tract cancer,50.25391295943698
1980,45-49 years,Kidney cancer,12.357351093920752
1980,45-49 years,Larynx cancer,125.34664066516987
1980,45-49 years,Lip and oral cavity cancer,380.0092472158069
1980,45-49 years,Liver cancer,73.48461312907313
1980,45-49 years,Nasopharynx cancer,61.52651416386656
1980,45-49 years,Non-melanoma skin cancer,4.045554490174057
1980,45-49 years,Other pharynx cancer,82.87376415144404
1980,45-49 years,Ovarian cancer,63.61880065937029
1980,45-49 years,Pancreatic cancer,14.902603471810618
1980,45-49 years,Prostate cancer,8.773258597898316
1980,45-49 years,Stomach cancer,128.60902468265093
1980,45-49 years,Testicular cancer,10.529602727585353
1980,45-49 years,Thyroid cancer,16.292605655626783
1980,45-49 years,"Tracheal, bronchus, and lung cancer",218.07104931496957
