year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,3.0669283340110978
1980,10-14 years,Eye cancer,0.0059145303202507
1980,10-14 years,Kidney cancer,0.11160169098040121
1980,10-14 years,Liver cancer,0.2000113391701439
1980,10-14 years,Nasopharynx cancer,0.056936457908285706
1980,10-14 years,Thyroid cancer,0.0307452989182517
1980,15-19 years,Bladder cancer,0.0426273249281206
1980,15-19 years,Brain and central nervous system cancer,2.3330091001495163
1980,15-19 years,Breast cancer,0.1516138586802666
1980,15-19 years,Cervical cancer,0.0511611751591119
1980,15-19 years,Colon and rectum cancer,0.6554471743305958
1980,15-19 years,Eye cancer,0.0049135244669771
1980,15-19 years,Kidney cancer,0.0805617001651968
1980,15-19 years,Lip and oral cavity cancer,0.033390364962715496
1980,15-19 years,Liver cancer,0.275976717442539
1980,15-19 years,Nasopharynx cancer,0.0925125552371231
1980,15-19 years,Ovarian cancer,0.0924060727740902
1980,15-19 years,Pancreatic cancer,0.0510254334193518
1980,15-19 years,Stomach cancer,0.3028714274638439
1980,15-19 years,Testicular cancer,0.0591800885532362
1980,15-19 years,Thyroid cancer,0.0525190006582145
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.5665115487259418
1980,20-24 years,Bladder cancer,0.055059528790945
1980,20-24 years,Brain and central nervous system cancer,1.795014106456089
1980,20-24 years,Breast cancer,0.2805530761884409
1980,20-24 years,Cervical cancer,0.0842118712428688
1980,20-24 years,Colon and rectum cancer,0.8858362845702208
1980,20-24 years,Esophageal cancer,0.0323365564579636
1980,20-24 years,Eye cancer,0.0046232332633414
1980,20-24 years,Gallbladder and biliary tract cancer,0.0437095006457369
1980,20-24 years,Kidney cancer,0.0748224608695089
1980,20-24 years,Larynx cancer,0.04535575094653051
1980,20-24 years,Lip and oral cavity cancer,0.0484791450893955
1980,20-24 years,Liver cancer,0.3414196862015424
1980,20-24 years,Nasopharynx cancer,0.0769580296350033
1980,20-24 years,Non-melanoma skin cancer,0.0511021906870706
1980,20-24 years,Other pharynx cancer,0.0098731940666409
1980,20-24 years,Ovarian cancer,0.0958049695094432
