year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.0048664670603449
1980,10-14 years,Eye cancer,0.0313722322415769
1980,10-14 years,Kidney cancer,0.1808788927760941
1980,10-14 years,Liver cancer,0.125730656977252
1980,10-14 years,Nasopharynx cancer,0.0714864528539996
1980,10-14 years,Thyroid cancer,0.0424508921649214
1980,15-19 years,Bladder cancer,0.018577059107978
1980,15-19 years,Brain and central nervous system cancer,0.6075345206630911
1980,15-19 years,Breast cancer,0.1267365545562827
1980,15-19 years,Cervical cancer,0.2911798730911098
1980,15-19 years,Colon and rectum cancer,0.405640221003707
1980,15-19 years,Eye cancer,0.0243320051358618
1980,15-19 years,Kidney cancer,0.11601793869506441
1980,15-19 years,Lip and oral cavity cancer,0.0931830947578999
1980,15-19 years,Liver cancer,0.13606542521503762
1980,15-19 years,Nasopharynx cancer,0.0939576161385499
1980,15-19 years,Ovarian cancer,0.2587770079398948
1980,15-19 years,Pancreatic cancer,0.0517871368657573
1980,15-19 years,Stomach cancer,0.4834950113526062
1980,15-19 years,Testicular cancer,0.183358369276736
1980,15-19 years,Thyroid cancer,0.0460826595110082
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.3685937770218236
1980,20-24 years,Bladder cancer,0.0263106538510433
1980,20-24 years,Brain and central nervous system cancer,0.4803514572792
1980,20-24 years,Breast cancer,0.2289787289864407
1980,20-24 years,Cervical cancer,0.6649033168448221
1980,20-24 years,Colon and rectum cancer,0.6372944723064047
1980,20-24 years,Esophageal cancer,0.0656785768329783
1980,20-24 years,Eye cancer,0.0163394099528687
1980,20-24 years,Gallbladder and biliary tract cancer,0.049754927101772095
1980,20-24 years,Kidney cancer,0.1140917552707159
1980,20-24 years,Larynx cancer,0.043871658280650705
1980,20-24 years,Lip and oral cavity cancer,0.10671873073840779
1980,20-24 years,Liver cancer,0.14452625582015521
1980,20-24 years,Nasopharynx cancer,0.0804334173871317
1980,20-24 years,Non-melanoma skin cancer,0.0310214953535034
1980,20-24 years,Other pharynx cancer,0.054039658113477496
1980,20-24 years,Ovarian cancer,0.264220614082952
1980,20-24 years,Pancreatic cancer,0.07109084900102619
1980,20-24 years,Prostate cancer,0.0291431660969719
1980,20-24 years,Stomach cancer,0.8047724014043567
1980,20-24 years,Testicular cancer,0.2939733558337209
1980,20-24 years,Thyroid cancer,0.0560705723711369
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.44470818535915235
1980,20-24 years,Uterine cancer,0.0662967182477923
1980,25-29 years,Bladder cancer,0.0302296437280014
1980,25-29 years,Brain and central nervous system cancer,0.465637683678952
1980,25-29 years,Breast cancer,0.7084987661196102
1980,25-29 years,Cervical cancer,2.025399600459325
1980,25-29 years,Colon and rectum cancer,0.8603531826856206
1980,25-29 years,Esophageal cancer,0.09385741385940549
1980,25-29 years,Eye cancer,0.0149902398163322
1980,25-29 years,Gallbladder and biliary tract cancer,0.068869837758008
1980,25-29 years,Kidney cancer,0.1189537062657017
1980,25-29 years,Larynx cancer,0.060990129656706096
1980,25-29 years,Lip and oral cavity cancer,0.1329150327412549
1980,25-29 years,Liver cancer,0.15935287262117948
1980,25-29 years,Nasopharynx cancer,0.0666265099745874
1980,25-29 years,Non-melanoma skin cancer,0.0399119312340828
1980,25-29 years,Other pharynx cancer,0.053284776737164
1980,25-29 years,Ovarian cancer,0.2803935643681546
1980,25-29 years,Pancreatic cancer,0.1086171728184761
1980,25-29 years,Prostate cancer,0.03243190908225
1980,25-29 years,Stomach cancer,1.4294236956310926
1980,25-29 years,Testicular cancer,0.2384877043096007
1980,25-29 years,Thyroid cancer,0.0715087467050198
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.5183414859873223
1980,25-29 years,Uterine cancer,0.1251966861094481
1980,30-34 years,Bladder cancer,0.06208019847515191
1980,30-34 years,Brain and central nervous system cancer,0.5393286514790439
1980,30-34 years,Breast cancer,2.4413558739635377
1980,30-34 years,Cervical cancer,4.913120781949125
1980,30-34 years,Colon and rectum cancer,1.401920304090667
1980,30-34 years,Esophageal cancer,0.1724989016339573
