year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,1.493780372393074
1980,10-14 years,Eye cancer,0.0445723771540263
1980,10-14 years,Kidney cancer,0.25839318780774967
1980,10-14 years,Liver cancer,0.1919029684147286
1980,10-14 years,Nasopharynx cancer,0.0595807316477062
1980,10-14 years,Thyroid cancer,0.1211715082336418
1980,15-19 years,Bladder cancer,0.0177390441810635
1980,15-19 years,Brain and central nervous system cancer,0.8040970835547419
1980,15-19 years,Breast cancer,0.2279735572709273
1980,15-19 years,Cervical cancer,0.7355248946085348
1980,15-19 years,Colon and rectum cancer,0.3360798901743247
1980,15-19 years,Eye cancer,0.0338362865047602
1980,15-19 years,Kidney cancer,0.14496607839149211
1980,15-19 years,Lip and oral cavity cancer,0.0557561878776592
1980,15-19 years,Liver cancer,0.2144280322989286
1980,15-19 years,Nasopharynx cancer,0.076588324549269
1980,15-19 years,Ovarian cancer,0.2960201436694832
1980,15-19 years,Pancreatic cancer,0.0621445832257355
1980,15-19 years,Stomach cancer,0.3709546919365942
1980,15-19 years,Testicular cancer,0.3426434104338119
1980,15-19 years,Thyroid cancer,0.104536750256871
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.2912201107610266
1980,20-24 years,Bladder cancer,0.020686977969823897
1980,20-24 years,Brain and central nervous system cancer,0.7616203946744954
1980,20-24 years,Breast cancer,0.4884318241059984
1980,20-24 years,Cervical cancer,2.127298515922029
1980,20-24 years,Colon and rectum cancer,0.6344860132571422
1980,20-24 years,Esophageal cancer,0.1089570831528599
1980,20-24 years,Eye cancer,0.0264663049657596
1980,20-24 years,Gallbladder and biliary tract cancer,0.07917331068084091
1980,20-24 years,Kidney cancer,0.1613848276689945
1980,20-24 years,Larynx cancer,0.043209458332175696
1980,20-24 years,Lip and oral cavity cancer,0.0909435261956857
1980,20-24 years,Liver cancer,0.2834440268132035
1980,20-24 years,Nasopharynx cancer,0.06967502083085769
1980,20-24 years,Non-melanoma skin cancer,0.0935707532439295
1980,20-24 years,Other pharynx cancer,0.03858698406824
1980,20-24 years,Ovarian cancer,0.3417922491168437
1980,20-24 years,Pancreatic cancer,0.1084926057567998
1980,20-24 years,Prostate cancer,0.0436482749390152
1980,20-24 years,Stomach cancer,0.8383590208572983
1980,20-24 years,Testicular cancer,0.6653213829415497
