year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,38.271186430436586
1980,10-14 years,Eye cancer,0.6668873551500989
1980,10-14 years,Kidney cancer,4.6846794175147455
1980,10-14 years,Liver cancer,8.213572713671516
1980,10-14 years,Nasopharynx cancer,4.294577136084033
1980,10-14 years,Thyroid cancer,1.3455783635756704
1980,15-19 years,Bladder cancer,0.4717706386101572
1980,15-19 years,Brain and central nervous system cancer,26.066057954449747
1980,15-19 years,Breast cancer,4.7925134253231105
1980,15-19 years,Cervical cancer,8.379038792387842
1980,15-19 years,Colon and rectum cancer,18.4110705523237
1980,15-19 years,Eye cancer,0.4200060432329271
1980,15-19 years,Kidney cancer,2.977847953229465
1980,15-19 years,Lip and oral cavity cancer,2.5879877610351243
1980,15-19 years,Liver cancer,12.778150122260186
1980,15-19 years,Nasopharynx cancer,8.281687276770809
1980,15-19 years,Ovarian cancer,9.393201038485223
1980,15-19 years,Pancreatic cancer,1.5005506349650866
1980,15-19 years,Stomach cancer,8.189688265455374
1980,15-19 years,Testicular cancer,2.950434260038873
1980,15-19 years,Thyroid cancer,2.0299966964077005
1980,15-19 years,"Tracheal, bronchus, and lung cancer",12.514157804893603
1980,20-24 years,Bladder cancer,0.7919221225900741
1980,20-24 years,Brain and central nervous system cancer,26.9945543049905
1980,20-24 years,Breast cancer,9.451450451719976
1980,20-24 years,Cervical cancer,16.368267574023925
1980,20-24 years,Colon and rectum cancer,34.70944032709295
1980,20-24 years,Esophageal cancer,3.650125940313492
1980,20-24 years,Eye cancer,0.5423074767928678
1980,20-24 years,Gallbladder and biliary tract cancer,0.6293351613831937
1980,20-24 years,Kidney cancer,3.6068598784202512
1980,20-24 years,Larynx cancer,1.422640088128892
1980,20-24 years,Lip and oral cavity cancer,4.750515200123986
1980,20-24 years,Liver cancer,21.84535098421467
1980,20-24 years,Nasopharynx cancer,9.592911789880839
1980,20-24 years,Non-melanoma skin cancer,2.690367814484659
1980,20-24 years,Other pharynx cancer,1.0169858089292934
1980,20-24 years,Ovarian cancer,12.37644817289697
1980,20-24 years,Pancreatic cancer,3.090165787706308
1980,20-24 years,Prostate cancer,0.6501320076863423
1980,20-24 years,Stomach cancer,15.166041180658723
1980,20-24 years,Testicular cancer,4.389999334627177
1980,20-24 years,Thyroid cancer,3.1927736619915796
1980,20-24 years,"Tracheal, bronchus, and lung cancer",20.316204251116634
1980,20-24 years,Uterine cancer,3.092089448012318
1980,25-29 years,Bladder cancer,1.8849799162042309
1980,25-29 years,Brain and central nervous system cancer,28.29471691803069
1980,25-29 years,Breast cancer,29.702683065086273
1980,25-29 years,Cervical cancer,34.33485131062078
1980,25-29 years,Colon and rectum cancer,55.3922650344104
1980,25-29 years,Esophageal cancer,4.907937050773066
1980,25-29 years,Eye cancer,0.9094881429727527
1980,25-29 years,Gallbladder and biliary tract cancer,1.1732942885217417
1980,25-29 years,Kidney cancer,4.106927401154957
1980,25-29 years,Larynx cancer,1.6947155379841932
1980,25-29 years,Lip and oral cavity cancer,7.470675638176662
1980,25-29 years,Liver cancer,41.89024629071571
1980,25-29 years,Nasopharynx cancer,13.085908387850894
1980,25-29 years,Non-melanoma skin cancer,3.549094183638479
1980,25-29 years,Other pharynx cancer,1.4490816567400502
1980,25-29 years,Ovarian cancer,14.53806412296209
1980,25-29 years,Pancreatic cancer,6.245525021098649
1980,25-29 years,Prostate cancer,0.9894473669078268
1980,25-29 years,Stomach cancer,30.34775636795564
1980,25-29 years,Testicular cancer,6.123781216544853
1980,25-29 years,Thyroid cancer,4.8453242808143155
1980,25-29 years,"Tracheal, bronchus, and lung cancer",28.941398792627194
