year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,52.91933137860105
1980,10-14 years,Eye cancer,0.6669034736008463
1980,10-14 years,Kidney cancer,1.5095235973078822
1980,10-14 years,Liver cancer,0.2372018103666197
1980,10-14 years,Nasopharynx cancer,0.361155688463362
1980,10-14 years,Thyroid cancer,0.4902771005389849
1980,15-19 years,Bladder cancer,0.2964433370949066
1980,15-19 years,Brain and central nervous system cancer,46.653377658932655
1980,15-19 years,Breast cancer,0.6894984303950205
1980,15-19 years,Cervical cancer,0.8426816290162521
1980,15-19 years,Colon and rectum cancer,4.057739296611945
1980,15-19 years,Eye cancer,0.6563564987623545
1980,15-19 years,Kidney cancer,1.199290509564702
1980,15-19 years,Lip and oral cavity cancer,0.6554150926166207
1980,15-19 years,Liver cancer,0.4548497358462313
1980,15-19 years,Nasopharynx cancer,0.8586353619326315
1980,15-19 years,Ovarian cancer,5.891368974221762
1980,15-19 years,Pancreatic cancer,0.903624199514492
1980,15-19 years,Stomach cancer,3.480372240630852
1980,15-19 years,Testicular cancer,12.625995428721865
1980,15-19 years,Thyroid cancer,0.9303684714602568
1980,15-19 years,"Tracheal, bronchus, and lung cancer",3.677081624293714
1980,20-24 years,Bladder cancer,0.5962517867661097
1980,20-24 years,Brain and central nervous system cancer,62.4791568942039
1980,20-24 years,Breast cancer,3.1639985777010984
1980,20-24 years,Cervical cancer,5.552748951204907
1980,20-24 years,Colon and rectum cancer,11.174839395443993
1980,20-24 years,Esophageal cancer,1.3374965396479095
1980,20-24 years,Eye cancer,0.8883266716743663
1980,20-24 years,Gallbladder and biliary tract cancer,0.8770256461844601
1980,20-24 years,Kidney cancer,2.2655113057919287
1980,20-24 years,Larynx cancer,0.8323039245926177
1980,20-24 years,Lip and oral cavity cancer,1.6624052480499807
1980,20-24 years,Liver cancer,0.8822071302673337
1980,20-24 years,Nasopharynx cancer,1.4420887628827423
1980,20-24 years,Non-melanoma skin cancer,1.035922959406248
1980,20-24 years,Other pharynx cancer,0.689366237822566
1980,20-24 years,Ovarian cancer,11.283937428790686
1980,20-24 years,Pancreatic cancer,2.7662424458014656
1980,20-24 years,Prostate cancer,0.413436854142969
1980,20-24 years,Stomach cancer,14.893745785458691
1980,20-24 years,Testicular cancer,46.46794234591479
1980,20-24 years,Thyroid cancer,1.6591637505297254
1980,20-24 years,"Tracheal, bronchus, and lung cancer",10.615794879747785
1980,20-24 years,Uterine cancer,0.665905819822559
1980,25-29 years,Bladder cancer,1.1337385305618637
1980,25-29 years,Brain and central nervous system cancer,69.27920640247632
1980,25-29 years,Breast cancer,16.55185616951625
1980,25-29 years,Cervical cancer,29.41724857947557
1980,25-29 years,Colon and rectum cancer,27.46285567906386
1980,25-29 years,Esophageal cancer,2.593995320565872
1980,25-29 years,Eye cancer,1.5857013363781478
1980,25-29 years,Gallbladder and biliary tract cancer,2.0102854112118673
1980,25-29 years,Kidney cancer,3.655571113465451
1980,25-29 years,Larynx cancer,1.3271193404695043
1980,25-29 years,Lip and oral cavity cancer,3.056812157681682
1980,25-29 years,Liver cancer,0.9896505888748729
1980,25-29 years,Nasopharynx cancer,1.8109030424802273
1980,25-29 years,Non-melanoma skin cancer,1.6059829206623268
1980,25-29 years,Other pharynx cancer,1.045432925131216
1980,25-29 years,Ovarian cancer,15.451634948844974
1980,25-29 years,Pancreatic cancer,7.983273321954288
1980,25-29 years,Prostate cancer,0.3778341737756586
1980,25-29 years,Stomach cancer,37.277202066221435
1980,25-29 years,Testicular cancer,55.05791891291805
1980,25-29 years,Thyroid cancer,2.740150273522996
1980,25-29 years,"Tracheal, bronchus, and lung cancer",22.27475426474114
1980,25-29 years,Uterine cancer,1.735134279631968
1980,30-34 years,Bladder cancer,2.1099594126213543
1980,30-34 years,Brain and central nervous system cancer,81.08620104659269
1980,30-34 years,Breast cancer,62.00001719017341
1980,30-34 years,Cervical cancer,77.4444555594281
1980,30-34 years,Colon and rectum cancer,52.36188451488468
1980,30-34 years,Esophageal cancer,3.9638255736787436
1980,30-34 years,Eye cancer,1.2382399065661227
1980,30-34 years,Gallbladder and biliary tract cancer,4.226276759265798
1980,30-34 years,Kidney cancer,6.765092068182431
1980,30-34 years,Larynx cancer,3.6429719656926354
1980,30-34 years,Lip and oral cavity cancer,5.275509929813052
1980,30-34 years,Liver cancer,1.1057174068315392
1980,30-34 years,Nasopharynx cancer,2.1960822964188282
1980,30-34 years,Non-melanoma skin cancer,2.04680433197476
1980,30-34 years,Other pharynx cancer,1.8736022902406744
1980,30-34 years,Ovarian cancer,21.678463182738085
1980,30-34 years,Pancreatic cancer,21.72032745957368
1980,30-34 years,Prostate cancer,0.5972996342872116
1980,30-34 years,Stomach cancer,68.7668268524647
1980,30-34 years,Testicular cancer,36.57734828625681
1980,30-34 years,Thyroid cancer,3.0275629801310764
1980,30-34 years,"Tracheal, bronchus, and lung cancer",49.68804654680949
1980,30-34 years,Uterine cancer,4.297870178896438
1980,35-39 years,Bladder cancer,4.548910471999418
1980,35-39 years,Brain and central nervous system cancer,73.94950357976705
1980,35-39 years,Breast cancer,111.55572587025007
1980,35-39 years,Cervical cancer,98.2209228257987
1980,35-39 years,Colon and rectum cancer,71.2789088838285
1980,35-39 years,Esophageal cancer,8.804870005083615
1980,35-39 years,Eye cancer,1.5556460459455788
1980,35-39 years,Gallbladder and biliary tract cancer,6.630070497424329
1980,35-39 years,Kidney cancer,9.53212016509933
1980,35-39 years,Larynx cancer,12.886085068930864
1980,35-39 years,Lip and oral cavity cancer,11.72463926674264
1980,35-39 years,Liver cancer,1.5679961370539597
1980,35-39 years,Nasopharynx cancer,3.1563846766836785
1980,35-39 years,Non-melanoma skin cancer,2.8687969405736866
1980,35-39 years,Other pharynx cancer,4.798635163932474
1980,35-39 years,Ovarian cancer,35.3294102347246
1980,35-39 years,Pancreatic cancer,34.99413215239318
1980,35-39 years,Prostate cancer,0.747122041712594
1980,35-39 years,Stomach cancer,103.86172701940853
1980,35-39 years,Testicular cancer,19.370899615003825
1980,35-39 years,Thyroid cancer,4.542751863782776
1980,35-39 years,"Tracheal, bronchus, and lung cancer",116.94165414868164
1980,35-39 years,Uterine cancer,6.776998850023368
1980,40-44 years,Bladder cancer,16.626974362678332
1980,40-44 years,Brain and central nervous system cancer,128.2737733231392
1980,40-44 years,Breast cancer,220.3360308410136
1980,40-44 years,Cervical cancer,179.35012269212467
1980,40-44 years,Colon and rectum cancer,139.7812192015172
1980,40-44 years,Esophageal cancer,33.6709893411347
1980,40-44 years,Eye cancer,2.6236839184261935
1980,40-44 years,Gallbladder and biliary tract cancer,20.76200257470058
1980,40-44 years,Kidney cancer,29.976297583597017
1980,40-44 years,Larynx cancer,59.64652966649526
1980,40-44 years,Lip and oral cavity cancer,36.2655848456854
1980,40-44 years,Liver cancer,3.3489494709560583
