year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.1395438861957401
1980,10-14 years,Eye cancer,0.0011270041151021
1980,10-14 years,Kidney cancer,0.0171769020966342
1980,10-14 years,Liver cancer,0.0210236173250683
1980,10-14 years,Nasopharynx cancer,0.008590551840073301
1980,10-14 years,Thyroid cancer,0.0038286502325207
1980,15-19 years,Bladder cancer,0.006562989340965
1980,15-19 years,Brain and central nervous system cancer,0.1297836382489799
1980,15-19 years,Breast cancer,0.019778028105795202
1980,15-19 years,Cervical cancer,0.0102261785894496
1980,15-19 years,Colon and rectum cancer,0.0521373295271587
1980,15-19 years,Eye cancer,0.0008633271215718
1980,15-19 years,Kidney cancer,0.0134233415053482
1980,15-19 years,Lip and oral cavity cancer,0.006381162045652099
1980,15-19 years,Liver cancer,0.0384376970486549
1980,15-19 years,Nasopharynx cancer,0.0156538890732852
1980,15-19 years,Ovarian cancer,0.0249238904249306
1980,15-19 years,Pancreatic cancer,0.0073753469487587
1980,15-19 years,Stomach cancer,0.0337409145557953
1980,15-19 years,Testicular cancer,0.0018027450195302
1980,15-19 years,Thyroid cancer,0.0073272277609375
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0675459878081184
1980,20-24 years,Bladder cancer,0.0137578666225035
1980,20-24 years,Brain and central nervous system cancer,0.1718689139833376
1980,20-24 years,Breast cancer,0.038458305693524
1980,20-24 years,Cervical cancer,0.0166014668443446
1980,20-24 years,Colon and rectum cancer,0.10621853488824659
1980,20-24 years,Esophageal cancer,0.015551606829059601
1980,20-24 years,Eye cancer,0.0013883032905379002
1980,20-24 years,Gallbladder and biliary tract cancer,0.0088514955486035
1980,20-24 years,Kidney cancer,0.0236490059978376
1980,20-24 years,Larynx cancer,0.015505252633358498
1980,20-24 years,Lip and oral cavity cancer,0.0159119175913994
1980,20-24 years,Liver cancer,0.0672385749902464
1980,20-24 years,Nasopharynx cancer,0.0234048858071138
1980,20-24 years,Non-melanoma skin cancer,0.001898054656599
1980,20-24 years,Other pharynx cancer,0.0096661571936286
1980,20-24 years,Ovarian cancer,0.0268623617000772
1980,20-24 years,Pancreatic cancer,0.0164170460490136
1980,20-24 years,Prostate cancer,0.008463164292881
1980,20-24 years,Stomach cancer,0.0720861855155544
1980,20-24 years,Testicular cancer,0.006976572293326
1980,20-24 years,Thyroid cancer,0.0106011966902679
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.1286747920841914
1980,20-24 years,Uterine cancer,0.0041451700242405
1980,25-29 years,Bladder cancer,0.0173977345063899
1980,25-29 years,Brain and central nervous system cancer,0.2262291933146808
1980,25-29 years,Breast cancer,0.1002270140964374
1980,25-29 years,Cervical cancer,0.0250831153614249
1980,25-29 years,Colon and rectum cancer,0.17170234285270108
1980,25-29 years,Esophageal cancer,0.027300650417087
1980,25-29 years,Eye cancer,0.0013498651896259
1980,25-29 years,Gallbladder and biliary tract cancer,0.0106773206320251
1980,25-29 years,Kidney cancer,0.0240351040996674
1980,25-29 years,Larynx cancer,0.0169291494749801
1980,25-29 years,Lip and oral cavity cancer,0.0169865507848552
1980,25-29 years,Liver cancer,0.1271694807117859
1980,25-29 years,Nasopharynx cancer,0.0192778061588066
1980,25-29 years,Non-melanoma skin cancer,0.0025522625688817
1980,25-29 years,Other pharynx cancer,0.0117355927168513
1980,25-29 years,Ovarian cancer,0.0336314035905007
1980,25-29 years,Pancreatic cancer,0.022505498314102798
1980,25-29 years,Prostate cancer,0.0052789540587426
1980,25-29 years,Stomach cancer,0.1285981195736091
1980,25-29 years,Testicular cancer,0.0050064787621769
1980,25-29 years,Thyroid cancer,0.0115838621813798
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.1765242490771487
1980,25-29 years,Uterine cancer,0.0050755215744374
1980,30-34 years,Bladder cancer,0.0313806523845146
1980,30-34 years,Brain and central nervous system cancer,0.2867433977177031
1980,30-34 years,Breast cancer,0.3843510174695715
1980,30-34 years,Cervical cancer,0.0559729943769084
1980,30-34 years,Colon and rectum cancer,0.31760341009655657
1980,30-34 years,Esophageal cancer,0.0508841557256832
1980,30-34 years,Eye cancer,0.0020031950574395
1980,30-34 years,Gallbladder and biliary tract cancer,0.0201662095175668
1980,30-34 years,Kidney cancer,0.0323558305865104
1980,30-34 years,Larynx cancer,0.0303895711895102
1980,30-34 years,Lip and oral cavity cancer,0.023013530389866598
1980,30-34 years,Liver cancer,0.2289587350091754
1980,30-34 years,Nasopharynx cancer,0.0247822506307352
1980,30-34 years,Non-melanoma skin cancer,0.0023048640817068
1980,30-34 years,Other pharynx cancer,0.0164068846912888
1980,30-34 years,Ovarian cancer,0.0661587366577625
1980,30-34 years,Pancreatic cancer,0.0592051516835527
1980,30-34 years,Prostate cancer,0.0092853769574835
1980,30-34 years,Stomach cancer,0.2668573736371527
1980,30-34 years,Testicular cancer,0.0040162438645705
1980,30-34 years,Thyroid cancer,0.0185828689286095
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.31475241960763456
1980,30-34 years,Uterine cancer,0.0104859448386385
1980,35-39 years,Bladder cancer,0.054810676288524
1980,35-39 years,Brain and central nervous system cancer,0.2970895351871734
1980,35-39 years,Breast cancer,0.6929040498235213
1980,35-39 years,Cervical cancer,0.1077262249357445
1980,35-39 years,Colon and rectum cancer,0.45653910592937363
1980,35-39 years,Esophageal cancer,0.1001495007684488
1980,35-39 years,Eye cancer,0.0017825249912475998
1980,35-39 years,Gallbladder and biliary tract cancer,0.0346095476427328
1980,35-39 years,Kidney cancer,0.054950850482889196
1980,35-39 years,Larynx cancer,0.0573385012505267
1980,35-39 years,Lip and oral cavity cancer,0.0340487376331685
1980,35-39 years,Liver cancer,0.2963234182393201
1980,35-39 years,Nasopharynx cancer,0.0341002856353377
1980,35-39 years,Non-melanoma skin cancer,0.0029221928188699
1980,35-39 years,Other pharynx cancer,0.0255732821586208
1980,35-39 years,Ovarian cancer,0.0863192398927862
1980,35-39 years,Pancreatic cancer,0.1165592455037459
1980,35-39 years,Prostate cancer,0.017825089737994
1980,35-39 years,Stomach cancer,0.4517715734687959
1980,35-39 years,Testicular cancer,0.0026595913461657
1980,35-39 years,Thyroid cancer,0.0229437849549409
1980,35-39 years,"Tracheal, bronchus, and lung cancer",0.5330692312317629
1980,35-39 years,Uterine cancer,0.0195105280118466
1980,40-44 years,Bladder cancer,0.0847888665325551
1980,40-44 years,Brain and central nervous system cancer,0.2891718491226646
1980,40-44 years,Breast cancer,0.8387631765839416
1980,40-44 years,Cervical cancer,0.1174920697739075
1980,40-44 years,Colon and rectum cancer,0.5047609447221272
1980,40-44 years,Esophageal cancer,0.1431608456355973
1980,40-44 years,Eye cancer,0.0043867809900428
1980,40-44 years,Gallbladder and biliary tract cancer,0.0479093930278896
1980,40-44 years,Kidney cancer,0.0783726903462339
1980,40-44 years,Larynx cancer,0.0849240141307623
1980,40-44 years,Lip and oral cavity cancer,0.0431972804723304
1980,40-44 years,Liver cancer,0.37255190637953883
1980,40-44 years,Nasopharynx cancer,0.0445076527837206
1980,40-44 years,Non-melanoma skin cancer,0.0027856822607812996
1980,40-44 years,Other pharynx cancer,0.0367285129007597
1980,40-44 years,Ovarian cancer,0.1231729122640599
1980,40-44 years,Pancreatic cancer,0.17711789516462512
1980,40-44 years,Prostate cancer,0.0264115326843052
1980,40-44 years,Stomach cancer,0.5548173656371138
1980,40-44 years,Testicular cancer,0.0021202366459962
1980,40-44 years,Thyroid cancer,0.0272428256626212
1980,40-44 years,"Tracheal, bronchus, and lung cancer",0.8088745087955125
1980,40-44 years,Uterine cancer,0.0257541783138877
1980,45-49 years,Bladder cancer,0.1655640957859188
1980,45-49 years,Brain and central nervous system cancer,0.2978628930477463
1980,45-49 years,Breast cancer,0.901030252821184
1980,45-49 years,Cervical cancer,0.1281217511113821
1980,45-49 years,Colon and rectum cancer,0.7635842895939484
1980,45-49 years,Esophageal cancer,0.2504107593914769
1980,45-49 years,Eye cancer,0.0052197007783057
1980,45-49 years,Gallbladder and biliary tract cancer,0.090606842740905
1980,45-49 years,Kidney cancer,0.1610235254196555
