year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,53.086229536684954
1980,10-14 years,Eye cancer,0.36687200253309493
1980,10-14 years,Kidney cancer,2.577155001758325
1980,10-14 years,Liver cancer,17.768547652976373
1980,10-14 years,Nasopharynx cancer,0.9097649253829367
1980,10-14 years,Thyroid cancer,1.3520828308413728
1980,15-19 years,Bladder cancer,0.6907100207024752
1980,15-19 years,Brain and central nervous system cancer,41.86209278293356
1980,15-19 years,Breast cancer,1.0785946996134115
1980,15-19 years,Cervical cancer,2.124330092779741
1980,15-19 years,Colon and rectum cancer,15.775109606753283
1980,15-19 years,Eye cancer,0.23292590117159423
1980,15-19 years,Kidney cancer,2.440999025134248
1980,15-19 years,Lip and oral cavity cancer,1.216124520916773
1980,15-19 years,Liver cancer,27.507534653709143
1980,15-19 years,Nasopharynx cancer,3.0045174132224446
1980,15-19 years,Ovarian cancer,4.798386598920357
1980,15-19 years,Pancreatic cancer,1.85642097772864
1980,15-19 years,Stomach cancer,39.56516886483152
1980,15-19 years,Testicular cancer,1.379567207203531
1980,15-19 years,Thyroid cancer,1.3852508537926642
1980,15-19 years,"Tracheal, bronchus, and lung cancer",14.549770971729885
1980,20-24 years,Bladder cancer,1.1199313378713724
1980,20-24 years,Brain and central nervous system cancer,30.072696297703953
1980,20-24 years,Breast cancer,3.867480920092762
1980,20-24 years,Cervical cancer,8.273775511258002
1980,20-24 years,Colon and rectum cancer,25.242155310032885
1980,20-24 years,Esophageal cancer,1.7830789651388999
1980,20-24 years,Eye cancer,0.3127562378609924
1980,20-24 years,Gallbladder and biliary tract cancer,3.3057803147231244
1980,20-24 years,Kidney cancer,2.259465560170127
1980,20-24 years,Larynx cancer,1.9932777458741187
1980,20-24 years,Lip and oral cavity cancer,2.5872519062303683
1980,20-24 years,Liver cancer,31.349733974862836
1980,20-24 years,Nasopharynx cancer,3.324713536897563
1980,20-24 years,Non-melanoma skin cancer,2.108657402054719
1980,20-24 years,Other pharynx cancer,0.2037416286912779
1980,20-24 years,Ovarian cancer,7.542946836366927
1980,20-24 years,Pancreatic cancer,2.763759201115975
1980,20-24 years,Prostate cancer,0.4117320422133033
1980,20-24 years,Stomach cancer,122.720763767913
