year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,5.3672039813394345
1980,10-14 years,Eye cancer,0.059336022782348605
1980,10-14 years,Kidney cancer,0.1827631513093653
1980,10-14 years,Liver cancer,0.6470033049653003
1980,10-14 years,Nasopharynx cancer,0.3367789409051002
1980,10-14 years,Thyroid cancer,0.0608576597728918
1980,15-19 years,Bladder cancer,0.0396638957751123
1980,15-19 years,Brain and central nervous system cancer,3.930456163656789
1980,15-19 years,Breast cancer,0.1528773509039709
1980,15-19 years,Cervical cancer,0.197041522092688
1980,15-19 years,Colon and rectum cancer,0.6378307120937702
1980,15-19 years,Eye cancer,0.035297093751849
1980,15-19 years,Kidney cancer,0.1297354439179428
1980,15-19 years,Lip and oral cavity cancer,0.1179657887975025
1980,15-19 years,Liver cancer,0.5798901380552025
1980,15-19 years,Nasopharynx cancer,0.4672019595567614
1980,15-19 years,Ovarian cancer,0.4391551212862156
1980,15-19 years,Pancreatic cancer,0.19548775278073838
1980,15-19 years,Stomach cancer,0.6934128785053275
1980,15-19 years,Testicular cancer,0.4486954536223605
1980,15-19 years,Thyroid cancer,0.0759093109460183
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.6514105427912539
1980,20-24 years,Bladder cancer,0.051642998862635
1980,20-24 years,Brain and central nervous system cancer,3.4940359259906026
1980,20-24 years,Breast cancer,0.3941644331928284
1980,20-24 years,Cervical cancer,1.0558228850963205
1980,20-24 years,Colon and rectum cancer,1.2570192569040608
1980,20-24 years,Esophageal cancer,0.053146985037524
1980,20-24 years,Eye cancer,0.0296781087167255
1980,20-24 years,Gallbladder and biliary tract cancer,0.0471038617405554
1980,20-24 years,Kidney cancer,0.1848136955763135
1980,20-24 years,Larynx cancer,0.0969643842948493
1980,20-24 years,Lip and oral cavity cancer,0.20680988079370277
1980,20-24 years,Liver cancer,0.6458100000969809
1980,20-24 years,Nasopharynx cancer,0.44960928343774587
1980,20-24 years,Non-melanoma skin cancer,0.1612601133657492
1980,20-24 years,Other pharynx cancer,0.0898612078964184
1980,20-24 years,Ovarian cancer,0.5580928709227281
1980,20-24 years,Pancreatic cancer,0.44187515072256445
1980,20-24 years,Prostate cancer,0.0958450375255361
1980,20-24 years,Stomach cancer,1.6736634762608436
1980,20-24 years,Testicular cancer,1.1616145461884784
1980,20-24 years,Thyroid cancer,0.090765133944392
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.1344905088118618
1980,20-24 years,Uterine cancer,0.1195348136754257
1980,25-29 years,Bladder cancer,0.0924617660575988
1980,25-29 years,Brain and central nervous system cancer,4.337080309660022
1980,25-29 years,Breast cancer,1.752486728232592
1980,25-29 years,Cervical cancer,3.4760117154622936
1980,25-29 years,Colon and rectum cancer,2.1741066782227323
1980,25-29 years,Esophageal cancer,0.0866254546195205
1980,25-29 years,Eye cancer,0.0502369571878951
1980,25-29 years,Gallbladder and biliary tract cancer,0.0724900565611509
1980,25-29 years,Kidney cancer,0.2268424778982175
1980,25-29 years,Larynx cancer,0.1565313078982509
1980,25-29 years,Lip and oral cavity cancer,0.3582334545974255
1980,25-29 years,Liver cancer,0.6717276333534625
1980,25-29 years,Nasopharynx cancer,0.3344221601614691
1980,25-29 years,Non-melanoma skin cancer,0.2053014913696986
1980,25-29 years,Other pharynx cancer,0.1421581063019482
1980,25-29 years,Ovarian cancer,0.7419019308653223
1980,25-29 years,Pancreatic cancer,0.8223036835110299
1980,25-29 years,Prostate cancer,0.0937038023651606
1980,25-29 years,Stomach cancer,3.705228902536957
1980,25-29 years,Testicular cancer,1.5804316202561168
1980,25-29 years,Thyroid cancer,0.12990389182074472
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.9099141046748167
1980,25-29 years,Uterine cancer,0.2284083536731425
1980,30-34 years,Bladder cancer,0.1689207210708757
1980,30-34 years,Brain and central nervous system cancer,4.128451886341773
1980,30-34 years,Breast cancer,7.232175355631378
1980,30-34 years,Cervical cancer,7.926097881715345
1980,30-34 years,Colon and rectum cancer,4.184950536273419
1980,30-34 years,Esophageal cancer,0.1797541139745411
1980,30-34 years,Eye cancer,0.0437578160156611
1980,30-34 years,Gallbladder and biliary tract cancer,0.11040695815719209
1980,30-34 years,Kidney cancer,0.2843101377186188
1980,30-34 years,Larynx cancer,0.3196243661260182
1980,30-34 years,Lip and oral cavity cancer,0.6323076248740088
1980,30-34 years,Liver cancer,0.8635650839139032
1980,30-34 years,Nasopharynx cancer,0.3630740411439462
1980,30-34 years,Non-melanoma skin cancer,0.255309264947875
1980,30-34 years,Other pharynx cancer,0.2214998866603112
1980,30-34 years,Ovarian cancer,1.1817232871956946
1980,30-34 years,Pancreatic cancer,1.5768589384945193
1980,30-34 years,Prostate cancer,0.0853534746404787
1980,30-34 years,Stomach cancer,8.248265163030105
