year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,140.8974858880759
1980,10-14 years,Eye cancer,1.700299981560665
1980,10-14 years,Kidney cancer,8.442786297039014
1980,10-14 years,Liver cancer,8.98372689817003
1980,10-14 years,Nasopharynx cancer,2.773071199732226
1980,10-14 years,Thyroid cancer,1.5088052536649976
1980,15-19 years,Bladder cancer,1.4176146378008307
1980,15-19 years,Brain and central nervous system cancer,160.41305163677126
1980,15-19 years,Breast cancer,3.988865327566514
1980,15-19 years,Cervical cancer,2.874319321673571
1980,15-19 years,Colon and rectum cancer,29.730894985165712
1980,15-19 years,Eye cancer,1.479272781255807
1980,15-19 years,Kidney cancer,8.553945048588346
1980,15-19 years,Lip and oral cavity cancer,3.259952209496099
1980,15-19 years,Liver cancer,10.619167609558971
1980,15-19 years,Nasopharynx cancer,5.815957599861962
1980,15-19 years,Ovarian cancer,26.42383267817474
1980,15-19 years,Pancreatic cancer,7.379548620636955
1980,15-19 years,Stomach cancer,35.35640798541854
1980,15-19 years,Testicular cancer,13.772090264748266
1980,15-19 years,Thyroid cancer,2.7919513010480905
1980,15-19 years,"Tracheal, bronchus, and lung cancer",22.91676497461578
1980,20-24 years,Bladder cancer,2.053072857870248
1980,20-24 years,Brain and central nervous system cancer,152.06832003127656
1980,20-24 years,Breast cancer,14.790008291266423
1980,20-24 years,Cervical cancer,18.985290603081545
1980,20-24 years,Colon and rectum cancer,64.75155058313653
1980,20-24 years,Esophageal cancer,6.2593694738719545
1980,20-24 years,Eye cancer,1.6749580209650823
1980,20-24 years,Gallbladder and biliary tract cancer,2.285322260653831
1980,20-24 years,Kidney cancer,14.737975285884838
1980,20-24 years,Larynx cancer,4.465260888912795
1980,20-24 years,Lip and oral cavity cancer,6.889388716123796
1980,20-24 years,Liver cancer,12.715858487903937
1980,20-24 years,Nasopharynx cancer,6.813781900041564
1980,20-24 years,Non-melanoma skin cancer,5.85186381925843
1980,20-24 years,Other pharynx cancer,2.2844039816649175
1980,20-24 years,Ovarian cancer,40.06561006898225
1980,20-24 years,Pancreatic cancer,19.984051038039766
1980,20-24 years,Prostate cancer,2.883366261748214
1980,20-24 years,Stomach cancer,108.78232202543856
1980,20-24 years,Testicular cancer,38.67017284704205
1980,20-24 years,Thyroid cancer,3.5708706683858438
1980,20-24 years,"Tracheal, bronchus, and lung cancer",50.57001181605868
1980,20-24 years,Uterine cancer,7.656354816701747
1980,25-29 years,Bladder cancer,4.444458408351905
1980,25-29 years,Brain and central nervous system cancer,193.16323148127339
1980,25-29 years,Breast cancer,73.41213738357588
1980,25-29 years,Cervical cancer,65.49981509619992
1980,25-29 years,Colon and rectum cancer,133.90006681720644
1980,25-29 years,Esophageal cancer,10.263825867511159
1980,25-29 years,Eye cancer,2.8848565422289285
1980,25-29 years,Gallbladder and biliary tract cancer,3.842873612262242
1980,25-29 years,Kidney cancer,20.553238242819152
1980,25-29 years,Larynx cancer,7.105535361126768
1980,25-29 years,Lip and oral cavity cancer,13.853356869623013
1980,25-29 years,Liver cancer,15.093694678885754
