year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.042435211792403296
1980,10-14 years,Eye cancer,7.733268159255326e-05
1980,10-14 years,Kidney cancer,0.0008267561289656
1980,10-14 years,Liver cancer,0.00044985082922369997
1980,10-14 years,Nasopharynx cancer,0.0010187650354038
1980,10-14 years,Thyroid cancer,0.00035429277077760003
1980,15-19 years,Bladder cancer,0.0002874045973945736
1980,15-19 years,Brain and central nervous system cancer,0.027898622631669
1980,15-19 years,Breast cancer,0.0005716427166636753
1980,15-19 years,Cervical cancer,0.0001683441709806
1980,15-19 years,Colon and rectum cancer,0.0025261213739502
1980,15-19 years,Eye cancer,8.719153149923593e-05
1980,15-19 years,Kidney cancer,0.0005964184098694
1980,15-19 years,Lip and oral cavity cancer,0.00043343987475649996
1980,15-19 years,Liver cancer,0.0006786946557464
1980,15-19 years,Nasopharynx cancer,0.0013894712172047
1980,15-19 years,Ovarian cancer,0.0008009519837265
1980,15-19 years,Pancreatic cancer,0.0005067461997985
1980,15-19 years,Stomach cancer,0.0026036145301771996
1980,15-19 years,Testicular cancer,0.0008880868356203
1980,15-19 years,Thyroid cancer,0.0005446545206641
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.0023630425480563
1980,20-24 years,Bladder cancer,0.0003716658078936
1980,20-24 years,Brain and central nervous system cancer,0.0264624834928069
1980,20-24 years,Breast cancer,0.0014058674309232807
1980,20-24 years,Cervical cancer,0.0008436924834322
1980,20-24 years,Colon and rectum cancer,0.0044981023859809
1980,20-24 years,Esophageal cancer,0.0002253384049091186
1980,20-24 years,Eye cancer,0.00012603412635363336
1980,20-24 years,Gallbladder and biliary tract cancer,0.0003049183609674
1980,20-24 years,Kidney cancer,0.0007118619753158
1980,20-24 years,Larynx cancer,0.0002022400886700819
1980,20-24 years,Lip and oral cavity cancer,0.0006973023630637
1980,20-24 years,Liver cancer,0.0008030870403694
1980,20-24 years,Nasopharynx cancer,0.0015014966547424
1980,20-24 years,Non-melanoma skin cancer,0.0002447468275110709
1980,20-24 years,Other pharynx cancer,0.00010508989161855782
1980,20-24 years,Ovarian cancer,0.001190345103095
1980,20-24 years,Pancreatic cancer,0.0008195881022300001
1980,20-24 years,Prostate cancer,0.0001560147960013
1980,20-24 years,Stomach cancer,0.0063276890750728
1980,20-24 years,Testicular cancer,0.0022676885231217
1980,20-24 years,Thyroid cancer,0.0007950459136988
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.0034634789249374
1980,20-24 years,Uterine cancer,4.65804864746986e-05
1980,25-29 years,Bladder cancer,0.0006851004455842001
1980,25-29 years,Brain and central nervous system cancer,0.032657582380944405
1980,25-29 years,Breast cancer,0.007621147166696409
1980,25-29 years,Cervical cancer,0.0032962325345725
1980,25-29 years,Colon and rectum cancer,0.0091294709811298
1980,25-29 years,Esophageal cancer,0.00039533130739162004
1980,25-29 years,Eye cancer,0.00016616105641372326
1980,25-29 years,Gallbladder and biliary tract cancer,0.0006071926019087001
1980,25-29 years,Kidney cancer,0.0010251673582469
1980,25-29 years,Larynx cancer,0.00034226597142507646
1980,25-29 years,Lip and oral cavity cancer,0.0012152777752914
1980,25-29 years,Liver cancer,0.0012361282128673
1980,25-29 years,Nasopharynx cancer,0.0016174595538628002
1980,25-29 years,Non-melanoma skin cancer,0.000369974148619
1980,25-29 years,Other pharynx cancer,0.0001614785033515047
1980,25-29 years,Ovarian cancer,0.0020020576933141
1980,25-29 years,Pancreatic cancer,0.0017442587994279
1980,25-29 years,Prostate cancer,0.0001323653670288
1980,25-29 years,Stomach cancer,0.0149329844827417
1980,25-29 years,Testicular cancer,0.0031231111913084
1980,25-29 years,Thyroid cancer,0.001100851846742
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.0063650064644413
1980,25-29 years,Uterine cancer,0.0001382643682417
1980,30-34 years,Bladder cancer,0.0017767961195253
1980,30-34 years,Brain and central nervous system cancer,0.0470264713343397
1980,30-34 years,Breast cancer,0.030245692326336754
1980,30-34 years,Cervical cancer,0.0075841182756304
1980,30-34 years,Colon and rectum cancer,0.020840592258384902
1980,30-34 years,Esophageal cancer,0.0010302772180728
1980,30-34 years,Eye cancer,0.00030345131785420004
1980,30-34 years,Gallbladder and biliary tract cancer,0.0016591064193885998
1980,30-34 years,Kidney cancer,0.0020004158380657
1980,30-34 years,Larynx cancer,0.0010042427915325888
1980,30-34 years,Lip and oral cavity cancer,0.002454630088373
1980,30-34 years,Liver cancer,0.0021465415421151
1980,30-34 years,Nasopharynx cancer,0.0024127812632911
1980,30-34 years,Non-melanoma skin cancer,0.0006664406332899
1980,30-34 years,Other pharynx cancer,0.0004244747195250309
1980,30-34 years,Ovarian cancer,0.0035663940556969
1980,30-34 years,Pancreatic cancer,0.0050540893204072
1980,30-34 years,Prostate cancer,0.0002043868368185
1980,30-34 years,Stomach cancer,0.0374859756780861
1980,30-34 years,Testicular cancer,0.0032737099894178
1980,30-34 years,Thyroid cancer,0.0016674752922918
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.0189806723050212
1980,30-34 years,Uterine cancer,0.0002945868355561
1980,35-39 years,Bladder cancer,0.0036288055908159002
1980,35-39 years,Brain and central nervous system cancer,0.0601128684532683
1980,35-39 years,Breast cancer,0.06583391571725096
1980,35-39 years,Cervical cancer,0.0122387248344905
1980,35-39 years,Colon and rectum cancer,0.0408116423853713
1980,35-39 years,Esophageal cancer,0.0026523791530619002
1980,35-39 years,Eye cancer,0.00045051666808210004
1980,35-39 years,Gallbladder and biliary tract cancer,0.0032217361942027
1980,35-39 years,Kidney cancer,0.0036710334350229
1980,35-39 years,Larynx cancer,0.0034955348982239
1980,35-39 years,Lip and oral cavity cancer,0.005257651223991
1980,35-39 years,Liver cancer,0.0034421547860282
1980,35-39 years,Nasopharynx cancer,0.004179803867796299
1980,35-39 years,Non-melanoma skin cancer,0.0009721742137596
1980,35-39 years,Other pharynx cancer,0.0016706324938933
1980,35-39 years,Ovarian cancer,0.0061770227476795
1980,35-39 years,Pancreatic cancer,0.012052700903525799
