year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,6.487090524047953
1980,10-14 years,Eye cancer,0.017576146795961402
1980,10-14 years,Kidney cancer,0.1416772814472729
1980,10-14 years,Liver cancer,0.9197811950978033
1980,10-14 years,Nasopharynx cancer,1.2486846295405436
1980,10-14 years,Thyroid cancer,0.1715379012896996
1980,15-19 years,Bladder cancer,0.0685833521369817
1980,15-19 years,Brain and central nervous system cancer,3.9673969171811123
1980,15-19 years,Breast cancer,0.0897257712824725
1980,15-19 years,Cervical cancer,0.2352710678893384
1980,15-19 years,Colon and rectum cancer,0.6392679753086961
1980,15-19 years,Eye cancer,0.0135951428658605
1980,15-19 years,Kidney cancer,0.0793021882295208
1980,15-19 years,Lip and oral cavity cancer,0.2786611602108689
1980,15-19 years,Liver cancer,1.056123957353866
1980,15-19 years,Nasopharynx cancer,1.5373157557087915
1980,15-19 years,Ovarian cancer,0.2905988807631092
1980,15-19 years,Pancreatic cancer,0.0864930485764517
1980,15-19 years,Stomach cancer,0.4746557930220179
1980,15-19 years,Testicular cancer,0.1592756958569775
1980,15-19 years,Thyroid cancer,0.3434831583122948
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.2145308922492305
1980,20-24 years,Bladder cancer,0.123652662919013
1980,20-24 years,Brain and central nervous system cancer,3.5513725141991106
1980,20-24 years,Breast cancer,0.3518529459602215
1980,20-24 years,Cervical cancer,0.7253143840420593
1980,20-24 years,Colon and rectum cancer,1.3275246323738155
1980,20-24 years,Esophageal cancer,0.1901411096106704
1980,20-24 years,Eye cancer,0.0233567456566708
1980,20-24 years,Gallbladder and biliary tract cancer,0.21099294883386982
1980,20-24 years,Kidney cancer,0.1037760592186894
1980,20-24 years,Larynx cancer,0.0901745921496757
1980,20-24 years,Lip and oral cavity cancer,0.44434700455440973
1980,20-24 years,Liver cancer,1.5495738200377098
1980,20-24 years,Nasopharynx cancer,1.469453428111629
1980,20-24 years,Non-melanoma skin cancer,0.0605618848870033
1980,20-24 years,Other pharynx cancer,0.0893677105679364
1980,20-24 years,Ovarian cancer,0.343561069369884
1980,20-24 years,Pancreatic cancer,0.1483217905542315
1980,20-24 years,Prostate cancer,0.0118452779811698
1980,20-24 years,Stomach cancer,1.2562151850196268
1980,20-24 years,Testicular cancer,0.3628178621615543
1980,20-24 years,Thyroid cancer,0.5262238631734081
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.37862691517177527
1980,20-24 years,Uterine cancer,0.0715077890907522
1980,25-29 years,Bladder cancer,0.16812704406947931
1980,25-29 years,Brain and central nervous system cancer,3.8823711976827866
1980,25-29 years,Breast cancer,1.4565504080259781
1980,25-29 years,Cervical cancer,1.154309609717966
1980,25-29 years,Colon and rectum cancer,2.2823098989096406
1980,25-29 years,Esophageal cancer,0.3358716435585175
1980,25-29 years,Eye cancer,0.0320215189715267
1980,25-29 years,Gallbladder and biliary tract cancer,0.3202464941661294
1980,25-29 years,Kidney cancer,0.1418320619642038
1980,25-29 years,Larynx cancer,0.11790274325032249
1980,25-29 years,Lip and oral cavity cancer,0.5597631576897943
1980,25-29 years,Liver cancer,1.9671044621550542
1980,25-29 years,Nasopharynx cancer,1.5450964437271635
1980,25-29 years,Non-melanoma skin cancer,0.0847868572471327
1980,25-29 years,Other pharynx cancer,0.1331635072892827
1980,25-29 years,Ovarian cancer,0.4599291121079467
1980,25-29 years,Pancreatic cancer,0.2128373593784662
1980,25-29 years,Prostate cancer,0.0093966207890173
1980,25-29 years,Stomach cancer,2.3844453864187694
1980,25-29 years,Testicular cancer,0.4227603002237304
1980,25-29 years,Thyroid cancer,0.6133509959014648
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.6216887948841014
1980,25-29 years,Uterine cancer,0.1198588282420459
1980,30-34 years,Bladder cancer,0.319634913821861
1980,30-34 years,Brain and central nervous system cancer,5.490399133120021
1980,30-34 years,Breast cancer,5.587433844127958
1980,30-34 years,Cervical cancer,1.810204725652802
1980,30-34 years,Colon and rectum cancer,5.080883233517218
1980,30-34 years,Esophageal cancer,0.6341144438895919
1980,30-34 years,Eye cancer,0.050164813818332696
1980,30-34 years,Gallbladder and biliary tract cancer,0.6596484415833634
1980,30-34 years,Kidney cancer,0.2994329301603063
1980,30-34 years,Larynx cancer,0.2704169331793157
1980,30-34 years,Lip and oral cavity cancer,0.9745247184965256
1980,30-34 years,Liver cancer,3.550249158382295
1980,30-34 years,Nasopharynx cancer,2.7973399472713236
1980,30-34 years,Non-melanoma skin cancer,0.0797442460238729
1980,30-34 years,Other pharynx cancer,0.2420656232290384
1980,30-34 years,Ovarian cancer,0.7100854806022457
1980,30-34 years,Pancreatic cancer,0.5467169394878798
1980,30-34 years,Prostate cancer,0.0262500018332184
1980,30-34 years,Stomach cancer,4.988111119523641
1980,30-34 years,Testicular cancer,0.5854947755082816
1980,30-34 years,Thyroid cancer,0.8342479898791244
1980,30-34 years,"Tracheal, bronchus, and lung cancer",1.6899547571390017
1980,30-34 years,Uterine cancer,0.2127119449649448
1980,35-39 years,Bladder cancer,0.497351041103444
1980,35-39 years,Brain and central nervous system cancer,5.612063771008615
1980,35-39 years,Breast cancer,10.087467915292995
1980,35-39 years,Cervical cancer,2.460950126537321
1980,35-39 years,Colon and rectum cancer,7.61636659971389
1980,35-39 years,Esophageal cancer,1.2975381527029102
1980,35-39 years,Eye cancer,0.0529651382189025
1980,35-39 years,Gallbladder and biliary tract cancer,1.0545194354048997
1980,35-39 years,Kidney cancer,0.4902083426681788
1980,35-39 years,Larynx cancer,0.542035106421942
1980,35-39 years,Lip and oral cavity cancer,1.4100766709620265
1980,35-39 years,Liver cancer,5.116688916594589
1980,35-39 years,Nasopharynx cancer,3.9280784230120758
1980,35-39 years,Non-melanoma skin cancer,0.11337088902957859
1980,35-39 years,Other pharynx cancer,0.37459813652285445
1980,35-39 years,Ovarian cancer,0.9465657803479376
1980,35-39 years,Pancreatic cancer,0.9275990956422484
1980,35-39 years,Prostate cancer,0.0639527377491229
1980,35-39 years,Stomach cancer,6.901990888648831
1980,35-39 years,Testicular cancer,0.3835881750666725
1980,35-39 years,Thyroid cancer,0.7907245211759435
1980,35-39 years,"Tracheal, bronchus, and lung cancer",3.317905443785326
1980,35-39 years,Uterine cancer,0.3420413658075757
1980,40-44 years,Bladder cancer,0.9552858309175178
1980,40-44 years,Brain and central nervous system cancer,6.00159831525176
1980,40-44 years,Breast cancer,13.02484631512692
1980,40-44 years,Cervical cancer,3.063310009259788
1980,40-44 years,Colon and rectum cancer,10.081226190315082
1980,40-44 years,Esophageal cancer,2.3619555093904903
1980,40-44 years,Eye cancer,0.1207422389370254
1980,40-44 years,Gallbladder and biliary tract cancer,1.7100792688000155
1980,40-44 years,Kidney cancer,0.8082333485109781
1980,40-44 years,Larynx cancer,1.0969040827352319
1980,40-44 years,Lip and oral cavity cancer,2.21090711855461
1980,40-44 years,Liver cancer,8.769162394249431
1980,40-44 years,Nasopharynx cancer,5.768148310811968
1980,40-44 years,Non-melanoma skin cancer,0.11842392820328651
1980,40-44 years,Other pharynx cancer,0.706466698220723
1980,40-44 years,Ovarian cancer,1.6146118872192197
1980,40-44 years,Pancreatic cancer,1.6197859386209643
1980,40-44 years,Prostate cancer,0.1171079916930618
1980,40-44 years,Stomach cancer,9.959550740324751
1980,40-44 years,Testicular cancer,0.272401168774579
1980,40-44 years,Thyroid cancer,0.9075971572202695
1980,40-44 years,"Tracheal, bronchus, and lung cancer",6.524337410198138
1980,40-44 years,Uterine cancer,0.5149470161567946
1980,45-49 years,Bladder cancer,1.5151377921650613
1980,45-49 years,Brain and central nervous system cancer,5.792982035136957
1980,45-49 years,Breast cancer,12.706332731750477
1980,45-49 years,Cervical cancer,2.793976283051893
1980,45-49 years,Colon and rectum cancer,12.650163205769623
1980,45-49 years,Esophageal cancer,3.866292743106409
1980,45-49 years,Eye cancer,0.0998158136497171
1980,45-49 years,Gallbladder and biliary tract cancer,2.6116774163670056
1980,45-49 years,Kidney cancer,1.316463111077684
1980,45-49 years,Larynx cancer,1.8442639385341084
1980,45-49 years,Lip and oral cavity cancer,3.066667512075915
1980,45-49 years,Liver cancer,13.004467889149431
