year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,15.485174520562133
1980,10-14 years,Eye cancer,0.0759316838126963
1980,10-14 years,Kidney cancer,0.45176849797193086
1980,10-14 years,Liver cancer,0.4921403247547115
1980,10-14 years,Nasopharynx cancer,0.2540622005224029
1980,10-14 years,Thyroid cancer,0.0842512000948828
1980,15-19 years,Bladder cancer,0.1121084101418795
1980,15-19 years,Brain and central nervous system cancer,10.30773186887155
1980,15-19 years,Breast cancer,0.26389553929706533
1980,15-19 years,Cervical cancer,0.4811375507186225
1980,15-19 years,Colon and rectum cancer,1.4902669240205162
1980,15-19 years,Eye cancer,0.0637668108268378
1980,15-19 years,Kidney cancer,0.2928200681194375
1980,15-19 years,Lip and oral cavity cancer,0.26346221461986086
1980,15-19 years,Liver cancer,0.8289542855372459
1980,15-19 years,Nasopharynx cancer,0.36265067462402834
1980,15-19 years,Ovarian cancer,0.728043973128826
1980,15-19 years,Pancreatic cancer,0.2205436631446461
1980,15-19 years,Stomach cancer,0.6220210947234401
1980,15-19 years,Testicular cancer,1.1761895004188316
1980,15-19 years,Thyroid cancer,0.1377178826426213
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.4418990891293033
1980,20-24 years,Bladder cancer,0.163603452060737
1980,20-24 years,Brain and central nervous system cancer,11.930619488534862
1980,20-24 years,Breast cancer,0.9619358036840001
1980,20-24 years,Cervical cancer,2.8166879416199944
1980,20-24 years,Colon and rectum cancer,3.4931093837568024
1980,20-24 years,Esophageal cancer,0.2215724041585388
1980,20-24 years,Eye cancer,0.0945100624557964
1980,20-24 years,Gallbladder and biliary tract cancer,0.13276439268965068
1980,20-24 years,Kidney cancer,0.4598681427017699
1980,20-24 years,Larynx cancer,0.2401270542560303
1980,20-24 years,Lip and oral cavity cancer,0.4742347421972759
1980,20-24 years,Liver cancer,1.3704871485297017
1980,20-24 years,Nasopharynx cancer,0.46052815094389954
1980,20-24 years,Non-melanoma skin cancer,0.3340401914760333
1980,20-24 years,Other pharynx cancer,0.2383754461033662
1980,20-24 years,Ovarian cancer,1.3138087031485068
1980,20-24 years,Pancreatic cancer,0.5382852909891991
1980,20-24 years,Prostate cancer,0.1014908503711836
1980,20-24 years,Stomach cancer,2.090794234021818
1980,20-24 years,Testicular cancer,4.154473846921569
1980,20-24 years,Thyroid cancer,0.2555231743277016
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.9719782549049656
1980,20-24 years,Uterine cancer,0.2097582050098474
1980,25-29 years,Bladder cancer,0.3017018594860892
1980,25-29 years,Brain and central nervous system cancer,14.804822499075966
1980,25-29 years,Breast cancer,4.844337859971183
1980,25-29 years,Cervical cancer,10.154636179622306
1980,25-29 years,Colon and rectum cancer,7.112869563507741
1980,25-29 years,Esophageal cancer,0.410610462309765
1980,25-29 years,Eye cancer,0.1800485996485599
1980,25-29 years,Gallbladder and biliary tract cancer,0.3286165646228624
1980,25-29 years,Kidney cancer,0.7424744638456848
1980,25-29 years,Larynx cancer,0.4054027280052105
1980,25-29 years,Lip and oral cavity cancer,0.7444084738852588
1980,25-29 years,Liver cancer,2.0058579056621646
