year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,52.53705520434361
1980,10-14 years,Eye cancer,0.2375116678315372
1980,10-14 years,Kidney cancer,1.7765865022150453
1980,10-14 years,Liver cancer,2.3671685390129773
1980,10-14 years,Nasopharynx cancer,1.2192052554732768
1980,10-14 years,Thyroid cancer,0.355278219633842
1980,15-19 years,Bladder cancer,0.4755060528069706
1980,15-19 years,Brain and central nervous system cancer,33.13960506391366
1980,15-19 years,Breast cancer,1.3525287203723764
1980,15-19 years,Cervical cancer,0.7393317355285384
1980,15-19 years,Colon and rectum cancer,3.9202474215771943
1980,15-19 years,Eye cancer,0.1870879748481174
1980,15-19 years,Kidney cancer,1.0958663506240405
1980,15-19 years,Lip and oral cavity cancer,1.1789312334245232
1980,15-19 years,Liver cancer,3.509713376708277
1980,15-19 years,Nasopharynx cancer,1.5792100582911637
1980,15-19 years,Ovarian cancer,2.4518400789620105
1980,15-19 years,Pancreatic cancer,0.6946137341831811
1980,15-19 years,Stomach cancer,3.138181163062543
1980,15-19 years,Testicular cancer,3.3116797704361827
1980,15-19 years,Thyroid cancer,0.48427034723272055
1980,15-19 years,"Tracheal, bronchus, and lung cancer",4.775466629741217
1980,20-24 years,Bladder cancer,0.6441145487724016
1980,20-24 years,Brain and central nervous system cancer,31.1591136960192
1980,20-24 years,Breast cancer,4.179579641613676
1980,20-24 years,Cervical cancer,3.311802663957258
1980,20-24 years,Colon and rectum cancer,8.329943492111749
1980,20-24 years,Esophageal cancer,0.9861274279039335
1980,20-24 years,Eye cancer,0.2946021649212909
1980,20-24 years,Gallbladder and biliary tract cancer,0.4846972054483849
1980,20-24 years,Kidney cancer,1.5401066317764465
1980,20-24 years,Larynx cancer,0.7837799413517752
1980,20-24 years,Lip and oral cavity cancer,1.7607930445876498
1980,20-24 years,Liver cancer,4.701724828689525
1980,20-24 years,Nasopharynx cancer,1.7747102620341457
1980,20-24 years,Non-melanoma skin cancer,1.1449081617106405
1980,20-24 years,Other pharynx cancer,0.24725628580735498
1980,20-24 years,Ovarian cancer,3.3003989988337064
1980,20-24 years,Pancreatic cancer,1.1875540960037818
1980,20-24 years,Prostate cancer,0.317825129336357
1980,20-24 years,Stomach cancer,8.505961170929703
1980,20-24 years,Testicular cancer,6.586515876433742
1980,20-24 years,Thyroid cancer,0.7204000498338196
1980,20-24 years,"Tracheal, bronchus, and lung cancer",7.617369298669985
1980,20-24 years,Uterine cancer,0.4159798575536813
1980,25-29 years,Bladder cancer,1.1140548550693596
1980,25-29 years,Brain and central nervous system cancer,37.74933390816356
1980,25-29 years,Breast cancer,19.51300963416202
1980,25-29 years,Cervical cancer,10.662729276015884
1980,25-29 years,Colon and rectum cancer,17.37651353889651
1980,25-29 years,Esophageal cancer,1.6116731764610919
1980,25-29 years,Eye cancer,0.3629357671573545
1980,25-29 years,Gallbladder and biliary tract cancer,0.9733058841865616
1980,25-29 years,Kidney cancer,1.9410179574714657
