year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,16.508477792033304
1980,10-14 years,Eye cancer,0.0062268930003748
1980,10-14 years,Kidney cancer,0.8705374657322913
1980,10-14 years,Liver cancer,2.2392290800671146
1980,10-14 years,Nasopharynx cancer,1.3213845243135167
1980,10-14 years,Thyroid cancer,0.20089483956795362
1980,15-19 years,Bladder cancer,0.3245725576604505
1980,15-19 years,Brain and central nervous system cancer,9.210087388821462
1980,15-19 years,Breast cancer,0.35944212759781047
1980,15-19 years,Cervical cancer,1.7291232245812005
1980,15-19 years,Colon and rectum cancer,2.1840671240535636
1980,15-19 years,Eye cancer,0.0043090412183972
1980,15-19 years,Kidney cancer,0.4345504561613881
1980,15-19 years,Lip and oral cavity cancer,0.331050730290363
1980,15-19 years,Liver cancer,1.823761607472047
1980,15-19 years,Nasopharynx cancer,1.2215421874810284
1980,15-19 years,Ovarian cancer,0.4942346854598162
1980,15-19 years,Pancreatic cancer,0.1808911007067781
1980,15-19 years,Stomach cancer,5.5427051686131
1980,15-19 years,Testicular cancer,0.1288024663982235
1980,15-19 years,Thyroid cancer,0.2984281020296123
1980,15-19 years,"Tracheal, bronchus, and lung cancer",2.0068289046939847
1980,20-24 years,Bladder cancer,0.4217185884666717
1980,20-24 years,Brain and central nervous system cancer,6.726848380536246
1980,20-24 years,Breast cancer,0.7222628570847771
1980,20-24 years,Cervical cancer,2.980325790431268
1980,20-24 years,Colon and rectum cancer,2.9299013846177147
1980,20-24 years,Esophageal cancer,0.950309287687445
1980,20-24 years,Eye cancer,0.0046157073745242
1980,20-24 years,Gallbladder and biliary tract cancer,0.20307491875969852
1980,20-24 years,Kidney cancer,0.37565321466562573
1980,20-24 years,Larynx cancer,0.6960428946092347
1980,20-24 years,Lip and oral cavity cancer,0.39721176414367443
1980,20-24 years,Liver cancer,2.125465156109012
1980,20-24 years,Nasopharynx cancer,0.9226056461262176
1980,20-24 years,Non-melanoma skin cancer,0.0041103731819796
1980,20-24 years,Other pharynx cancer,0.1277518887760474
1980,20-24 years,Ovarian cancer,0.5036033266190141
1980,20-24 years,Pancreatic cancer,0.2293389109397772
1980,20-24 years,Prostate cancer,0.0773379027963093
1980,20-24 years,Stomach cancer,8.877608943269633
1980,20-24 years,Testicular cancer,0.2372171167818516
1980,20-24 years,Thyroid cancer,0.30614822055895385
1980,20-24 years,"Tracheal, bronchus, and lung cancer",2.1464171181613865
1980,20-24 years,Uterine cancer,0.1637042110730547
1980,25-29 years,Bladder cancer,0.5308186149594663
1980,25-29 years,Brain and central nervous system cancer,7.384824750558231
1980,25-29 years,Breast cancer,2.338661660756708
1980,25-29 years,Cervical cancer,5.097970423252532
1980,25-29 years,Colon and rectum cancer,4.737260249292776
1980,25-29 years,Esophageal cancer,1.6975899898687314
1980,25-29 years,Eye cancer,0.0064454685711047
1980,25-29 years,Gallbladder and biliary tract cancer,0.3171070892908578
1980,25-29 years,Kidney cancer,0.4345676670542029
1980,25-29 years,Larynx cancer,0.8624497185331994
1980,25-29 years,Lip and oral cavity cancer,0.5177471369831635
1980,25-29 years,Liver cancer,2.663135450789715
