year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,10.115266976889139
1980,10-14 years,Eye cancer,0.000890030060207
1980,10-14 years,Kidney cancer,0.3389496192067591
1980,10-14 years,Liver cancer,0.4510107154095794
1980,10-14 years,Nasopharynx cancer,0.7502496496996317
1980,10-14 years,Thyroid cancer,0.0009499249985557999
1980,15-19 years,Bladder cancer,0.043080868244979496
1980,15-19 years,Brain and central nervous system cancer,6.345500147964943
1980,15-19 years,Breast cancer,0.2751824328155723
1980,15-19 years,Cervical cancer,0.3481246863022555
1980,15-19 years,Colon and rectum cancer,1.1695839998909903
1980,15-19 years,Eye cancer,0.0007603672049465001
1980,15-19 years,Kidney cancer,0.3350100248661708
1980,15-19 years,Lip and oral cavity cancer,0.1231104199315185
1980,15-19 years,Liver cancer,0.8947421209772852
1980,15-19 years,Nasopharynx cancer,0.7416219244181084
1980,15-19 years,Ovarian cancer,0.2091768814987413
1980,15-19 years,Pancreatic cancer,0.0869453600112359
1980,15-19 years,Stomach cancer,2.4522634740557097
1980,15-19 years,Testicular cancer,0.0115238548740991
1980,15-19 years,Thyroid cancer,0.0014267388286053999
1980,15-19 years,"Tracheal, bronchus, and lung cancer",1.3077989672856094
1980,20-24 years,Bladder cancer,0.0709330934984935
1980,20-24 years,Brain and central nervous system cancer,5.774759195294908
1980,20-24 years,Breast cancer,0.5319040425869309
1980,20-24 years,Cervical cancer,0.70499513439788
1980,20-24 years,Colon and rectum cancer,2.080451072533575
1980,20-24 years,Esophageal cancer,0.8346485127046024
1980,20-24 years,Eye cancer,0.0005120070582031999
1980,20-24 years,Gallbladder and biliary tract cancer,0.005322894642499
1980,20-24 years,Kidney cancer,0.3208369860165128
1980,20-24 years,Larynx cancer,0.2321142569509079
1980,20-24 years,Lip and oral cavity cancer,0.1447051392935641
1980,20-24 years,Liver cancer,1.3422894650747663
1980,20-24 years,Nasopharynx cancer,0.5500236010301107
1980,20-24 years,Non-melanoma skin cancer,0.091571554870236
1980,20-24 years,Other pharynx cancer,0.1009949589546548
1980,20-24 years,Ovarian cancer,0.2230544920079213
1980,20-24 years,Pancreatic cancer,0.12729877640145298
1980,20-24 years,Prostate cancer,0.1712772390055861
1980,20-24 years,Stomach cancer,3.8768321004973405
1980,20-24 years,Testicular cancer,0.0177089347960378
1980,20-24 years,Thyroid cancer,0.0013906215660488002
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.6859685049850612
1980,20-24 years,Uterine cancer,0.3064788953096855
1980,25-29 years,Bladder cancer,0.06600063724202171
1980,25-29 years,Brain and central nervous system cancer,6.314753821278865
1980,25-29 years,Breast cancer,1.6105311410738308
1980,25-29 years,Cervical cancer,1.5197356179760808
1980,25-29 years,Colon and rectum cancer,2.5921430561436054
1980,25-29 years,Esophageal cancer,1.21982357846939
1980,25-29 years,Eye cancer,0.0007427752382498
1980,25-29 years,Gallbladder and biliary tract cancer,0.010854060396046
1980,25-29 years,Kidney cancer,0.29892408758699196
1980,25-29 years,Larynx cancer,0.27742092457849077
1980,25-29 years,Lip and oral cavity cancer,0.1929914753719939
1980,25-29 years,Liver cancer,1.5963496295295885
1980,25-29 years,Nasopharynx cancer,0.5101654476071953
1980,25-29 years,Non-melanoma skin cancer,0.0906396270670575
1980,25-29 years,Other pharynx cancer,0.1552816976998653
1980,25-29 years,Ovarian cancer,0.2992079056395657
1980,25-29 years,Pancreatic cancer,0.2122604671458158
1980,25-29 years,Prostate cancer,0.2090635048934615
1980,25-29 years,Stomach cancer,6.1679237634213
1980,25-29 years,Testicular cancer,0.0265732122273926
1980,25-29 years,Thyroid cancer,0.0022792188267467
1980,25-29 years,"Tracheal, bronchus, and lung cancer",2.2889799885438276
1980,25-29 years,Uterine cancer,0.3764196743210887
1980,30-34 years,Bladder cancer,0.0784560806960439
1980,30-34 years,Brain and central nervous system cancer,4.850651561129657
1980,30-34 years,Breast cancer,4.226524748947805
1980,30-34 years,Cervical cancer,2.856747834688616
1980,30-34 years,Colon and rectum cancer,3.1668191283319524
1980,30-34 years,Esophageal cancer,1.572788099643387
1980,30-34 years,Eye cancer,0.000602521279244
1980,30-34 years,Gallbladder and biliary tract cancer,0.0136896487557229
1980,30-34 years,Kidney cancer,0.24841826934035172
1980,30-34 years,Larynx cancer,0.3098199300773374
