year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,6.981506258869626
1980,10-14 years,Eye cancer,0.0227792690466275
1980,10-14 years,Kidney cancer,0.2242624686562042
1980,10-14 years,Liver cancer,0.418646858189121
1980,10-14 years,Nasopharynx cancer,3.2503769228320913
1980,10-14 years,Thyroid cancer,0.1399285295418521
1980,15-19 years,Bladder cancer,0.0972138712604658
1980,15-19 years,Brain and central nervous system cancer,3.595446572840652
1980,15-19 years,Breast cancer,0.10210220451954269
1980,15-19 years,Cervical cancer,0.7258032002722621
1980,15-19 years,Colon and rectum cancer,0.6257038301514183
1980,15-19 years,Eye cancer,0.0144487853399352
1980,15-19 years,Kidney cancer,0.1019357232877798
1980,15-19 years,Lip and oral cavity cancer,0.2254041256989891
1980,15-19 years,Liver cancer,0.346473759865944
1980,15-19 years,Nasopharynx cancer,2.9310130717715905
1980,15-19 years,Ovarian cancer,0.2623915842709005
1980,15-19 years,Pancreatic cancer,0.0866030796452807
1980,15-19 years,Stomach cancer,0.5491076994427166
1980,15-19 years,Testicular cancer,0.1099486532961058
1980,15-19 years,Thyroid cancer,0.2139634377088605
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.5473027144305381
1980,20-24 years,Bladder cancer,0.1771611233530087
1980,20-24 years,Brain and central nervous system cancer,2.938761729162869
1980,20-24 years,Breast cancer,0.3184792127151591
1980,20-24 years,Cervical cancer,2.254780580165895
1980,20-24 years,Colon and rectum cancer,1.1958507535453382
1980,20-24 years,Esophageal cancer,0.0471597589927886
1980,20-24 years,Eye cancer,0.0221434205647106
1980,20-24 years,Gallbladder and biliary tract cancer,0.2198882523692561
1980,20-24 years,Kidney cancer,0.1169048734866106
1980,20-24 years,Larynx cancer,0.1901413167380837
1980,20-24 years,Lip and oral cavity cancer,0.3546086212565513
1980,20-24 years,Liver cancer,0.49479937215527425
1980,20-24 years,Nasopharynx cancer,2.554652799542877
1980,20-24 years,Non-melanoma skin cancer,0.002754672903189
1980,20-24 years,Other pharynx cancer,0.0823527371866178
1980,20-24 years,Ovarian cancer,0.3096720613537639
1980,20-24 years,Pancreatic cancer,0.1464967063961086
1980,20-24 years,Prostate cancer,0.0125238265673328
1980,20-24 years,Stomach cancer,1.3931341942901736
1980,20-24 years,Testicular cancer,0.2393465539701716
1980,20-24 years,Thyroid cancer,0.3130025849021921
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.9933863168337391
1980,20-24 years,Uterine cancer,0.0562833638708294
1980,25-29 years,Bladder cancer,0.227078588042589
1980,25-29 years,Brain and central nervous system cancer,2.961450372228253
1980,25-29 years,Breast cancer,1.257261193739889
1980,25-29 years,Cervical cancer,3.840535338058272
1980,25-29 years,Colon and rectum cancer,1.9196029208684267
1980,25-29 years,Esophageal cancer,0.0850527639613963
1980,25-29 years,Eye cancer,0.027449783721477702
1980,25-29 years,Gallbladder and biliary tract cancer,0.3411264848952554
1980,25-29 years,Kidney cancer,0.1534404645871884
1980,25-29 years,Larynx cancer,0.24596193077176232
1980,25-29 years,Lip and oral cavity cancer,0.4547127522694368
1980,25-29 years,Liver cancer,0.5955561309046311
1980,25-29 years,Nasopharynx cancer,2.618363314172254
1980,25-29 years,Non-melanoma skin cancer,0.0032353170562563
1980,25-29 years,Other pharynx cancer,0.12280797510780411
1980,25-29 years,Ovarian cancer,0.4126281381036019
1980,25-29 years,Pancreatic cancer,0.2071347909891918
1980,25-29 years,Prostate cancer,0.00855626779165
1980,25-29 years,Stomach cancer,2.6759613447971287
1980,25-29 years,Testicular cancer,0.2717262725721661
1980,25-29 years,Thyroid cancer,0.37323578090935616
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.4223417424508953
1980,25-29 years,Uterine cancer,0.101283701033197
1980,30-34 years,Bladder cancer,0.3126413182155632
1980,30-34 years,Brain and central nervous system cancer,3.1558811317276425
1980,30-34 years,Breast cancer,4.3950409410971
1980,30-34 years,Cervical cancer,5.833841554153307
1980,30-34 years,Colon and rectum cancer,3.096980826452848
1980,30-34 years,Esophageal cancer,0.1339422109500642
1980,30-34 years,Eye cancer,0.0350480807912867
1980,30-34 years,Gallbladder and biliary tract cancer,0.6009868763644803
1980,30-34 years,Kidney cancer,0.2312773938004572
1980,30-34 years,Larynx cancer,0.4397843313739781
1980,30-34 years,Lip and oral cavity cancer,0.6577830087889223
1980,30-34 years,Liver cancer,0.8036913607593796
1980,30-34 years,Nasopharynx cancer,3.405257802336835
1980,30-34 years,Non-melanoma skin cancer,0.0024938675434782002
