year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,0.5247804337340656
1980,10-14 years,Eye cancer,0.0056550378301517
1980,10-14 years,Kidney cancer,0.0379208915692647
1980,10-14 years,Liver cancer,0.0498010026021038
1980,10-14 years,Nasopharynx cancer,0.03296683594833
1980,10-14 years,Thyroid cancer,0.0124267422981633
1980,15-19 years,Bladder cancer,0.019727008962119402
1980,15-19 years,Brain and central nervous system cancer,0.5419048069921332
1980,15-19 years,Breast cancer,0.042259072357039296
1980,15-19 years,Cervical cancer,0.0917409373547539
1980,15-19 years,Colon and rectum cancer,0.1811675007919027
1980,15-19 years,Eye cancer,0.006623434749115101
1980,15-19 years,Kidney cancer,0.03884454444813
1980,15-19 years,Lip and oral cavity cancer,0.0430495938949745
1980,15-19 years,Liver cancer,0.0883704645535637
1980,15-19 years,Nasopharynx cancer,0.08300950041735239
1980,15-19 years,Ovarian cancer,0.0775735844800222
1980,15-19 years,Pancreatic cancer,0.021626436406364198
1980,15-19 years,Stomach cancer,0.1344035124184184
1980,15-19 years,Testicular cancer,0.0436257159688028
1980,15-19 years,Thyroid cancer,0.0271843337826718
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.1639080421424399
1980,20-24 years,Bladder cancer,0.0506895874788336
1980,20-24 years,Brain and central nervous system cancer,1.0822541877730956
1980,20-24 years,Breast cancer,0.1056102187429079
1980,20-24 years,Cervical cancer,0.1796603524613579
1980,20-24 years,Colon and rectum cancer,0.40096272122531107
1980,20-24 years,Esophageal cancer,0.0295468245874983
1980,20-24 years,Eye cancer,0.0124613780761766
1980,20-24 years,Gallbladder and biliary tract cancer,0.0887345009935772
1980,20-24 years,Kidney cancer,0.0818642426607337
1980,20-24 years,Larynx cancer,0.0483859614330329
1980,20-24 years,Lip and oral cavity cancer,0.1755700058723782
1980,20-24 years,Liver cancer,0.2109476190924517
1980,20-24 years,Nasopharynx cancer,0.1867542957959624
1980,20-24 years,Non-melanoma skin cancer,0.028928001617088202
1980,20-24 years,Other pharynx cancer,0.068290630772468
1980,20-24 years,Ovarian cancer,0.1669343170988352
1980,20-24 years,Pancreatic cancer,0.0597054405816055
1980,20-24 years,Prostate cancer,0.0335619804598069
1980,20-24 years,Stomach cancer,0.3100410704764593
1980,20-24 years,Testicular cancer,0.2827320681609803
1980,20-24 years,Thyroid cancer,0.0499778780839718
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.3282876475525137
1980,20-24 years,Uterine cancer,0.0356830542050991
1980,25-29 years,Bladder cancer,0.097940957817039
1980,25-29 years,Brain and central nervous system cancer,1.7784060910538413
1980,25-29 years,Breast cancer,0.36402152566711454
1980,25-29 years,Cervical cancer,0.3870556803051168
1980,25-29 years,Colon and rectum cancer,1.1822423989650486
1980,25-29 years,Esophageal cancer,0.0732183041447383
1980,25-29 years,Eye cancer,0.0196749810755908
1980,25-29 years,Gallbladder and biliary tract cancer,0.1687615524575046
1980,25-29 years,Kidney cancer,0.143252393849798
1980,25-29 years,Larynx cancer,0.0805703919955906
1980,25-29 years,Lip and oral cavity cancer,0.3435237766529767
1980,25-29 years,Liver cancer,0.3720609020299887
1980,25-29 years,Nasopharynx cancer,0.2719118551996186
1980,25-29 years,Non-melanoma skin cancer,0.0601229255095046
1980,25-29 years,Other pharynx cancer,0.1268158461663478
1980,25-29 years,Ovarian cancer,0.2738858752148738
1980,25-29 years,Pancreatic cancer,0.1327176170806398
1980,25-29 years,Prostate cancer,0.039465990920302
1980,25-29 years,Stomach cancer,0.7743139486065809
1980,25-29 years,Testicular cancer,0.4346360457576316
1980,25-29 years,Thyroid cancer,0.09407370685803321
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.6508655510916588
1980,25-29 years,Uterine cancer,0.0634575848020176
1980,30-34 years,Bladder cancer,0.1455004793437827
1980,30-34 years,Brain and central nervous system cancer,1.6471004409966887
1980,30-34 years,Breast cancer,0.7710798851352529
1980,30-34 years,Cervical cancer,0.5340095436528057
1980,30-34 years,Colon and rectum cancer,1.717761875483999
1980,30-34 years,Esophageal cancer,0.1020072673389376
1980,30-34 years,Eye cancer,0.012545379509946499
1980,30-34 years,Gallbladder and biliary tract cancer,0.2326111506629081
1980,30-34 years,Kidney cancer,0.1441115477080964
1980,30-34 years,Larynx cancer,0.1134570332506159
1980,30-34 years,Lip and oral cavity cancer,0.3448406296634415
1980,30-34 years,Liver cancer,0.44378409880311764
1980,30-34 years,Nasopharynx cancer,0.2595991252759253
1980,30-34 years,Non-melanoma skin cancer,0.047053724994891
1980,30-34 years,Other pharynx cancer,0.1275684420327749
1980,30-34 years,Ovarian cancer,0.2547319846342298
1980,30-34 years,Pancreatic cancer,0.2841758406405507
1980,30-34 years,Prostate cancer,0.0606282911507512
1980,30-34 years,Stomach cancer,1.2353778572306071
1980,30-34 years,Testicular cancer,0.2752856533918409
1980,30-34 years,Thyroid cancer,0.1048074025891639
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.973667838750401
1980,30-34 years,Uterine cancer,0.0719912189043532
1980,35-39 years,Bladder cancer,0.223869412873556
1980,35-39 years,Brain and central nervous system cancer,1.5008487130021575
1980,35-39 years,Breast cancer,1.1613092150710502
1980,35-39 years,Cervical cancer,0.7642032693401565
1980,35-39 years,Colon and rectum cancer,2.0556766104448014
1980,35-39 years,Esophageal cancer,0.166814205676413
1980,35-39 years,Eye cancer,0.0123741850887212
1980,35-39 years,Gallbladder and biliary tract cancer,0.3164820601861908
1980,35-39 years,Kidney cancer,0.1839750354221762
1980,35-39 years,Larynx cancer,0.1771548017940301
1980,35-39 years,Lip and oral cavity cancer,0.39641942463859803
1980,35-39 years,Liver cancer,0.5541104418666873
1980,35-39 years,Nasopharynx cancer,0.2839714697026055
1980,35-39 years,Non-melanoma skin cancer,0.0528641797894494
1980,35-39 years,Other pharynx cancer,0.15574290077207611
1980,35-39 years,Ovarian cancer,0.2704412144251548
1980,35-39 years,Pancreatic cancer,0.46297839880279107
1980,35-39 years,Prostate cancer,0.090367256844165
1980,35-39 years,Stomach cancer,1.714033558176213
1980,35-39 years,Testicular cancer,0.1390315651354718
1980,35-39 years,Thyroid cancer,0.1061181047287666
1980,35-39 years,"Tracheal, bronchus, and lung cancer",1.4019473688978645
1980,35-39 years,Uterine cancer,0.1009719565386917
1980,40-44 years,Bladder cancer,0.3562288235881452
1980,40-44 years,Brain and central nervous system cancer,1.499182611359407
1980,40-44 years,Breast cancer,1.4097398846589928
1980,40-44 years,Cervical cancer,0.9654775574131862
1980,40-44 years,Colon and rectum cancer,2.3171331154846984
1980,40-44 years,Esophageal cancer,0.2528261255244903
1980,40-44 years,Eye cancer,0.0151087226285643
1980,40-44 years,Gallbladder and biliary tract cancer,0.42691769530403356
1980,40-44 years,Kidney cancer,0.23789483396845368
1980,40-44 years,Larynx cancer,0.2535981569955054
1980,40-44 years,Lip and oral cavity cancer,0.4338691128373015
1980,40-44 years,Liver cancer,0.818057545393698
1980,40-44 years,Nasopharynx cancer,0.3563970666532038
1980,40-44 years,Non-melanoma skin cancer,0.0562732914745605
1980,40-44 years,Other pharynx cancer,0.2056063062607371
1980,40-44 years,Ovarian cancer,0.3335541112678153
1980,40-44 years,Pancreatic cancer,0.7165660284911002
1980,40-44 years,Prostate cancer,0.1134052450645504
1980,40-44 years,Stomach cancer,2.3267498233409922
1980,40-44 years,Testicular cancer,0.0813552764190758
1980,40-44 years,Thyroid cancer,0.1194045632444222
1980,40-44 years,"Tracheal, bronchus, and lung cancer",2.1750786005057035
1980,40-44 years,Uterine cancer,0.1372838624131152
1980,45-49 years,Bladder cancer,0.5234499972798468
1980,45-49 years,Brain and central nervous system cancer,1.3437547228274598
1980,45-49 years,Breast cancer,2.043861925676809
1980,45-49 years,Cervical cancer,1.3190878996519244
1980,45-49 years,Colon and rectum cancer,3.0542925374516767
1980,45-49 years,Esophageal cancer,0.3670875847674722
1980,45-49 years,Eye cancer,0.0093176812100352
1980,45-49 years,Gallbladder and biliary tract cancer,0.6699126881936217
1980,45-49 years,Kidney cancer,0.3204050382401322
1980,45-49 years,Larynx cancer,0.38759079690355003
1980,45-49 years,Lip and oral cavity cancer,0.4670637838765166
1980,45-49 years,Liver cancer,1.186855008619776
1980,45-49 years,Nasopharynx cancer,0.36959117763010363
1980,45-49 years,Non-melanoma skin cancer,0.0643000503953904
1980,45-49 years,Other pharynx cancer,0.27159632066428163
1980,45-49 years,Ovarian cancer,0.5109374930701005
1980,45-49 years,Pancreatic cancer,1.0547468001971667
1980,45-49 years,Prostate cancer,0.2099836344021023
1980,45-49 years,Stomach cancer,3.0100344299767654
1980,45-49 years,Testicular cancer,0.0371352635452538
1980,45-49 years,Thyroid cancer,0.1559728949185206
1980,45-49 years,"Tracheal, bronchus, and lung cancer",3.346438120013379
1980,45-49 years,Uterine cancer,0.2513928465120681
1980,5-9 years,Brain and central nervous system cancer,0.7151732630484231
1980,5-9 years,Eye cancer,0.0232738591005493
1980,5-9 years,Kidney cancer,0.1342741784069812
1980,5-9 years,Liver cancer,0.07885372030854529
1980,5-9 years,Nasopharynx cancer,0.0183958741801185
1980,5-9 years,Thyroid cancer,0.0133687294223525
1980,50-54 years,Bladder cancer,0.7267189825825086
1980,50-54 years,Brain and central nervous system cancer,1.2980907918412536
1980,50-54 years,Breast cancer,2.8226398996561786
1980,50-54 years,Cervical cancer,1.696573779037713
1980,50-54 years,Colon and rectum cancer,3.6842976354066748
1980,50-54 years,Esophageal cancer,0.49811963573995277
1980,50-54 years,Eye cancer,0.0212772104902464
1980,50-54 years,Gallbladder and biliary tract cancer,0.9637681992207463
1980,50-54 years,Kidney cancer,0.3873591722357951
1980,50-54 years,Larynx cancer,0.5256434676938612
1980,50-54 years,Lip and oral cavity cancer,0.48901225717726127
1980,50-54 years,Liver cancer,1.736332662386363
1980,50-54 years,Nasopharynx cancer,0.3595938657749003
1980,50-54 years,Non-melanoma skin cancer,0.071595699840804
1980,50-54 years,Other pharynx cancer,0.277385763307945
1980,50-54 years,Ovarian cancer,0.7041549088113871
1980,50-54 years,Pancreatic cancer,1.3479933659091003
1980,50-54 years,Prostate cancer,0.3863935274757709
1980,50-54 years,Stomach cancer,3.5738636424271712
1980,50-54 years,Testicular cancer,0.0218756616888233
1980,50-54 years,Thyroid cancer,0.2153510459512182
1980,50-54 years,"Tracheal, bronchus, and lung cancer",4.213927602612703
1980,50-54 years,Uterine cancer,0.4047537684223783
1980,55-59 years,Bladder cancer,0.6756814653676406
1980,55-59 years,Brain and central nervous system cancer,0.9953857558108433
1980,55-59 years,Breast cancer,2.442176793053966
1980,55-59 years,Cervical cancer,1.4987865113083587
1980,55-59 years,Colon and rectum cancer,3.362007683683535
1980,55-59 years,Esophageal cancer,0.4476148218523621
1980,55-59 years,Eye cancer,0.016471680241428997
1980,55-59 years,Gallbladder and biliary tract cancer,0.9686834768006836
1980,55-59 years,Kidney cancer,0.3187160429294391
1980,55-59 years,Larynx cancer,0.42198085136945906
1980,55-59 years,Lip and oral cavity cancer,0.38733711904489176
1980,55-59 years,Liver cancer,1.6798384074224861
1980,55-59 years,Nasopharynx cancer,0.2476543055014479
1980,55-59 years,Non-melanoma skin cancer,0.054856510257141396
1980,55-59 years,Other pharynx cancer,0.2352869982175634
1980,55-59 years,Ovarian cancer,0.6419723620939736
1980,55-59 years,Pancreatic cancer,1.2793079445837052
1980,55-59 years,Prostate cancer,0.4430110642022382
1980,55-59 years,Stomach cancer,3.148786331946842
1980,55-59 years,Testicular cancer,0.011461938467918
1980,55-59 years,Thyroid cancer,0.2054141806584569
1980,55-59 years,"Tracheal, bronchus, and lung cancer",3.825083129111335
1980,55-59 years,Uterine cancer,0.4275016196742291
1980,60-64 years,Bladder cancer,1.2392683614846085
1980,60-64 years,Brain and central nervous system cancer,1.3431139448452412
1980,60-64 years,Breast cancer,2.9413213676028476
1980,60-64 years,Cervical cancer,2.022142957622616
1980,60-64 years,Colon and rectum cancer,5.241984527141027
1980,60-64 years,Esophageal cancer,0.7206192903416733
1980,60-64 years,Eye cancer,0.028637699835196602
1980,60-64 years,Gallbladder and biliary tract cancer,1.7105561989787677
1980,60-64 years,Kidney cancer,0.4557808566725886
1980,60-64 years,Larynx cancer,0.5949444178244819
1980,60-64 years,Lip and oral cavity cancer,0.5546198673434947
1980,60-64 years,Liver cancer,2.5608712231986193
1980,60-64 years,Nasopharynx cancer,0.2617670705210496
1980,60-64 years,Non-melanoma skin cancer,0.08326391566274849
