year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,46.36994427921579
1980,10-14 years,Eye cancer,0.5296317840474728
1980,10-14 years,Kidney cancer,3.1669988681668935
1980,10-14 years,Liver cancer,0.9286706576931641
1980,10-14 years,Nasopharynx cancer,1.6682256456854057
1980,10-14 years,Thyroid cancer,1.3355241795382935
1980,15-19 years,Bladder cancer,0.48645813537211513
1980,15-19 years,Brain and central nervous system cancer,34.96037663879037
1980,15-19 years,Breast cancer,1.8239924198121893
1980,15-19 years,Cervical cancer,1.6796810813335323
1980,15-19 years,Colon and rectum cancer,6.247683135675843
1980,15-19 years,Eye cancer,0.5384428193637225
1980,15-19 years,Kidney cancer,2.5368218790090173
1980,15-19 years,Lip and oral cavity cancer,1.2964636733792712
1980,15-19 years,Liver cancer,1.94211954026208
1980,15-19 years,Nasopharynx cancer,2.5993848863242555
1980,15-19 years,Ovarian cancer,4.128442239592991
1980,15-19 years,Pancreatic cancer,1.0106560878595572
1980,15-19 years,Stomach cancer,2.5667151470348766
1980,15-19 years,Testicular cancer,8.203899259429576
1980,15-19 years,Thyroid cancer,2.7050108147276264
1980,15-19 years,"Tracheal, bronchus, and lung cancer",3.40708736985945
1980,20-24 years,Bladder cancer,0.7012920195889992
1980,20-24 years,Brain and central nervous system cancer,31.67102619530872
1980,20-24 years,Breast cancer,4.828536165023984
1980,20-24 years,Cervical cancer,10.455813668105648
1980,20-24 years,Colon and rectum cancer,10.550293151454945
1980,20-24 years,Esophageal cancer,1.629401084121403
1980,20-24 years,Eye cancer,0.600103816089939
1980,20-24 years,Gallbladder and biliary tract cancer,0.2451641912698091
1980,20-24 years,Kidney cancer,2.5393566448804252
1980,20-24 years,Larynx cancer,0.1907160959515095
1980,20-24 years,Lip and oral cavity cancer,1.7114039921534354
1980,20-24 years,Liver cancer,2.127817415601851
1980,20-24 years,Nasopharynx cancer,2.3248260249661614
1980,20-24 years,Non-melanoma skin cancer,0.7317557817295666
1980,20-24 years,Other pharynx cancer,0.1976445299947911
1980,20-24 years,Ovarian cancer,6.119347004319272
1980,20-24 years,Pancreatic cancer,1.4676931557108073
1980,20-24 years,Prostate cancer,0.1816338406214384
1980,20-24 years,Stomach cancer,5.560470667891079
1980,20-24 years,Testicular cancer,16.58111159539245
1980,20-24 years,Thyroid cancer,3.579436175072795
1980,20-24 years,"Tracheal, bronchus, and lung cancer",5.4417800773577225
1980,20-24 years,Uterine cancer,0.2449163871286794
1980,25-29 years,Bladder cancer,1.6353383731187918
1980,25-29 years,Brain and central nervous system cancer,41.445980875386425
1980,25-29 years,Breast cancer,34.288811005003474
1980,25-29 years,Cervical cancer,39.106801499978005
1980,25-29 years,Colon and rectum cancer,23.12569780191214
1980,25-29 years,Esophageal cancer,3.503133921841953
1980,25-29 years,Eye cancer,0.6292087264940351
1980,25-29 years,Gallbladder and biliary tract cancer,0.6417849011171748
1980,25-29 years,Kidney cancer,3.8226693682158897
1980,25-29 years,Larynx cancer,0.4785682611687473
1980,25-29 years,Lip and oral cavity cancer,2.9539248002055984
1980,25-29 years,Liver cancer,3.379461041273589
1980,25-29 years,Nasopharynx cancer,1.8112233411213707
1980,25-29 years,Non-melanoma skin cancer,1.206761972728001
1980,25-29 years,Other pharynx cancer,0.5449362843630927
1980,25-29 years,Ovarian cancer,11.277517044827118
1980,25-29 years,Pancreatic cancer,3.901768989675805
1980,25-29 years,Prostate cancer,0.187239851901956
1980,25-29 years,Stomach cancer,13.474685395239046
1980,25-29 years,Testicular cancer,23.4301771571334
1980,25-29 years,Thyroid cancer,4.965974704001396
1980,25-29 years,"Tracheal, bronchus, and lung cancer",13.308835112355549
1980,25-29 years,Uterine cancer,0.8234516018081656
1980,30-34 years,Bladder cancer,4.671867606129937
1980,30-34 years,Brain and central nervous system cancer,71.98341987448022
1980,30-34 years,Breast cancer,147.4879393995391
1980,30-34 years,Cervical cancer,91.71577999602567
1980,30-34 years,Colon and rectum cancer,55.71260726472576
1980,30-34 years,Esophageal cancer,7.797264076474427
1980,30-34 years,Eye cancer,1.4268634730631518
1980,30-34 years,Gallbladder and biliary tract cancer,1.8491703508415536
1980,30-34 years,Kidney cancer,7.93324686286117
1980,30-34 years,Larynx cancer,1.187417853819387
1980,30-34 years,Lip and oral cavity cancer,5.64799622534853
1980,30-34 years,Liver cancer,5.243144552372122
1980,30-34 years,Nasopharynx cancer,2.7125674245397167
1980,30-34 years,Non-melanoma skin cancer,2.2667799441088357
1980,30-34 years,Other pharynx cancer,1.2884465406218215
1980,30-34 years,Ovarian cancer,23.021322166188117
1980,30-34 years,Pancreatic cancer,11.670867871718565
1980,30-34 years,Prostate cancer,0.3325787761582256
1980,30-34 years,Stomach cancer,32.80632378230153
1980,30-34 years,Testicular cancer,23.687904801154463
1980,30-34 years,Thyroid cancer,7.747376125878786
1980,30-34 years,"Tracheal, bronchus, and lung cancer",41.48721526494981
1980,30-34 years,Uterine cancer,1.82097421362299
1980,35-39 years,Bladder cancer,8.382324436316722
1980,35-39 years,Brain and central nervous system cancer,91.13153019868292
1980,35-39 years,Breast cancer,310.5303343815913
1980,35-39 years,Cervical cancer,114.05135925158432
1980,35-39 years,Colon and rectum cancer,104.1427680662331
1980,35-39 years,Esophageal cancer,16.262461659929
1980,35-39 years,Eye cancer,2.0988438588817706
1980,35-39 years,Gallbladder and biliary tract cancer,3.58633881761123
1980,35-39 years,Kidney cancer,13.78625807135112
1980,35-39 years,Larynx cancer,2.9199736217106698
1980,35-39 years,Lip and oral cavity cancer,9.675137043034049
1980,35-39 years,Liver cancer,7.615807237675293
1980,35-39 years,Nasopharynx cancer,3.890493587713056
1980,35-39 years,Non-melanoma skin cancer,2.8978741553899257
1980,35-39 years,Other pharynx cancer,2.8665711064008352
1980,35-39 years,Ovarian cancer,43.079527653644426
1980,35-39 years,Pancreatic cancer,24.54158168707898
1980,35-39 years,Prostate cancer,0.6533787782358244
1980,35-39 years,Stomach cancer,55.73522620859247
1980,35-39 years,Testicular cancer,20.34393319388561
1980,35-39 years,Thyroid cancer,12.34786711675434
1980,35-39 years,"Tracheal, bronchus, and lung cancer",108.7357261328689
1980,35-39 years,Uterine cancer,3.1936345065547744
1980,40-44 years,Bladder cancer,19.967301822295898
1980,40-44 years,Brain and central nervous system cancer,123.876750497361
1980,40-44 years,Breast cancer,545.3227842873447
1980,40-44 years,Cervical cancer,142.40203004452496
1980,40-44 years,Colon and rectum cancer,209.02032930612035
1980,40-44 years,Esophageal cancer,41.99820749200504
1980,40-44 years,Eye cancer,3.573962024676606
1980,40-44 years,Gallbladder and biliary tract cancer,8.422722833610898
1980,40-44 years,Kidney cancer,37.597538791252916
1980,40-44 years,Larynx cancer,8.92873794687515
1980,40-44 years,Lip and oral cavity cancer,20.303393615131093
1980,40-44 years,Liver cancer,15.659850069323745
1980,40-44 years,Nasopharynx cancer,7.602716681425086
1980,40-44 years,Non-melanoma skin cancer,4.2332954119438515
1980,40-44 years,Other pharynx cancer,7.80310923559637
1980,40-44 years,Ovarian cancer,100.54459097382296
1980,40-44 years,Pancreatic cancer,61.69805427088767
1980,40-44 years,Prostate cancer,2.422394384538342
1980,40-44 years,Stomach cancer,119.88302683365846
1980,40-44 years,Testicular cancer,19.69700013811116
1980,40-44 years,Thyroid cancer,19.321258829266323
1980,40-44 years,"Tracheal, bronchus, and lung cancer",317.23974562927947
1980,40-44 years,Uterine cancer,7.245039434187188
1980,45-49 years,Bladder cancer,49.820342108358915
1980,45-49 years,Brain and central nervous system cancer,172.38748605090535
1980,45-49 years,Breast cancer,924.3140194475732
1980,45-49 years,Cervical cancer,166.06339585725976
1980,45-49 years,Colon and rectum cancer,414.5458033330125
1980,45-49 years,Esophageal cancer,105.11034016054337
1980,45-49 years,Eye cancer,5.5554960705310155
1980,45-49 years,Gallbladder and biliary tract cancer,19.97641184984168
1980,45-49 years,Kidney cancer,88.72039878140382
1980,45-49 years,Larynx cancer,25.215670087525233
1980,45-49 years,Lip and oral cavity cancer,42.23016026561334
1980,45-49 years,Liver cancer,30.409881127470904
1980,45-49 years,Nasopharynx cancer,13.556448545260388
1980,45-49 years,Non-melanoma skin cancer,6.705906956063039
1980,45-49 years,Other pharynx cancer,20.4860090235707
1980,45-49 years,Ovarian cancer,215.01714368442197
1980,45-49 years,Pancreatic cancer,148.39484825683496
1980,45-49 years,Prostate cancer,13.903552580701854
1980,45-49 years,Stomach cancer,227.65667308830788
1980,45-49 years,Testicular cancer,15.520737656146949
1980,45-49 years,Thyroid cancer,31.13078732532497
1980,45-49 years,"Tracheal, bronchus, and lung cancer",859.0109600003992
1980,45-49 years,Uterine cancer,20.90653423012508
1980,5-9 years,Brain and central nervous system cancer,54.388632137086795
1980,5-9 years,Eye cancer,0.0998556641353227
1980,5-9 years,Kidney cancer,7.172145734634167
1980,5-9 years,Liver cancer,1.0994039581726591
1980,5-9 years,Nasopharynx cancer,1.0956928811551834
1980,5-9 years,Thyroid cancer,0.7746978773145063
1980,50-54 years,Bladder cancer,138.8591148173953
1980,50-54 years,Brain and central nervous system cancer,272.4316384953724
1980,50-54 years,Breast cancer,1417.0382917559461
1980,50-54 years,Cervical cancer,231.25352794001932
1980,50-54 years,Colon and rectum cancer,822.00191488274
1980,50-54 years,Esophageal cancer,248.69642666068034
1980,50-54 years,Eye cancer,9.707375750783811
1980,50-54 years,Gallbladder and biliary tract cancer,45.52908590164921
1980,50-54 years,Kidney cancer,179.1291410481814
1980,50-54 years,Larynx cancer,58.36464256375419
1980,50-54 years,Lip and oral cavity cancer,82.67500559275939
1980,50-54 years,Liver cancer,58.72635528360445
1980,50-54 years,Nasopharynx cancer,24.40760150149584
1980,50-54 years,Non-melanoma skin cancer,12.89785818338601
1980,50-54 years,Other pharynx cancer,43.5028229570109
1980,50-54 years,Ovarian cancer,404.9762488683656
1980,50-54 years,Pancreatic cancer,311.69500215099146
1980,50-54 years,Prostate cancer,60.04387716395056
1980,50-54 years,Stomach cancer,471.64391818117383
1980,50-54 years,Testicular cancer,14.37974872633033
1980,50-54 years,Thyroid cancer,46.71778573549314
1980,50-54 years,"Tracheal, bronchus, and lung cancer",2134.4201471823067
1980,50-54 years,Uterine cancer,52.40329926838797
1980,55-59 years,Bladder cancer,308.5754565780401
1980,55-59 years,Brain and central nervous system cancer,384.34127936284926
1980,55-59 years,Breast cancer,1861.5440302482332
1980,55-59 years,Cervical cancer,336.81220907091824
1980,55-59 years,Colon and rectum cancer,1484.4734084764502
1980,55-59 years,Esophageal cancer,458.9987292032984
1980,55-59 years,Eye cancer,16.644349761171632
1980,55-59 years,Gallbladder and biliary tract cancer,88.75800294647742
1980,55-59 years,Kidney cancer,308.67982824592553
1980,55-59 years,Larynx cancer,113.03440789539748
1980,55-59 years,Lip and oral cavity cancer,138.42392826164286
1980,55-59 years,Liver cancer,118.12195650382701
1980,55-59 years,Nasopharynx cancer,37.35003037472808
1980,55-59 years,Non-melanoma skin cancer,22.44522536558776
1980,55-59 years,Other pharynx cancer,72.23305504497779
1980,55-59 years,Ovarian cancer,584.3844347961116
1980,55-59 years,Pancreatic cancer,595.8342463025958
1980,55-59 years,Prostate cancer,180.55280275716697
1980,55-59 years,Stomach cancer,908.5466732827333
1980,55-59 years,Testicular cancer,14.449040640967164
1980,55-59 years,Thyroid cancer,50.845974538292154
1980,55-59 years,"Tracheal, bronchus, and lung cancer",4366.943050572231
1980,55-59 years,Uterine cancer,111.6583928407618
1980,60-64 years,Bladder cancer,489.5296499007493
1980,60-64 years,Brain and central nervous system cancer,392.53686021530075
1980,60-64 years,Breast cancer,1794.4622457926932
1980,60-64 years,Cervical cancer,333.1122953901402
1980,60-64 years,Colon and rectum cancer,1957.0720747815026
1980,60-64 years,Esophageal cancer,593.8836019761111
1980,60-64 years,Eye cancer,23.03366050001665
1980,60-64 years,Gallbladder and biliary tract cancer,116.25967365051125
1980,60-64 years,Kidney cancer,365.3151572577866
1980,60-64 years,Larynx cancer,139.2203879925153
1980,60-64 years,Lip and oral cavity cancer,152.53152427987786
1980,60-64 years,Liver cancer,149.91689626969512
1980,60-64 years,Nasopharynx cancer,35.935170151760936
1980,60-64 years,Non-melanoma skin cancer,33.411441753834566
1980,60-64 years,Other pharynx cancer,80.88418352083427
1980,60-64 years,Ovarian cancer,624.6594784390084
1980,60-64 years,Pancreatic cancer,835.4375710017002
1980,60-64 years,Prostate cancer,433.0311365779264
1980,60-64 years,Stomach cancer,1249.8723699048285
1980,60-64 years,Testicular cancer,12.823279841983023
1980,60-64 years,Thyroid cancer,48.92384717894135
1980,60-64 years,"Tracheal, bronchus, and lung cancer",5988.890755040924
1980,60-64 years,Uterine cancer,173.93558623912892
1980,65-69 years,Bladder cancer,840.8791544924931
1980,65-69 years,Brain and central nervous system cancer,413.5947138209327
1980,65-69 years,Breast cancer,2076.6138765621604
1980,65-69 years,Cervical cancer,399.8943089192604
1980,65-69 years,Colon and rectum cancer,3002.7626529537856
1980,65-69 years,Esophageal cancer,837.5652662482555
1980,65-69 years,Eye cancer,29.548053632880745
1980,65-69 years,Gallbladder and biliary tract cancer,179.16211439871807
1980,65-69 years,Kidney cancer,486.4128357871109
1980,65-69 years,Larynx cancer,185.28506206008745
1980,65-69 years,Lip and oral cavity cancer,192.65717998353435
1980,65-69 years,Liver cancer,204.903723793848
1980,65-69 years,Nasopharynx cancer,42.06881484296274
1980,65-69 years,Non-melanoma skin cancer,51.90562434793664
1980,65-69 years,Other pharynx cancer,96.27556733166554
1980,65-69 years,Ovarian cancer,727.1160362147416
1980,65-69 years,Pancreatic cancer,1220.1964866319613
1980,65-69 years,Prostate cancer,903.4388848792366
1980,65-69 years,Stomach cancer,2028.683989348065
1980,65-69 years,Testicular cancer,14.117148188880936
1980,65-69 years,Thyroid cancer,62.2441534051129
1980,65-69 years,"Tracheal, bronchus, and lung cancer",8482.818531758565
1980,65-69 years,Uterine cancer,239.495108086116
1980,70-74 years,Bladder cancer,1067.7071137842102
1980,70-74 years,Brain and central nervous system cancer,320.72337272371806
1980,70-74 years,Breast cancer,2126.337067684273
1980,70-74 years,Cervical cancer,394.7308679152096
1980,70-74 years,Colon and rectum cancer,3704.8836038899008
1980,70-74 years,Esophageal cancer,893.3539920936907
1980,70-74 years,Eye cancer,31.028241637838885
1980,70-74 years,Gallbladder and biliary tract cancer,226.54344235743898
1980,70-74 years,Kidney cancer,494.5342377877571
1980,70-74 years,Larynx cancer,196.8090856201372
1980,70-74 years,Lip and oral cavity cancer,196.92663407332154
1980,70-74 years,Liver cancer,219.77752759788774
1980,70-74 years,Nasopharynx cancer,39.528115940627956
1980,70-74 years,Non-melanoma skin cancer,66.46877574285459
1980,70-74 years,Other pharynx cancer,90.60093903905043
1980,70-74 years,Ovarian cancer,730.7990782265914
1980,70-74 years,Pancreatic cancer,1402.0050192388885
1980,70-74 years,Prostate cancer,1402.4324804852668
1980,70-74 years,Stomach cancer,2557.7891337945803
1980,70-74 years,Testicular cancer,15.175628892228762
1980,70-74 years,Thyroid cancer,73.31350357879815
1980,70-74 years,"Tracheal, bronchus, and lung cancer",8998.995219609322
1980,70-74 years,Uterine cancer,274.94283313282364
1980,75-79 years,Bladder cancer,1133.2391517219544
1980,75-79 years,Brain and central nervous system cancer,171.749916987149
1980,75-79 years,Breast cancer,1921.3264967103687
1980,75-79 years,Cervical cancer,327.1536213399144
1980,75-79 years,Colon and rectum cancer,3843.255252240019
1980,75-79 years,Esophageal cancer,844.256414064989
1980,75-79 years,Eye cancer,25.72730216416433
1980,75-79 years,Gallbladder and biliary tract cancer,228.7729543628148
1980,75-79 years,Kidney cancer,414.8941754893351
1980,75-79 years,Larynx cancer,141.83241317171192
1980,75-79 years,Lip and oral cavity cancer,173.97127833529015
1980,75-79 years,Liver cancer,193.38100795639426
1980,75-79 years,Nasopharynx cancer,28.06218581223831
1980,75-79 years,Non-melanoma skin cancer,83.88331146902436
1980,75-79 years,Other pharynx cancer,66.97387863381853
1980,75-79 years,Ovarian cancer,587.0263688024213
1980,75-79 years,Pancreatic cancer,1250.3027768235556
1980,75-79 years,Prostate cancer,1717.5887413774108
1980,75-79 years,Stomach cancer,2457.4225956453547
1980,75-79 years,Testicular cancer,14.073241276990432
1980,75-79 years,Thyroid cancer,74.70930579912
1980,75-79 years,"Tracheal, bronchus, and lung cancer",6758.692357424894
1980,75-79 years,Uterine cancer,243.82154345470963
1980,80-84 years,Bladder cancer,827.1001288492696
1980,80-84 years,Brain and central nervous system cancer,70.98397885091457
1980,80-84 years,Breast cancer,1458.5102040176203
1980,80-84 years,Cervical cancer,228.53677923661664
1980,80-84 years,Colon and rectum cancer,2964.4845725835303
1980,80-84 years,Esophageal cancer,588.1951601053541
1980,80-84 years,Eye cancer,17.33303114891762
1980,80-84 years,Gallbladder and biliary tract cancer,164.1948656039709
1980,80-84 years,Kidney cancer,261.4001129512527
1980,80-84 years,Larynx cancer,84.63444435522939
1980,80-84 years,Lip and oral cavity cancer,125.16245336335191
1980,80-84 years,Liver cancer,120.03505984736984
1980,80-84 years,Nasopharynx cancer,16.830390898654983
1980,80-84 years,Non-melanoma skin cancer,79.90468072497927
1980,80-84 years,Other pharynx cancer,37.00220949043366
1980,80-84 years,Ovarian cancer,389.4148647003998
1980,80-84 years,Pancreatic cancer,858.6469248695056
1980,80-84 years,Prostate cancer,1232.6176680226572
1980,80-84 years,Stomach cancer,1740.6494328778997
1980,80-84 years,Testicular cancer,10.213316080145283
1980,80-84 years,Thyroid cancer,57.67271950958115
1980,80-84 years,"Tracheal, bronchus, and lung cancer",3354.4827567904736
1980,80-84 years,Uterine cancer,178.27733689068336
1980,85-89 years,Bladder cancer,445.2182531484823
1980,85-89 years,Brain and central nervous system cancer,29.181754532001122
1980,85-89 years,Breast cancer,903.0577478448398
1980,85-89 years,Cervical cancer,126.734085929631
1980,85-89 years,Colon and rectum cancer,1720.374201220738
1980,85-89 years,Esophageal cancer,315.87288095574564
1980,85-89 years,Eye cancer,8.961821801924097
1980,85-89 years,Gallbladder and biliary tract cancer,84.8748001777126
1980,85-89 years,Kidney cancer,123.15161235270106
1980,85-89 years,Larynx cancer,39.741530768404104
1980,85-89 years,Lip and oral cavity cancer,74.88984574459803
1980,85-89 years,Liver cancer,63.64324081643842
1980,85-89 years,Nasopharynx cancer,8.300462783208792
1980,85-89 years,Non-melanoma skin cancer,63.82152081268106
1980,85-89 years,Other pharynx cancer,17.899463641301658
1980,85-89 years,Ovarian cancer,186.2278641063384
1980,85-89 years,Pancreatic cancer,438.25078603988004
1980,85-89 years,Prostate cancer,607.051378878531
1980,85-89 years,Stomach cancer,955.5401279623948
1980,85-89 years,Testicular cancer,4.884155522688025
1980,85-89 years,Thyroid cancer,30.865230919436076
1980,85-89 years,"Tracheal, bronchus, and lung cancer",1241.5212569051978
1980,85-89 years,Uterine cancer,98.50870385474164
1980,90-94 years,Bladder cancer,171.9649288805794
1980,90-94 years,Brain and central nervous system cancer,10.050609590294513
1980,90-94 years,Breast cancer,384.5201944311217
1980,90-94 years,Cervical cancer,49.61538261260765
1980,90-94 years,Colon and rectum cancer,669.7677360767457
1980,90-94 years,Esophageal cancer,101.12452159322397
