year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,2.440353330709309
1980,10-14 years,Eye cancer,0.0224433045324176
1980,10-14 years,Kidney cancer,0.27749996963054224
1980,10-14 years,Liver cancer,0.0254881188358793
1980,10-14 years,Nasopharynx cancer,0.09716029393752951
1980,10-14 years,Thyroid cancer,0.0439947256983022
1980,15-19 years,Bladder cancer,0.05520705053384049
1980,15-19 years,Brain and central nervous system cancer,1.6317214526774424
1980,15-19 years,Breast cancer,0.232323071602749
1980,15-19 years,Cervical cancer,0.2052267797305708
1980,15-19 years,Colon and rectum cancer,0.6363503069219834
1980,15-19 years,Eye cancer,0.0356474118888261
1980,15-19 years,Kidney cancer,0.4115389387760417
1980,15-19 years,Lip and oral cavity cancer,0.0993621037287143
1980,15-19 years,Liver cancer,0.0291431669712201
1980,15-19 years,Nasopharynx cancer,0.18750779371450882
1980,15-19 years,Ovarian cancer,0.3511589153085739
1980,15-19 years,Pancreatic cancer,0.1290086586536352
1980,15-19 years,Stomach cancer,0.2854614562400627
1980,15-19 years,Testicular cancer,0.5747528708939189
1980,15-19 years,Thyroid cancer,0.0730749417070489
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.6702137294560796
1980,20-24 years,Bladder cancer,0.0655838603506097
1980,20-24 years,Brain and central nervous system cancer,1.528147621142216
1980,20-24 years,Breast cancer,0.5476547157389551
1980,20-24 years,Cervical cancer,0.9627653576378474
1980,20-24 years,Colon and rectum cancer,1.1368147147842937
1980,20-24 years,Esophageal cancer,0.21560259598310952
1980,20-24 years,Eye cancer,0.033780477295112396
1980,20-24 years,Gallbladder and biliary tract cancer,0.08362975654355001
1980,20-24 years,Kidney cancer,0.7415075956730639
1980,20-24 years,Larynx cancer,0.1052206338630698
1980,20-24 years,Lip and oral cavity cancer,0.141621228627716
1980,20-24 years,Liver cancer,0.0474089669373427
1980,20-24 years,Nasopharynx cancer,0.19038922875573577
1980,20-24 years,Non-melanoma skin cancer,0.041583216119525396
1980,20-24 years,Other pharynx cancer,0.0477725059882794
1980,20-24 years,Ovarian cancer,0.5491111879931735
1980,20-24 years,Pancreatic cancer,0.2247185641666224
1980,20-24 years,Prostate cancer,0.0541152534791622
1980,20-24 years,Stomach cancer,0.7390167703685644
1980,20-24 years,Testicular cancer,1.4658243871610537
1980,20-24 years,Thyroid cancer,0.1003081344157436
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.8876978031109468
1980,20-24 years,Uterine cancer,0.0603044057603454
1980,25-29 years,Bladder cancer,0.0985160905633092
1980,25-29 years,Brain and central nervous system cancer,1.8090803908125073
1980,25-29 years,Breast cancer,1.9730786692628197
1980,25-29 years,Cervical cancer,3.2425586417189525
1980,25-29 years,Colon and rectum cancer,2.1148678077845555
1980,25-29 years,Esophageal cancer,0.3062761041236381
1980,25-29 years,Eye cancer,0.0304357621327979
1980,25-29 years,Gallbladder and biliary tract cancer,0.1627778478087112
1980,25-29 years,Kidney cancer,0.9568741289756935
1980,25-29 years,Larynx cancer,0.1007067836328048
1980,25-29 years,Lip and oral cavity cancer,0.2568556287461803
1980,25-29 years,Liver cancer,0.0781852504898124
1980,25-29 years,Nasopharynx cancer,0.1631344122574822
1980,25-29 years,Non-melanoma skin cancer,0.06345984477272551
1980,25-29 years,Other pharynx cancer,0.0631354217260978
1980,25-29 years,Ovarian cancer,0.8741810764351249
1980,25-29 years,Pancreatic cancer,0.4325702566722883
1980,25-29 years,Prostate cancer,0.058973561075962
1980,25-29 years,Stomach cancer,1.5998086827874254
1980,25-29 years,Testicular cancer,1.839237159016501
1980,25-29 years,Thyroid cancer,0.16389861695533559
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.3336026719042002
1980,25-29 years,Uterine cancer,0.2110559244316787
1980,30-34 years,Bladder cancer,0.2277449352222618
1980,30-34 years,Brain and central nervous system cancer,2.161545468300072
1980,30-34 years,Breast cancer,6.1034761867607665
1980,30-34 years,Cervical cancer,7.036290289068362
1980,30-34 years,Colon and rectum cancer,3.539016264300201
1980,30-34 years,Esophageal cancer,0.6169779932652928
1980,30-34 years,Eye cancer,0.0471749260566132
