year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,4.87093326737778
1980,10-14 years,Eye cancer,0.3949155422160942
1980,10-14 years,Kidney cancer,1.4844989772722783
1980,10-14 years,Liver cancer,0.8319280865025925
1980,10-14 years,Nasopharynx cancer,0.4094852126635133
1980,10-14 years,Thyroid cancer,0.2597389837547356
1980,15-19 years,Bladder cancer,0.2138764817125613
1980,15-19 years,Brain and central nervous system cancer,3.533216516955905
1980,15-19 years,Breast cancer,1.0208386418991362
1980,15-19 years,Cervical cancer,2.449551260090044
1980,15-19 years,Colon and rectum cancer,3.0546124893999353
1980,15-19 years,Eye cancer,0.3234771188548691
1980,15-19 years,Kidney cancer,1.1535212230418919
1980,15-19 years,Lip and oral cavity cancer,0.7548093687644866
1980,15-19 years,Liver cancer,1.1471005112281372
1980,15-19 years,Nasopharynx cancer,0.6137630925888187
1980,15-19 years,Ovarian cancer,2.2261863489741343
1980,15-19 years,Pancreatic cancer,0.410072526046833
1980,15-19 years,Stomach cancer,3.8835639062564846
1980,15-19 years,Testicular cancer,1.19255592262053
1980,15-19 years,Thyroid cancer,0.3171816274498781
1980,15-19 years,"Tracheal, bronchus, and lung cancer",4.4451209800882445
1980,20-24 years,Bladder cancer,0.33038178500245863
1980,20-24 years,Brain and central nervous system cancer,3.032391149215483
1980,20-24 years,Breast cancer,1.792689267931291
1980,20-24 years,Cervical cancer,5.788034047930892
1980,20-24 years,Colon and rectum cancer,5.456829873890603
1980,20-24 years,Esophageal cancer,0.7190208690320236
1980,20-24 years,Eye cancer,0.2558826502177849
1980,20-24 years,Gallbladder and biliary tract cancer,0.5373625727024798
1980,20-24 years,Kidney cancer,1.4919070725598407
1980,20-24 years,Larynx cancer,0.7162643549308474
1980,20-24 years,Lip and oral cavity cancer,0.9875952581350991
1980,20-24 years,Liver cancer,1.2702776903669948
1980,20-24 years,Nasopharynx cancer,0.5778486640467644
1980,20-24 years,Non-melanoma skin cancer,0.8403772667851371
1980,20-24 years,Other pharynx cancer,0.3829698208573793
1980,20-24 years,Ovarian cancer,2.5048558135781183
1980,20-24 years,Pancreatic cancer,0.633538906330432
1980,20-24 years,Prostate cancer,0.4267605404931176
1980,20-24 years,Stomach cancer,7.649615857506986
1980,20-24 years,Testicular cancer,2.0239326645914857
1980,20-24 years,Thyroid cancer,0.4475418413312421
1980,20-24 years,"Tracheal, bronchus, and lung cancer",6.0792636815512955
1980,20-24 years,Uterine cancer,0.6095496448843898
1980,25-29 years,Bladder cancer,0.3933338035984858
1980,25-29 years,Brain and central nervous system cancer,3.3828001358160584
1980,25-29 years,Breast cancer,5.700746763122156
1980,25-29 years,Cervical cancer,17.735336974946403
1980,25-29 years,Colon and rectum cancer,7.3765088930765765
1980,25-29 years,Esophageal cancer,1.0846010371659849
1980,25-29 years,Eye cancer,0.2180356428509361
1980,25-29 years,Gallbladder and biliary tract cancer,0.7577604112825486
1980,25-29 years,Kidney cancer,1.4321587430952731
1980,25-29 years,Larynx cancer,1.0004404858558864
1980,25-29 years,Lip and oral cavity cancer,1.286777355028226
1980,25-29 years,Liver cancer,1.564064307672345
1980,25-29 years,Nasopharynx cancer,0.4907232349496954
1980,25-29 years,Non-melanoma skin cancer,1.1327229673920112
1980,25-29 years,Other pharynx cancer,0.3861679113726121
1980,25-29 years,Ovarian cancer,2.547172613259605
1980,25-29 years,Pancreatic cancer,1.0311751325931955
1980,25-29 years,Prostate cancer,0.4023977091964518
1980,25-29 years,Stomach cancer,13.89076007418926
1980,25-29 years,Testicular cancer,1.498499080981788
1980,25-29 years,Thyroid cancer,0.5861223133581538
1980,25-29 years,"Tracheal, bronchus, and lung cancer",7.55323390009095
1980,25-29 years,Uterine cancer,1.2421479913148028
1980,30-34 years,Bladder cancer,0.7135320005770385
1980,30-34 years,Brain and central nervous system cancer,3.660658787811536
1980,30-34 years,Breast cancer,16.207861052272865
1980,30-34 years,Cervical cancer,41.33936275679347
1980,30-34 years,Colon and rectum cancer,8.727085441485638
1980,30-34 years,Esophageal cancer,1.5879343336151956
1980,30-34 years,Eye cancer,0.2177328274097432
1980,30-34 years,Gallbladder and biliary tract cancer,1.3730128731739604
1980,30-34 years,Kidney cancer,1.7771432209296825
1980,30-34 years,Larynx cancer,1.3014666439447442
1980,30-34 years,Lip and oral cavity cancer,1.8541722721845848
1980,30-34 years,Liver cancer,2.022155552687203
1980,30-34 years,Nasopharynx cancer,0.5161402139578425
1980,30-34 years,Non-melanoma skin cancer,1.3585087497852515
1980,30-34 years,Other pharynx cancer,0.5623602494177677
1980,30-34 years,Ovarian cancer,3.305463066281374
1980,30-34 years,Pancreatic cancer,1.8218511995851974
1980,30-34 years,Prostate cancer,0.3712894003535768
1980,30-34 years,Stomach cancer,22.57472380836215
1980,30-34 years,Testicular cancer,0.8641526522347113
1980,30-34 years,Thyroid cancer,0.6692198600351817
1980,30-34 years,"Tracheal, bronchus, and lung cancer",11.749290282579071
1980,30-34 years,Uterine cancer,1.3074764891494643
1980,35-39 years,Bladder cancer,1.1638475249938618
1980,35-39 years,Brain and central nervous system cancer,4.086157040099654
1980,35-39 years,Breast cancer,29.488208355193176
1980,35-39 years,Cervical cancer,61.06200557980616
