year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,24.451854325106353
1980,10-14 years,Eye cancer,0.1064319413778666
1980,10-14 years,Kidney cancer,0.3764004210888936
1980,10-14 years,Liver cancer,13.552826133452974
1980,10-14 years,Nasopharynx cancer,13.938042482400261
1980,10-14 years,Thyroid cancer,1.1122539495644301
1980,15-19 years,Bladder cancer,0.2439107997165177
1980,15-19 years,Brain and central nervous system cancer,16.978927019702606
1980,15-19 years,Breast cancer,2.932750731397509
1980,15-19 years,Cervical cancer,14.02883099681557
1980,15-19 years,Colon and rectum cancer,6.142915385622507
1980,15-19 years,Eye cancer,0.0989658482183393
1980,15-19 years,Kidney cancer,0.2519373198113281
1980,15-19 years,Lip and oral cavity cancer,3.7408896545094015
1980,15-19 years,Liver cancer,23.007679414498924
1980,15-19 years,Nasopharynx cancer,22.947617029136595
1980,15-19 years,Ovarian cancer,1.6753965744356971
1980,15-19 years,Pancreatic cancer,0.4616446882973883
1980,15-19 years,Stomach cancer,7.780008632569381
1980,15-19 years,Testicular cancer,2.7782037812889904
1980,15-19 years,Thyroid cancer,2.789962297557355
1980,15-19 years,"Tracheal, bronchus, and lung cancer",4.633200295275329
1980,20-24 years,Bladder cancer,0.3680738005989269
1980,20-24 years,Brain and central nervous system cancer,14.527185865544753
1980,20-24 years,Breast cancer,6.081833095436565
1980,20-24 years,Cervical cancer,37.56219765901688
1980,20-24 years,Colon and rectum cancer,12.073312252643696
1980,20-24 years,Esophageal cancer,0.8915598491470695
1980,20-24 years,Eye cancer,0.1601305645541497
1980,20-24 years,Gallbladder and biliary tract cancer,0.5731657153001417
1980,20-24 years,Kidney cancer,0.3087748977904723
1980,20-24 years,Larynx cancer,0.816478214061412
1980,20-24 years,Lip and oral cavity cancer,5.712329968956112
1980,20-24 years,Liver cancer,30.635324311502536
1980,20-24 years,Nasopharynx cancer,18.862734694662127
1980,20-24 years,Non-melanoma skin cancer,1.862443182119917
1980,20-24 years,Other pharynx cancer,1.4193464549579997
1980,20-24 years,Ovarian cancer,2.186263839738861
1980,20-24 years,Pancreatic cancer,0.7684163038583736
1980,20-24 years,Prostate cancer,0.0367612700263793
1980,20-24 years,Stomach cancer,18.27073099539141
1980,20-24 years,Testicular cancer,4.354603593996563
1980,20-24 years,Thyroid cancer,4.478083579373367
1980,20-24 years,"Tracheal, bronchus, and lung cancer",7.979340073067435
1980,20-24 years,Uterine cancer,0.549860589015188
1980,25-29 years,Bladder cancer,0.6730936814207564
1980,25-29 years,Brain and central nervous system cancer,15.084158607718575
1980,25-29 years,Breast cancer,16.33217059798367
1980,25-29 years,Cervical cancer,62.9394622022654
1980,25-29 years,Colon and rectum cancer,19.557824816401418
1980,25-29 years,Esophageal cancer,1.4169441398618556
1980,25-29 years,Eye cancer,0.2908559593275204
1980,25-29 years,Gallbladder and biliary tract cancer,0.9893859860911718
1980,25-29 years,Kidney cancer,0.41191509045918373
1980,25-29 years,Larynx cancer,1.1023352482304685
1980,25-29 years,Lip and oral cavity cancer,8.12795245421885
1980,25-29 years,Liver cancer,49.446906710172286
1980,25-29 years,Nasopharynx cancer,20.876087295106032
1980,25-29 years,Non-melanoma skin cancer,2.516901149047586
1980,25-29 years,Other pharynx cancer,2.1779669560809953
1980,25-29 years,Ovarian cancer,2.86998188612658
1980,25-29 years,Pancreatic cancer,1.3767775307243872
1980,25-29 years,Prostate cancer,0.0455088701926096
1980,25-29 years,Stomach cancer,38.91776613836553
1980,25-29 years,Testicular cancer,5.715508137395326
1980,25-29 years,Thyroid cancer,6.125444189070117
1980,25-29 years,"Tracheal, bronchus, and lung cancer",13.036102978787298
1980,25-29 years,Uterine cancer,1.0605192875302611
1980,30-34 years,Bladder cancer,0.715075364139823
1980,30-34 years,Brain and central nervous system cancer,12.230905670416039
1980,30-34 years,Breast cancer,29.489317794697648
1980,30-34 years,Cervical cancer,62.52962445314441
1980,30-34 years,Colon and rectum cancer,24.865487108127805
1980,30-34 years,Esophageal cancer,2.3217091579213345
1980,30-34 years,Eye cancer,0.2161507691015364
1980,30-34 years,Gallbladder and biliary tract cancer,1.3781214084897195
1980,30-34 years,Kidney cancer,0.4978549455748349
1980,30-34 years,Larynx cancer,1.6180448068116635
1980,30-34 years,Lip and oral cavity cancer,8.949289015863732
1980,30-34 years,Liver cancer,63.71377692828019
1980,30-34 years,Nasopharynx cancer,21.056662870285823
1980,30-34 years,Non-melanoma skin cancer,1.7402408109729461
1980,30-34 years,Other pharynx cancer,2.6193670668082207
1980,30-34 years,Ovarian cancer,2.8870412710276327
1980,30-34 years,Pancreatic cancer,2.0573854488589665
1980,30-34 years,Prostate cancer,0.0499481070663262
1980,30-34 years,Stomach cancer,56.50096820615241
1980,30-34 years,Testicular cancer,3.5979667832972684
1980,30-34 years,Thyroid cancer,4.361876516690312
1980,30-34 years,"Tracheal, bronchus, and lung cancer",20.03320584575399
1980,30-34 years,Uterine cancer,1.1411289564358935
1980,35-39 years,Bladder cancer,1.1963032121299602
1980,35-39 years,Brain and central nervous system cancer,14.849320327939662
1980,35-39 years,Breast cancer,69.92499720934137
1980,35-39 years,Cervical cancer,99.36927346864344
1980,35-39 years,Colon and rectum cancer,41.73211678865092
1980,35-39 years,Esophageal cancer,5.112448893524679
1980,35-39 years,Eye cancer,0.2853989363025418
1980,35-39 years,Gallbladder and biliary tract cancer,2.656277711387674
1980,35-39 years,Kidney cancer,0.8750234418033382
1980,35-39 years,Larynx cancer,3.959552150235001
1980,35-39 years,Lip and oral cavity cancer,15.223493749521289
1980,35-39 years,Liver cancer,115.11610279976944
1980,35-39 years,Nasopharynx cancer,36.6844880969516
1980,35-39 years,Non-melanoma skin cancer,2.8246642400352022
1980,35-39 years,Other pharynx cancer,6.2506133018365535
1980,35-39 years,Ovarian cancer,4.913872398169295
1980,35-39 years,Pancreatic cancer,3.7630716090837586
1980,35-39 years,Prostate cancer,0.1316378209092062
1980,35-39 years,Stomach cancer,94.61912355227307
1980,35-39 years,Testicular cancer,3.254883604088173
1980,35-39 years,Thyroid cancer,5.392079308495566
1980,35-39 years,"Tracheal, bronchus, and lung cancer",44.27944821580686
1980,35-39 years,Uterine cancer,2.163027650343706
1980,40-44 years,Bladder cancer,3.093180567762487
1980,40-44 years,Brain and central nervous system cancer,22.075026496772832
1980,40-44 years,Breast cancer,121.190678871553
1980,40-44 years,Cervical cancer,175.69847209150325
1980,40-44 years,Colon and rectum cancer,81.59641570900278
1980,40-44 years,Esophageal cancer,16.33335545668145
1980,40-44 years,Eye cancer,0.6505378427486882
1980,40-44 years,Gallbladder and biliary tract cancer,5.867540773119261
1980,40-44 years,Kidney cancer,1.858656679896284
1980,40-44 years,Larynx cancer,11.485331546565803
1980,40-44 years,Lip and oral cavity cancer,33.168658913563455
1980,40-44 years,Liver cancer,236.14010378909478
1980,40-44 years,Nasopharynx cancer,68.11118647631217
1980,40-44 years,Non-melanoma skin cancer,4.225748586363357
1980,40-44 years,Other pharynx cancer,18.547665866175315
1980,40-44 years,Ovarian cancer,10.258471879940636
1980,40-44 years,Pancreatic cancer,8.414606913978318
1980,40-44 years,Prostate cancer,0.4039742475352222
1980,40-44 years,Stomach cancer,190.57896898179428
1980,40-44 years,Testicular cancer,3.12681190408893
1980,40-44 years,Thyroid cancer,7.983158328022798
1980,40-44 years,"Tracheal, bronchus, and lung cancer",123.42311801185949
1980,40-44 years,Uterine cancer,4.280449375701754
1980,45-49 years,Bladder cancer,6.339280341911476
1980,45-49 years,Brain and central nervous system cancer,27.87209568608106
